Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS2pe,base_GATS3Z,base_GATS1se,solvent_VSA_EState9,solvent_NsCH3,solvent_SdssC,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3950602,c1ccc(P(c2ccccc2)c2ccccc2)cc1,64.845,112.2051,0.1337,O=C([O-])C.[K+],CC(N(C)C)=O,"64.8452, 2.8620",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,3.4490740740740735,3,0.09259259259259278,1.4760842589662049,64.8452,2.862,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3950597,CC[NH+]1C(P)CNCC1P(C)c1cccc2c1cc([O-])c1ccccc12,61.178,101.4793,0.0635,O=C([O-])C.[K+],CCCC#N,"61.1783, 1.5713",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,1,0.0,1.3691437802907915,61.1783,1.5713,11.565858467379744,2.55805498750284,0.007039221998177226,5.572643274853801,160.39146021592052,20.62776562593642,-0.38492509658184226,7.218094549707602,-0.0030342293104666388,0.9041802588330144,0.012343272262566644,-0.00883597883597883,-0.005489809335963178,0.8438955015979391,0.5461177077431456,0.16185761927190104,0.3481531136664433,1.9635802469135804,5.883488888888889,-0.00026965830844181954,0.010477980001516923,0.8833455417946962,-0.38492509658184226,7.417133777777775,-0.38492509658184226,6.1790818181818175,0.8763234188575362,5.174014184465756,21.801081160055514,5.68608388888889,26.29909482197026,-0.8884264800200847,0.0032512770366445085,0.4113925055228554,0.39657051784319547,24.26546827384644,0.024800821517034798,14.355555555555556,0.008341541345498842,2.4927936099361885
Result3950654,CP(c1ccccc1)c1ccccc1,56.604,119.7528,0.1011,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"56.6038, 3.7217",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,2,0.0,1.0624999999999998,56.6038,3.7217,0.0,1.773809523809524,0.13847459782615712,5.4088,156.28560830695412,10.609079792477814,-0.17078189300411517,7.057559680000002,0.13851265014055703,1.220554821118731,-0.01811765140842562,-0.030401958783921653,-0.014095832742065184,1.2286866359447002,0.11785113019775792,-0.08991436526654267,0.1443185452437587,1.7586206896551724,5.6103555555555555,0.13821461091294607,0.09309427412193925,1.1123758220232267,-0.17078189300411517,7.173270488888891,-0.17078189300411517,5.989767857142859,1.1093597060238567,3.684834099518648,5.103659672475402,5.554931034482758,6.664825604232536,-0.3198763830423775,0.06347687883889293,0.43364325186971103,0.32198088712438,0.0,0.014943104618667867,11.137931034482758,-0.022508689634045023,3.7382964632858524
Result3950598,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,56.568,101.1849,0.0878,O=C([O-])C.[K+],CCCC#N,"56.5679, 7.4560",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,1,0.0,1.3691437802907915,56.5679,7.456,0.0,2.6726084373143197,0.06475138807405836,5.641063492063492,206.11345541025725,20.40889925417877,-0.5366941714957589,7.230853166666663,0.12348833640270102,1.070642765404754,-0.16491221759188157,-0.2643642365544518,-0.1681505094629642,1.1088382074259657,0.2730017401615745,-0.16343062771078748,0.3993942999550288,2.395375070501974,5.796738738738741,0.1210883774079186,-0.24114902962599957,1.1586970328410864,-0.5366941714957589,7.343419333333332,-0.5366941714957589,6.116414062500001,1.0267407788868,6.824937879897916,-165.02991996505696,5.902693908629443,37.99050739240972,-0.4473493463156663,0.021817983638467164,0.37034128918769277,0.3637590457997152,0.0,0.03303382557137713,17.121827411167512,-0.19169531581693347,0.4982783811377241
Result3950599,CC(C)P(c1ccccc1CN(C)c1ccc(N(C)C)cc1-c1ccccc1)C(C)C,55.525,112.4322,0.0728,O=C([O-])C(C)(C)C.[K+],CCCC#N,"55.5247, 7.4969",0.5051641116163132,0.1556534312908589,0.476153268219384,0.1428941881283608,0.0,1,0.0,1.3691437802907915,55.5247,7.4969,0.0,2.1596164692611395,0.06281271667849189,5.507407843137256,168.78420996366847,15.104359357939863,-0.19266443611080475,7.143364219607844,0.11977780764234185,1.0858415328744067,-0.020599671236880782,-0.07806353397639702,-0.04475485046959959,1.1178604383863673,0.2838147828279846,-0.1289708778938486,0.417858575025233,1.914186507936508,5.763113821138213,0.11728940580758691,0.24567512334369956,1.1896839594676694,-0.19266443611080475,7.317566341463415,-0.19266443611080475,6.098507142857144,1.0474931524919002,6.728673699755483,-45.34670425904566,5.739027232142859,30.942835409732528,-0.44564855570465933,0.020647589415708684,0.38527630577353106,0.3595043870393716,0.0,0.028439100217432806,12.96875,-0.14538659349871005,0.505018321687919
Result3950662,c1ccc(P(c2ccccc2)c2ccccc2)cc1,53.507,104.4221,0.1095,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"53.5073, 2.5543",0.5051641116163132,0.1556534312908589,0.476153268219384,0.1428941881283608,3.4490740740740735,3,0.09259259259259278,1.4760842589662049,53.5073,2.5543,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3950658,c1ccc(P(c2ccccc2)c2ccccc2)cc1,52.831,98.3784,0.1081,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"52.8308, 4.9897",0.5051641116163132,0.1556534312908589,0.476153268219384,0.1428941881283608,0.0,2,0.0,1.0624999999999998,52.8308,4.9897,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3950660,CC(C)c1ccc(CN(Cc2ccc(C(C)C)cc2)CP(C)C#N)cc1,52.577,109.7253,0.1168,O=C([O-])C.[K+],CCCC#N,"52.5769, 2.8251",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,1,0.0,1.3691437802907915,52.5769,2.8251,0.0,1.4133597883597884,0.0881713388242745,5.445305555555554,152.82374458859115,0.0,-0.6116477468902508,7.0996385,0.11316514266828252,0.9652460282636591,0.1507316644609999,0.019211136890951268,0.010193905817174512,0.9172184411297365,0.21407617506269555,-0.3022453244184609,0.37344860807078817,1.5377777777777777,5.7019650485436895,0.1111059529219249,-0.2241559532778587,1.1130987872254814,-0.6116477468902508,7.267705203883493,-0.6116477468902508,6.064163793103449,0.9662929453430094,4.734254599481752,-22.813401274466223,5.620753333333335,12.950670414687021,-0.40116889624855134,0.03032720684178639,0.4211121152158271,0.3338553213867871,0.0,0.026998631215915607,12.293333333333333,-0.07511234911572265,0.8558864021555824
Result3950615,c1ccc(P(Cc2ccc(P(c3ccccc3)c3ccccc3)cc2)c2ccccc2)cc1,52.071,108.0097,0.0680,O=C([O-])C.[K+],CCCC#N,"52.0710, 1.3689",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,1,0.0,1.3691437802907915,52.071,1.3689,0.0,3.3070987654320994,0.1287672231583414,5.618605524861879,222.16489368127768,26.522699481194536,-0.5610704501052428,7.179873950276241,0.12929658535359256,1.1114579479281732,-0.15143492825481616,-0.16680338355483973,-0.08059847490354509,1.119217361783872,0.34274034792686364,-0.044328232700732426,0.007277626780031179,3.641350210970464,5.716215686274511,0.12930162455176122,-0.03686062575936381,0.9597139851015559,-0.9955565380705682,7.236720803921564,-0.4344860879653254,6.046738095238095,1.0079024206604157,9.426935082141096,2.4572547267175144,5.800012658227846,0.0,-0.3266664525525729,0.055707199557834056,0.3816335208116549,0.3481443249855414,0.0,0.014002146339768111,17.72151898734177,-0.06394172985989652,4.251504437646805
Result3950555,Cc1c(C)c(P)c(C)c(P(C)C)c1C,50.887,90.3112,0.1235,O=C([O-])C.[Cs+],CCCC#N,"50.8875, 1.0283",0.056742661225519415,0.15437109729761034,0.07445192098979814,0.1265444360281399,0.0,1,0.0,1.3691437802907915,50.8875,1.0283,0.0,0.4497899961817487,-0.010420066985022128,5.007469026548674,121.2153859662807,10.609079792477814,0.004629629629629983,6.81779263716814,-0.006842372022301084,1.4855274061797086,0.05504693781075935,-0.10667932890155105,-0.06976606630585866,1.4925986842105265,0.20656852848850465,-0.012354259644892842,0.7408926652993453,0.10731244064577396,5.3833666666666655,-0.005066634442925939,0.35096601479651984,1.7306457118174596,0.004629629629629983,7.0370746,0.004629629629629983,5.822911764705882,1.3821383756120365,1.946345191186201,-48.34935281302062,5.395679487179487,13.329651208465071,-0.3646644184349286,-0.006174196678200676,0.5514376692881517,0.31692203340022296,0.0,0.04467345319374152,9.487179487179487,0.021486720820664454,0.49702140831069436
