Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3Z,base_GATS1se,base_GATS2pe,base_GATS3m,solvent_SdssC,solvent_VSA_EState9,solvent_NsCH3,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3938211,C(=CP(c1ccccc1)c1ccccc1)c1cccc2ccccc12,29.461,102.8367,0.1049,O=C([O-])C.[K+],CC(N(C)C)=O,"29.4607, 0.9918",0.6819085487077534,0.1453627869996672,0.1574807960088896,0.6971767885426821,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,29.4607,0.9918,0.0,3.0922222222222224,0.11340935711317435,5.540807692307691,204.47536247471297,10.609079792477814,-0.510498498782229,7.1334984423076895,0.1125660063126715,1.0010778082188747,0.032945151976737065,0.023988542785535277,0.01153581267217631,1.0068717514182675,0.3692267850265122,-0.01943683595447133,0.06558292121627565,3.074074074074074,5.783760000000001,0.11194198787104041,0.04600630951120505,1.1200023013269356,-0.510498498782229,7.275983013333331,-0.510498498782229,6.083106382978725,0.9270922399521078,7.401950374971541,-6.441230486685039,5.727671568627451,0.0,-0.3540876803819666,0.04205748474867546,0.3528921547771907,0.35908426543237343,0.0,0.013695892976045223,16.774509803921568,-0.05037041528770934,3.6546250889824776
Result3938207,C(=CP(c1ccccc1)c1ccccc1)CC1=NCCN1,29.452,111.8471,0.1059,O=C([O-])C.[K+],CC(N(C)C)=O,"29.4517, 1.2332",0.6819085487077534,0.1453627869996672,0.1574807960088896,0.6971767885426821,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,29.4517,1.2332,5.835619785757269,2.6735253772290806,0.12425671880407409,5.603466666666668,190.4186136544058,15.925868396484145,-0.434478353069623,7.1889296444444435,0.11959668563442151,1.024996666370344,-0.11758769834336419,-0.027605822318889077,-0.011991279069767442,1.0462302765741438,0.19001991384646114,0.16236677273581146,0.07566166510367821,2.5930232558139537,5.888470000000002,0.11925692013355232,-0.1989434768628612,0.9215444930707513,-0.434478353069623,7.396525800000002,-0.434478353069623,6.177845238095239,0.9750955111981895,5.432483883766932,-16.251358024691363,5.73787441860465,13.08951281182515,-0.38631109340648834,0.047513192479478786,0.3772229404146885,0.33161395734027455,0.0,0.011407646285501177,15.918604651162791,-0.004275146704641483,3.0474501600915644
Result3938213,c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,29.386,98.1371,0.0964,O=C([O-])C.[K+],CC(N(C)C)=O,"29.3856, 0.0077",0.6819085487077534,0.1453627869996672,0.1574807960088896,0.6971767885426821,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,29.3856,0.0077,0.0,2.586206896551724,0.13524954147716953,5.574432432432433,218.5631006053365,21.21815958495563,-0.40867766859830357,7.151974,0.13658911479074973,1.1833053360240817,-0.022522511102461555,-0.02473661344629089,-0.011497734529804514,1.192050710981669,0.23570226039551584,-0.02868492479413743,0.0019508999726497974,3.1919191919191916,5.665614285714286,0.13697471327365393,-0.1128977516275747,1.0305735177461683,-0.8173553371966067,7.2058272500000005,-0.4086776685983031,6.018980769230769,1.0632930218142123,7.445677803958862,62.91888667787599,5.6669090909090905,5.902998432009833,-0.3205646152207717,0.06376385365201001,0.4074460859730871,0.33780388806045863,0.0,0.012681382385227124,20.09090909090909,-0.051531965099392514,4.445756780212874
Result3938204,CN(C)c1ccc(Nc2ccc(-c3ccccc3P(C)C(C)(C)C)c3ccccc23)c2ccccc12,29.23,107.5184,0.1005,O=C([O-])C.[K+],CCCC#N,"29.2304, 0.0580",0.6819085487077534,0.1453627869996672,0.1574807960088896,0.6971767885426821,0.0,0.0,1,1.3691437802907915,29.2304,0.058,0.0,2.9746770025839795,0.0939184183832621,5.600285087719298,184.42037132159405,15.521238231095715,-0.31207878776666087,7.185636692982454,0.10976995282330633,1.0642384664043254,-0.08931132863548143,-0.05856280997853286,-0.03854620184661218,1.1216497186713383,0.5885274249002871,-0.1657084599327825,0.43617447471770543,2.6296296296296298,5.810387596899225,0.10857455706999715,-0.013331203054131468,1.0318432877152934,-0.31207878776666087,7.328064480620153,-0.31207878776666087,6.146953333333333,1.0074681550698186,8.84746200644721,-38.7913724741074,5.749526754385964,30.976867904443726,-0.445239148534318,0.030627272826688135,0.35886833935911105,0.38826412422126444,0.0,0.030310411147492018,14.609649122807017,-0.07289923031659926,2.7628838474041784
Result3938201,O=C=NNCP(c1ccccc1)c1ccccc1,28.703,109.5492,0.1008,O=C([O-])C.[K+],CC(N(C)C)=O,"28.7026, 0.1839",0.6819085487077534,0.1453627869996672,0.1574807960088896,0.6971767885426821,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,28.7026,0.1839,0.0,3.2854700854700853,0.1519722633123685,5.889194444444444,186.29007903815244,16.0348711895882,-0.5462345679012348,7.447197333333332,0.10153456495828367,0.6672942981346962,0.013934596303910805,-0.08374384236453204,-0.03537981269510928,0.6025184968130559,0.11785113019775792,-0.021740250224410392,0.08236446800917281,3.539906103286385,5.928704,0.10212560794737732,0.045896935020148806,0.9043210309213321,-0.5462345679012348,7.440815480000003,-0.5462345679012348,6.322159375000002,0.6670117877293478,5.1537888502251565,-0.8464690844156642,6.017867605633802,6.285844810454487,-0.32818478061282236,0.06275592934688765,0.37455696952218254,0.412430225744265,36.39820241076966,0.009511036788920343,17.098591549295776,-0.12372097125702097,2.9928269558778666
Result3938210,CC(C)OP(C)c1ccccc1C(C)(O)Oc1ccnc2ccccc12,28.488,90.3805,0.1213,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"28.4879, 1.3166",0.476153268219384,0.1428941881283608,0.1556534312908589,0.5051641116163132,0.0,0.0,2,1.0624999999999998,28.4879,1.3166,5.749511833283905,3.901129943502825,0.0031649687177917342,5.835709677419355,184.28655759606022,10.041402850038956,-0.8617369159597996,7.465248722580645,0.1381935766460972,0.9578327132582611,0.027767938450309664,-0.10680970149253732,-0.06835820895522389,0.9718710413344872,0.34115484392788975,0.11217095583350255,0.3642185313069634,3.285240464344942,6.120511363636364,0.13444261460729956,0.001804813183666642,1.084588110319082,-0.8617369159597996,7.644636159090908,-0.8617369159597996,6.335386538461538,0.9150935004348859,5.985775750880253,-31.70698271604939,6.157378358208955,6.664825604232536,-0.49178904778942834,0.0011259878550311936,0.3693198685017188,0.4076612984534148,69.04323655130666,0.03039870315800112,16.671641791044777,0.19378135909583052,1.2974805387073145
Result3938206,CC(C)c1cc(C(C)C)c([O-])c(P(c2ccccc2C[CH-]c2ccccc2)C(C)(C)C)c1,27.956,98.4931,0.0669,O=C([O-])C.[K+],CC(N(C)C)=O,"27.9562, 1.4974",0.6819085487077534,0.1453627869996672,0.1574807960088896,0.6971767885426821,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,27.9562,1.4974,0.0,2.363104731525784,0.10941350644063534,5.706600000000001,194.8683396554538,15.71560718731852,-0.8284524742681711,7.301572949999999,0.09886384833586691,0.8071353035441736,-0.21085600752683298,-0.23953335396997386,-0.15002908244874227,0.6415207345449508,0.3309874716005442,-0.14681592531688176,0.3676012097649967,2.4877136752136755,5.655000000000002,0.09773279542627311,-0.0967371781029599,1.1804628873790879,-0.8284524742681711,7.216727825396825,-0.8284524742681711,6.030570422535211,0.8500572814879704,6.055063922980114,-124.19015353657937,5.846995192307692,0.0,-0.8882047954395776,0.036506506929022985,0.3805304692200276,0.32222910641809965,6.06636706846161,0.033780338870568444,16.379807692307693,0.12625693296084783,2.7124191570614493
Result3938202,O=P([O-])(O)C(O)CP(O)O,27.853,94.0419,0.1104,O=C([O-])C.[Cs+],CC(N(C)C)=O,"27.8526, 0.5823",0.07445192098979814,0.1265444360281399,0.15437109729761034,0.056742661225519415,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,27.8526,0.5823,5.845054792290216,2.1146953405017923,-0.15174002153853475,7.128,121.68965798642365,4.893411602752475,-2.4863760288065837,8.9206272,0.1935741164921466,1.449317430926188,-0.01582211827730333,0.014692378328742026,0.012302960399846262,1.388559640242898,0.0,-0.08055039065832897,-0.5171190638536821,10.0,7.229679999999999,0.1937587466747505,0.29145171246535884,1.3249095604560535,-2.4863760288065837,8.815431920000002,-2.4863760288065837,6.95084375,1.375255603286869,1.0673535185620713,73.58349352813019,7.773755555555555,6.161910027467921,-0.7911665494560158,-0.13554982082647068,0.5827269175383663,0.37154395717765076,0.0,0.057699103928167884,25.88888888888889,0.5356916848443054,9.094939166675697
Result3938203,c1coc(P(c2ccco2)C2(c3ccco3)CO2)c1,15.164,92.2762,0.0981,O=C([O-])C.[K+],CC(N(C)C)=O,"15.1644, 0.2680",0.6819085487077534,0.1453627869996672,0.1574807960088896,0.6971767885426821,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,15.1644,0.268,16.762919065707152,8.902298850574711,0.05106514792328594,6.259726027397259,219.81517948081245,11.002671646832708,-0.9088220164609047,7.844406575342468,0.10595456416782058,0.8116329181766483,-0.16522947266458884,-0.3822629969418962,-0.2314814814814815,0.8771304907048463,1.3384373309544753,0.012386084211278415,0.12389162896542967,6.416666666666667,6.472500000000001,0.10816014568942713,0.1169668542320785,0.798025019946145,-0.9088220164609047,8.002048730769232,-0.9088220164609047,6.671727272727274,0.7659149386518622,5.061546704976652,-57.76032921810699,6.761558333333334,6.606881964512918,-0.5339620547010486,0.021580400108558738,0.3315599304925732,0.41468569541408606,36.39820241076966,0.018821058028793518,22.5,-0.19495690166682073,0.5016503477576689
Result3938205,CC([N-]c1cccc2ccccc12)=C1CCCC(P(C)c2ccc(OC(C)(C)C)cc2)C1,14.354,91.3561,0.0948,O=C([O-])C(C)(C)C.[K+],CCCC#N,"14.3544, 1.1278",0.476153268219384,0.1428941881283608,0.1556534312908589,0.5051641116163132,0.0,0.0,1,1.3691437802907915,14.3544,1.1278,11.350562644267594,2.044329303396661,0.08937194058369896,5.49059595959596,163.78243049882332,10.041402850038956,-0.20965148952823287,7.12574206060606,0.11674259422950531,0.8957441647922135,-0.04589364296555421,-0.027979274611398965,-0.01689103011737384,0.8755572102210715,0.4546387872250397,-0.05883176274713351,0.44732399072629114,1.7161773172135866,5.779103999999999,0.1152258514226647,0.05413872384003741,1.088747123968702,-0.20965148952823287,7.325754943999999,-0.20965148952823287,6.117449999999999,0.8908726143821559,6.0739886241722445,-67.13164140601582,5.67358134715026,6.664825604232536,-0.7026111538268532,0.02972855981131688,0.3862826343464324,0.36310323005435874,0.0,0.029986519055498668,12.932642487046632,0.20341848861381795,2.346028741470633
