Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS3Z,base_GATS2pe,base_GATS1se,solvent_NsCH3,solvent_SdssC,solvent_GATS4se,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3952597,Cc1cc(P(c2ccccc2)C2CC=CC[NH+]2c2cc[nH+]c(C)c2)n[nH]1,32.9195,106.1130,0.1039,O=C([O-])C.[K+],CC(N(C)C)=O,"32.9195, 0.5094",0.6971767885426821,0.6819085487077534,0.1574807960088896,0.1453627869996672,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,32.9195,0.5094,18.01507191428601,2.7078477078477077,0.13193195459757018,5.806948837209303,195.85657119201545,20.623444547426967,-0.5616286638112029,7.362718441860466,0.11716292477722384,1.0560733172360717,-0.08532486505841437,-0.15642081688429998,-0.08563754065484168,1.091426725742223,0.43320526760543454,0.011409802888284616,0.23397129712936546,3.1681681681681684,5.956068085106383,0.11674137694163071,-0.04443928123961204,1.0272874581379494,-0.5616286638112029,7.4595397021276595,-0.5616286638112029,6.31089074074074,1.0113294879642023,6.4729623947293,-0.9104570416886162,5.977429729729729,6.544756405912575,-0.3470935174884319,0.04566252056945246,0.36935127900402587,0.5261371225892836,0.0,0.020687187375416145,17.256756756756758,0.20074840385578543,3.3134367667316758
Result3952594,C=C(c1cnc[nH]1)P(c1ccccc1)C(OCC)c1coc(C)c1C,32.359,100.1901,0.1273,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"32.3590, 0.9641",0.05199823768686698,0.06442562223749324,0.15285281509040824,0.1243972321309733,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,32.359,0.9641,11.605302211164659,3.780676328502415,0.07320765421347088,6.030214285714286,191.66222512914075,5.304539896238907,-0.8639300411522635,7.56861574025974,0.11697013838310272,0.8909415077322421,-0.19008767206917765,-0.14813826095313354,-0.08480658255086075,0.9209341042426112,0.46906630186162845,0.025286898659283654,0.31051412196128914,3.694053208137715,6.065403571428572,0.11622812274309097,-0.20583963365395927,1.0283742190395442,-0.8639300411522635,7.603955190476191,-0.8639300411522635,6.339949999999999,0.8562288266999633,6.070794707739472,37.86093964334705,6.001814084507042,6.606881964512918,-0.5386496168475458,0.026166006917588733,0.36010679068649953,0.38722676876861123,32.373848035094994,0.021679384281491812,17.211267605633804,-0.08076635892875196,0.911020930853963
Result3952394,CC[NH2+]C(N(C)c1nc[nH]n1)P(C)c1nc[nH]n1,32.1963,119.2423,0.0644,O=C([O-])C.[Cs+],CC1=CC=C(C)C=C1,"32.1963, 0.7492",0.056742661225519415,0.07445192098979814,0.15437109729761034,0.1265444360281399,2,0.0,1.0624999999999998,0.0,32.1963,0.7492,12.654640149529083,2.2967171717171713,0.0967983363565383,5.9794018018018,150.18551269660801,15.782191237398647,-0.5290740740740738,7.57055091891892,0.1218741299025491,0.9846652412915238,0.05523851767777616,-0.18069674471730432,-0.0948100203763634,1.036569427099024,0.2628917115316043,-0.30230065223264646,0.4671197706674807,2.1057173678532903,6.3369703125,0.12222608954161907,-0.0011847037427845403,1.241863858965413,-0.5290740740740738,7.8306086875,-0.5290740740740738,6.697491891891892,0.9405450596759626,4.015639861821729,-63.06283340954122,6.135950485436894,25.15716372367278,-0.3603005959895571,0.03415503105211626,0.40878005467487505,0.4966260163715944,7.04767198267719,0.019435080953035987,15.155339805825243,0.3789740578183518,-1.7358617125961335
Result3952392,NC12C=CC=CC1=C(c1ccccc1)C(P(c1ccccc1)c1ccccc1)=C2,31.6621,113.7792,0.1485,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"31.6621, 0.7610",0.05199823768686698,0.06442562223749324,0.15285281509040824,0.1243972321309733,2,0.0,1.0624999999999998,0.0,31.6621,0.761,0.0,4.105128205128205,0.1515289591969557,5.766180722891566,244.65554470217083,16.34274726964,-0.7282045750398929,7.284809120481927,0.09485917105564465,1.1432060481820543,-0.13384925764590716,-0.2128748113485141,-0.12587522485736818,1.2253445804039058,0.8532057679433755,-0.015109587362872538,0.09922622902348206,4.559610705596107,5.8585,0.09548348640639473,-0.15910696721450054,1.0953971655410502,-0.7282045750398929,7.332754755555555,-0.7282045750398929,6.157345454545455,1.05145605444106,7.6924652256338915,12.997802364712516,5.905624087591241,0.0,-0.3281088307525709,0.053248606515589485,0.33902689879675013,0.3626504109351759,0.0,0.020084321478649362,21.16788321167883,0.012732049531418552,5.518082668163836
Result3952592,CCCN1C(Oc2ccccc2)CNCC1P(c1ccccc1)C(C)(C#N)c1ccccc1,31.3939,106.8979,0.0837,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"31.3939, 0.9306",0.05199823768686698,0.06442562223749324,0.15285281509040824,0.1243972321309733,2,0.0,1.0624999999999998,0.0,31.3939,0.9306,10.905590707222597,3.2204106280193234,0.0772042506445579,5.828302996254681,191.72285176820904,15.358191454045286,-0.9255769598648784,7.3943411985018725,0.10930561929199764,0.9003450861377719,-0.10371244187835917,-0.15895571711830805,-0.0870588235294118,0.917334407284035,0.31763413998642204,0.0476555242441035,0.2361967413417639,3.1920563097033687,5.965825210084033,0.10810681181339196,0.013726984843133255,1.1653326574402278,-0.9255769598648784,7.482777361344537,-0.9255769598648784,6.23485294117647,0.8745634813570053,7.764681521518183,-16.797834757834746,5.998771945701357,19.634269217737724,-0.5062830022165676,0.02530390489007354,0.3631960320972124,0.3736464286499533,54.59730361615449,0.017849448841856793,16.97285067873303,-0.1195505184523742,1.64437636040005
Result3952593,CCN(Cc1nc(Pc2ccc(C)cc2)[nH]c1P(c1ccccc1)c1ccccc1)C(C)(N)N,30.7097,104.2278,0.0630,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"30.7097, 0.3593",0.05199823768686698,0.06442562223749324,0.15285281509040824,0.1243972321309733,2,0.0,1.0624999999999998,0.0,30.7097,0.3593,11.352287720898318,3.160357410817816,0.10114419871185763,5.869659183673469,181.3760815625583,38.381463944973305,-0.819086555060982,7.427866571428572,0.05380808392471456,1.1807170464655266,0.020699380823454665,0.10957443544428079,0.06561284973807681,1.2348658067148524,0.5295074212360746,0.13347882758034374,0.26352235643822536,3.3287514318442155,5.941171186440678,0.055718027179429315,-0.07564184686356748,0.8336056768696698,-0.819086555060982,7.447875152542372,-0.819086555060982,6.242514285714285,1.1190728704464172,8.304474249264944,76.92725427588427,5.904890721649483,6.544756405912575,-0.35545175950412533,0.041064353743187045,0.37422924205661384,0.3667220914320607,6.923737199690624,0.026809620770091275,17.551546391752577,0.3809232028344057,3.8041730828518965
Result3952409,CN1C=[NH+]C(c2cn[nH]c2)(P(C)C)C1c1cnccn1,30.6629,95.3743,0.1089,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"30.6629, 0.2413",0.5051641116163132,0.476153268219384,0.1556534312908589,0.1428941881283608,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,30.6629,0.2413,5.693927994848461,3.0,0.09407645625712967,5.910543089430895,160.89892568223067,4.992404732635669,-0.337775048290921,7.498571886178862,0.12719707732900343,0.9109966012238802,-0.1677153775508134,-0.22257083710699965,-0.14550337273476982,0.9548002531624221,0.6532686437238269,-0.08503025458922786,0.4120752403470377,2.423240033927057,6.179334782608697,0.12709848287391803,0.17852448036721777,0.9475629498542114,-0.337775048290921,7.670667101449278,-0.337775048290921,6.4980150000000005,0.8679218240816173,4.280590350495729,-85.27947060634041,6.071609923664122,20.37732319114226,-0.38318425979984694,0.03436726194705955,0.397050686571042,0.5110227176062127,24.929066077361114,0.025633792072026162,15.49618320610687,-0.15626095604260443,0.15984245536247804
Result3952397,O=C(P)NP(O)c1ccccc1,30.4834,94.5829,0.1310,O=C([O-])C.[K+],CC(N(C)C)=O,"30.4834, 0.0111",0.6971767885426821,0.6819085487077534,0.1574807960088896,0.1453627869996672,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,30.4834,0.0111,0.0,3.796296296296296,-0.20365372627591016,5.84032,162.66133500053246,10.39183495931606,-1.535493827160493,7.53610464,-0.09678243105209404,1.0613484316736128,-0.040033250460409724,-0.0880893300248139,-0.04674127715602371,0.9937584239863054,0.05892556509887896,-0.04126936149494068,-0.04849180982820621,2.870967741935484,6.122683870967742,-0.09624989581063989,-0.039311607653373465,0.8273405247036888,-1.535493827160493,7.665038258064519,-1.535493827160493,6.3257714285714295,0.9996425574239274,2.8606414686678434,-20.533607681755832,6.226258064516129,0.0,-0.35502710208335325,-0.15472506629931942,0.43103949483660026,0.3756999286152669,27.438907101349646,0.02515302163461931,18.580645161290324,0.3441613932332741,0.12106058715971135
Result3952391,Cc1c([O-])ccc(P(c2ccccc2)C(C)c2ccccc2)c1C,29.7292,100.3595,0.1210,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"29.7292, 0.0695",0.5051641116163132,0.476153268219384,0.1556534312908589,0.1428941881283608,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,29.7292,0.0695,0.0,2.6398148148148146,0.12300617222242649,5.594251655629139,186.03779961039484,15.71560718731852,-0.5766872427983536,7.179408847682119,0.10902802823432413,0.7011593183810635,-0.08938578447998013,-0.09618768328445747,-0.0563670733803059,0.5695071141633601,0.3165928118194038,-0.03835719068660001,0.26462258493610696,2.4514374514374513,5.728296296296295,0.10856722402248974,-0.1030816024914373,1.188873124645645,-0.5766872427983536,7.268413975308641,-0.5766872427983536,6.083343750000001,0.7269885407270226,6.0650791189326165,-18.473639991598407,5.712990209790206,0.0,-0.8888000976261359,0.04591064422989377,0.37128061167689563,0.32924057673557094,12.990104268152233,0.024166225395753343,14.937062937062937,0.03641816721932038,3.3299617941179442
Result3952402,CC(N[CH-]n1cccn1)P(c1ccccc1)N1C=CN[CH-]1,20.6418,118.2149,0.0867,O=C([O-])C.[K+],CCCC#N,"20.6418, 0.7929",0.6971767885426821,0.6819085487077534,0.1574807960088896,0.1453627869996672,1,0.0,1.3691437802907915,0.0,20.6418,0.7929,0.0,3.541005291005291,0.015586795092911058,5.780639473684211,181.86840071858592,15.938117104251567,-0.5548968044007727,7.369601298245614,0.1476506171724859,1.0521061307261947,-0.09167439269421267,-0.16474201474201478,-0.08015061861215707,1.0974119526085582,0.2273193936125198,0.0959760908015878,0.16458114760096287,3.0347923681257014,6.186746268656718,0.1447947178943141,-0.06170578291736914,1.0981789714274688,-0.5548968044007727,7.659218447761196,-0.5548968044007727,6.463346341463415,0.9798594655132402,5.1901371301956365,-65.35101176126818,6.0927858585858585,0.0,-0.5692423822212671,0.005745608582000942,0.3492439768754379,0.3180191952028355,37.86691497615503,0.015660808070122125,16.767676767676768,0.15821935495740774,-0.25887773041878887
