Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3m,base_GATS1se,base_GATS3Z,solvent_GATS4se,solvent_SdssC,solvent_VSA_EState9,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3941158,Cc1ccc(P(c2ccccc2C(C)C)c2ccccc2N(C)C)c(C)c1,44.722,101.9967,0.1086,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"44.7215, 0.8917",0.1556534312908589,0.5051641116163132,0.1428941881283608,0.476153268219384,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,44.7215,0.8917,0.0,2.7011251758087202,0.09258560768133606,5.62130693069307,201.95052554616606,20.8135294195672,-0.6273559670781892,7.19706314851485,0.12110018420873092,1.0986592683544214,-0.04884884188678748,-0.14102870527498257,-0.08446964003235338,1.1182199802185648,0.36781656328374895,-0.04296367253928885,0.3895398268121133,2.9218346253229974,5.722,0.11921354979376635,-0.20047087105006214,1.0418940451922956,-0.6273559670781892,7.27228862745098,-0.6273559670781892,6.065542372881357,1.0520519248037485,6.384473512566526,30.21253643096261,5.757950581395346,18.99525369620486,-0.44471851701800613,0.03232743854290592,0.37815880177812433,0.3478168791331185,0.0,0.028720702105843314,16.11627906976744,-0.10435220046346637,1.820956626955255
Result3941122,CC(C)Cc1cccc2c(C(C)C)c(-c3cccc(P(C)C(C)C)c3)ncc12,35.354,107.0335,0.1164,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"35.3539, 0.2417",0.15285281509040824,0.05199823768686698,0.1243972321309733,0.06442562223749324,1.3691437802907915,0.0,0.0,1,35.3539,0.2417,0.0,2.2726168791742563,0.10664824118713047,5.554281249999999,175.37207967445096,5.304539896238907,-0.14371159770861164,7.1585138229166665,0.11636216753666426,1.0523959143581263,-0.1638033336525638,-0.15143538247719684,-0.09155458607622409,0.9965541303239404,0.3672425547266515,-0.10220230265248073,0.5393276253745588,1.8823529411764706,5.630321739130435,0.11470748260318162,0.038885447988096705,1.2402242734586655,-0.14371159770861164,7.198691513043477,-0.14371159770861164,6.024375000000001,1.0429149707085683,4.84878043344397,-118.12782466823393,5.770115508021391,6.664825604232536,-0.38867119129370303,0.036326153940763634,0.41291670809250547,0.37398883211093126,0.0,0.03148614666930061,13.62566844919786,-0.03609782725493062,2.4753034479950973
Result3941165,Cc1n[nH]c(C)c1P(COc1cccnc1)c1ccccc1OC(F)F,32.425,101.8703,0.1123,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"32.4249, 0.8114",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,1.0624999999999998,0.0,0.0,2,32.4249,0.8114,17.84699403562264,4.966329966329966,0.07931728753727349,6.304263565891475,198.4471397914096,20.082805700077913,-1.1326618795666412,7.8365115813953485,0.08612240642268804,0.6284348109862353,0.1520965281733738,-0.005070387050042528,-0.0029437577707891547,0.66829156582348,0.4579017521769983,0.006297253819809177,0.218289882106598,5.010816125860373,6.606131578947368,0.08442817601509463,-0.06796230973781596,0.8558927679799521,-1.1326618795666412,8.047375184210523,-1.1326618795666412,6.6409152173913055,0.6106560814370119,6.880994569274751,14.518314457708401,6.482799115044249,6.3479703690548295,-0.5173247233687043,0.02910474315314138,0.3372987189470273,0.584657876419256,13.847474399381248,0.023602419781126753,22.327433628318584,-0.08962795649629361,0.646776361778516
Result3941153,COc1ccc([CH-]c2ccc(P(C)C)cc2)cc1,32.162,90.6246,0.0902,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"32.1617, 0.8510",0.1556534312908589,0.5051641116163132,0.1428941881283608,0.476153268219384,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,32.1617,0.851,5.749511833283905,1.930388219544846,0.10978674112509591,5.46551612903226,145.30830067303825,10.041402850038956,-0.004259184741587818,7.122948483870968,0.13103717435847403,0.9186162428739227,0.12568284770042626,0.06820551005212212,0.0357868416940147,0.8940849649147546,0.2248892177291057,-0.18266850873391677,0.38928078146342404,1.8002812939521802,5.76888524590164,0.12999297612492736,-0.16692049116230312,0.9830125707849644,-0.004259184741587818,7.349857704918033,-0.004259184741587818,6.116554054054054,0.8974447404437699,4.194927567971611,17.213344002438653,5.543151898734177,20.439448749742606,-0.5314653858194376,0.044876003206937756,0.4268004637914376,0.31886629432902514,12.13273413692322,0.0222412063539706,10.886075949367088,-0.03880927950202042,1.9177322279850082
Result3941154,Cc1ccccc1CP(c1ccccc1)C(C)CN,31.556,98.6772,0.0798,O=C([O-])C.[K+],CCCC#N,"31.5564, 0.9152",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,1.3691437802907915,0.0,0.0,1,31.5564,0.9152,0.0,1.5329218106995883,0.17218214371836807,5.578839285714288,151.4593622486745,11.038207373401093,-0.2345679012345674,7.178687749999999,0.11250867868514926,1.359920404336162,-0.10316769257808986,-0.08879816787812404,-0.04384442554363055,1.400042519305309,0.20118446353109126,-0.09636858704701605,0.20696321937669138,1.6584022038567494,5.626236111111112,0.11238572777914195,-0.24911185216871218,1.0145673111361462,-0.2345679012345674,7.20078791666667,-0.2345679012345674,6.050511904761906,1.2826141754797837,4.06769403993129,24.953856096826538,5.542805785123967,6.544756405912575,-0.3303720402825513,0.06667432312182256,0.4189767236482572,0.3197042897054634,0.0,0.01929832681896072,11.809917355371901,-0.031181805797530444,4.677497618234474
Result3941157,c1ccc(P(CP(C2CCCCC2)C2CCCCC2)c2ccccc2)cc1,31.311,101.8673,0.1167,O=C([O-])C.[K+],CC(N(C)C)=O,"31.3114, 1.2598",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,31.3114,1.2598,0.0,1.2495446265938068,0.16314300147179678,5.4479999999999995,172.2468029340854,10.609079792477814,-0.21104728311077547,7.07869119266055,0.16305529667598628,1.3793567912351117,-0.049795445622597224,-0.01606778226007268,-0.0071508324167375336,1.386629019908116,0.23570226039551584,0.008194873649010727,0.0959915382971183,1.5830469644902634,5.544796666666666,0.16269468606943654,-0.10248320646787436,0.86521562795728,-0.0658360628201895,7.1361254749999965,0.14521122029058597,5.942296875000001,1.2776888971158595,3.277594548338275,61.76047192942292,5.497216494845361,5.902998432009833,-0.3187835443819251,0.07210653881355959,0.47475203626617474,0.3251975335123184,0.0,0.012681382385227124,15.041237113402062,-0.04086891412959138,5.161959866358694
Result3941156,PCPc1ccc(P(c2ccccn2)c2ccccn2)cc1,30.263,98.7203,0.0917,O=C([O-])C.[K+],CC(N(C)C)=O,"30.2626, 0.3271",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,30.2626,0.3271,0.0,4.066666666666666,-0.08787685389646019,5.721787234042554,219.2524361519519,21.479112591258563,-0.6919896909381038,7.293467829787235,-0.08141996745704605,0.8562585118236973,-0.1086245904627751,-0.12807881773399024,-0.06130268199233718,0.8373182596597352,0.2248892177291057,0.026978934657345757,0.19581147278485272,4.071803604370654,5.773969230769231,-0.07786237991242036,-0.06812555619365189,0.9464446223050734,-0.6919896909381038,7.319522230769232,-0.6919896909381038,6.062048780487806,0.7949975860164179,5.464030522790178,-3.747680619475483,5.9823977011494245,5.902998432009833,-0.3792448575298238,-0.057222294455465346,0.4337581280062936,0.35393278448125226,36.6591554170726,0.01322146213689916,21.597701149425287,-0.04447613205520842,-0.08325194742216355
Result3941152,c1ccc(P(c2ccccc2)C2CCCCC2)cc1,29.141,100.0316,0.0810,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"29.1409, 1.6835",0.1556534312908589,0.5051641116163132,0.1428941881283608,0.476153268219384,1.0624999999999998,0.0,0.0,2,29.1409,1.6835,0.0,1.965811965811966,0.13994260097285977,5.517704918032786,190.15493352488028,10.609079792477814,-0.1690432098765433,7.122297442622952,0.1387494294842537,1.210196266372486,-0.20539519397752626,-0.2437520285621551,-0.10831730769230768,1.216182048040455,0.17677669529663687,0.01827506103118108,0.08730712955573286,2.173076923076923,5.625093333333335,0.13789351025769697,-0.0964971993754419,1.0307644465782122,-0.1690432098765433,7.184529599999996,-0.1690432098765433,5.990678571428573,1.1306678555788856,3.7396756543850405,-24.273580246913586,5.7037211538461525,0.0,-0.3194333432789235,0.05544960458864299,0.41686196389119057,0.3238350660549346,0.0,0.011722306294206161,14.134615384615385,-0.03282031992289805,4.309369071532596
Result3941160,CC(C)c1cc(C(C)C)c(CP(c2ccccc2)C2CCCCC2)c(C(C)C)c1,28.72,99.2955,0.0787,O=C([O-])C.[Cs+],CC(N(C)C)=O,"28.7195, 0.6360",0.15437109729761034,0.056742661225519415,0.1265444360281399,0.07445192098979814,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,28.7195,0.636,0.0,1.4094650205761317,0.11824759540649209,5.491823076923077,170.7114778408593,5.304539896238907,-0.15713771310993496,7.105221376923077,0.11529871580122827,1.3076866549088775,-0.13547076994793225,-0.23319935797076669,-0.12473786066150604,1.311455134766291,0.25335988512861485,-0.0063592854271879995,0.42934966573580463,1.4889846743295019,5.559303703703705,0.11364233059681897,-0.20946769985034194,1.2983187054969234,-0.15713771310993496,7.14456602962963,-0.15713771310993496,5.9560208333333335,1.2581475960439819,3.623694159894047,-52.72246913580244,5.589250000000001,0.0,-0.3484435299228715,0.03916515538657131,0.4341826287705593,0.32606024703900915,0.0,0.02732054169873708,13.426724137931034,-0.0028345554992209422,3.052427925260986
Result3941163,Cc1ccccc1C(O)(c1cccnc1)P(C)c1c(C)cccc1C,22.916,94.6858,0.0894,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"22.9162, 0.8191",0.1556534312908589,0.5051641116163132,0.1428941881283608,0.476153268219384,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,22.9162,0.8191,5.3421392155256004,3.0714285714285716,0.1367267114471614,5.642933673469387,187.6174195475275,5.304539896238907,-0.916028806584362,7.272020918367346,0.09866452275671081,0.9632820570711491,0.06921331082787165,-0.1012125424776027,-0.06576075229698468,0.9516403633303305,0.3513975098618565,-0.06642283958317581,0.36695201471658906,2.7309236947791162,5.794697674418606,0.09890162866967078,-0.08651279183486879,1.231803728348657,-0.916028806584362,7.33609453488372,-0.916028806584362,6.160392156862744,0.9467847142760909,6.072373164950299,-18.559345128830067,5.920246987951807,6.664825604232536,-0.3751744705556372,0.049531100107488193,0.3792100107831949,0.3640602242876245,30.33183534230805,0.028558560228545707,15.759036144578314,-0.042493513211013294,3.464943589184757
