Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3946975,Cn1cc[n+](C2CC[NH2+]C2)c1,1.1069,-460.9496846025346,-1.277165142549758,0.38502546994709774,153.1099,148.0177,95.0631,164.4180,0.6257662177085876,1.1069,0.1136
Result3946977,Cc1ccc2ccc3ncsc3c2n1,1.0736,-104.38127664727273,-1.1716091395235781,0.7622091300566407,134.5853,149.8187,126.3282,93.1593,0.9976701736450195,1.0736,0.0908
Result3946971,Oc1c(Cl)noc1CC1CC[NH2+]C1,1.0662,97.29975075286438,-0.7205743589743588,-0.44054064247609176,145.7699,123.8561,61.9270,71.3539,0.41776448488235474,1.0662,0.086
Result3946967,c1cnc([NH+](c2nccc3[nH]ncc23)C2CCCC2)cn1,1.0616,-144.69763923519906,-0.6958834280492333,-0.05443532152430773,132.5409,130.0581,110.7539,78.3670,0.9274638891220093,1.0616,0.0842
Result3946976,Cc1cnc2c(c1)C(=O)NCC2,1.0484,-488.46074195949905,-1.634159779614325,0.41526607958001305,145.9693,160.4107,158.8761,77.8903,0.9739874601364136,1.0484,0.0826
Result3946970,O=COc1cncc(NCc2cccnc2)c1,1.0168,379.8123084297062,0.28698979591836715,-0.1195294671990806,131.3462,140.5632,66.7656,139.8699,3.3870925903320312,1.0168,0.1042
Result3946973,CC(=O)Oc1ccnc2c3c(sc12)CCCC3,1.0135,-791.8681879221165,-2.4074074074074074,-0.20653711026849556,145.4547,161.7392,68.9525,8.5131,0.8204457759857178,1.0135,0.0665
Result3946972,c1cncc(-c2cccnc2)c1,0.99871,62.803017999298795,0.009999999999999707,0.2821371183717165,141.3396,69.4400,27.7595,85.8937,0.99996018409729,0.9987,0.0584
Result3946968,C1CCC([NH2+]C2C[NH+]=C(C3CCOC3)N2)C1,0.9761,-370.96790392693214,-0.4949751103597258,0.03597515209391049,151.2479,81.7728,98.9668,22.3669,0.7493290901184082,0.9761,0.0608
Result3946965,COc1c(C)ncc2c1CC1OC(C)OC21,0.97346,-874.8071258886099,-1.2820264279503375,-0.2726020088971812,147.4102,68.5315,109.3630,114.2452,0.5295974016189575,0.9735,0.0767
