Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS1se,base_GATS2pe,base_GATS3Z,solvent_VSA_EState9,solvent_SdssC,solvent_NsCH3,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3941452,c1ccc(N2C(P(c3ccccc3)c3ccccc3)=NC3CCCCC32c2ccccc2)cc1,29.84,97.5891,0.1144,O=C([O-])C.[K+],CCCC#N,"29.8403, 1.3266",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,0.0,0.0,1,1.3691437802907915,29.8403,1.3266,5.576708190299181,4.090006207324643,0.08822714988907653,5.754033333333333,226.90523705771898,15.508989523328292,-0.7981090954900478,7.291491524999997,0.1191994158352913,0.9005891251308034,-0.11964673345819432,-0.204986498649865,-0.11475938523557568,0.924222512902507,0.8554142545463082,-0.0034275579963198854,0.20836501171279556,4.064444444444445,5.913239830508473,0.11807354349617954,-0.06828248559634521,1.217570105635859,-0.7981090954900478,7.393422033898301,-0.7981090954900478,6.17325,0.8615640276086626,8.697836873193438,-52.80200566737896,6.023332499999998,4.899909730850478,-0.40845525399827187,0.029394215837742765,0.3489307304164276,0.3612771303330366,0.0,0.01627167371253597,20.265,-0.013981932835876953,2.8606893371525093
Result3941455,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,29.261,99.5995,0.0650,O=C([O-])C(C)(C)C.[K+],CCCC#N,"29.2608, 0.1463",0.5051641116163132,0.1428941881283608,0.1556534312908589,0.476153268219384,0.0,0.0,1,1.3691437802907915,29.2608,0.1463,0.0,2.6726084373143197,0.06475138807405836,5.641063492063492,206.11345541025725,20.40889925417877,-0.5366941714957589,7.230853166666663,0.12348833640270102,1.070642765404754,-0.16491221759188157,-0.2643642365544518,-0.1681505094629642,1.1088382074259657,0.2730017401615745,-0.16343062771078748,0.3993942999550288,2.395375070501974,5.796738738738741,0.1210883774079186,-0.24114902962599957,1.1586970328410864,-0.5366941714957589,7.343419333333332,-0.5366941714957589,6.116414062500001,1.0267407788868,6.824937879897916,-165.02991996505696,5.902693908629443,37.99050739240972,-0.4473493463156663,0.021817983638467164,0.37034128918769277,0.3637590457997152,0.0,0.03303382557137713,17.121827411167512,-0.19169531581693347,0.4982783811377241
Result3941458,CC(C)c1cc(C(C)(C)C)cc(CP(c2ccccc2)C2CCCCC2)c1OC(C)c1ccccc1,29.169,109.5099,0.1045,O=C([O-])C.[Cs+],CCCC#N,"29.1693, 0.0079",0.056742661225519415,0.1265444360281399,0.15437109729761034,0.07445192098979814,0.0,0.0,1,1.3691437802907915,29.1693,0.0079,11.853478221032208,1.8196649029982364,0.09473936800744395,5.64478853046595,177.92313770221855,10.041402850038956,-0.3055724340490651,7.22964205734767,0.11036722499165533,0.9940589089713803,-0.1506026294809721,-0.1495535714285715,-0.08534195571232613,0.9366113643674929,0.3151969081612325,-0.10037935648466999,0.40997552800813236,2.084215167548501,5.6896493506493515,0.10873447337550486,-0.000800684995509421,1.2237030055582376,-0.3055724340490651,7.254240506493506,-0.3055724340490651,6.045625,0.9972528098796999,5.9674055500832,-71.41155650392048,5.745224206349206,0.0,-0.5183863162526896,0.030323630011318093,0.39844732199677074,0.3678426940191409,0.0,0.028389209825425612,14.242063492063492,-0.0431944236584805,2.678544465162398
Result3941462,c1ccc(PC2=NCNC2P(c2ccccc2)c2ccccc2)cc1,29.04,103.9975,0.0948,O=C([O-])C.[K+],CCCC#N,"29.0399, 1.0715",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,0.0,0.0,1,1.3691437802907915,29.0399,1.0715,0.0,3.674217907227616,0.06025552130310513,5.769431818181819,219.01387345764738,21.23040829272305,-0.522466248845217,7.333812575757578,0.051772785349233415,1.0156218656762117,-0.1728587682495644,-0.20599298577165592,-0.09908008303288536,1.0336863251712616,0.36481237884323736,-0.06366871174660749,0.02631273921792996,3.811209439528023,5.876775949367089,0.05386658749560519,0.06082824720248101,0.8614948537138423,-0.522466248845217,7.389614075949362,-0.522466248845217,6.145083333333335,0.9501611441515095,6.8107791002639,-17.902222222222225,5.983367256637168,6.6686911888991425,-0.38762463042602113,0.0292209629873334,0.38639380310214116,0.3432747065786798,0.0,0.013695892976045294,21.079646017699115,-0.04276486357887988,3.2388109594827674
Result3941460,C1=NC(P(Cc2nnnn2C2CCCCC2)c2ccccc2)C(Pc2ccccc2)N1,29.008,102.1825,0.0895,O=C([O-])C.[K+],CC(N(C)C)=O,"29.0084, 0.9967",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,3.4490740740740735,0.09259259259259278,3,1.4760842589662049,29.0084,0.9967,0.0,2.777087646652864,0.07476530789882144,5.997862275449101,186.92873305127546,15.925868396484145,-0.5970101883345931,7.5412369580838305,0.08044679537952132,0.684762372267279,-0.00787423475555227,0.014844080608209671,0.007351679106163019,0.6432202825143745,0.5660912809396622,-0.06103516975627268,0.27419020265399957,3.691823899371069,5.9612589285714295,0.0809975966976012,0.059702989736114515,1.0711473962752545,-0.5970101883345931,7.467207624999996,-0.5970101883345931,6.3067825396825405,0.6888652789221219,6.47265911339651,17.039643780522834,6.079567295597483,0.0,-0.37663410424253685,0.03156722907154227,0.39240105166164846,0.3566299834961868,6.338535362521884,0.014905510619753093,19.144654088050313,-0.00036752163583746514,2.1097858724087777
Result3941453,S=CPc1cccc(P(c2ccccc2)c2ccccc2)c1,28.676,103.9006,0.1204,O=C([O-])C.[K+],CC(N(C)C)=O,"28.6756, 1.4734",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,3.4490740740740735,0.09259259259259278,3,1.4760842589662049,28.6756,1.4734,0.0,3.47119341563786,0.019171062429343293,5.577317647058822,238.2557821067234,21.21815958495563,-0.5163771310993535,7.174794127450981,0.012876358453589844,1.1235238703758317,-0.10348669349602285,-0.1991297005910241,-0.09542780665442434,0.9243904341870794,0.2248892177291057,-0.05200856108658425,-0.012530603459872463,3.583021223470662,5.69248253968254,0.01635962816416211,-0.08165112478654224,1.0375185046038111,-0.5163771310993535,7.242700174603176,-0.5163771310993535,6.0128625,0.9754582619972901,6.088931216622627,-9.296193700625837,5.829561797752808,0.0,-0.3245075921828745,0.011185586876777925,0.4157636572838597,0.3387415050446657,5.108571300058151,0.01322146213689916,21.584269662921347,-0.038416868780388386,2.679201759055424
Result3941454,CC(C)c1ccc(P(c2c(C(C)C)cc(-c3ccccc3)cc2C(C)C)C2CC2)cc1,28.471,100.2641,0.1067,O=C([O-])C.[K+],CCCC#N,"28.4715, 0.3318",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,0.0,0.0,1,1.3691437802907915,28.4715,0.3318,0.0,2.3856893542757414,0.11830347079741112,5.571983870967743,194.21078732359152,10.609079792477814,-0.31819495768128925,7.154182161290322,0.11602334674858303,1.178918703382451,-0.21618574213155126,-0.3175802646835392,-0.19086409073433297,1.1828078222865737,0.7452981521197132,0.05906097796932636,0.42423170170137753,2.1013374485596708,5.608984126984127,0.1147151568118188,-0.22438468748751877,1.2386907605761455,-0.31819495768128925,7.173700222222221,-0.31819495768128925,5.998605633802817,1.12891406251125,5.513453531449592,-88.44320560468198,5.693611111111109,0.0,-0.3457703968715576,0.0398419941611275,0.3941062471041002,0.34454466557597396,0.0,0.028875240698999508,15.055555555555555,-0.005792099244551466,3.6565114411279294
Result3941451,CCOC(Oc1nccc(C)c1P(C)CC)c1ccccc1,27.376,90.0927,0.0921,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"27.3764, 1.4919",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,0.0,0.0,2,1.0624999999999998,27.3764,1.4919,0.0,3.125786163522013,0.06610631285639464,5.807729508196719,167.96606040413138,10.041402850038956,-0.2669107866054512,7.411862442622954,0.12803313935630597,0.8588137627681147,-0.05121586125605405,-0.10844318895166362,-0.05534907564640674,0.8789354366117902,0.21436317934124427,-0.11961694111133526,0.43574462069670794,2.3267419962335216,5.975543209876541,0.126345251275572,0.1538121215338258,1.3991970329828602,-0.2669107866054512,7.55161024691358,-0.2669107866054512,6.234478723404256,0.8396275576963897,4.586736138107537,-117.43527270181332,6.185119491525425,19.433617596213374,-0.4751114426097591,0.024230183426387008,0.4192493362319242,0.41547910969531654,37.255572541998674,0.0189990820262051,15.44915254237288,0.07994950415565659,-0.1574194085119186
Result3941464,[c-]1ccccc1CP(C1CCCCC1)C1CCCCC1,27.249,103.2648,0.0862,O=C([O-])C.[K+],CC(N(C)C)=O,"27.2491, 2.2561",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,3.4490740740740735,0.09259259259259278,3,1.4760842589662049,27.2491,2.2561,0.0,1.0176245210727968,0.147076524622655,5.441883870967741,149.65820655443724,0.0,0.19547839506172882,7.076848825806452,0.1451330742362375,1.3425025332391687,-0.08142821130024744,-0.06206896551724138,-0.02586206896551724,1.3475891706059304,0.19001991384646116,-0.030758444296085558,0.20156584460602947,1.2804597701149427,5.545030927835052,0.14390807558997754,-0.09416924813927344,0.8143266104316392,0.19547839506172882,7.137047113402062,0.19547839506172882,5.94762,1.2737764950794854,1.5369659092471561,19.253107853223597,5.489189655172413,0.0,-0.4711053993927638,0.05453224733822244,0.46613200050337084,0.23956560081618813,0.0,0.011978028599776147,11.055172413793104,0.07318333513171449,4.3436940326830475
Result3941456,CC(N)P(Oc1ccccc1)OP(=O)(c1ccc(O)cc1)C(C)C,26.874,92.5926,0.1145,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"26.8742, 0.9608",0.5051641116163132,0.1428941881283608,0.1556534312908589,0.476153268219384,3.4490740740740735,0.09259259259259278,3,1.4760842589662049,26.8742,0.9608,11.49902366656781,2.969082125603865,-0.0671534232198873,6.089432835820898,208.055414712632,15.56195453511291,-1.5954913601242973,7.682505298507464,0.2571405358561422,1.183076314148014,-0.20007385054421042,-0.32667950005579727,-0.20585688731447258,1.0997200311764563,0.19716878364870322,-0.09748231203150248,0.0025289134645727373,3.2729234088457386,6.103219753086418,0.24873931516197104,-0.05550624134917727,1.7163471929231762,-1.5954913601242973,7.661217271604937,-1.5954913601242973,6.309695833333335,1.104965700796859,5.0973327389529,-25.757803374522865,6.20792427184466,0.0,-0.48006135226021235,-0.032464856897680576,0.4254427941282627,0.4150899591737486,44.179309741689295,0.031707942047248555,23.194174757281555,0.16982918211731043,2.978575538577447
