Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS1se,base_GATS3Z,base_GATS3m,solvent_GATS4se,solvent_SdssC,solvent_NsCH3,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3938524,C(=Cc1ccccc1)CP(c1ccccc1)c1ccccc1,49.161,119.5363,0.1312,O=C([O-])C.[K+],CCCC#N,"49.1608, 3.3079",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,1.3691437802907915,0.0,1,0.0,49.1608,3.3079,0.0,2.3617283950617285,0.11943223852228131,5.494224489795917,190.35685043240713,10.609079792477814,-0.333937442260855,7.106663428571428,0.11818181818181822,1.0827060388572907,-0.01792586410934893,-0.010827567616138022,-0.004624743336339738,1.0887949260042282,0.19001991384646116,-0.05697218963328572,0.04587728974613232,2.5412186379928317,5.7087536231884055,0.1173219146500727,0.07846958891539904,1.0644599593150816,-0.333937442260855,7.232388782608697,-0.333937442260855,6.044093023255814,1.0038411911072573,6.179774779682285,-2.7414384441947384,5.683306451612902,6.161910027467921,-0.3193688603011403,0.04611521064013633,0.3771929854379697,0.3312699056561701,0.0,0.010889116908887407,15.096774193548388,-0.045741359805397494,3.416502811354901
Result3938522,CC(=S)[N-]c1ccc2c(c1)C=C(c1ccccc1C(C)C)C2P(c1ccccc1)C(C)C,49.083,115.5332,0.0859,O=C([O-])C.[Cs+],CC(N(C)C)=O,"49.0832, 2.3126",0.15437109729761034,0.1265444360281399,0.07445192098979814,0.056742661225519415,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,49.0832,2.3126,0.0,3.0224791265253694,0.08459892426546119,5.560966808510636,206.28208707472243,5.304539896238907,-0.44811558093744996,7.160051608510635,0.07789707083673707,0.9644473558925244,-0.09020709373955624,-0.13162244331663064,-0.08164637325410548,0.8582848603660643,0.666433434932172,0.023680077158952966,0.39993205104005347,2.7123212321232124,5.712433043478263,0.07978937694758653,-0.08664105786078408,1.0875392058397024,-0.44811558093744996,7.25960932173913,-0.44811558093744996,6.08059090909091,0.931216357509322,6.752443400038128,-63.14109969547948,5.7839455445544585,0.0,-0.6922968788670674,0.03223395151755532,0.37769939860143725,0.3452583593403494,6.923737199690624,0.027972889427155662,17.138613861386137,0.11934270232278467,2.7510940807950477
Result3938530,[C-3]C([C-3])P(Oc1ccccc1[N-]C(C)(C)C)N1N=CC(C)([O-])C1(C)C,42.334,94.8369,0.0988,O=C([O-])C.[K+],CCCC#N,"42.3341, 0.8944",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,1.3691437802907915,0.0,1,0.0,42.3341,0.8944,14.048760826187387,3.271604938271605,-0.10397666759647269,6.01388984375,193.07341308812656,9.630274556552523,-1.7925098156546564,7.585833171874999,0.17352156591027204,0.8375084696497095,-0.12597347458111371,-0.10400335108611095,-0.08516059485018496,0.8106267194730556,0.7710495425223178,-0.019226638588645695,0.3370811736126472,4.562091503267974,6.071391111111112,0.16568709396751974,-0.2531533476862785,0.8863859046381601,-1.7925098156546564,7.590119088888889,-1.7925098156546564,6.324986,0.7974784136037649,3.6175269118459585,45.691322031458064,6.0799512605042025,0.0,-2.562172573863955,-0.03637338020430636,0.3541515681038701,0.3338299692665072,38.9703128044567,0.04944965461717222,18.07563025210084,5.055991348129402,-1.9458085399230116
Result3938523,C1CCC(PCP(C2CCCCC2)C2CCCCC2)CC1,42.206,92.3122,0.1066,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"42.2056, 8.2549",0.1556534312908589,0.1428941881283608,0.476153268219384,0.5051641116163132,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,42.2056,8.2549,0.0,0.4939613526570048,0.11640306417960991,5.306406779661017,134.91083498237194,0.0,0.39049487696313123,6.995483898305086,0.11799012411584141,1.5914797298469736,-0.06465282222478383,0.0015374478365912452,0.0005943473323356738,1.5972881355932207,0.19001991384646116,-0.03490234325346425,-0.005627045900923861,0.6309067688378033,5.465063333333331,0.11858311539063018,-0.07778702978248671,1.0061552994961749,0.39049487696313123,7.0898356416666655,0.39049487696313123,5.866703389830509,1.5048371622806564,-0.8214531135534671,18.728224068944282,5.33398563218391,5.902998432009833,-0.2529014748478086,0.05254360165291321,0.5597413893426486,0.24578243563900964,0.0,0.011407646285501092,11.494252873563218,-0.02157286816644178,4.416915527488666
Result3938529,CC(C)P(C([NH-])OC(C)(C)O)C(C)(C)C,40.275,90.4942,0.1477,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"40.2745, 1.7172",0.1556534312908589,0.1428941881283608,0.476153268219384,0.5051641116163132,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,40.2745,1.7172,0.0,0.9913867355727821,0.1443212367374756,5.30317073170732,110.90201909247202,0.0,-0.6018081275720162,7.043053691056912,0.10363989472042794,1.0404495034375498,0.27186700979934675,-0.07025436437201142,-0.047026515151515146,1.0089467641794336,0.0,-0.2858913104334926,0.3081115573145877,0.5227272727272727,5.780377777777776,0.10271991442933588,-0.5686322321130545,1.077461717947226,-0.6018081275720162,7.424899472222224,-0.6018081275720162,6.144230769230771,1.0484017718807517,0.5023539190460777,-111.22493827160488,5.907094696969695,0.0,-0.8113957412233206,0.05293593186649632,0.48545331165976735,0.30684093194219625,0.0,0.06433461816570674,8.356060606060606,0.46998781157948666,-0.48134444550060623
Result3938527,CCCP(Cc1ccccc1)c1ccccc1,38.881,111.5814,0.0911,O=C([O-])C.[K+],CC(N(C)C)=O,"38.8807, 1.9001",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,38.8807,1.9001,0.0,1.4404761904761907,0.1368792358048977,5.463244444444444,170.04798787415615,5.304539896238907,-0.032150205761316775,7.0891112,0.13518653360174754,1.2651804577850638,-0.07342863667423763,-0.16591571693612508,-0.06900352733686066,1.2717793936068047,0.1310943487475822,-0.032369709965524365,0.19911206799840553,1.7103174603174605,5.567746031746032,0.13403937063674753,-0.10142535571759313,0.9740130707409701,-0.032150205761316775,7.148999111111112,-0.032150205761316775,5.969756756756757,1.1763938780764212,3.706002149573826,-8.091449474165529,5.59995238095238,6.161910027467921,-0.31640980460257245,0.05642570850914439,0.4416785758987057,0.31780518279543596,0.0,0.011060906741539533,12.916666666666666,-0.035074941367628405,3.274902059586433
Result3938532,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,38.136,105.3533,0.1031,O=C([O-])C.[K+],CC(N(C)C)=O,"38.1359, 6.4129",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,38.1359,6.4129,0.0,0.7212475633528265,0.1604411701162514,5.35942857142857,142.7534304683886,0.0,0.3848456790123461,7.029104,0.1582952815829528,1.5139684722540552,-0.14308807159910514,-0.17547043652688896,-0.07027902468883902,1.5186049526772982,0.17677669529663687,-0.02170773126268103,0.005252015608518247,0.7586206896551724,5.50762162162162,0.1569594127514907,-0.05278359096964088,1.1674628839575534,0.3848456790123461,7.116083675675675,0.3848456790123461,5.906083333333333,1.4488873443043222,-0.4142135623730958,-11.749726057418371,5.497603448275862,0.0,-0.25977629464886576,0.05676701024819956,0.5130133214527443,0.2469374324919789,0.0,0.011722306294206161,9.931034482758621,-0.017483203233440284,4.653052482560114
Result3938526,CC(C)P(CCP(C(C)C)C(C)C)Cc1ccccc1CP(C(C)C)C(C)C,35.971,100.1916,0.0666,O=C([O-])C.[K+],CCCCOC(C)=O,"35.9709, 2.4484",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,1.0555555555555556,-0.18199074074074065,2,0.0,35.9709,2.4484,0.0,0.6446280991735537,0.1791774445516527,5.242851851851851,127.01859573411195,0.0,0.0634900690839546,6.9566917333333365,0.1780426719081889,1.7960849719101133,0.1152341634758399,0.07415752351097184,0.037124904214559405,1.8043872371283545,0.11785113019775792,-0.16196679521515164,0.2601178316605973,0.6317156236696467,5.344510638297875,0.17701251907049773,-0.2481325972895629,1.2690689199482168,0.30704450273403827,7.01716065248227,0.17000064176295782,5.8330400000000004,1.6670894296669003,0.6135763163910681,31.62103703703706,5.3472606896551715,12.323820054935842,-0.32755952309341946,0.08628333742933338,0.5884170100243536,0.3125097030669993,0.0,0.03431159095592616,10.817241379310344,0.012553991271689473,2.8482225355408293
Result3938525,Cc1cc(P(c2ccco2)c2cccs2)on1,30.108,91.3272,0.0868,O=C([O-])C.[K+],CC(N(C)C)=O,"30.1082, 1.1617",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,30.1082,1.1617,5.501335823416354,6.8599033816425115,0.11105537307931783,6.132339622641508,256.6820114911737,15.62090724507592,-0.728395061728395,7.704419132075472,0.07994681702347683,0.6608699249124725,-0.2865637329043696,-0.4642857142857142,-0.2522045855379188,0.6977635753511505,0.3390588916056911,0.06834212161167486,0.21045528917171796,6.244897959183674,6.173030434782609,0.08554130343021771,-0.0301681520312014,0.9548717727334093,-0.728395061728395,7.743996891304351,-0.728395061728395,6.519296551724141,0.6372297722106688,4.403201578349843,-18.076851428474654,6.685587755102039,0.0,-0.5321131973210146,0.058205213027283445,0.38790030540995535,0.39715468149397376,31.18920547353706,0.019345704086621552,30.632653061224488,-0.06586733360014548,2.3511688990036883
Result3938528,CC(C)Oc1ccc(P(C)C=CC2COC(C(C)(C)C)=N2)cc1C(C)[NH3+],28.22,99.1761,0.0717,O=C([O-])C.[K+],CCCC#N,"28.2203, 5.2011",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,1.3691437802907915,0.0,1,0.0,28.2203,5.2011,24.440075456092746,1.351962741184298,0.09951139257604986,5.5252500000000015,164.91091024834742,15.775070327201142,-0.39661023977492205,7.1760042380952385,0.10706153795611409,1.0338637375755106,-0.10155134723549544,-0.27480729827300227,-0.16915915915915916,1.022006204233226,0.40404886962648995,-0.16481339311919369,0.5032725392392641,1.1824324324324325,5.872126126126129,0.10596768267065519,0.014319691943789598,1.4869756992194112,-0.39661023977492205,7.449523333333334,-0.39661023977492205,6.223180327868853,1.0152400655309988,3.912761582153731,-131.42562414266118,5.808697972972972,13.271707568745454,-0.5233796251125666,0.03279030673962405,0.4208338615607058,0.7087372172636258,0.0,0.03891567677937677,14.52027027027027,0.4264957633374097,1.4880194832526372
