Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS2pe,base_GATS3Z,base_GATS1se,solvent_VSA_EState9,solvent_NsCH3,solvent_GATS4se,solvent_SdssC,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3942282,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccccc2)c2ccccc2C(C)C)c(C(C)C)c1,70.947,110.0689,0.1429,O=C([O-])C.[K+],CCCC#N,"70.9473, 2.7585",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,1,1.3691437802907915,0.0,70.9473,2.7585,0.0,2.7825670498084296,0.10457595932004252,5.63188643533123,213.18870960717095,15.913619688716722,-0.7270722345865646,7.18880283280757,0.10206632621124735,1.15169836540635,-0.2113501321976752,-0.30638716543180133,-0.18340144230769234,1.1551129047368007,0.3796757146486711,0.06177284544245672,0.4476119146763708,2.752564102564103,5.638163265306123,0.1006722793716408,-0.1864186457068253,1.2036199007075778,-0.7270722345865646,7.1905462857142854,-0.7270722345865646,6.006939759036145,1.108329387491329,7.483841737384086,-88.10324074074069,5.774221153846153,0.0,-0.35026368922381423,0.033886009687306776,0.38140121377318836,0.3540941805258104,0.0,0.0285656352491205,16.95,-0.022186477493657847,3.066517586485518
Result3942285,CC(C)C(C)(C(C)C)P(c1ccccc1)c1ccccc1N,66.783,103.7048,0.0962,O=C([O-])C.[K+],CCCC#N,"66.7829, 1.1224",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,1,1.3691437802907915,0.0,66.7829,1.1224,0.0,1.8486707566462166,0.15789841070223196,5.536825688073396,158.7207458685877,16.34274726964,-0.5210905349794237,7.157904220183485,0.10766649001943127,1.3685915178645311,-0.17450894276778048,-0.17322834645669294,-0.10560000000000003,1.4032661877027457,0.19037142086468112,-0.030978719434854952,0.3285698292692624,1.505,5.603777777777778,0.10703161159699455,-0.07854670389960426,0.9101930193254482,-0.5210905349794237,7.179727755555555,-0.5210905349794237,6.025274509803921,1.30089061374969,3.9877225525026407,-34.996543209876556,5.627770000000001,5.733667477162185,-0.3174256069071429,0.05712384863091461,0.40982267530457983,0.3397602639236742,12.13273413692322,0.03183834776295795,11.62,0.028643512999374766,3.948768159222199
Result3942288,CC1=CC(C)=C(c2c(-c3ccccc3)ccc(C(C)(C)C)c2P(c2ccccc2)c2ccccc2C)C[N-]1,58.224,106.4023,0.1092,O=C([O-])C.[K+],CCCC#N,"58.2244, 4.6069",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,1,1.3691437802907915,0.0,58.2244,4.6069,0.0,3.4510101010101013,0.09747793876813048,5.726055172413795,225.08832388493443,15.913619688716722,-0.8307019505333,7.251542724137931,0.10483916438780973,0.9518807340091274,-0.05042925091190318,-0.07502135692239859,-0.04780027434842248,0.9219548209309543,0.5486662821601492,-0.020742387218458787,0.3760165260312993,3.8802011888431642,5.745536764705883,0.10361517048822705,-0.26758047185241385,0.9152087984918834,-0.8307019505333,7.267770470588233,-0.8307019505333,6.081265822784811,0.933224178812406,8.926508320696364,56.193277366255145,5.817150617283952,6.544756405912575,-0.7210605552652427,0.03169164302560483,0.35108488562185625,0.3563820891630171,0.0,0.02871512635025569,18.88888888888889,0.03010601058646622,3.0407371984101226
Result3942290,CC(Nc1ccccc1P(C(C)C)C(C)C)c1cccc(C#N)c1,57.721,98.0809,0.0576,O=C([O-])C(C)(C)C.[K+],CCCC#N,"57.7212, 0.5140",0.5051641116163132,0.1556534312908589,0.476153268219384,0.1428941881283608,0.0,1,1.3691437802907915,0.0,57.7212,0.514,0.0,2.037825059101655,0.12269233959936018,5.480360109289618,162.9084348649096,10.621328500245237,-0.21821441985573387,7.140252174863388,0.10643002517626683,1.0168462466886297,0.0315236538757908,-0.08940995907230558,-0.05039407920030757,0.9781015060480774,0.21407617506269555,-0.12872348858556404,0.3779391147771396,1.5798611111111112,5.669703296703297,0.10530785859591478,0.08477019199396925,1.1942882272152917,-0.21821441985573387,7.235207076923076,-0.21821441985573387,6.078942307692307,1.0063654579621215,4.76910493264482,-58.88278962032647,5.7452718749999985,5.316788604006331,-0.3983537135120071,0.04363214805034247,0.40225758475424733,0.3672982959335087,18.19910120538483,0.027143923099874356,12.80625,0.0011151905053798318,2.3366418095465793
Result3942284,CC(C)c1cc(C(C)(C)C)ccc1[SiH-]c1ccccc1P(C(C)(C)C)C(C)(C)C,55.241,90.6397,0.1170,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"55.2415, 1.0187",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,2,1.0624999999999998,0.0,55.2415,1.0187,0.0,1.1519543258673695,0.05443960635234184,5.202361204013379,180.71894083247065,15.677991187613824,-0.28372290342748885,6.8942509498327755,0.0879832922467808,1.466334125122838,-0.03358251650486948,-0.08683686628136829,-0.06049813020832482,1.5141535999855238,0.2284550109017245,-0.19454354876779617,0.444516872805371,1.1418732782369148,5.477803030303033,0.0883756071703567,-0.15350845786917364,1.2841972722977537,-0.28372290342748885,7.079375363636364,-0.28372290342748885,5.877722222222222,1.3890258929263466,3.6483779545475237,-86.7619960766162,5.588727272727276,0.0,-0.5395340919487663,0.03253876564904894,0.4423740331208695,0.29842088995358357,0.0,0.050557515971212656,13.516528925619834,0.23485915611942004,2.47247275399689
Result3942295,CCC(c1ccccc1)c1ccc(-c2nc(C(C)(C)C)ccc2CP(C)C)cc1,50.06,110.7262,0.1067,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"50.0599, 1.0249",0.5051641116163132,0.1556534312908589,0.476153268219384,0.1428941881283608,0.0,2,1.0555555555555556,-0.18199074074074065,50.0599,1.0249,0.0,1.8583765112262522,0.10326794993396403,5.514146739130436,182.57514244255117,0.0,-0.010527360371181516,7.135174228260868,0.11275980934152219,1.0393050960113686,-0.05573416001472746,-0.14855169340463453,-0.08892890489529141,0.9875713058321203,0.27656753333419326,-0.23423191025883208,0.5389884631896676,1.9503267973856209,5.644834782608697,0.11110759856996485,-0.1717013331172273,1.2648776476296828,-0.010527360371181516,7.205632226086954,-0.010527360371181516,6.03173076923077,1.0278562645021547,5.160300954031628,-94.69616689840085,5.737829411764706,13.329651208465071,-0.3884133864949477,0.035065697095532346,0.4199410196153344,0.35228506064909804,0.0,0.030385172374101023,14.270588235294118,-0.04182084843301594,2.3658503460882954
Result3942286,CC(=Cc1ccccc1)C(c1ccccn1)P(c1ccccc1)C(c1ccccc1)c1ccccn1,45.566,113.1826,0.1228,O=C([O-])C.[K+],CCCC#N,"45.5656, 1.8128",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,1,1.3691437802907915,0.0,45.5656,1.8128,0.0,3.7875816993464055,0.08662544928890513,5.791701568627452,236.01146337184377,5.304539896238907,-0.8403674834131183,7.313634086274509,0.10315835023120301,0.8435342373930221,-0.0771197008237288,-0.16284135430676566,-0.08070764400434731,0.8318551568970732,0.3078710440442191,-0.0055638113002727885,0.15572767781486693,4.47108843537415,5.856566371681415,0.10204761321705466,-0.04533478041351528,0.945444035785689,-0.8403674834131183,7.346973309734514,-0.8403674834131183,6.15991304347826,0.8221362170759012,10.245080585514245,19.85716706844912,5.98090306122449,0.0,-0.3818057000827052,0.028492864888609883,0.34312692477636425,0.3606560788928386,24.52642128014937,0.014848624285660552,20.5765306122449,-0.11715348551641339,2.44868255434524
Result3942287,CN(C)c1ccccc1P(c1ccccc1O)C(C)(C)[O-],45.174,90.9718,0.0587,O=C([O-])C.[K+],CC(N(C)C)=O,"45.1743, 2.7866",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,3.4490740740740735,3,1.4760842589662049,0.09259259259259278,45.1743,2.7866,5.749511833283905,3.6131313131313134,0.12941876215280723,5.925431506849315,195.58727057552284,20.615516918169,-1.2132201646090535,7.5272703287671225,0.09902505542620195,0.8408860137130318,-0.2085121492013169,-0.36543057643415805,-0.247142107531718,0.8084347260024426,0.22767090063073975,-0.11829757807409629,0.26577383691886153,3.487603305785124,5.922109589041094,0.09951561048929569,-0.14610852406511293,0.9500377463292962,-1.2132201646090535,7.473615479452055,-1.2132201646090535,6.240848837209303,0.8334000130046365,4.862052822346922,-25.310545617423923,6.114596694214876,18.99525369620486,-0.8623800366508383,0.04896602926349223,0.3726265791424341,0.36617931663015807,55.39345610697452,0.03646799008034701,17.545454545454547,-0.024877972246727872,1.9892204518480339
Result3942294,[c-]1cccc(P(c2ccccc2)c2ccccc2)c1,43.185,109.3264,0.0900,O=C([O-])C.[K+],CC(N(C)C)=O,"43.1847, 1.5244",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,3.4490740740740735,3,1.4760842589662049,0.09259259259259278,43.1847,1.5244,0.0,3.9565217391304346,0.11894024339065112,5.617209302325582,238.4800926186825,15.913619688716722,-0.47723765432098775,7.179948279069768,0.11882362543189053,1.050326139109461,-0.1794984685063611,-0.30229419703103916,-0.13712886440159167,1.0575289575289575,0.17677669529663687,-0.028965194150269713,-0.007775149692234585,4.333333333333333,5.748181818181818,0.118518113489421,-0.09018099116877616,0.9759127997437954,-0.47723765432098775,7.256030399999999,-0.47723765432098775,6.066814285714285,0.9558226282905692,5.721885917273355,-8.746862565044383,5.895402777777777,0.0,-0.45724142489397784,0.0486787859011099,0.3616306238164926,0.31953730373951694,6.06636706846161,0.011722306294206161,18.52777777777778,0.033693207826138515,3.6058299627409247
Result3942292,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,38.394,99.7546,0.1166,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"38.3944, 2.6097",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,2,1.0624999999999998,0.0,38.3944,2.6097,0.0,0.7212475633528265,0.1604411701162514,5.35942857142857,142.7534304683886,0.0,0.3848456790123461,7.029104,0.1582952815829528,1.5139684722540552,-0.14308807159910514,-0.17547043652688896,-0.07027902468883902,1.5186049526772982,0.17677669529663687,-0.02170773126268103,0.005252015608518247,0.7586206896551724,5.50762162162162,0.1569594127514907,-0.05278359096964088,1.1674628839575534,0.3848456790123461,7.116083675675675,0.3848456790123461,5.906083333333333,1.4488873443043222,-0.4142135623730958,-11.749726057418371,5.497603448275862,0.0,-0.25977629464886576,0.05676701024819956,0.5130133214527443,0.2469374324919789,0.0,0.011722306294206161,9.931034482758621,-0.017483203233440284,4.653052482560114
