Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3Z,base_GATS3m,base_GATS1se,solvent_NsCH3,solvent_SdssC,solvent_VSA_EState9,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3952672,COc1nn(CP(C)C2CCCC2)c(C)c1CN=C(C)C,57.1988,97.5707,0.1528,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"57.1988, 0.4469",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,2,0.0,0.0,1.0624999999999998,57.1988,0.4469,0.0,1.7633587786259541,0.06485543674468258,5.765463865546219,136.96212326888343,4.736862953800049,0.009132046508590008,7.370833983193277,0.14642241379310347,0.8232069770564424,-0.05921705862271471,-0.07312612102331731,-0.03910618050559742,0.8192759916520136,0.5536909758730909,-0.17248208605008367,0.5098610405016097,1.5033670033670032,5.845615053763442,0.14370186423048473,0.0636152263735967,1.1004164127958644,0.009132046508590008,7.433076021505378,0.009132046508590008,6.218132000000001,0.8275133199778357,2.6640743219235397,-32.635424540186435,5.793406060606061,13.77462314551007,-0.510749175400269,0.022408837636531523,0.44775541301328536,0.40956935850201986,13.847474399381248,0.02676846461523546,12.128787878787879,-0.125644089245241,-1.1404861041875123
Result3952883,COc1ncccc1NC(C)(CCCP(C)C)C1CCCC(C)C1,56.0223,111.5765,0.0787,O=C([O-])C(C)(C)C.[Cs+],CCCCOC(C)=O,"56.0223, 1.7254",0.15285281509040824,0.06442562223749324,0.05199823768686698,0.1243972321309733,2,-0.18199074074074065,0.0,1.0555555555555556,56.0223,1.7254,0.0,1.2061111111111111,0.08700045327110364,5.5686490384615395,138.69974532432798,10.05365155780638,0.1868391288271143,7.227781336538461,0.12490059207795318,1.0107322921856516,0.007096120300642798,-0.06429404440638437,-0.033282926751021145,0.9811665129730793,0.2428511301977579,-0.13198779494140878,0.4672332916099989,1.1393119007332206,5.738584070796459,0.12286117086731425,-0.023896028878607565,1.014868240518974,0.1868391288271143,7.32673842477876,0.1868391288271143,6.112891666666668,1.0100626190465383,2.2360414477551593,-27.133851844758688,5.639873604060913,31.91814738121686,-0.5108835154200371,0.02877857866637949,0.47136227006951364,0.40896684835105335,6.06636706846161,0.026821087930342075,11.147208121827411,-0.07740557518235029,0.6372505968138527
Result3952674,COC1C(C)C(C)(P(C)C)OC1(C)PC,54.7019,97.3636,0.1065,O=C([O-])C(C)(C)C.[K+],CCCC#N,"54.7019, 0.7870",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,1,0.0,0.0,1.3691437802907915,54.7019,0.787,5.3421392155256004,0.40954237445465513,0.06935567111015307,5.1747272727272735,109.23835042512883,0.0,-0.11728137860082266,6.965265575757577,0.10599236267502203,0.9552624980053346,-0.05120775017928689,-0.10704727921498666,-0.07474307069448773,0.9180773868085016,0.7577887879718213,-0.08889732983610367,0.5450084634549913,0.13157894736842105,5.726324324324324,0.10684760226174593,0.08961515546020081,1.7855648507144344,-0.11728137860082266,7.408355729729729,-0.11728137860082266,6.048038461538463,0.9500214807389373,-0.10899508505775124,-46.874863028709186,5.455743421052632,27.104274353975143,-0.4169255452035703,0.03744216541222896,0.6096223119523675,0.33190646788731115,7.109797541277533,0.045712132871311005,9.026315789473685,-0.062322124003805,-0.6049024565049604
Result3952673,CC(NC(Nc1ccccc1-n1cncn1)P(C)C)c1ccno1,54.584,104.8245,0.1147,O=C([O-])C.[Cs+],CCCCOC(C)=O,"54.5840, 1.4145",0.15437109729761034,0.07445192098979814,0.056742661225519415,0.1265444360281399,2,-0.18199074074074065,0.0,1.0555555555555556,54.584,1.4145,12.654640149529083,2.9626436781609193,0.08784247156681685,5.86627580645161,171.0266325225535,10.633577208012662,-0.2954245926765764,7.442067080645164,0.12371547985241862,0.784858982671971,-0.14574675328050438,-0.12289153054872082,-0.06712001619105443,0.7944931903853591,0.3563350734949079,-0.182245228281816,0.4425041438857063,2.5992714025500914,6.21410253164557,0.1224944405101034,-0.012639208514472531,1.0437414175077286,-0.2954245926765764,7.703548860759492,-0.2954245926765764,6.547568085106384,0.7611654859263105,5.373649258111784,-40.563682365493065,5.998889344262298,18.646439812471403,-0.4641565418748167,0.03028842116134299,0.3842533601723328,0.39047778891112966,30.33183534230805,0.021847771534677245,17.39344262295082,-0.02980435135905897,-0.19427255624501116
Result3952667,COC1([O-])CC(Oc2ccncc2C(C)(C)CP(C(C)C)C2CCCCC2)C1OC(C)C,53.9537,117.7957,0.0585,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"53.9537, 4.2243",0.15285281509040824,0.06442562223749324,0.05199823768686698,0.1243972321309733,2,0.0,0.0,1.0624999999999998,53.9537,4.2243,17.957444608780513,1.9658119658119657,0.049425587989174805,5.724534722222223,153.81833510565394,9.843390348640755,-0.08848017066937408,7.363593291666667,0.11807151072090255,0.789702327545806,-0.1444451971393401,-0.12452175192636979,-0.07756874999999996,0.7905322487889674,0.9694769442264151,-0.028861697182196406,0.39255922130635734,1.5381944444444444,5.929493150684932,0.1162322665333464,-0.017059037021285944,0.9066610812484734,-0.08848017066937408,7.516198917808219,-0.08848017066937408,6.207097402597403,0.7922502113183416,3.122682713741936,-107.73145459533609,5.845135546875,13.271707568745455,-0.8409975139991885,0.01528365334222118,0.41178837689513054,0.3828336443089904,26.110685039455934,0.03443371954645727,12.984375,-0.07045946899924961,0.3446037880499853
Result3952660,CC1=C(N)N(C)C(P(c2ccccc2)c2ccccc2)N1C,53.3462,105.0840,0.1046,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"53.3462, 1.6271",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,2,-0.18199074074074065,0.0,1.0555555555555556,53.3462,1.6271,11.727838112718839,2.731864095500459,0.1116487065393331,5.684540540540541,175.07507950579495,16.34274726964,-0.5537654320987655,7.263455243243243,0.12280968634423212,1.152098005156525,-0.08323611678665757,-0.079388633328387,-0.0480596478620194,1.2192695323165295,0.6936661444122955,-0.08772970227493035,0.28678983436397876,2.7971014492753623,5.958489743589743,0.12227024585566262,-0.1772293258210096,1.1515705749515377,-0.5537654320987655,7.473630820512818,-0.5537654320987655,6.252793478260871,1.0836858640361515,5.409730194844054,53.33113967962451,5.815282608695651,14.09534396535438,-0.4172999866887667,0.04094550978051816,0.3680965983906784,0.3572972837013975,0.0,0.025597848049657923,14.434782608695652,0.09147885276184027,2.1235995504355047
Result3952865,CC(N=CC(P(C1CCCCC1)C1(N)NC2(CCCCC2)C(=O)N1C)C(C)(C)C)N1CCOCC1,47.3283,95.7993,0.0847,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"47.3283, 1.3754",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,3,0.09259259259259278,3.4490740740740735,1.4760842589662049,47.3283,1.3754,5.538925252383345,1.6677454153182305,0.062336860430390995,5.801428176795583,152.55912828245147,11.050456081168516,-0.7991183640808857,7.402321209944751,0.11755183003900238,0.9312215325713777,-0.10273837599382578,-0.10885398187726329,-0.06815991889449675,0.9048485928908687,0.9360055145650498,-0.088985572408089,0.349156190285798,1.7278839348903043,5.9375502890173415,0.11623687358545558,-0.008076014833063284,1.138357708025454,-0.7991183640808857,7.488873861271677,-0.7991183640808857,6.234409090909089,0.9248187470627477,3.013998689984641,-97.23683198769704,5.932891719745224,33.35094872352818,-0.4143657390774715,0.017977217555390924,0.4095948624277998,0.3882061624773666,11.947581713527669,0.033555016512438904,13.662420382165605,0.2252700291039072,0.9395446533441497
Result3952668,CC(c1ccnc(CC(N)OC2CCCC2)c1-c1cccnc1)P(CO)C1CCCC1,47.1526,96.2092,0.0871,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"47.1526, 0.8383",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,2,0.0,0.0,1.0624999999999998,47.1526,0.8383,6.22790117073487,2.652777777777778,0.12963575029900828,5.715529752066116,170.43790349066376,5.733667477162185,-0.5024404547654406,7.338587595041322,0.09986280399745827,0.9644760127554143,-0.012123740236000859,-0.07343942758450528,-0.037889444037806704,0.9675456153209797,0.3515691602934132,-0.009033344809516656,0.25879839920901576,2.4867724867724865,5.902376923076922,0.10021453589368066,0.037545151234652886,1.0261665287599873,-0.5024404547654406,7.453262876923076,-0.5024404547654406,6.249442857142856,0.9500671008232422,4.566872597481753,-22.75553135373437,5.958129523809524,6.3479703690548295,-0.3996982026858505,0.04150645913517148,0.396879158063165,0.362736504421617,18.460054211687762,0.019005756992808865,15.123809523809523,0.009849250516230243,3.542792564230817
Result3952882,CCP(CC1(C)CC(NC)(OC)OC1(C)NCC(C)(C)C(O)(O)C(C)C)C1CC1,46.3768,92.5515,0.0601,O=C([O-])C.[Cs+],CC1=CC=C(C)C=C1,"46.3768, 4.6217",0.15437109729761034,0.07445192098979814,0.056742661225519415,0.1265444360281399,2,0.0,0.0,1.0624999999999998,46.3768,4.6217,5.724985593970254,1.1083333333333334,0.09537444258080163,5.6642847896440145,123.7345244400282,10.633577208012662,-0.049657611244086075,7.32718210355987,0.09291677053039747,1.0211119721830144,-0.027342172021733207,0.001493002869034897,0.001089761224896363,1.0155743816564304,1.003762270710569,-0.24286526841652123,0.45565556987446587,1.0216450216450215,5.9755985915492955,0.09257870646384614,-0.050731504613379275,1.5603185139229339,-0.049657611244086075,7.557751718309859,-0.049657611244086075,6.2594400000000014,1.0154366305792857,1.6377349702006576,-2.986310634959289,5.652450324675327,33.02604598480314,-0.38838886714671517,0.028254978966864356,0.42915145250189446,0.3535284485841559,34.74262078143968,0.047352087424521974,10.142857142857142,0.5104569570437624,1.0170521214333283
Result3952671,CCP(CCN)C(N)N,46.1996,116.2115,0.1142,O=C([O-])C.[K+],CCCCOC(C)=O,"46.1996, 0.8772",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,2,-0.18199074074074065,0.0,1.0555555555555556,46.1996,0.8772,0.0,0.6140350877192983,0.31897524300943203,5.337200000000001,75.81746182720606,17.201002431486554,-0.18698559670781845,7.1176319999999995,0.09712190119493498,1.658140050733128,0.19533996476747226,0.05952710176991153,0.02152500000000001,1.64970882846757,0.0,-0.19508715151452893,-0.15738341028544883,0.328125,5.584149999999998,0.09950904586611134,0.16984285701406773,1.2170202490283555,-0.18698559670781845,7.247918,-0.18698559670781845,6.218437499999999,1.6390599232541518,0.30929785079186445,-6.329106172839501,5.602956250000002,18.868576460848416,-0.21867530231020632,0.13947932677191024,0.6192481254574485,0.2640921966138096,0.0,0.02171883859552093,5.6875,0.1396824267677938,5.191028343051374
