Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3Z,base_GATS3m,base_GATS2pe,base_GATS1se,solvent_NsCH3,solvent_GATS4se,solvent_VSA_EState9,solvent_SdssC,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3950258,C1=NN(c2ccccc2)C(c2ccccc2)C12NC(P(c1ccccc1)c1ccccc1)=NC2c1ccccc1,29.838,99.8560,0.1470,O=C([O-])C.[K+],CC(N(C)C)=O,"29.8384, 1.3315",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,3,1.4760842589662049,3.4490740740740735,0.09259259259259278,29.8384,1.3315,23.19931510097845,5.148345153664303,0.09289441800259261,5.942331967213114,234.43603008264935,20.934780920438676,-0.9088763612440864,7.446694483606556,0.1054063328653875,0.8125391212109404,-0.034653892934408556,-0.10397601239508206,-0.05848514202773154,0.8263692819207391,1.118139719924457,-0.08951064029239145,0.12970607176356957,5.1597567716970705,6.0596824,0.10446670128145642,0.01948199443675825,1.0713106944762585,-0.9088763612440864,7.502211327999998,-0.9088763612440864,6.288194666666666,0.7850808073453869,11.549224857283358,-45.40606937540352,6.203548258706468,5.008912523954532,-0.385047263142254,0.02933506696564603,0.324588372393046,0.39117011615816255,6.06636706846161,0.01707367780423769,21.885572139303484,-0.1668433835235409,2.813630673033622
Result3950268,Cc1cc(C)c(P(c2ccccc2)c2ccccc2-c2ccccc2N(C)C)c(C)c1,29.259,102.8950,0.0742,O=C([O-])C.[K+],CC(N(C)C)=O,"29.2587, 0.1448",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,3,1.4760842589662049,3.4490740740740735,0.09259259259259278,29.2587,0.1448,0.0,3.2632996632996636,0.09017429877537908,5.56189316239316,221.06640846063198,20.8135294195672,-0.6946317292349038,7.15467941025641,0.11516114535182316,1.0342460546647898,-0.008804295353932763,-0.1295964125560538,-0.07766729373824238,1.0664625792446092,0.45011733645040014,-0.04204597921449191,0.3498109659750527,3.3041894353369763,5.776611111111111,0.11358901927477494,-0.16061380419936977,1.1120708829694155,-0.6946317292349038,7.30219374074074,-0.6946317292349038,6.099679687500001,0.9827972981856435,8.35758612760551,-54.56668690548473,5.883853005464482,18.99525369620486,-0.4448497212768243,0.0308222695910554,0.3558994072876814,0.35724800853140265,0.0,0.025450945541494633,18.005464480874316,-0.12006612289209825,2.303693564458497
Result3950271,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,29.17,108.7150,0.1141,O=C([O-])C.[Cs+],CC(N(C)C)=O,"29.1696, 0.0078",0.07445192098979814,0.056742661225519415,0.15437109729761034,0.1265444360281399,3,1.4760842589662049,3.4490740740740735,0.09259259259259278,29.1696,0.0078,0.0,1.8080808080808082,0.11731533900492506,5.55798275862069,188.35671779556262,5.304539896238907,-0.11994260495693476,7.1460188908046005,0.1146578436191909,1.2917702038526977,-0.22231418080258047,-0.30012679724625324,-0.16171732782379036,1.294989453996901,0.34237623488261243,0.046406144027325055,0.44261876669151384,1.7267373380447588,5.572630303030304,0.11317953522332112,-0.1816056662228054,1.330761222797097,-0.11994260495693476,7.152842933333332,-0.11994260495693476,5.961959302325582,1.2497381189516856,3.5471629113672627,-121.49602246558752,5.688835689045936,0.0,-0.35057205560808136,0.037199130005987444,0.4301401275697142,0.3412050848262929,0.0,0.02583222674304045,14.537102473498233,-0.010862680971915839,3.4973288549655974
Result3950262,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,29.168,104.0979,0.1011,O=C([O-])C.[Cs+],CCCC#N,"29.1678, 0.0081",0.07445192098979814,0.056742661225519415,0.15437109729761034,0.1265444360281399,1,1.3691437802907915,0.0,0.0,29.1678,0.0081,0.0,1.8080808080808082,0.11731533900492506,5.55798275862069,188.35671779556262,5.304539896238907,-0.11994260495693476,7.1460188908046005,0.1146578436191909,1.2917702038526977,-0.22231418080258047,-0.30012679724625324,-0.16171732782379036,1.294989453996901,0.34237623488261243,0.046406144027325055,0.44261876669151384,1.7267373380447588,5.572630303030304,0.11317953522332112,-0.1816056662228054,1.330761222797097,-0.11994260495693476,7.152842933333332,-0.11994260495693476,5.961959302325582,1.2497381189516856,3.5471629113672627,-121.49602246558752,5.688835689045936,0.0,-0.35057205560808136,0.037199130005987444,0.4301401275697142,0.3412050848262929,0.0,0.02583222674304045,14.537102473498233,-0.010862680971915839,3.4973288549655974
Result3950263,[CH2-]Cc1ccc(C(C)(C)c2ccc(C(C)C)cc2CP(c2ccccc2)c2ccccc2)nc1,29.166,103.6775,0.0575,O=C([O-])C.[Cs+],CCCCOC(C)=O,"29.1663, 0.0016",0.07445192098979814,0.056742661225519415,0.15437109729761034,0.1265444360281399,2,1.0555555555555556,0.0,-0.18199074074074065,29.1663,0.0016,0.0,2.317222222222222,0.09845904136822092,5.5109875,179.17345590881564,10.609079792477814,-0.5275548435599342,7.126412875,0.10664682539682542,0.9803897393769889,0.10255534511051032,0.057106508027522956,0.03377692220237443,0.943733103927504,0.3398602853336803,-0.1062930062790073,0.32918112501363817,2.4434250764525993,5.719298387096774,0.1052517426912512,-0.08891885011898955,1.19141811298845,-0.5275548435599342,7.2505767903225795,-0.5275548435599342,6.065104166666667,0.9631048832422678,7.623972269444668,13.381134267362658,5.681520642201835,0.0,-0.7799206593033027,0.03269173829981478,0.36728703596076445,0.3468761362053733,6.196843571613076,0.02535289068607046,14.362385321100918,0.04330520870093535,2.711883538854226
Result3950269,Cc1cc(C)c(P(c2ccccc2)c2ccccc2-c2ccc(N(C)C)cc2N(C)C)c(C)c1,29.164,109.5871,0.1376,O=C([O-])C(C)(C)C.[K+],CCCC#N,"29.1644, 0.1237",0.476153268219384,0.5051641116163132,0.1556534312908589,0.1428941881283608,1,1.3691437802907915,0.0,0.0,29.1644,0.1237,0.0,3.1105383734249714,0.06576967259689998,5.648763565891473,209.11899610657952,25.713439150417678,-0.7251589692804419,7.227892364341086,0.11677634375690796,1.0310590926360663,-0.007367872429523451,-0.13772206699915124,-0.08545074268336333,1.0779798649157126,0.4717434217832204,-0.04193190059197815,0.40090605554440384,3.097026604068858,5.825512195121951,0.11468410221733463,-0.22606402650754887,1.0386953055874912,-0.7251589692804419,7.354053073170732,-0.7251589692804419,6.134520833333333,0.9834804046381206,8.935246236485405,-55.35174683189805,5.860563849765259,37.99050739240972,-0.44739018793307556,0.021611894809739136,0.3548458767311898,0.3653739006713492,0.0,0.028954378210177142,17.15962441314554,-0.18101372618853614,1.1627566440520332
Result3950256,C(=CP(c1ccccc1)c1ccccc1)Pc1ccccc1,29.063,103.3943,0.0698,O=C([O-])C.[K+],CC(N(C)C)=O,"29.0627, 0.3540",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,3,1.4760842589662049,3.4490740740740735,0.09259259259259278,29.0627,0.354,0.0,2.41005291005291,0.04828084260353837,5.444568181818183,207.57563663790674,15.913619688716722,-0.42074299781641056,7.076584,0.05188343994314138,1.1445749425068685,-0.05845779085919482,-0.02064397942647784,-0.008825301204819277,1.1531279178338,0.19001991384646114,-0.04749567442781309,-0.01400881245417599,2.622489959839357,5.678242424242425,0.05360391464886251,0.02422055486767757,1.067106429247667,-0.42074299781641056,7.214820000000002,-0.42074299781641056,5.991857142857143,1.0288823731961558,6.15190202579885,-13.764444444444443,5.675463855421685,0.0,-0.318093476171506,0.025108397537234373,0.4082352916845003,0.33242719006734395,0.0,0.010889116908887487,19.14457831325301,-0.04780984319022793,3.0784697736151028
Result3950272,c1ccc(PCPCP(c2ccccc2)c2ccccc2)cc1,28.891,117.8398,0.0800,O=C([O-])C.[K+],CCCC#N,"28.8911, 0.1659",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,1,1.3691437802907915,0.0,0.0,28.8911,0.1659,0.0,1.584985659059733,0.012729394227503764,5.386560747663551,189.81518671826302,15.913619688716722,-0.21459444957681284,7.043704803738317,0.018246182235863388,1.2604472361653765,-0.08390564328114376,-0.11033962625549186,-0.04622181657706814,1.2701251214077587,0.19001991384646116,-0.038489768278736736,0.10309252485584504,1.5900755124056094,5.5476426666666665,0.02102220147227809,0.025787790456153887,1.0624855587129807,-0.21459444957681284,7.134758853333333,-0.21459444957681284,5.92092391304348,1.1231443273202364,5.172139875293266,-24.56619222528315,5.531048543689319,11.805996864019667,-0.318646027424617,0.007932015154922964,0.47817421629834933,0.32827213502956415,0.0,0.010415677043283606,18.679611650485437,-0.04273969250820065,3.0218096296954875
Result3950257,CC(C)c1ccc(C(C2=CC(P(C(C)C)C(C)C)=C([O-])NC2C(C)C)c2ccccc2)cc1,28.732,97.8426,0.1530,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"28.7321, 0.4105",0.06442562223749324,0.05199823768686698,0.15285281509040824,0.1243972321309733,3,1.4760842589662049,3.4490740740740735,0.09259259259259278,28.7321,0.4105,0.0,2.3834048640915597,0.10999744163655784,5.6897403508771935,172.54763701750275,10.423315998847038,-0.5492359433258505,7.329178287719296,0.09737339568202152,0.8981669342363361,0.11408100674928645,0.013093868884366982,0.007874015748031496,0.7677835817434275,0.30693121038430976,-0.1247529729513189,0.40020804248326364,2.1342957130358706,5.685855072463769,0.09632518781676723,-0.11666858829950363,1.1647229397952508,-0.5492359433258505,7.2483296521739105,-0.5492359433258505,6.06171052631579,0.9225052301293577,4.910085969164909,-64.77790403015632,5.815381889763781,0.0,-0.8755454517336541,0.03552289081467044,0.39721666684043555,0.33994721200137595,0.0,0.03212863338468183,14.031496062992126,0.2853943789700079,2.5932961461053026
Result3950270,C[CH-]c1ccc(OP(C)OCC)c([N-]C)c1,28.149,92.5474,0.0951,O=C([O-])C.[K+],CCCC#N,"28.1486, 1.5615",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,1,1.3691437802907915,0.0,0.0,28.1486,1.5615,0.0,2.8777777777777778,-0.18289350927359982,5.734275362318841,150.86790702336245,4.5237471617118175,-0.8629730935584106,7.381359797101449,0.2361729179910998,1.0927485134533341,-0.12269163594791688,-0.22055984555984554,-0.10684559992518472,1.0749513793934204,0.14433756729740643,0.1942740988564234,0.305420255260583,1.96996996996997,6.040842105263158,0.22470561238751216,-0.1067110385219663,1.251678306076148,-0.8629730935584106,7.628733122807018,-0.8629730935584106,6.270652941176471,1.0165028391761275,3.066689239403611,-42.77530009825281,5.97344054054054,20.319379551422642,-0.7345725139697263,-0.07438012650172998,0.4210873918707424,0.32170158635488055,45.132222831924615,0.01837343763223285,14.175675675675675,0.16588248050165577,-3.5369628441841963
