Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS1se,base_GATS3m,base_GATS3Z,solvent_SdssC,solvent_GATS4se,solvent_NsCH3,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3941209,Cc1ccccc1P(c1ccccc1)C(C)(O)c1cccc(C)c1O,53.191,92.0301,0.0910,O=C([O-])C.[K+],CC(N(C)C)=O,"53.1907, 2.4776",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.09259259259259278,1.4760842589662049,3,3.4490740740740735,53.1907,2.4776,11.091651048809506,3.4427480916030535,0.17623565429604304,5.777255813953489,195.55447752654214,10.609079792477814,-1.1242901234567897,7.37716311627907,0.07680268306316376,1.005545949407621,-0.16712219152304048,-0.17952673769837968,-0.11773650202354674,0.9891681869951849,0.360474875224624,-0.10050493285023847,0.22777963922004804,3.147167034584253,5.8333734939759045,0.07863029856072715,0.04495634983985487,1.1915076700696017,-1.1242901234567897,7.367231686746988,-1.1242901234567897,6.20597,0.9906508206781507,6.304659085755329,-58.548203875171474,6.024331125827814,0.0,-0.32699718164479263,0.06468906666383888,0.3589527993636535,0.3762655939306471,62.37841094707413,0.02986624304658985,16.841059602649008,0.015307884991874948,5.091629201639847
Result3941196,[c-]1ccccc1P(CP(c1ccccc1)c1ccccc1)c1ccccc1,45.916,105.5490,0.1112,O=C([O-])C.[K+],CCCC#N,"45.9163, 2.6754",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.3691437802907915,1,0.0,45.9163,2.6754,0.0,2.8208208208208205,0.13204024190033245,5.58687323943662,225.32862038174287,21.21815958495563,-0.4642332241538587,7.159047154929578,0.13354587318455544,1.1686661823882643,-0.018377913781823928,-0.03321328531412565,-0.015438988095238096,1.1775599128540308,0.23570226039551584,-0.015202736149798765,0.03410002604721422,3.566137566137566,5.6696536585365855,0.13401934560679088,-0.10555646174959875,1.0671528420090723,-0.8929108927521621,7.207978353658536,-0.42867766859830336,6.026999999999999,1.0466071075596,7.445677803958865,64.66576646090535,5.694238095238095,5.902998432009833,-0.46617631546909094,0.06242327197759408,0.40277265995872025,0.33004980252199634,6.06636706846161,0.012681382385227058,20.80952380952381,0.045174915330913785,4.345889284978826
Result3941205,Cc1ccc(P(c2ccc(N(C)C)cc2)c2ccc(C)cc2C#N)cc1,44.545,105.3435,0.1421,O=C([O-])C.[K+],CCCC#N,"44.5454, 0.7047",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.3691437802907915,1,0.0,44.5454,0.7047,0.0,3.073212747631352,0.09179508630661111,5.680306451612903,198.96132552988186,20.8135294195672,-0.7700614134542707,7.247446096774193,0.1130676857693512,0.8732222529356616,-0.0718583339717255,-0.005003873966942144,-0.003026082882132442,0.8538507194687489,0.3831085148731051,-0.10603749482462473,0.3084520455042701,3.4678819444444446,5.812105882352941,0.1117658640189444,-0.16406883975618797,0.8855739763861009,-0.7700614134542707,7.335919341176471,-0.7700614134542707,6.144,0.8522736949672147,7.111598824548392,15.5097053182573,5.7877546875,18.99525369620486,-0.445296237860467,0.032844705888153074,0.35660250885907524,0.372922756692384,27.08544823350661,0.02622351006658301,16.640625,-0.09628693204615689,1.6966183965902084
Result3941201,Cc1cc(-n2cccn2)ccc1CP(c1ccccc1)C(C)C,44.406,100.8812,0.0846,O=C([O-])C.[K+],CCCC#N,"44.4059, 0.4539",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.3691437802907915,1,0.0,44.4059,0.4539,0.0,2.1559290382819793,0.10576125716233493,5.586214173228347,164.80321366591625,5.304539896238907,-0.1843128283549358,7.185284740157477,0.13303259304955778,0.8179304069833139,-0.11808173217433704,-0.12831343700651804,-0.07016004093409327,0.747247921311765,0.3322143095390022,-0.04074681103390153,0.37187925485827433,1.8813700918964078,5.780231707317071,0.13109193488310916,-0.21503500357689745,0.9781748198722491,-0.1843128283549358,7.317051243902439,-0.1843128283549358,6.152627083333335,0.8264184355627915,5.327420667826407,-10.549884478050823,5.63428947368421,0.0,-0.4204482224538887,0.038794359449336895,0.38630972030643884,0.35451144738718976,23.141857146832947,0.022797674644880604,12.842105263157896,-0.041411660756903404,1.7935205881589642
Result3941207,[c-]1ccccc1P(Cc1cccc2cccnc12)c1ccccc1,40.729,105.9762,0.0887,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"40.7293, 1.7779",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.0624999999999998,2,0.0,40.7293,1.7779,0.0,3.4361702127659575,0.10468279922789978,5.6547238095238095,217.7760866958103,10.609079792477814,-0.4959231964390691,7.214332933333332,0.11287189265028595,0.8677623222148554,0.025888942267753613,-0.04060529321217539,-0.01985577098180141,0.8487339131429591,0.3692267850265122,-0.06353866551423065,0.14451586002719424,3.989795918367347,5.844126760563381,0.11240113581545526,-0.016997314903565524,1.1854163063261254,-0.4959231964390691,7.333228647887323,-0.4959231964390691,6.151875000000001,0.8250643829963982,7.008379962828651,14.653836267359956,5.819867346938773,0.0,-0.4661913654896373,0.03904133296136065,0.3520817157175365,0.369417453232415,24.395944776997908,0.014266555183380514,18.418367346938776,0.03555308403321563,3.048399604755051
Result3941208,[c-]1ccccc1CP(c1[c-]cccc1)c1ccccc1,40.394,101.2344,0.1114,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"40.3938, 4.8591",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.0624999999999998,2,0.0,40.3938,4.8591,0.0,3.461187214611872,0.1175746262072464,5.649530864197531,217.96462982185437,10.609079792477814,-0.413966049382716,7.197286123456789,0.11713575002096206,1.048171361920417,-0.056416938410957816,-0.09759358288770052,-0.043339517625231916,1.0550935550935554,0.19001991384646116,-0.04576915005858722,0.10797543017562304,4.281385281385281,5.71871186440678,0.11667309646325688,-0.15301678386877174,0.9602974302442105,-0.413966049382716,7.237504033898306,-0.413966049382716,6.066243243243244,0.9578587239758461,5.705049164867749,46.47118165784832,5.7530714285714275,0.0,-0.4711196152858724,0.047176723463476,0.36797830553866023,0.3103683648445764,24.26546827384644,0.011978028599776147,17.558441558441558,0.020356575422177746,3.4744820848092313
Result3941197,Cc1ccc(-c2ccccc2)cc1CP(Cc1ccccc1)C(C)C,39.22,104.0288,0.0594,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"39.2198, 0.3917",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.0624999999999998,2,0.0,39.2198,0.3917,0.0,1.630401234567901,0.12046757499470467,5.569883211678832,163.16768032407626,0.0,-0.06971276233401436,7.152307854014598,0.11827956989247307,1.1643620450340921,-0.19898217119640751,-0.07710663683818046,-0.03977949644573289,1.1693121693121697,0.2865319629899475,-0.15191450357967626,0.33332144588707086,1.7017151379567486,5.612903225806452,0.11697173950629884,-0.09376389666856517,0.956039162342608,-0.06971276233401436,7.174641806451613,-0.06971276233401436,6.00525,1.1002702044170967,5.417596653340599,6.50414566440207,5.511704697986576,0.0,-0.33948126965768044,0.04372462505006199,0.40159895043210425,0.3362161262283907,0.0,0.02164733076951453,12.986577181208053,-0.029991757207421244,3.305617751929438
Result3941203,PC(P)(S)Pc1ccc(P(c2ccccc2)c2ccccn2)cc1,38.993,102.0239,0.0888,O=C([O-])C.[K+],CCCC#N,"38.9931, 1.0566",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.3691437802907915,1,0.0,38.9931,1.0566,0.0,3.178451178451178,-0.19635407910223732,5.56842477876106,231.5453363563169,21.348636088107096,-0.6290172797514066,7.1894427610619465,-0.20304734341991176,0.9209119613721265,-0.1407962563318474,-0.11611287114123632,-0.06957980596240661,0.8956457044568723,0.2248892177291057,-0.23994141094917107,0.14429059415516457,3.505920886873268,5.675608450704226,-0.19851178153021945,0.09746242165712835,0.9569417558137313,-0.6290172797514066,7.260482366197184,-0.6290172797514066,5.953566666666668,0.8315111133500727,5.134106679859995,-19.987353858275096,5.895608163265305,0.0,-0.3768185793171229,-0.15403504247544045,0.43914861577805603,0.34737140816977063,12.263210640074686,0.02685106490021061,23.6734693877551,0.06437963089022804,-1.786580497335572
Result3941200,CP(c1ccccc1)c1ccccc1,32.649,98.9338,0.0778,O=C([O-])C.[Cs+],CCCC#N,"32.6489, 2.1772",0.15437109729761034,0.1265444360281399,0.056742661225519415,0.07445192098979814,0.0,1.3691437802907915,1,0.0,32.6489,2.1772,0.0,1.773809523809524,0.13847459782615712,5.4088,156.28560830695412,10.609079792477814,-0.17078189300411517,7.057559680000002,0.13851265014055703,1.220554821118731,-0.01811765140842562,-0.030401958783921653,-0.014095832742065184,1.2286866359447002,0.11785113019775792,-0.08991436526654267,0.1443185452437587,1.7586206896551724,5.6103555555555555,0.13821461091294607,0.09309427412193925,1.1123758220232267,-0.17078189300411517,7.173270488888891,-0.17078189300411517,5.989767857142859,1.1093597060238567,3.684834099518648,5.103659672475402,5.554931034482758,6.664825604232536,-0.3198763830423775,0.06347687883889293,0.43364325186971103,0.32198088712438,0.0,0.014943104618667867,11.137931034482758,-0.022508689634045023,3.7382964632858524
Result3941204,c1ccc(P(CP(c2ccccc2)C2CCCCC2)C2CCCCC2)cc1,30.834,103.2048,0.1229,O=C([O-])C.[K+],CC(N(C)C)=O,"30.8343, 2.6571",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.09259259259259278,1.4760842589662049,3,3.4490740740740735,30.8343,2.6571,0.0,1.2179487179487178,0.16314300147179675,5.468170616113744,175.2186567973097,10.609079792477814,-0.03291803141009475,7.090641857819905,0.16305529667598628,1.3793567912351117,-0.07758864849316086,-0.03025044495296208,-0.01346270810053889,1.386629019908116,0.23570226039551584,0.008194873649010746,0.09599153829711823,1.5847953216374269,5.544796666666664,0.16269468606943654,-0.12464666246550814,0.9622201328298393,-0.06583606282018906,7.136125474999998,-0.032918031410094306,5.942296875000001,1.2776888971158595,3.4812572781822357,35.51631879124489,5.511052631578947,5.902998432009833,-0.3149246748364724,0.07210653881355958,0.47475203626617457,0.3208773835409091,0.0,0.012681382385227124,15.336842105263157,-0.03739256295048928,5.161959866358695
