Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3947075,c1ccc(-c2ccc3ccccc3n2)nc1,1.5329,-59.21499095936096,-0.5354307980949633,-0.030414567996900902,169.0399,96.1657,159.0618,155.5309,0.9777325987815857,1.5329,0.0648
Result3947079,Cc1ccc2c(Br)cc3[nH]c(=S)[nH]c3c2n1,1.5207,-165.9354521297915,-4.741023035230351,0.236571810978433,173.4822,81.2558,98.7515,156.5447,0.8936516642570496,1.5207,0.0648
Result3947082,CC1COc2c(-c3cnccn3)nc([N+](=O)[O-])nc21,1.4936,-458.52988604829545,-0.44096209912536416,-0.09472444622697741,173.1337,83.2073,83.7602,139.4961,0.7125627994537354,1.4936,0.0685
Result3947081,NC(=Nc1cc(Oc2cccc(F)c2)cc(C(=[NH2+])[O-])n1)N[N+](=O)[O-],1.4764,-220.73648989744447,-1.1364318630678079,-0.04258035478069722,149.1740,160.5201,122.6179,2.7799,0.9300519227981567,1.4764,0.0877
Result3947078,Cc1cc(-c2cccc([NH+]=C=[NH2+])c2)nc(C)n1,1.4748,-923.9256065881063,-1.9962539021852235,-0.4273674196526988,175.0941,132.6339,112.9904,93.7386,0.5909125208854675,1.4748,0.0695
Result3947084,CCC1=CC(C=C2N=C(c3ccc(Cl)cc3)OC23CCCNCC3)N=N1,1.4358,862.5280791336456,0.7916666666666666,-0.0685019762727919,175.5145,158.1427,115.2810,100.7043,0.8167142868041992,1.4358,0.0719
Result3947156,Cc1nnc(-c2ccc(-c3nnco3)cc2)o1,1.417,-113.3917121002422,-2.4858105263157895,0.5867758414105112,176.8799,83.4102,73.4074,52.7784,0.8416089415550232,1.417,0.1027
Result3947085,Cc1cc(Sc2ccccc2)nc2c1C([S-])NC(=O)N2,1.3954,-444.224299880985,-6.815303679435484,0.06109564850949165,140.8798,76.2893,77.4248,61.5856,0.2665429711341858,1.3954,0.0693
Result3947155,CC(C)C(C)C(C)C[N-]C(=O)S[N-]S(C)=O,1.3714,613.8805998129268,2.8030864197530874,-0.5117185229393709,176.3783,160.7368,50.6277,113.1379,0.9804174304008484,1.3714,0.0632
Result3947073,Cc1ccc2ccccc2n1,1.3303,-212.2048129295709,-1.0044444444444445,0.6197611924492336,127.4617,79.2648,80.2735,161.1846,0.8931169509887695,1.3303,0.0502
