Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS3Z,base_GATS1se,base_GATS2pe,solvent_NsCH3,solvent_SdssC,solvent_GATS4se,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3941931,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,76.722,105.3340,0.0962,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"76.7224, 6.9103",0.05199823768686698,0.06442562223749324,0.1243972321309733,0.15285281509040824,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,76.7224,6.9103,0.0,1.8080808080808082,0.11731533900492506,5.55798275862069,188.35671779556262,5.304539896238907,-0.11994260495693476,7.1460188908046005,0.1146578436191909,1.2917702038526977,-0.22231418080258047,-0.30012679724625324,-0.16171732782379036,1.294989453996901,0.34237623488261243,0.046406144027325055,0.44261876669151384,1.7267373380447588,5.572630303030304,0.11317953522332112,-0.1816056662228054,1.330761222797097,-0.11994260495693476,7.152842933333332,-0.11994260495693476,5.961959302325582,1.2497381189516856,3.5471629113672627,-121.49602246558752,5.688835689045936,0.0,-0.35057205560808136,0.037199130005987444,0.4301401275697142,0.3412050848262929,0.0,0.02583222674304045,14.537102473498233,-0.010862680971915839,3.4973288549655974
Result3941918,FCP(c1ccccc1)c1ccc2nccnc2c1,62.095,113.6392,0.1211,O=C([O-])C.[K+],CC(N(C)C)=O,"62.0945, 0.8429",0.6971767885426821,0.6819085487077534,0.1453627869996672,0.1574807960088896,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,62.0945,0.8429,6.415679376816819,4.222222222222221,0.10356033616537855,6.099283333333332,182.8815524500182,10.609079792477814,-0.9563141429411275,7.622739833333333,0.09889247194946661,0.5665699983062399,0.04069818003121487,0.0417004048582996,0.021436004162330907,0.554489503889869,0.3122854502274939,-0.011309079469829056,0.07727586941149259,3.8063492063492066,6.147132075471699,0.09789039573494933,0.05555290544411712,0.9565913529561426,-0.9563141429411275,7.616324000000001,-0.9563141429411275,6.3564545454545485,0.5561328406686205,5.461293891903869,-9.815110288922282,6.164529999999998,6.415679376816819,-0.3957187947199181,0.04310088248997298,0.3572975004298082,0.39239848180969383,48.53093654769288,0.015309061421672713,17.771428571428572,-0.13096216745557226,1.931880584165946
Result3941926,[c-]1ccccc1P(CP(c1ccccn1)C1CCCCC1)C1CCCCC1,60.244,107.1140,0.0950,O=C([O-])C.[K+],CC(N(C)C)=O,"60.2443, 1.9996",0.6971767885426821,0.6819085487077534,0.1453627869996672,0.1574807960088896,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,60.2443,1.9996,0.0,1.394702842377261,0.1545510064522637,5.561328205128206,180.62740471970835,10.739556295629281,-0.1640291425212057,7.166121969230767,0.16045452639963104,1.1384180762114922,-0.08736013981008742,-0.04012829443863931,-0.018052544984461117,1.0614711433720134,0.23570226039551584,0.018046436682365982,0.18352380943541702,1.9608585858585856,5.591843103448272,0.1602052712546566,-0.09991490678016345,1.0178011354203773,-0.29250272948685585,7.177697249999998,-0.12847358696565014,5.993322580645162,1.0983657746899151,3.5670189225039106,30.287429821854783,5.600079545454545,5.902998432009833,-0.46725866301208074,0.06863527894735551,0.46540518423744076,0.3301916729165504,6.196843571613076,0.012681382385227058,16.363636363636363,0.087300927300656,4.52783273384692
Result3941921,CC(C)c1cc(C(C)C)c(-c2c(O)cc(O)cc2C(C)(C)C)c(P(c2ccc([O-])cc2)c2ccc(O)cc2)c1,54.974,103.6455,0.1263,O=C([O-])C.[K+],CCCC#N,"54.9739, 1.7373",0.6971767885426821,0.6819085487077534,0.1453627869996672,0.1574807960088896,1,0.0,1.3691437802907915,0.0,54.9739,1.7373,17.248535499851716,3.4718676122931442,0.1591727996418977,5.9148881355932215,222.57084081568794,21.020147083557426,-1.1890325543797766,7.4670493559322,0.05711703491812979,0.8921602053120762,-0.21645575864273314,-0.18739004872884665,-0.13312310427490337,0.8729329447396652,0.5621556751953892,-0.049684887494888,0.3500678439900429,3.4968123861566482,5.839057971014494,0.058966891966423594,-0.1595086141005046,0.8832136493472578,-1.1890325543797766,7.366908463768112,-1.1890325543797766,6.231037500000001,0.8927487308252234,8.473596327006504,-147.57059983466914,5.954355737704917,0.0,-0.8890162682687908,0.05105696187561544,0.3502654914834008,0.40553030248213556,24.26546827384644,0.038087956243746994,20.459016393442624,0.2351896562261344,4.553792166204423
Result3941933,CC(C)c1ccccc1P(c1ccccc1)c1c(C2N=CN(C(C)C)C2(C)P(C(C)C)C(F)(F)F)cccc1C(C)(C)C,54.433,107.7225,0.1058,O=C([O-])C.[K+],CCCC#N,"54.4327, 5.9249",0.6971767885426821,0.6819085487077534,0.1453627869996672,0.1574807960088896,1,0.0,1.3691437802907915,0.0,54.4327,5.9249,6.041840829147961,3.2104877154382105,0.11628286813336666,5.803000000000002,194.56663251351108,15.913619688716722,-2.4648538091505454,7.357849248120304,0.11358121255445523,0.5841029340278958,0.004116976556798649,-0.061335950027523164,-0.04519929453262789,0.548945454021948,0.7052671741070996,-0.021109406981054266,0.3580230425513143,3.3291358024691364,5.953047928994084,0.11091503099990598,-0.026818484229335856,1.0427951835492502,-3.586248366973675,7.468071301775149,-1.1213945578231292,6.177032258064511,0.600178207400989,7.205042256589088,-96.7617436366408,6.226660857142854,0.0,-0.4202239603929021,0.044006520925342185,0.39161359843988486,0.4899799742000601,37.80385546684557,0.04073061900504739,18.185714285714287,0.07640479170334023,2.1577448660942733
Result3941929,c1ccc(P(c2ccccc2)C2CCCCC2)cc1,52.383,114.3739,0.1033,O=C([O-])C.[K+],CCCC#N,"52.3828, 2.5274",0.6971767885426821,0.6819085487077534,0.1453627869996672,0.1574807960088896,1,0.0,1.3691437802907915,0.0,52.3828,2.5274,0.0,1.965811965811966,0.13994260097285977,5.517704918032786,190.15493352488028,10.609079792477814,-0.1690432098765433,7.122297442622952,0.1387494294842537,1.210196266372486,-0.20539519397752626,-0.2437520285621551,-0.10831730769230768,1.216182048040455,0.17677669529663687,0.01827506103118108,0.08730712955573286,2.173076923076923,5.625093333333335,0.13789351025769697,-0.0964971993754419,1.0307644465782122,-0.1690432098765433,7.184529599999996,-0.1690432098765433,5.990678571428573,1.1306678555788856,3.7396756543850405,-24.273580246913586,5.7037211538461525,0.0,-0.3194333432789235,0.05544960458864299,0.41686196389119057,0.3238350660549346,0.0,0.011722306294206161,14.134615384615385,-0.03282031992289805,4.309369071532596
Result3941920,c1ccc(PCP(c2ccccc2)c2ccccc2)cc1,48.857,91.2971,0.1299,O=C([O-])C.[K+],CC(N(C)C)=O,"48.8572, 4.0623",0.6971767885426821,0.6819085487077534,0.1453627869996672,0.1574807960088896,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,48.8572,4.0623,0.0,1.9224806201550386,0.05238700915515614,5.470774193548387,195.3134694140186,15.913619688716722,-0.26220920466952213,7.091178774193548,0.056146905399689834,1.1714264472366887,0.007500259844419114,0.01899007337073803,0.008265239034469806,1.1800352024138796,0.19001991384646116,-0.05208605586443004,0.05259410939746043,2.402930402930403,5.630478787878788,0.05794283819651808,-0.05828367195430599,1.09117416294938,-0.26220920466952213,7.185029166666668,-0.26220920466952213,5.9794024390243905,1.0539730134932537,5.586353437666363,32.0,5.566719780219779,5.902998432009833,-0.3187394702352804,0.027770258888442322,0.4275232636477863,0.3286122941657006,0.0,0.011407646285501092,18.252747252747252,-0.037328991675283994,3.325732903856398
Result3941925,CC(C)CP1CNCP(Cc2ccccc2)CN(CC(C)(O)Cc2ccccc2)C1,47.696,97.1066,0.1252,O=C([O-])C.[K+],CCCC#N,"47.6964, 2.5599",0.6971767885426821,0.6819085487077534,0.1453627869996672,0.1574807960088896,1,0.0,1.3691437802907915,0.0,47.6964,2.5599,0.0,1.2727081691620699,0.15613448389019752,5.468342307692307,166.21741621084098,5.316788604006331,-0.16855471338055095,7.160182630769231,0.13953855349671251,1.1491934049449912,0.1763495126151939,-0.05947521865889213,-0.030612244897959183,1.1112033647379116,0.14433756729740643,-0.28853865583639016,0.21631543726437283,1.514172335600907,5.7281559055118105,0.13950321174335276,-0.17133931301593425,0.9885816885688996,-0.2392024999300124,7.316344818897638,-0.07064778654946147,6.104357142857143,1.123067902783093,4.255123068387533,-54.66747832030418,5.850893877551022,37.850045675198444,-0.3601828374856395,0.06440286746649755,0.46468832067350774,0.3233318211688584,12.990104268152233,0.025947786512849576,15.38265306122449,-0.09321660534410042,3.129178965485721
Result3941927,c1ccc(P(c2ccccc2)c2ccccc2)cc1,44.196,113.8708,0.1382,O=C([O-])C.[K+],CC(N(C)C)=O,"44.1965, 2.0737",0.6971767885426821,0.6819085487077534,0.1453627869996672,0.1574807960088896,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,44.1965,2.0737,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3941930,CC(C)c1cc(-c2cccc(C(C)C)c2P(c2ccccc2)c2ccccc2[O-])c([O-])c(C(C)C)c1,42.864,107.5284,0.1044,O=C([O-])C.[Cs+],CCCC#N,"42.8641, 3.2831",0.056742661225519415,0.07445192098979814,0.1265444360281399,0.15437109729761034,1,0.0,1.3691437802907915,0.0,42.8641,3.2831,0.0,3.8894472361809047,0.10854311298455162,5.892459677419355,223.2518589647983,26.12667447839813,-1.17818216175359,7.407832717741934,0.09151018316895099,0.6426192080042854,-0.1733160200038535,-0.2128392984085073,-0.1353625849430023,0.5360726178091673,0.4600031514829322,0.02832673528110918,0.3605231168898347,4.094573643410853,5.7598449612403115,0.09100655672577335,-0.1905017997205804,1.0255763286151132,-1.17818216175359,7.293321891472869,-1.17818216175359,6.104493243243243,0.6808032492780461,8.02321031760415,-41.041937593217106,5.969305116279073,0.0,-0.8890849944469431,0.03581889389691042,0.36172574404177854,0.34680920753438493,30.33183534230805,0.029359125117151625,19.10232558139535,0.04185143147470431,3.06610497660892
