Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3798443,CC1C2OC3(CC3O)N3C(C)(CO)C123,2.2059,-1443.0660,-1.9426,0.3258,144.8776,99.8721,33.4376,3.7725,0.0,2.2059,0.0256
Result3798449,Nc1nc2c3[nH]ccc3ccn2n1,2.1671,-257.3655,-2.0278,0.8164,174.1639,98.4235,45.7243,28.0848,0.0,2.1671,0.0339
Result3798445,CCCCc1[nH]nnc1CC,2.1127,-307.1674,-1.5782,0.2159,173.8907,97.8463,0.1366,6.1840,1.0,2.1127,0.0361
Result3798448,Cc1c(N)nc(C(C)C)c(O)c1C,2.0784,-772.4412,-2.3110,0.3141,133.3546,144.6799,44.5951,16.8360,1.0,2.0784,0.0294
Result3798444,CC1OC2CCCCC2(O)c2ccccc21,2.073,-972.9919,-1.5568,0.2062,141.1274,107.5519,52.9439,25.6611,1.0,2.073,0.0383
Result3798450,CC(C)(O)Cc1ccccc1,2.052,-636.0444,-1.8500,0.2475,109.7438,95.8856,1.8596,66.4190,0.0,2.052,0.0359
Result3798451,OC1COC(O)C2(CCCCO2)C1O,2.0475,-321.7622,-1.5847,0.3429,110.7012,100.8329,5.5136,43.0627,0.0,2.0475,0.0185
Result3798442,CCCc1ccnc(C)c1,1.9866,-596.6243,-1.8315,0.4253,173.0648,161.6614,174.9886,2.2837,0.0,1.9866,0.0325
Result3798446,CCCC1CCC1CC,1.9173,-300.1699,-0.5556,0.5000,174.1692,160.9687,1.9724,31.4542,0.0,1.9173,0.0338
Result3798447,CCCOC(=O)CO,1.4534,-221.9640,-2.1884,0.3303,4.0409,96.1038,26.9592,26.2792,0.0,1.4534,0.052
