Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3947513,c1ccc2c(-c3cncc(CN4CCOCC4)c3)cncc2c1,1.7829,218.32422998686218,0.37463556851311947,0.011608652622790282,152.7281,88.2563,33.1382,11.1614,0.5917358994483948,1.7829,0.0836
Result3947564,Cc1cncc(-c2cnccn2)c1C,1.7455,337.54874381184106,0.6893629629629628,0.2811259092666111,145.7183,82.4041,50.5028,2.8455,0.3520132303237915,1.7455,0.1235
Result3947519,COC1CC[NH+](CCc2ccccc2)C1,1.6305,397.2675411972747,0.4651368840219016,0.01847540611941692,154.4457,76.9384,53.4047,9.3580,0.5797166228294373,1.6305,0.0703
Result3947509,CCCc1cncc2c1CCCC2,1.6114,-830.2313183780236,-1.6993939393939395,0.27181858051311947,140.2653,90.0744,140.5817,113.1687,0.24759773910045624,1.6114,0.0749
Result3947517,Cc1c(O)cnc2c1C=CNC2,1.5865,-276.04495506269336,-0.5220385674931128,0.41526607958001305,144.1236,139.7929,123.5287,2.9152,0.4607115387916565,1.5865,0.073
Result3947515,Cc1ccc2cccc(C(N)=O)c2n1,1.5663,-326.95237330005426,-0.7546834625322998,0.4474950141357473,141.8396,73.3205,136.2164,152.1850,0.21730217337608337,1.5663,0.079
Result3947512,CCc1ccnc2c1NC(N)C(=O)N2,1.5242,-398.90641753578024,-0.8459346920885381,-0.2651461576706476,106.3701,73.2534,33.5158,134.5351,0.3297467827796936,1.5242,0.0872
Result3947511,COC1CCC(C)(C)CC1O,1.4058,-206.6203319271027,-0.8555375056522244,0.20781237285933002,140.6226,73.5403,121.8568,7.4596,0.36221957206726074,1.4058,0.0839
Result3947566,Nn1c([S-])nnc1CSc1cccc2ccccc12,1.3968,-286.17432403730976,-1.089191919191919,-0.4802864237584203,147.5433,89.7846,164.5356,154.3131,0.6322992444038391,1.3968,0.0576
Result3947521,[CH-]=Cc1ccc(-n2cnnc2CC)cc1,1.3771,-419.3041836583126,-1.1658513859771724,-0.003808189129905319,135.8546,74.9336,52.5639,10.3995,0.7231290340423584,1.3771,0.0694
