Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS1se,base_GATS3m,base_GATS3Z,solvent_SdssC,solvent_GATS4se,solvent_VSA_EState9,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3921898,CC(C)(C)c1cccc(-c2cc(OCCP(C(C)(C)C)C(F)(F)F)cc(C(C)(C)C)c2)c1,45.523,98.7739,0.1034,O=C([O-])C.[K+],CC(N(C)C)=O,"45.5226, 0.0942",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,45.5226,0.0942,5.749511833283905,1.9192743764172335,0.08864473897113355,5.906000000000001,139.64077556840883,4.736862953800049,-2.163144418010914,7.510987707317072,0.08272788137274345,0.564684628065689,-0.00010319095212512374,0.02515318268742926,0.019219084894231665,0.5580139721294285,0.2111961124695122,-0.2162909127640273,0.39262335208111193,2.0700152207001525,5.989938461538463,0.07977882777379441,-0.14834781227234203,0.887328396607877,-2.163144418010914,7.516119446153846,-2.163144418010914,6.204042253521127,0.5804502659731597,4.522509622118818,-194.57713277903747,6.223799543378996,12.768791991980839,-0.524406335229485,0.029474130136148274,0.38343903292441733,0.48633965189554573,12.13273413692322,0.0531000064091923,12.474885844748858,0.09103174894063985,1.2328770893791678
Result3921893,CC(C)c1ccc(CP(c2ccccc2)c2ccc(F)cc2)c(C=Nc2ccccc2)c1,41.579,106.6790,0.1069,O=C([O-])C.[Cs+],CC(N(C)C)=O,"41.5785, 1.4134",0.15437109729761034,0.1265444360281399,0.056742661225519415,0.07445192098979814,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,41.5785,1.4134,5.817220841045895,2.9312169312169316,0.09992166150642172,5.766261437908497,193.50722220857244,10.609079792477814,-0.6740331084422797,7.296315032679737,0.0965368610380902,0.6035641556615957,-0.03048678124001313,0.009456040480708397,0.005052638694087222,0.5534878215192343,0.3980489594442413,-0.047606167204334734,0.22963603505998753,3.1888162672476397,5.856533980582524,0.09484410044190854,-0.04443537518170215,0.9348971883370911,-0.6740331084422797,7.355020796116501,-0.6740331084422797,6.168532258064516,0.6235316818983637,8.512420985089513,29.110880582775632,5.748750326797385,0.0,-0.3780858441223695,0.034543176566322026,0.35507098538624904,0.3687527567336155,54.7455371272282,0.020651774189033596,16.38562091503268,-0.025336871440135793,2.684198121581624
Result3921896,c1ccc(P(c2ccccc2)c2ccccc2)cc1,41.269,103.6010,0.0965,O=C([O-])C.[K+],CCCC#N,"41.2685, 1.4867",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.3691437802907915,0.0,1,41.2685,1.4867,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3921902,[c-]1ccccc1P(c1ccccc1)C1CCCCC1,40.825,101.3593,0.0854,O=C([O-])C.[K+],CC(N(C)C)=O,"40.8252, 1.0114",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,40.8252,1.0114,0.0,2.267115600448934,0.13753632298011437,5.554642857142857,196.47958298207774,10.609079792477814,-0.22459876543209845,7.144098,0.13646187094782342,1.186119086524963,-0.2405889861611334,-0.25792316926770714,-0.11531081860752189,1.1922498571471538,0.17677669529663687,0.04106715048199752,0.14009601490864404,2.510204081632653,5.628520547945207,0.13566619464643803,-0.12533144757080547,0.999878359836362,-0.22459876543209845,7.1863624109589015,-0.22459876543209845,5.999963414634148,1.1049066017980216,3.7396756543850405,-33.65162620433275,5.725173469387754,0.0,-0.46625653466014577,0.054894576634101494,0.41018564101352356,0.31094948185923793,0.0,0.011722306294206161,14.73469387755102,0.06698709360343555,4.2407717622728995
Result3921899,[CH2-]N(c1ccccc1[CH-]C(C)C)P(C)C(C)C,34.443,92.0824,0.1048,O=C([O-])C.[K+],CCCC#N,"34.4429, 0.3102",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.3691437802907915,0.0,1,34.4429,0.3102,0.0,1.3904179408766564,0.02670675991541636,5.454306306306307,148.09739472055978,4.6704161899212995,-0.21603363567649247,7.10765971171171,0.16195939982347757,1.409609316504439,-0.13989992213255886,-0.18080629301868237,-0.09680289334730169,1.4211283926922456,0.10703808753134778,-0.12216415719225868,0.45006685212057485,0.9410029498525074,5.592027777777776,0.15671078680007877,-0.2501847221478101,1.4405084144609401,-0.21603363567649247,7.196112500000002,-0.21603363567649247,6.000014634146343,1.3080493516064233,2.196761732685977,-68.66908292389155,5.561730088495576,11.335241794153834,-0.7312478936933815,0.010270417037477574,0.46314527198714345,0.2308359588075279,0.0,0.033516791296856224,11.47787610619469,0.319872597921599,-0.9539658656068762
Result3921903,c1ccc(P([N-]n2ccnc2)C2=NCCO2)cc1,32.3,90.4110,0.1088,O=C([O-])C.[K+],CCCC#N,"32.2999, 0.0267",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.3691437802907915,0.0,1,32.2999,0.0267,6.606881964512918,6.491725768321513,-0.02428514098537801,6.477686885245901,229.16034758393684,5.304539896238907,-0.9317181069958849,7.934732131147538,0.15163297045101087,0.8206734543474671,-0.25051939051807626,-0.4008875739644969,-0.1852991452991453,0.8600064133959081,0.2248892177291057,0.1181318005495005,0.10979505572134035,6.461538461538462,6.445332692307693,0.14929591458627145,-0.17483147174054375,0.8047107344912119,-0.9317181069958849,7.908646423076926,-0.9317181069958849,6.577006250000003,0.7624642624507241,4.91695796212312,-64.29015089163238,6.717682692307692,13.151638370425493,-0.6531873386341722,-0.009827699616509849,0.34406919341392966,0.3605043554796543,24.395944776997908,0.01330892066641804,23.615384615384617,-0.26928569533212954,-1.8457088492191112
Result3921894,PC([S-])P(c1ccccc1)C1CCCCC1,29.663,114.0244,0.1086,O=C([O-])C.[K+],CCCC#N,"29.6626, 1.9594",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.3691437802907915,0.0,1,29.6626,1.9594,0.0,1.09557945041816,-0.028094843659822052,5.300215053763441,170.43071911230638,5.304539896238907,-0.15515432098765425,7.047492473118281,-0.027823409159652413,1.3178025979672812,-0.17393578588807096,-0.1361595114065026,-0.0651342642320086,1.013835697153884,0.11785113019775792,0.00780838968273676,0.09513177229442185,0.9590643274853802,5.509854545454546,-0.02501080880526673,-0.044146772290365247,1.1667916335012076,-0.15515432098765425,7.143377136363635,-0.15515432098765425,5.887583333333334,1.1721125356435955,1.3503133564483214,-18.107331821617535,5.513284210526315,0.0,-0.7985557250939558,-0.01829310525781218,0.5059910344642098,0.3090893331332037,0.0,0.018657491383649433,17.442105263157895,0.0792434059502429,1.8305075603735372
Result3921897,CC(C)OCC(CPC(C)[SiH3])OC=CP(C(C)C)C(C)C,27.966,90.9311,0.1019,O=C([O-])C.[K+],CCCC#N,"27.9659, 0.4396",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.3691437802907915,0.0,1,27.9659,0.4396,6.103966387748303,0.9477124183006536,-0.10376852016249405,5.601655263157893,124.59428406526777,0.0,-0.08999498427628927,7.354779440789474,-0.004824708610483849,1.0576262873957825,0.15891157749480173,0.07150188162846388,0.030942334739803085,1.0324402871130713,0.0,-0.13158148293727584,0.2868507791943208,0.7960618846694796,5.5754269230769244,0.00014072475295585926,-0.0039396911044013065,1.0410356631730393,-0.08999498427628927,7.247246192307694,-0.08999498427628927,5.888544642857143,1.0357706758326426,0.563192193136814,-8.992457318301176,5.597775316455697,12.768791991980839,-0.5251156467359734,-0.08093243019298428,0.6084795052613694,0.3549242070735854,6.26208044842079,0.03234547616220206,11.386075949367088,-0.1693809526686974,-7.585058397513953
Result3921904,CC(C)c1ccccc1P(c1ccc(F)cc1)C(C)P(C(C)C)C(C)C,25.568,110.8397,0.0894,O=C([O-])C.[K+],CCCC#N,"25.5679, 1.6712",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.3691437802907915,0.0,1,25.5679,1.6712,5.817220841045895,1.6060025542784164,0.15873874184566786,5.382170542635658,167.71262765029715,10.609079792477814,-0.5198456790123456,7.048578263565887,0.14313663616282743,0.7205119975754128,0.1279290715688426,-0.01419360017123288,-0.008350615670981021,0.6014452730765785,0.22767090063073975,-0.010281006899917573,0.3102328284868622,1.3800101471334345,5.55334814814815,0.14139045734183492,-0.26164208183045357,1.0659918891114941,-0.650591196355085,7.160414157407409,-0.13074551734273943,5.980600000000001,0.7619055866172546,3.55218386651406,33.267948404211936,5.556425570776255,0.0,-0.3280335571998595,0.07149787622008287,0.4669575627084504,0.36311817577321903,12.13273413692322,0.032740576900240265,14.02283105022831,0.02417366624599271,3.3236721196305608
Result3921900,c1coc(P(c2ccco2)c2ccco2)c1,9.4035,92.5347,0.1068,O=C([O-])C.[K+],CCCC#N,"9.4035, 0.3683",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.0,1.3691437802907915,0.0,1,9.4035,0.3683,24.425595562592573,9.923076923076923,0.06557608556301373,6.155294117647057,234.8395359234157,16.50400747024906,-0.8348765432098764,7.747426823529412,0.10401891252955081,0.8206222819135329,-0.2457889270457925,-0.5416666666666667,-0.26000000000000006,0.878641900639456,0.2886751345948129,0.09968099963791574,0.08566130236425103,6.75,6.432857142857143,0.10643238925016069,-0.2673942224876239,0.4810546666869644,-0.8348765432098764,7.95608285714286,-0.8348765432098764,6.607333333333334,0.7751201803114336,4.676197040906924,-70.81576296296296,6.868375000000001,0.0,-0.5326927822746702,0.029947599996061513,0.34433143335647726,0.40343522548241373,36.39820241076966,0.013920238724369816,24.25,-0.12386760598626849,0.4397387332759536
