Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3932664,Cc1cccc2c(COC3(c4ccccc4)CC[NH2+]CC3)ccnc12,1.4202,-615.1883658862323,-0.5570246575342466,-0.024946090620685958,319.3855,91.4313,67.9700,211.1507,0.7498167753219604,1.4202,0.1059
Result3932665,Cc1cccc(-c2ccco2)n1,1.4178,-315.75459349018985,-1.4666666666666666,0.3946803131355237,201.6902,92.5626,86.2090,10.2099,0.9706761240959167,1.4178,0.0926
Result3932657,Cc1cccc(OC(C[NH3+])c2ccnc3c(C)cccc23)n1,1.372,-1163.0113577340862,-1.4854974352200427,-0.05917764755752103,1345.0378,105.7041,74.6852,237.9453,0.8786590099334717,1.372,0.1082
Result3932662,Cc1cncc(-c2cnccn2)c1C,1.3414,337.54874381184106,0.6893629629629628,0.2811259092666111,172.1180,109.7322,74.7958,137.3498,0.8070454597473145,1.3414,0.0848
Result3932667,CCC(N)c1cccc2c(I)cc(C)nc12,1.301,-858.9735144066447,-9.182072664917705,0.24093244964917956,171.5569,102.5927,73.5849,191.6738,0.9641667008399963,1.301,0.0932
Result3932659,CCC(N)(c1cccnc1)c1cccc2cccnc12,1.2508,-526.9923515871832,-0.6670536366482313,0.04906453176999392,366.8925,101.6515,89.6633,190.6490,0.71848464012146,1.2508,0.0583
Result3932658,Cc1ccnc(C=NO)c1,1.2273,-160.10950909603133,-1.1818181818181819,0.4445617679780088,274.6504,100.7499,23.6383,10.1668,0.3158082664012909,1.2273,0.0921
Result3932660,Cc1cnc2nc(C3CCC[NH2+]CC3)sc2c1,1.1073,209.1232740416523,-1.3092957746478866,-0.14202097149606668,2.3546,104.5207,65.6694,73.8641,0.7980843782424927,1.1073,0.0744
Result3932656,Cc1ccnc(-c2ccccc2)c1,0.76471,43.4852187622532,-0.6348684210526315,0.2499022613634027,333.9688,24.5751,19.0523,10.5148,0.2293930947780609,0.7647,0.0819
Result3932661,Cc1ccc(-c2ccccn2)cc1C#N,0.50483,203.1576735923438,0.24730909090909095,-0.16947476631849118,228.3682,9.5935,86.8995,30.6230,0.9711013436317444,0.5048,0.0466
