Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS2pe,base_GATS3Z,base_GATS1se,solvent_SdssC,solvent_VSA_EState9,solvent_NsCH3,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3935382,CCN(c1ccccc1)c1cccc(CP(C)CCc2ccccc2C)c1,61.63,102.8267,0.1049,O=C([O-])C.[K+],CC(N(C)C)=O,"61.6296, 4.2348",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,61.6296,4.2348,0.0,1.5737109658678285,0.09258560768133642,5.41044171779141,160.74983755968626,4.899909730850478,-0.001606122215689787,7.062036797546014,0.12110018420873095,1.0986592683544214,-0.03096036475061998,-0.054912565212735055,-0.02710980443251063,1.1182199802185648,0.308222551062439,-0.02691823983259958,0.4134404505113156,1.3701431492842535,5.701735294117647,0.11921354979376635,-0.04586944701261867,1.1957339442999602,-0.001606122215689787,7.253847333333332,-0.001606122215689787,6.065542372881357,1.052051924803748,5.776806825524509,-53.473737408281366,5.598396319018404,24.271401768463512,-0.41932856955584685,0.03232743854290606,0.4129677028706655,0.3412710254675098,0.0,0.018636239510262033,13.036809815950921,-0.010415036356503685,1.820956626955255
Result3935341,CN1[C-2]N(C(c2ccccc2)P(c2ccccc2)c2ccccc2)C=C1,60.032,97.3856,0.1077,O=C([O-])C.[K+],CCCCOC(C)=O,"60.0315, 3.8096",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,-0.18199074074074065,0.0,2,1.0555555555555556,60.0315,3.8096,0.0,4.310717797443461,0.07024784486843622,5.818610389610392,234.81455717565262,10.609079792477814,-0.6351594650205763,7.336257454545452,0.12533333333333335,0.9840893915959047,-0.14730510920662224,-0.1969341925405196,-0.1014536492128163,1.0545224876993318,0.3233854971724527,-0.0882984911277604,0.20890622406639012,5.05731922398589,5.937196341463415,0.12389974828383843,-0.14053837325565074,0.9054566151360478,-0.6351594650205763,7.42660790243902,-0.6351594650205763,6.222510000000001,0.9126722173632849,7.109912706938366,41.86419753086419,6.003472222222221,7.04767198267719,-0.9566530674707955,0.02526510356156841,0.34680190922930804,0.33465365498822114,11.947581713527669,0.01660437391839131,20.38888888888889,-0.08494911257822232,1.13134744884414
Result3935346,CC(N1C=CN(c2ccccc2)[CH-]1)P(c1ccc(N)cc1)c1ccc(O)cc1,43.073,109.3434,0.0932,O=C([O-])C.[K+],CC(N(C)C)=O,"43.0727, 0.6095",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,43.0727,0.6095,5.749511833283905,3.2084409991386735,0.13282298371067708,5.7218027210884355,186.73669315003758,21.24265700049048,-0.6857518569842207,7.295497659863945,0.08823903100118588,1.0742211350570483,-0.06835241886407205,-0.03537131882202304,-0.020344287949921748,1.1027739416236872,0.5646511233712367,-0.018089507618776285,0.1751740430016313,3.13849765258216,6.041319318181819,0.0893779971989451,-0.041581941239791274,1.0551719503978756,-0.6857518569842207,7.519617727272726,-0.6857518569842207,6.351546296296295,1.0220362529461635,7.441144802281108,-23.42599949686968,5.882761971830986,10.633577208012664,-0.5919046292865716,0.04612762322647535,0.33993671179726853,0.3657234773200658,42.46456947923127,0.023000715058695265,16.274647887323944,0.35052075964935286,3.510291723265974
Result3935338,CCP(C=Cc1ccccc1)c1ccccc1,42.39,104.6529,0.1127,O=C([O-])C.[K+],CCCC#N,"42.3899, 0.1840",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,0.0,1,1.3691437802907915,42.3899,0.184,0.0,1.6142857142857143,0.13207842953973806,5.427739130434783,164.3742245100962,5.304539896238907,-0.15778533635676473,7.0673141739130445,0.13072653632681633,1.2121869875255662,0.008802644869385213,-0.014030902067711869,-0.005935217224144553,1.219146745968203,0.1310943487475822,-0.043085690749088634,0.15693455837237277,1.601851851851852,5.615017543859649,0.1297524929060933,-0.06955760868525304,1.216199508615037,-0.15778533635676473,7.176811228070176,-0.15778533635676473,5.990314285714286,1.11911492688093,4.180727764388364,-2.257422358921782,5.546638888888889,6.161910027467921,-0.31706585417675337,0.055354473459252686,0.419143489705697,0.3238879801274596,0.0,0.011060906741539533,13.222222222222221,-0.029010062040029816,3.185229110132931
Result3935347,CN(C)c1ccccc1-c1ccccc1P(c1ccccc1N(C)C)C(C)(C)C,40.431,100.5748,0.1065,O=C([O-])C.[K+],CC(N(C)C)=O,"40.4310, 1.3066",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,40.431,1.3066,0.0,2.5258467023172906,0.06475138807405838,5.620368000000002,204.19344387906295,20.40889925417877,-0.5814218526916939,7.211867399999996,0.12348833640270102,1.0706427654047543,-0.1426603186860767,-0.2708002449835467,-0.17224417247262527,1.1088382074259657,0.2886751345948129,-0.16693360321360426,0.3993942999550288,2.386350817822899,5.796738738738741,0.12108837740791863,-0.2515814338293948,1.1611010914429682,-0.5814218526916939,7.343419333333335,-0.5814218526916939,6.1164140625000005,1.0267407788868002,6.82493787989792,-117.26050538919077,5.848980203045686,37.99050739240972,-0.44499157709916476,0.02181798363846717,0.3703412891876928,0.35536957324764057,0.0,0.033033825571377004,16.725888324873097,-0.18476384915474886,0.498278381137725
Result3935383,c1ccc(P(c2ccccc2)c2ccccc2)cc1,37.854,103.4398,0.1323,O=C([O-])C.[K+],CC(N(C)C)=O,"37.8540, 1.5851",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,37.854,1.5851,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3935349,c1ccc(CC(NC2CCCC(P(c3ccccc3)c3ccccc3)C2)c2ccccc2)cc1,37.669,100.9854,0.1306,O=C([O-])C.[K+],CC(N(C)C)=O,"37.6693, 0.1116",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,37.6693,0.1116,0.0,2.2188034188034185,0.11827697841147446,5.580562753036438,184.6223967455019,15.925868396484145,-0.36300055823664934,7.171192145748987,0.10915219539743043,1.1050966382518712,-0.07960035736399751,-0.09378668637766861,-0.04421604158808771,1.150797633557146,0.35598356647668794,-0.03156354673765531,0.10147966675657037,2.458135860979463,5.776507936507937,0.10837427260702764,-0.06462225335827741,1.037933399723834,-0.36300055823664934,7.292131333333331,-0.36300055823664934,6.092472222222223,1.0464715075884876,8.049707541850871,-9.004570891537453,5.748246445497631,0.0,-0.3193929534604974,0.03938233299650911,0.3689418976981639,0.33872137839058625,0.0,0.014085517106410398,14.293838862559241,-0.0605910779158177,3.9423381628831384
Result3935384,c1ccc(P(C2=NCCS2)c2ccccc2)cc1,33.151,103.6630,0.1065,O=C([O-])C.[K+],CCCC#N,"33.1512, 2.0407",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,0.0,1,1.3691437802907915,33.1512,2.0407,0.0,3.922222222222222,0.11337827781302945,5.755236842105264,239.5212258884164,10.609079792477814,-0.43904320987654355,7.345431315789474,0.10408735237416365,0.9116392450806488,-0.38832749592272364,-0.4499618029029794,-0.20916193181818182,0.8336721838883143,0.21407617506269555,0.04881374183380023,0.024642076694778775,3.5757575757575757,5.810542857142857,0.108122741848878,-0.0495251713555165,0.9201238905435373,-0.43904320987654355,7.388669303571429,-0.43904320987654355,6.131999999999999,0.8520645023791641,4.362139088292699,-36.10407021604938,6.067666666666666,12.297610012659364,-0.38910963386531505,0.05559195885514728,0.4176030394021389,0.33423911536488965,11.761884949391115,0.012373545532773169,23.363636363636363,-0.0454363789948423,3.7211577766384702
Result3935345,CC(C)c1cc([O-])cc(-c2cncc3c(P(C(C)C)C(C)C)cccc23)c1C(C)C,32.461,113.9210,0.1033,O=C([O-])C.[K+],CC(N(C)C)=O,"32.4609, 1.7399",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,32.4609,1.7399,0.0,2.7920962199312718,0.10484225328736539,5.607630036630037,182.67433954916407,10.411067291079613,-0.2994192433489167,7.243503194139193,0.10579609751554236,0.7745661248215194,-0.059238676001114966,-0.14378668396244584,-0.09338477178531396,0.6498247871193522,0.40514048554910803,-0.009188623478448014,0.48572857845552697,2.290259422418013,5.675471074380166,0.10459699498168942,0.2223438776893446,1.0928605552163735,-0.2994192433489167,7.242108363636364,-0.2994192433489167,6.066335820895523,0.8096438239018032,5.133718716296961,-82.79121922711667,5.852559471365638,0.0,-0.8889649855147853,0.035061365175554284,0.39367543480823886,0.3776859615053004,24.526421280149375,0.03478027164296303,14.427312775330396,0.033324722073171505,2.3328831627023154
Result3935350,C=CC1=C(P(c2ncc[nH]2)c2ccco2)OCCO1,20.238,93.3827,0.0858,O=C([O-])C.[K+],CC(N(C)C)=O,"20.2378, 1.7703",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,20.2378,1.7703,32.20218074732754,8.378968253968255,0.05941768309026195,6.37432098765432,220.26166144421038,11.066828725958192,-1.0122839506172838,7.916855901234569,0.10818120351588911,0.8838413830861596,-0.15964635063186094,-0.4708593114665221,-0.24232700892857142,0.9410402200976693,0.29948817726122307,0.11740010142466699,0.16839510370622235,6.6,6.516750909090908,0.10993246790962609,0.028274760856612548,0.7478614007018992,-1.0122839506172838,8.0325992,-1.0122839506172838,6.65945588235294,0.8331929792774423,4.882485500167099,-16.049382716049386,6.757904285714285,13.213763929025836,-0.531886877905529,0.02407605057694619,0.3425697869893423,0.43222828699231963,12.13273413692322,0.014422916558219678,23.885714285714286,-0.3747793982333586,-0.04964088254918638
