Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS3Z,base_GATS2pe,base_GATS3m,solvent_GATS4se,solvent_VSA_EState9,solvent_NsCH3,solvent_SdssC,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3935891,CCP(Cc1ccccc1Nc1nc(C)ns1)c1ccccc1C,41.011,100.2889,0.0871,O=C([O-])C.[K+],CCCC#N,"41.0112, 1.5141",0.1453627869996672,0.6819085487077534,0.1574807960088896,0.6971767885426821,1.3691437802907915,0.0,1,0.0,41.0112,1.5141,5.824404497999927,2.2626262626262625,0.07745439371833938,5.6405199999999995,180.06917025888487,10.621328500245237,-0.20891606711271593,7.269020176923078,0.12458685626441195,0.9769357887545902,0.02294765563360299,-0.01402296224367397,-0.007607920914809886,0.8820631740200565,0.3807428417293622,0.07876341380794578,0.34793957214693594,2.3870673952641166,5.82746172839506,0.12468644955231988,-0.016775723554457077,1.0400900934216062,-0.20891606711271593,7.3810733580246914,-0.20891606711271593,6.218202083333336,0.912238066029722,5.4755378884260715,15.281780204905605,5.771909836065574,11.478698631474252,-0.3320377128321283,0.032419336739660465,0.4082485802292668,0.376486817301224,6.923737199690624,0.020965769449044786,16.418032786885245,0.15495786405293027,2.1187277189111753
Result3935892,CCNc1c(N(C)C)cccc1P(c1ccccc1C)c1cccc(C)c1C,37.557,116.8253,0.0905,O=C([O-])C(C)(C)C.[K+],CCCC#N,"37.5566, 0.2623",0.1428941881283608,0.476153268219384,0.1556534312908589,0.5051641116163132,1.3691437802907915,0.0,1,0.0,37.5566,0.2623,0.0,2.8818117480537864,0.09313001160876486,5.681096153846156,195.1236476542289,26.13031802357353,-0.6663425925925925,7.245115461538459,0.11572884063265546,1.1311116742785738,-0.16261576404238898,-0.16478817369228327,-0.09676157053347517,1.1769487058178714,0.4334922718839832,0.07146057901330008,0.4057246112492927,2.8576576576576582,5.781114285714288,0.11410468744477635,-0.17463907869193188,1.120981699608862,-0.6663425925925925,7.325362933333333,-0.6663425925925925,6.123877049180329,1.0777009433737912,6.8880876860788005,-6.185671067984598,5.813697297297298,30.856798706123765,-0.4425243551274529,0.03180759160892055,0.37521798270605794,0.36093674733148445,0.0,0.02573633578540638,16.221621621621622,-0.16136412683831053,1.7161178735715403
Result3935884,c1ccc(P(c2ccccc2)C2CCCCC2)cc1,36.299,109.3949,0.0787,O=C([O-])C.[K+],CC(N(C)C)=O,"36.2989, 1.0814",0.1453627869996672,0.6819085487077534,0.1574807960088896,0.6971767885426821,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,36.2989,1.0814,0.0,1.965811965811966,0.13994260097285977,5.517704918032786,190.15493352488028,10.609079792477814,-0.1690432098765433,7.122297442622952,0.1387494294842537,1.210196266372486,-0.20539519397752626,-0.2437520285621551,-0.10831730769230768,1.216182048040455,0.17677669529663687,0.01827506103118108,0.08730712955573286,2.173076923076923,5.625093333333335,0.13789351025769697,-0.0964971993754419,1.0307644465782122,-0.1690432098765433,7.184529599999996,-0.1690432098765433,5.990678571428573,1.1306678555788856,3.7396756543850405,-24.273580246913586,5.7037211538461525,0.0,-0.3194333432789235,0.05544960458864299,0.41686196389119057,0.3238350660549346,0.0,0.011722306294206161,14.134615384615385,-0.03282031992289805,4.309369071532596
Result3935888,c1ccc(P(c2ccccc2)c2ccccc2)cc1,36.027,107.0196,0.0831,O=C([O-])C.[K+],CC(N(C)C)=O,"36.0275, 0.1985",0.1453627869996672,0.6819085487077534,0.1574807960088896,0.6971767885426821,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,36.0275,0.1985,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3935893,c1ccc(P(c2ccccc2)c2cccnc2)cc1,35.962,108.1668,0.0974,O=C([O-])C.[K+],CCCC#N,"35.9620, 1.4890",0.1453627869996672,0.6819085487077534,0.1574807960088896,0.6971767885426821,1.3691437802907915,0.0,1,0.0,35.962,1.489,0.0,3.9565217391304346,0.11105774181170971,5.741813953488372,232.78528591772277,15.913619688716722,-0.508487654320988,7.291177302325582,0.12017374517374524,0.8919156047628994,-0.1747724200382914,-0.30229419703103916,-0.1371288644015917,0.8651001308241922,0.17677669529663687,-0.05093457852226099,-0.007775149692234605,4.333333333333333,5.845600000000001,0.11990158051180008,-0.035248794916911706,0.9759127997437953,-0.508487654320988,7.342991272727273,-0.508487654320988,6.138214285714285,0.8466468959842431,5.802613832445421,-8.746862565044381,5.964819444444444,0.0,-0.37544318683733696,0.04510801156187351,0.3616306238164926,0.3464433571035423,18.460054211687762,0.011722306294206161,18.86111111111111,-0.073942092070866,2.8373554435048995
Result3935887,c1ccc(P(c2ccccc2)c2ccccc2)cc1,34.849,111.3290,0.1296,O=C([O-])C.[K+],CCCC#N,"34.8485, 0.6866",0.1453627869996672,0.6819085487077534,0.1574807960088896,0.6971767885426821,1.3691437802907915,0.0,1,0.0,34.8485,0.6866,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3935894,CC1CC(CCP(c2ccccc2)c2ccccc2)(Cc2ccccc2)C(C)(C)CC1c1ccccc1,32.933,104.5604,0.1119,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"32.9334, 0.4272",0.1428941881283608,0.476153268219384,0.1556534312908589,0.5051641116163132,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,32.9334,0.4272,0.0,1.5330170027678924,0.11135833842329275,5.44990303030303,157.7810201378911,10.609079792477814,-0.39278677759407654,7.080644000000003,0.10929226904908025,1.1123068763693078,-0.04465115488792627,0.005668232280102468,0.0032729289940828334,1.1157748736523894,0.4569273052604535,-0.13651845700971268,0.24222537522048515,1.5597222222222222,5.682476190476191,0.1081212038308353,-0.0019351924690236798,0.9777033670828159,-0.39278677759407654,7.216746190476188,-0.39278677759407654,6.022664634146342,1.0684315568450153,7.661387822301963,31.42792672137401,5.535415625000002,6.161910027467921,-0.3193101403243646,0.0363101446422536,0.3772361162354657,0.3373494203579193,0.0,0.0235226192408293,12.0125,-0.04132687015418155,3.7322701979315798
Result3935886,CC1CCCCC1P(Cc1cccc(F)c1)C(C)C,32.302,108.9500,0.0703,O=C([O-])C.[K+],CCCC#N,"32.3016, 2.8373",0.1453627869996672,0.6819085487077534,0.1574807960088896,0.6971767885426821,1.3691437802907915,0.0,1,0.0,32.3016,2.8373,5.817220841045895,1.0352112676056338,0.14380239265550487,5.427960264900663,138.2763553782638,0.0,-0.03251028806584322,7.083269165562911,0.12285929702365983,0.6371803078724504,-0.10474668091594987,-0.0649190710767066,-0.03346938775510206,0.5494022242202836,0.27370475419801443,-0.06611772168038296,0.2750977330834053,0.8813303099017384,5.610781609195401,0.12042144639100619,-0.06120234508941412,0.7430699635215777,-0.03251028806584322,7.199814137931035,-0.03251028806584322,6.017445652173914,0.6843606252308979,1.7914293835090724,-24.503081847279383,5.556736054421766,0.0,-0.3028854370611701,0.054627726905528,0.46218300952536123,0.35895739082302536,6.06636706846161,0.026885587468615146,10.687074829931973,0.00028631639197918566,3.1262641220521443
Result3935883,CC(Oc1ccccc1)(n1cccn1)P(c1ccccc1)c1ccccc1,32.065,110.9809,0.0945,O=C([O-])C.[K+],CCCC#N,"32.0651, 1.1049",0.1453627869996672,0.6819085487077534,0.1574807960088896,0.6971767885426821,1.3691437802907915,0.0,1,0.0,32.0651,1.1049,5.749511833283905,4.725663716814159,0.08237106189801204,5.86153448275862,223.61997071140317,15.345942746277863,-0.8923532375913328,7.407880264367816,0.12120257437328419,0.7620805391109744,-0.01938985301391004,-0.18455024269338013,-0.10116621376811594,0.7794519565725935,0.3548864004698139,0.07170497409136552,0.20329065048658432,4.545893719806763,6.070568674698795,0.11980082917887819,-0.030989067675042867,1.1852227207795671,-0.8923532375913328,7.556486722891567,-0.8923532375913328,6.297207843137254,0.7434121203528596,7.736674911286422,-28.826646090534993,6.201307971014494,0.0,-0.49695874658665967,0.029329294569914354,0.3419810507231173,0.3781703352396996,59.40958305445114,0.01801513413884305,20.253623188405797,0.019971182674325048,1.465638366804597
Result3935879,CC(C)c1ccc(C(C)c2ccccc2)c(P(C2CCCCC2)C2CCCS2(=O)=O)c1C(C)C,29.896,105.8651,0.0867,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"29.8956, 0.5425",0.1243972321309733,0.06442562223749324,0.15285281509040824,0.05199823768686698,1.3691437802907915,0.0,1,0.0,29.8956,0.5425,0.0,2.0432357043235703,0.09996294919664485,5.674387640449439,197.7315222927477,5.304539896238907,-0.788813985470731,7.296952151685393,0.21859784334480042,0.7272604313457552,-0.15331699493050746,-0.19855158947629079,-0.12176312689084048,0.43189830535586043,0.5341057745753757,0.03141362523295406,0.2041700758594087,2.1578515785157855,5.708917647058825,0.21005356893012572,-0.10348162764797028,1.2883645445845873,-0.788813985470731,7.299111065359479,-0.788813985470731,6.049586250000001,0.740202431795897,4.47318886275329,-50.96755433119069,5.805108856088562,5.752853606746789,-0.3980117180460571,0.035794575722515154,0.449478645336994,0.40029502546392487,0.0,0.03053418601930901,17.542435424354245,-0.0234200031600509,4.129563647774361
