Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3Z,base_GATS3m,base_GATS1se,solvent_SdssC,solvent_NsCH3,solvent_VSA_EState9,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3935281,CN(O)Cc1cc(N(C)C)ccc1P(c1ccccc1)c1ccccc1Cc1ccccc1,29.564,102.3290,0.1127,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"29.5644, 1.0728",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,0.09259259259259278,3,3.4490740740740735,1.4760842589662049,29.5644,1.0728,0.0,3.1892764857881137,0.11003154485929105,5.763942028985508,213.47758565689028,20.8135294195672,-0.8023270450155373,7.3111846763285016,0.10482213546596807,0.8544067035163778,-0.15993613878356738,-0.10844430130436399,-0.05970261216829609,0.8150158266865676,0.3648123788432374,-0.03466689236477391,0.21474018603134012,3.628181253879578,5.9215446428571425,0.10356454088707057,-0.06723960111878284,0.8595691266606594,-0.8023270450155373,7.431350428571428,-0.8023270450155373,6.229949253731343,0.8531905123341041,8.977157248752079,-16.77697000385803,5.896616201117317,26.04292567888205,-0.44531101254503397,0.03659443225770919,0.3483707791040126,0.35407522282662524,0.0,0.022222315730924463,18.64245810055866,-0.21017777517215305,2.225892891708507
Result3935282,c1ccc(P(CP(c2ccccc2)C2CCCCC2)c2ccccc2)cc1,29.4,105.8842,0.1026,O=C([O-])C.[K+],CC(N(C)C)=O,"29.4000, 0.0041",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.09259259259259278,3,3.4490740740740735,1.4760842589662049,29.4,0.0041,0.0,1.7472035794183445,0.15119754113736478,5.513854748603352,192.98718655712193,15.913619688716722,-0.3098624758545394,7.117036648044693,0.15171523258846506,1.2776459951586099,-0.05389344748242286,-0.02223208123829246,-0.010186335403726725,1.2855935915889602,0.23570226039551584,0.007497327267502604,0.07578710419254438,2.231193926846101,5.594545098039217,0.1516692809900996,-0.12192557033589749,0.9489424244360667,-0.4415957000083979,7.164826205882351,-0.13173322415385846,5.9766724137931035,1.1679771039112583,5.463467541070549,53.801730435669846,5.5749440993788815,5.902998432009833,-0.31919282197792076,0.06939044258332779,0.4410990611196309,0.3307144527632393,0.0,0.012681382385227124,17.285714285714285,-0.04485675463105893,4.89908616271772
Result3935291,c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,29.396,105.2264,0.0982,O=C([O-])C.[K+],CC(N(C)C)=O,"29.3965, 0.0006",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.09259259259259278,3,3.4490740740740735,1.4760842589662049,29.3965,0.0006,0.0,2.586206896551724,0.13524954147716953,5.574432432432433,218.5631006053365,21.21815958495563,-0.40867766859830357,7.151974,0.13658911479074973,1.1833053360240817,-0.022522511102461555,-0.02473661344629089,-0.011497734529804514,1.192050710981669,0.23570226039551584,-0.02868492479413743,0.0019508999726497974,3.1919191919191916,5.665614285714286,0.13697471327365393,-0.1128977516275747,1.0305735177461683,-0.8173553371966067,7.2058272500000005,-0.4086776685983031,6.018980769230769,1.0632930218142123,7.445677803958862,62.91888667787599,5.6669090909090905,5.902998432009833,-0.3205646152207717,0.06376385365201001,0.4074460859730871,0.33780388806045863,0.0,0.012681382385227124,20.09090909090909,-0.051531965099392514,4.445756780212874
Result3935288,c1ccc(C(c2ccccc2)P(Cc2ccc[n-]2)c2ccccc2)cc1,29.306,103.0433,0.1069,O=C([O-])C.[K+],CCCC#N,"29.3064, 0.3835",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1,0.0,1.3691437802907915,29.3064,0.3835,0.0,3.2706552706552703,0.10623343401517883,5.732560509554139,223.5488055415879,10.288518417186115,-0.4848251028806585,7.266563643312101,0.11475594749794905,0.8980012405065317,-0.08670580628892645,-0.12951507706706455,-0.061210384996838084,0.8727643836741703,0.23570226039551584,0.021984209515281634,0.11756954042847267,4.170483460559796,5.8044512195121944,0.11394942367379075,-0.07862270160488453,0.8433662316912145,-0.4848251028806585,7.307319536585363,-0.4848251028806585,6.122550000000002,0.8636205675816846,7.252876234899092,59.2808152954524,5.836763358778625,0.0,-0.7463404329798359,0.0385676074244023,0.3604214839580221,0.33359640015925907,12.263210640074686,0.013169127861582013,18.641221374045802,-0.03791807039649953,3.0817789785155028
Result3935293,c1ccc(PCPC2=NC(P(c3ccccc3)c3ccccc3)CN2)cc1,29.299,106.9122,0.0910,O=C([O-])C.[K+],CCCC#N,"29.2993, 0.0685",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1,0.0,1.3691437802907915,29.2993,0.0685,5.576708190299181,2.8355379188712524,0.02400379908381707,5.627404444444445,196.24946637430966,21.23040829272305,-0.4807305933233865,7.238094274074074,0.016725322457119808,1.0562344566178432,-0.026600586090216285,-0.08379872745964267,-0.038916129032258065,1.0589036196350117,0.37562542150964756,-0.0037919594148138375,0.1019519296728412,2.9802867383512543,5.765830681818182,0.019700624016332473,0.050366005101767426,1.0455199224595795,-0.4807305933233865,7.3122589659090895,-0.4807305933233865,6.078698113207546,0.9847703551023335,6.396610730339763,16.360316049382714,5.823895161290323,12.447754837922409,-0.37575619480419303,0.013730087960115869,0.43210719918080526,0.34345115714100066,0.0,0.013304965807656973,18.919354838709676,0.044744804641697764,2.959210770378309
Result3935289,CC(N1C=CN(c2ccccc2)[CH-]1)P(c1ccc(O)cc1)c1cccc(CO)c1,29.221,105.3727,0.0902,O=C([O-])C.[K+],CC(N(C)C)=O,"29.2211, 0.0411",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.09259259259259278,3,3.4490740740740735,1.4760842589662049,29.2211,0.0411,5.749511833283905,3.336625514403292,0.12178660572184609,5.753337579617834,189.38883066033995,15.508989523328292,-0.750844449576813,7.325192840764331,0.08481759177614316,0.9936282430084747,-0.052961512084713086,-0.05953833638397398,-0.03357377174518149,1.0164459451556034,0.5402433551367823,-0.02615729801658807,0.13955448134208517,3.226696495152871,6.069957608695653,0.08608490323483092,-0.030977101517865997,1.0676546068557482,-0.750844449576813,7.558258652173913,-0.750844449576813,6.355678571428571,0.9571586796021577,7.514561670392747,-20.891723692364494,5.911390604026845,4.899909730850478,-0.591904959742298,0.042203909747565695,0.34122325274158194,0.3656671950140868,42.46456947923127,0.020897076523540777,16.80536912751678,0.24434285466153258,2.817884919457175
Result3935294,CC(=O)P(c1ccccc1)c1cccc(C(C)(C)C)c1Nc1c(N(C)C)cccc1N(C)C,29.193,105.9602,0.1025,O=C([O-])C.[K+],CCCC#N,"29.1929, 0.0383",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1,0.0,1.3691437802907915,29.1929,0.0383,0.0,2.9891598915989164,0.06137366024025439,5.7296548387096795,190.06749412578085,25.7256878581851,-1.168762230200721,7.323055225806451,0.10618274349663082,0.8894770445102352,0.02432531167115444,-0.047100092711453385,-0.030826273658661772,0.8410142193091965,0.3070224310335631,-0.16595816167050062,0.40973693439715975,2.991255144032922,5.880634146341463,0.10449640168282646,-0.15617230748481492,1.056444616390159,-1.168762230200721,7.416285170731707,-1.168762230200721,6.199112676056338,0.8762971739251214,7.832602500361823,-81.3105945685236,6.037940277777778,43.307295996416045,-0.4445996665248597,0.019786558469674684,0.36003916504905936,0.37694053525067805,18.19910120538483,0.03495304511907947,16.77777777777778,-0.25434436718930364,0.3658987937344975
Result3935285,Cc1cc(C)c(P(c2ccccc2-c2ccccc2)c2ccccc2N(C)C)c(C)c1,29.09,106.1588,0.0762,O=C([O-])C.[K+],CC(N(C)C)=O,"29.0898, 0.2180",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.09259259259259278,3,3.4490740740740735,1.4760842589662049,29.0898,0.218,0.0,3.303030303030303,0.09017429877537904,5.606705128205127,222.38104792860645,20.8135294195672,-0.7393594104308387,7.185305068376069,0.11516114535182316,1.0342460546647898,0.031777012901457596,-0.09342301943198805,-0.05598853354832929,1.0664625792446092,0.45011733645040014,-0.0457561428890972,0.3498109659750527,3.584092289010322,5.776611111111111,0.11358901927477494,-0.11930880391677552,1.0650076671142985,-0.7393594104308387,7.30219374074074,-0.7393594104308387,6.099679687500001,0.9827972981856435,8.357586127605508,20.16980368346489,5.861144808743169,18.99525369620486,-0.4447183988863083,0.030822269591055385,0.3558994072876814,0.3557535008492687,0.0,0.025450945541494633,18.169398907103826,-0.12046869219367261,2.303693564458497
Result3935284,CN(C)c1ccccc1Cn1cc2c(P(C)C)ccc(C(C)(C)C)c2n1,29.085,103.6117,0.1054,O=C([O-])C.[Cs+],CCCC#N,"29.0847, 0.2110",0.15437109729761034,0.07445192098979814,0.056742661225519415,0.1265444360281399,0.0,1,0.0,1.3691437802907915,29.0847,0.211,0.0,2.0912010276172124,0.07396246624368628,5.685236024844722,160.21544448913576,10.204449627089385,-0.16761623064863795,7.31354017391304,0.136489889545466,0.8852498604670875,0.07121410723937072,-0.14133593731836047,-0.09572625346434874,0.8578280178360429,0.5338046584132761,-0.2625601251752135,0.5806601285383448,1.8168724279835389,5.821194174757284,0.1338033423080491,0.015019578496937394,1.1292499575750528,-0.16761623064863795,7.366574563106798,-0.16761623064863795,6.169863793103449,0.8845737551458102,5.081951068902813,-125.09804106827916,5.897821604938273,32.32490490466993,-0.4452614428986147,0.025229062972423673,0.4053725644790796,0.3887190016410726,0.0,0.038140555630044176,13.345679012345679,-0.19331421571602764,0.3235626013366922
Result3935287,C(=CP(c1ccccc1)c1ccccc1)c1ccccc1,28.846,107.6160,0.1021,O=C([O-])C.[K+],CC(N(C)C)=O,"28.8458, 1.4384",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.09259259259259278,3,3.4490740740740735,1.4760842589662049,28.8458,1.4384,0.0,2.770833333333333,0.11896152332890447,5.587071428571428,208.5368355390619,10.609079792477814,-0.4551104392374232,7.160471499999998,0.11807909604519776,1.0658553894245693,-0.027566234832491546,-0.0142681773359361,-0.006215154809074658,1.0723346178548494,0.19001991384646114,-0.04956868733622108,0.0011051688528401949,3.270042194092827,5.742571428571429,0.1173980133612815,-0.08873351131407929,1.034749729862811,-0.4551104392374232,7.252445555555556,-0.4551104392374232,6.054337500000001,0.9816786909774727,6.179774779682284,18.821415136281246,5.71523417721519,0.0,-0.3201336231281747,0.04681732267871763,0.3682737709234078,0.3346603979452446,0.0,0.011407646285501177,17.189873417721518,-0.04437355818252503,3.457823086167351
