,SMILES,ATSC5v,AATSC5Z,MATS8se,AATS2p,ATSC5Z,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),lab_code,crystal_size,crystal_score
0,CCc1nnc(-c2ccnc(O)c2)o1,-207.66944869538725,-1.4311909262759923,-0.035132074863205943,1.4996268407735789,-42.93572778827977,53.57571881445899,91.1591253721177,105.21211708262979,78.09342918733341,0,0.8706408751799204,4.0
1,C1CCC(N2CCOCC2)C(C2COCO2)C1,-286.09511454369806,-0.09181818181818176,0.09831302103981486,1.2769560074344046,-12.119999999999992,81.75028694079404,14.527395731555988,114.3853430915664,118.32746343594563,1,0.05387373333333334,1.0
2,Cc1ccnc(-c2ccccc2)c1,43.485218762253226,-0.6348684210526315,0.24990226136340266,1.736390214863675,-24.125,135.310900207091,17.44747759903797,96.55529146578253,18.198354506955226,0,0.29354214864612516,4.0
3,Cc1ccc(-c2ccccn2)cc1C1CCCCC1,-56.85457540298013,0.012941176470588185,-0.16426935902431009,1.6177908372209473,1.319999999999995,121.37933395053183,12.076413061302551,146.0041209941546,36.53753616047738,1,0.10324705333333346,4.0
4,Cc1ccncc1-c1ccncc1,-85.45788956877331,-0.3383322831337953,-0.34870499052432175,1.7141158932775526,-15.22495274102079,134.53094112748724,125.06776235875994,131.58932921231963,82.74194288168906,1,0.8756239901230347,4.0
5,Cc1ncc(C2CCCC(O)C2)s1,48.03319400075056,0.0009448223733937681,-0.2560989619493969,1.631153012591537,0.051020408163263475,0.7758369896520592,16.352005749145317,135.2884064926982,30.8709482498073,0,0.6945184000000021,4.0
6,Cc1ccnc2c(C(N)=O)cccc12,-402.4651354263048,-1.141014739229025,0.4474950141357473,1.7376146064848998,-55.90972222222223,128.25506285503977,80.7010778291814,110.18643577186099,159.96581744540967,1,1.6616891335497823,4.0
7,Cc1ccncc1-c1ccncc1,-85.45788956877331,-0.3383322831337953,-0.34870499052432175,1.7141158932775526,-15.22495274102079,72.48383415053974,83.4693931013676,184.4108776077357,97.27527017249832,0,0.6766758801569259,4.0
8,Cc1cncc(-c2cnccn2)c1C,337.54874381184106,0.689362962962963,0.2811259092666111,1.611874436645095,37.2256,99.79163443085197,68.08686277702151,64.71987899192136,71.72461832139106,1,0.9969447496517075,4.0
9,c1cncc(Cc2cccnc2)c1,-161.82016681917585,0.17332230623818523,-0.16648241735102262,1.7052345017065529,5.546313799621927,51.48144616657427,109.32986225365906,120.18039506024908,114.97057227351102,0,0.7608618894345855,4.0
