Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3Z,base_GATS3m,base_GATS2pe,base_GATS1se,solvent_GATS4se,solvent_SdssC,solvent_NsCH3,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3922242,Cc1ccc(CP(CCCO)CP(c2ccccc2)c2ccccc2)cc1,55.837,100.4759,0.0923,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"55.8374, 1.7468",0.06442562223749324,0.05199823768686698,0.15285281509040824,0.1243972321309733,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,55.8374,1.7468,0.0,1.4582375478927203,0.17061607106981871,5.578925925925927,188.3862647169551,10.609079792477814,-0.3620474184186706,7.195425012345679,0.13164494142367647,1.1183196289013604,-0.1162491915861467,-0.08531885415447062,-0.039599230159628684,1.0425094960265422,0.26011002862997024,-0.0539559557429522,0.10994466207518012,1.9406392694063925,5.634222680412372,0.132430056255605,-0.0523819874465697,0.9338175111762888,-0.5323118637029565,7.219101494845359,-0.17026444528428586,6.041614035087719,1.087083981437045,5.576608403538537,-0.9549801040710193,5.608547945205478,18.67179042399067,-0.3261410997512052,0.07823051373719142,0.44651343260013393,0.3299032733964872,0.0,0.015328224788890185,17.267123287671232,-0.06705997619384153,4.845833259099116
Result3922246,c1ccc(P(c2ccccc2)c2ccccc2)cc1,37.328,100.6148,0.0993,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"37.3281, 1.5589",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,1.0624999999999998,0.0,2,0.0,37.3281,1.5589,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3922247,CPCP(CC(O)(O)C(C)C)C1CCOCC1,36.698,90.9635,0.0936,O=C([O-])C.[K+],CCCC#N,"36.6980, 1.3729",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,1.3691437802907915,0.0,1,0.0,36.698,1.3729,0.0,0.8270676691729323,0.12777120101361103,5.733761904761907,129.58099732290276,0.0,-0.2670473251028809,7.430797634920633,0.06848239378409654,1.0242160076857225,-0.12314128776374071,-0.13578769873133129,-0.07035403752548157,0.9954014446706446,0.05892556509887896,-0.07129829411388541,0.22900399050905965,0.9042735042735044,5.773624691358024,0.0710430914482988,-0.09378608470116953,0.9137085055174605,-0.2670473251028809,7.424034160493829,-0.2670473251028809,6.139872093023257,1.0237709568736533,0.004529945515059808,3.904933597740521,5.5878323076923095,31.943497992736127,-0.4173798374924506,0.06491028790048664,0.5806242909592342,0.3251825455283092,13.847474399381248,0.03116771896649552,12.992307692307692,0.08918688231282793,2.274692046276464
Result3922248,[c-]1ccccc1P(c1ccccc1)c1ccccc1,36.247,104.4276,0.1001,O=C([O-])C.[K+],CC(N(C)C)=O,"36.2472, 1.2130",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,36.2472,1.213,0.0,4.1940298507462686,0.11894024339065114,5.6551219512195114,242.0156205114872,15.913619688716722,-0.5015432098765431,7.202459707317073,0.11882362543189053,1.050326139109461,-0.25396170878745483,-0.3415268941584731,-0.15492588219860945,1.0575289575289575,0.17677669529663687,0.01392905510406988,0.012760157188486552,4.457142857142857,5.748181818181819,0.118518113489421,-0.1121731111824266,0.964237868087371,-0.5015432098765431,7.2560304,-0.5015432098765431,6.066814285714285,0.9558226282905692,5.721885917273355,-22.479701617748766,5.903557142857142,0.0,-0.46523871551194473,0.048678785901109904,0.3621099622327467,0.3230144616925248,12.13273413692322,0.011722306294206161,18.885714285714286,0.034326857859683604,3.6058299627409256
Result3922250,c1ccc(P(c2ccccc2)C2CCCCC2)cc1,36.131,104.7551,0.1006,O=C([O-])C.[K+],CCCC#N,"36.1307, 0.4275",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,1.3691437802907915,0.0,1,0.0,36.1307,0.4275,0.0,1.965811965811966,0.13994260097285977,5.517704918032786,190.15493352488028,10.609079792477814,-0.1690432098765433,7.122297442622952,0.1387494294842537,1.210196266372486,-0.20539519397752626,-0.2437520285621551,-0.10831730769230768,1.216182048040455,0.17677669529663687,0.01827506103118108,0.08730712955573286,2.173076923076923,5.625093333333335,0.13789351025769697,-0.0964971993754419,1.0307644465782122,-0.1690432098765433,7.184529599999996,-0.1690432098765433,5.990678571428573,1.1306678555788856,3.7396756543850405,-24.273580246913586,5.7037211538461525,0.0,-0.3194333432789235,0.05544960458864299,0.41686196389119057,0.3238350660549346,0.0,0.011722306294206161,14.134615384615385,-0.03282031992289805,4.309369071532596
Result3922251,[c-]1ccccc1P(C1CCCCC1)C1CCCCC1,33.431,100.6631,0.0758,O=C([O-])C.[K+],CC(N(C)C)=O,"33.4311, 2.0316",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,33.4311,2.0316,0.0,1.3324915824915824,0.15004599419925926,5.4616,166.87107543389885,5.304539896238907,0.05234567901234621,7.08949312,0.14836969571227757,1.3341436523635397,-0.200703608364036,-0.21255995736365255,-0.09090218423551755,1.3394959719066308,0.17677669529663687,0.0187776560502789,0.16980372735738003,1.4615384615384615,5.556197802197805,0.1472696507883501,-0.09726428990519254,1.062549997419488,0.05234567901234621,7.144255384615382,0.05234567901234621,5.950180851063831,1.2616678157460945,1.7574653914967255,-33.40021338210641,5.601884615384616,0.0,-0.46734397188166465,0.05693973945926809,0.45826131979430035,0.23815758610608856,0.0,0.011722306294206161,12.076923076923077,0.09042563712334643,4.541286517551262
Result3922241,CC(C)c1ccc(P(C)c2cccc(CO)c2)cc1,29.462,110.0637,0.1158,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"29.4617, 2.3795",0.476153268219384,0.5051641116163132,0.1556534312908589,0.1428941881283608,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,29.4617,2.3795,0.0,1.6601941747572815,0.16374877997391574,5.458843373493976,143.89254707018094,10.609079792477814,-0.33547808012093716,7.123217012048194,0.10661877628799415,1.0671761048977668,0.037234224817896885,-0.013739389166010352,-0.007548076923076936,1.0147312293494375,0.2032631323962854,-0.10412324884052648,0.25281892527128547,1.4465811965811968,5.689228571428571,0.10699551769852489,-0.09562545775969726,1.0753807069437582,-0.33547808012093716,7.26467582857143,-0.33547808012093716,6.0813048780487815,1.0543877362390006,3.9370682997174873,-2.902962962962966,5.547616346153847,6.664825604232536,-0.32748379495073554,0.06449479773064648,0.421958640633788,0.33405299731110655,12.13273413692322,0.02488533470752121,11.615384615384615,-0.0323719831196101,4.034599098930716
Result3922243,c1ccc(P(c2ccco2)c2ccco2)cc1,21.953,100.4208,0.1078,O=C([O-])C.[K+],CCCC#N,"21.9525, 0.7623",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,1.3691437802907915,0.0,1,0.0,21.9525,0.7623,11.002671646832708,6.6933333333333325,0.08700546222552698,5.996825396825397,232.62796011634325,16.307211543071617,-0.705246913580247,7.571367365079365,0.11627906976744186,0.8151140591686293,-0.2823883008306841,-0.44256868586560744,-0.20942982456140352,0.852617346891707,0.25137565482875424,0.05611719970400366,0.06622662266226617,5.473684210526316,6.152553191489363,0.117312785353853,-0.0547954667938547,0.6785478547854787,-0.705246913580247,7.671119829787235,-0.705246913580247,6.386050000000002,0.774314729080396,5.024759999695735,-56.74382716049384,6.500824561403509,0.0,-0.5327076496775565,0.03804841121791916,0.35334111558161174,0.3895931959628173,42.46456947923127,0.013101401152348062,21.56140350877193,-0.09357620294683583,1.7114378027624413
Result3922255,Cc1ccc(C)c(P(c2ccccc2)c2cc(C)ccc2C)c1,18.625,102.4319,0.1200,O=C([O-])C.[K+],CCCCOC(C)=O,"18.6250, 1.4833",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,1.0555555555555556,-0.18199074074074065,2,0.0,18.625,1.4833,0.0,2.759259259259259,0.12302321620926975,5.698913043478261,211.8026947331282,15.913619688716722,-0.5200617283950615,7.228808840579711,0.12126011967617023,1.1374701492537314,-0.3298237670253253,-0.32179890253666354,-0.18994651666743512,1.1429565701559028,0.40965851220662625,-0.11033077845450645,0.31591359492667453,3.105691056910569,5.644814814814814,0.1201498800319018,-0.162703577875158,0.9528636543797067,-0.5200617283950615,7.194236543209876,-0.5200617283950615,6.017468750000002,1.0662776552511244,5.9161612449544165,-5.219771756633767,5.733593495934957,0.0,-0.34182868287823065,0.04626275195583498,0.37596850102791757,0.33743523196230985,0.0,0.02668099627431712,16.495934959349594,-0.014673832601354598,3.4829373194429265
Result3922245,c1ccc(P(c2ccco2)c2ccco2)cc1,16.375,106.1344,0.0930,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"16.3753, 2.8174",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,1.0624999999999998,0.0,2,0.0,16.3753,2.8174,11.002671646832708,6.6933333333333325,0.08700546222552698,5.996825396825397,232.62796011634325,16.307211543071617,-0.705246913580247,7.571367365079365,0.11627906976744186,0.8151140591686293,-0.2823883008306841,-0.44256868586560744,-0.20942982456140352,0.852617346891707,0.25137565482875424,0.05611719970400366,0.06622662266226617,5.473684210526316,6.152553191489363,0.117312785353853,-0.0547954667938547,0.6785478547854787,-0.705246913580247,7.671119829787235,-0.705246913580247,6.386050000000002,0.774314729080396,5.024759999695735,-56.74382716049384,6.500824561403509,0.0,-0.5327076496775565,0.03804841121791916,0.35334111558161174,0.3895931959628173,42.46456947923127,0.013101401152348062,21.56140350877193,-0.09357620294683583,1.7114378027624413
