Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS2pe,base_GATS1se,base_GATS3Z,solvent_GATS4se,solvent_VSA_EState9,solvent_NsCH3,solvent_SdssC,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3952454,C#COc1ccc2cc(NC(O)(O)P(CO)CO)ncc2c1,57.6027,96.5109,0.1466,O=C([O-])C.[K+],CCCC#N,"57.6027, 2.0164",0.6971767885426821,0.1574807960088896,0.1453627869996672,0.6819085487077534,1.3691437802907915,0.0,1,0.0,57.6027,2.0164,17.673869271561486,5.320048309178744,0.22460328569482513,6.261076923076924,155.4342783228941,10.05365155780638,-1.8475031950053997,7.819334953846153,0.0057887610020311755,1.0790123835290129,0.0705880648940403,0.13802003865323978,0.09113960185721603,1.1092107763959378,0.2886751345948129,-0.19148348463455975,0.07448564521453717,3.745849297573436,6.562984745762712,0.012680407550523682,-0.09788123606190295,1.0461987999744824,-1.8475031950053997,8.065219152542372,-1.8475031950053997,6.8020657894736845,1.0485793308884028,5.254398916597351,-17.74853231609989,6.343093103448276,18.01272934211599,-0.45417817189132015,0.08520752943614301,0.3448106306494539,0.4103191516182736,0.0,0.02683417612389437,16.310344827586206,0.6369160749235125,5.761377550451976
Result3952607,C#CCCCn1nnnc1-c1cccc(P(CC)c2ccccc2)c1,55.3136,97.0373,0.1338,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"55.3136, 0.8592",0.5051641116163132,0.1556534312908589,0.1428941881283608,0.476153268219384,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,55.3136,0.8592,0.0,3.3731656184486374,0.1117530113655171,5.737019834710743,189.76528147564088,10.609079792477814,-0.36840651872392893,7.317870528925618,0.12822769953051644,0.5473405189942803,-0.00976513924674905,-0.08631578947368419,-0.04262759924385632,0.45674074746681115,0.35841374236010204,-0.054275742644770024,0.35744304981930797,3.143961352657005,5.934708749999999,0.12568803205676143,-0.14643487803855548,1.2770185367374172,-0.36840651872392893,7.434190374999998,-0.36840651872392893,6.303943750000002,0.5862420382165603,6.120760396039879,-64.47020933977454,6.012410434782606,6.161910027467921,-0.37958168014286786,0.039677729626819785,0.3698204281485444,0.36877208699765324,4.681802935145185,0.013687350481121392,16.808695652173913,-0.04620484982599459,1.1295568429647351
Result3952456,C=Cc1cccc2c1NC(N)(N=C(NCc1cccnc1)P(c1ccccc1)c1ccccc1)C=CO2,54.9826,101.2039,0.1401,O=C([O-])C.[K+],CCCC#N,"54.9826, 2.9347",0.6971767885426821,0.1574807960088896,0.1453627869996672,0.6819085487077534,1.3691437802907915,0.0,1,0.0,54.9826,2.9347,11.326220023583087,4.482167352537723,0.11099872961448601,6.009866169154228,210.67196915469773,31.71318743145271,-1.050904119192259,7.526418199004976,0.08165478610558523,1.0007707416040397,-0.09537980704029601,-0.1492222580565134,-0.08229298491637307,1.0387538708011144,0.3760241478105343,-0.09855917907495088,0.1509700043752565,4.440590879897238,6.171927927927928,0.08226776248704598,-0.0032130873377741722,1.1167631371808957,-1.050904119192259,7.621200756756756,-1.050904119192259,6.391666666666667,0.9489238406466927,10.499372877019848,-54.29222879684419,6.210395953757225,5.316788604006331,-0.4967043124116335,0.035337538020102734,0.3241466791682495,0.4081651860317071,48.661413050844345,0.018764969628269696,20.173410404624278,0.25601148743503055,3.2851499455084627
Result3952465,N#CCP(c1ccccc1)C1CCCC1,52.8027,95.2541,0.1443,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"52.8027, 2.7319",0.5051641116163132,0.1556534312908589,0.1428941881283608,0.476153268219384,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,52.8027,2.7319,0.0,2.062222222222222,0.15093026447127444,5.59397297297297,164.77957283429052,5.304539896238907,-0.21810699588477367,7.222471945945945,0.13680043815972898,0.8761419761416395,-0.10196964321676118,-0.19575471698113214,-0.08636836628511968,0.7372550653550867,0.16596365263022672,-0.038130004624198105,0.11182229113990733,2.013157894736842,5.58139655172414,0.13645277309122888,0.11902221030419385,0.7428961230509901,-0.21810699588477367,7.164600310344826,-0.21810699588477367,6.009234375000004,0.8893647990061422,2.5931773885190923,-16.81130766562608,5.728802631578947,6.161910027467921,-0.40822830226316914,0.06492575129426875,0.4499025457709921,0.33159325171836807,0.0,0.011413244146704353,12.5,-0.03107219612673081,3.7637868399159222
Result3952613,c1ccc(P(c2ccccc2)c2nc(Nc3ccccn3)nc(-n3cccn3)n2)cc1,51.5525,92.8376,0.1519,O=C([O-])C(C)(C)C.[Cs+],CCCCOC(C)=O,"51.5525, 1.6719",0.05199823768686698,0.15285281509040824,0.1243972321309733,0.06442562223749324,1.0555555555555556,0.0,2,-0.18199074074074065,51.5525,1.6719,5.817862777835028,6.776643990929705,0.06201080443800421,6.351632478632478,245.4465606441486,21.491361299025986,-0.9926566188889818,7.77129176068376,0.09955391261457085,0.7991930298255933,-0.1022791972385605,-0.025185100248984398,-0.012314580463268505,0.849244240326627,0.4345509866085265,-0.0382362818792695,0.17183296382378144,7.217948717948717,6.362163855421687,0.09923850425029063,-0.01888116684941718,0.8748114362787728,-0.9926566188889818,7.755430843373493,-0.9926566188889818,6.525926415094339,0.7500597886108046,9.782388707803879,-11.319625053347124,6.516974038461539,5.316788604006331,-0.3990305026118238,0.02024399874937573,0.31578917820852925,0.4153937258550916,66.86051425622918,0.015448631665095277,25.576923076923077,0.46641416876220687,0.4230974358812731
Result3952618,[c-]1ccccc1P(CC=NCCN=Cc1ccccc1)c1ccccc1,51.4403,114.5687,0.1170,O=C([O-])C(C)(C)C.[Cs+],CCCCOC(C)=O,"51.4403, 1.4653",0.05199823768686698,0.15285281509040824,0.1243972321309733,0.06442562223749324,1.0555555555555556,0.0,2,-0.18199074074074065,51.4403,1.4653,0.0,3.055555555555556,0.0904429837075873,5.6952094339622645,184.17273377569194,10.609079792477814,-0.45479807181236165,7.275202660377358,0.11139484040227372,0.8647389220082374,-0.07061512193909619,-0.0820829655781112,-0.03291868932038835,0.8488390119599489,0.19001991384646116,0.06621460858834789,0.10561159072800232,3.117583603020496,5.861827160493828,0.11015349057498773,-0.06209577919476895,1.0159428006321205,-0.45479807181236165,7.373181950617283,-0.45479807181236165,6.154680000000001,0.8408644105286442,7.33635467638102,20.760438100137172,5.808737864077671,19.25142283929307,-0.4661740602485086,0.03245526055880057,0.36528388743839046,0.3314343020419407,36.54643592184337,0.009213868153674028,15.330097087378642,-0.08346469629797391,1.645389774831888
Result3952460,c1ccc(P(c2ccccc2)c2cccc3ccccc23)cc1,51.3935,97.9982,0.1525,O=C([O-])C.[K+],CCCCOC(C)=O,"51.3935, 2.3978",0.6971767885426821,0.1574807960088896,0.1453627869996672,0.6819085487077534,1.0555555555555556,0.0,2,-0.18199074074074065,51.3935,2.3978,0.0,3.9275362318840585,0.1162567373994897,5.666245614035087,238.14117605824308,15.913619688716722,-0.5457818930041152,7.207821964912281,0.1158417369829184,1.0009549788394492,-0.1545152894944644,-0.25468059564251233,-0.1271811224489796,1.0071629538009867,0.36039797265996265,0.02736571606278521,0.04644073933508699,4.241496598639455,5.784782608695652,0.11542327600968559,-0.15365869802152654,1.0360513108316411,-0.5457818930041152,7.2769795942029,-0.5457818930041152,6.08560465116279,0.9211047231982382,6.944061512562611,-4.761975308641981,5.862903061224488,0.0,-0.3527796740615447,0.044336542016338416,0.35212290730160184,0.3596641684003204,0.0,0.01415480747806629,19.102040816326532,-0.050080330449449595,3.876526568445985
Result3952615,Cc1cccc(C)c1OC(C)SCNC(c1ccncc1)P(C)c1ccccc1,51.3734,118.8761,0.1369,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"51.3734, 0.6554",0.5051641116163132,0.1556534312908589,0.1428941881283608,0.476153268219384,1.0555555555555556,0.0,2,-0.18199074074074065,51.3734,0.6554,11.185510204852989,1.8936759889140837,0.09758694306201077,5.522861878453038,173.09927924598196,15.358191454045286,-0.3976800768204889,7.224839104972373,0.10806061243817743,0.9459393498780808,-0.03528788675290397,-0.07805374835076763,-0.040674263037721654,0.9380019967130373,0.3020464161181811,-0.15452378738970843,0.3303633248418523,1.6509884117246079,5.875509803921568,0.10910112324171238,-0.055532211454838595,1.417088907886454,-0.3976800768204889,7.461381588235291,-0.3976800768204889,6.204691666666667,0.9133759980644734,6.391221913921568,-55.3152478677647,5.793007361963189,12.541613993965893,-0.5123425314445114,0.03787816745352775,0.4104317942674878,0.36266490568404375,12.393687143226153,0.021160790148596398,16.58282208588957,-0.012509540962903288,2.012494402142322
Result3952452,CC(NC1CCCCC1c1cccnc1)NC(C)P(C(C)C)C(C)C,51.37,94.6552,0.0951,O=C([O-])C.[K+],CC(N(C)C)=O,"51.3700, 3.8686",0.6971767885426821,0.1574807960088896,0.1453627869996672,0.6819085487077534,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,51.37,3.8686,0.0,1.103888888888889,0.10420172424834022,5.3486800000000025,125.55915858270168,10.633577208012662,-0.011533628186165101,7.056691119999997,0.11671162352800522,1.192172599573067,0.16260227591543144,0.04617635583300819,0.023035823771568712,1.1876848833822178,0.16596365263022672,-0.05591696709252282,0.3325590072395473,0.9298998569384835,5.698959504132235,0.11490931291584551,0.055715261987858526,1.2338763358874245,-0.011533628186165101,7.28113302479339,-0.011533628186165101,6.080375000000001,1.177840564247682,2.397553190857664,-9.154216785022198,5.663418884120169,0.0,-0.3772013621803861,0.03356635529258765,0.4477504586710749,0.3332115975447116,6.196843571613076,0.02757835827431092,9.330472103004292,0.07808676733670179,1.1851437828268296
Result3952606,C=C(C=NN=Cc1cc(O)cc(N=CNN=CC#CSc2cc(C)cc(C)c2)c1O)P(c1ccccc1)c1ccccc1,51.3376,96.1134,0.0858,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"51.3376, 1.0899",0.05199823768686698,0.15285281509040824,0.1243972321309733,0.06442562223749324,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,51.3376,1.0899,23.524945303773254,4.338134430727024,0.1347006237397902,5.96693988095238,207.3777520476175,16.0348711895882,-0.8809226170519993,7.519219666666665,0.06344492914005595,0.8449008788930857,0.0017114308930114724,-0.08819832564179869,-0.046043862250982164,0.8715196302776884,0.4917249473611308,-0.12289393260736048,0.16576337798790136,4.750537634408602,6.0714008547008556,0.06503623486708403,0.05413505578094772,0.9992319411780219,-0.8809226170519993,7.555109658119655,-0.8809226170519993,6.4121342105263155,0.8301404983255437,12.29058170932912,17.64291588767726,6.241814193548386,0.0,-0.36588364772186216,0.046301647049387856,0.33327828871949,0.4271730639959794,36.39820241076966,0.01991456561415731,19.703225806451613,-0.10523449940504559,3.0567331051023534
