Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS2pe,base_GATS3Z,base_GATS3m,solvent_VSA_EState9,solvent_GATS4se,solvent_SdssC,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3941606,NCPCC(c1cncs1)P(c1ccccc1)c1ccccc1,52.316,107.4060,0.1045,O=C([O-])C.[K+],CC(N(C)C)=O,"52.3157, 3.2671",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,52.3157,3.2671,0.0,2.631445170660857,0.08782407120733111,5.63645179856115,220.87884780001787,16.34274726964,-0.45467078189300403,7.269834517985614,0.04419878521910585,1.1366511573252824,-0.1614771912244632,-0.22742693365049033,-0.10602596906799495,1.0979921037623825,0.2248892177291057,0.021652486711553027,0.05673240517885309,2.856209150326797,5.7270810810810815,0.04797259347943387,-0.19354779808907224,1.0370235295338153,-0.45467078189300403,7.3186870540540525,-0.45467078189300403,6.120844444444446,1.0590660902702727,4.960414433348897,-15.752518879073767,5.81654789915966,12.447754837922407,-0.35256117159799455,0.04897833856401887,0.4515459540336375,0.3518168814518636,11.707382845230455,0.011914583243746613,23.04201680672269,-0.056615728395400654,4.843828769010187
Result3941595,S=CPCP(c1ccccc1)c1ccccc1,51.669,102.8585,0.1304,O=C([O-])C.[K+],CC(N(C)C)=O,"51.6691, 2.3277",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,51.6691,2.3277,0.0,2.1369248035914703,0.017081666700661843,5.449567567567567,206.0713176188006,10.609079792477814,-0.24233539094650203,7.115999405405405,0.009790141213389078,1.268619825329628,-0.0578597979729766,-0.2276742581090407,-0.09808235469005501,0.9893970830936991,0.11785113019775792,-0.02710865801402154,0.029450458368563977,2.2095238095238097,5.5634901960784315,0.013854078229930934,0.005678729611839996,1.0746426707554384,-0.24233539094650203,7.1686354509803945,-0.24233539094650203,5.946234375000002,1.0864508630753833,3.8501609057294672,-8.351948202104289,5.640342857142855,5.902998432009833,-0.3185586383467084,0.011424773784807735,0.48586020257483953,0.3238466907702681,5.108571300058151,0.010070509541209775,20.142857142857142,-0.03401795075452864,2.557789821575123
Result3941592,CC(C)(C)P(c1ccccc1)c1ccc(P(c2ccc3c(c2)CC=C[N-]3)C(C)(C)C)cc1,51.548,105.4467,0.1215,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"51.5480, 2.5603",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,0.0,1.0624999999999998,0.0,2,51.548,2.5603,0.0,2.011640211640212,0.1385412795221449,5.391469230769231,196.0393115318746,21.21815958495563,-0.4797191019754954,7.05040846923077,0.14380086666383773,1.0934197843297944,-0.02703828730553871,-0.08603773074216423,-0.05751649952276911,1.0337785579951257,0.4085104950924315,-0.24575338274989222,0.2794223515363916,1.907924344705954,5.637099173553718,0.1431678567766887,0.06758107736674569,1.1860764617166761,-0.9052630434266236,7.203392760330577,-0.42554394145112817,6.019108695652173,1.0489801484944765,6.235852596894755,-148.44452380142616,5.7938039408867,0.0,-0.7039750000177203,0.05854712097661837,0.4008562416799715,0.3353833664707852,6.199954889820448,0.034850535654701434,15.576354679802956,0.10293933326196308,3.730690684109291
Result3941597,C(=CP(c1ccccc1)c1ccccc1)CSC(c1ccccc1)c1ccccn1,51.331,116.2342,0.1142,O=C([O-])C.[K+],CC(N(C)C)=O,"51.3309, 1.1346",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,51.3309,1.1346,0.0,2.916290274013851,0.10197382933643735,5.62,213.66585063835413,10.609079792477814,-0.4997810170021373,7.222615475862069,0.10157888204438116,0.9075089302037282,-0.12839866659725493,-0.19531250000000006,-0.08680555555555555,0.8463660247779976,0.23570226039551584,-3.4569018411368845e-05,0.07020388268656014,2.9921875,5.815815217391304,0.10298869626255841,0.01762191510633863,1.0089601672625719,-0.4997810170021373,7.354831695652172,-0.4997810170021373,6.124921052631579,0.8628753949689673,7.9982128967770585,-44.95393656116108,5.8753984374999995,5.752853606746789,-0.3803464601528248,0.04023741819495032,0.37911615646545455,0.3510059879173393,24.025095589465803,0.011413244146704412,18.84375,-0.11013977364284733,3.067854282947663
Result3941601,C=CCn1ccnc1P(c1ccccc1)c1ccccc1,50.946,115.2099,0.1273,O=C([O-])C.[K+],CC(N(C)C)=O,"50.9456, 1.4415",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,50.9456,1.4415,5.565492902541839,4.325301204819277,0.08481147188057522,5.835137254901961,227.50000411966184,16.174572695019656,-0.6372170781893007,7.3649636862745105,0.12656204801851326,0.9268479313616421,-0.2749338694727246,-0.3854080052172496,-0.18816665074664884,0.9565270952730297,0.3034566378609443,-0.010281749985080486,0.10867870912971192,4.334610472541507,5.959285937500001,0.12555333471639793,-0.044678947998773456,0.9492674569237081,-0.6372170781893007,7.450948812500001,-0.6372170781893007,6.2105250000000005,0.8732502689499791,6.071120795257173,-42.33145241270818,6.130528735632183,0.0,-0.4366628448651336,0.03273016135634926,0.3592824973942567,0.35623766113198535,18.469707250060033,0.013049305457436851,20.011494252873565,-0.05414696783557073,1.1173503403534215
Result3941600,c1ccc(PCP(c2ccccc2)c2ccccc2)cc1,50.723,109.7092,0.0946,O=C([O-])C.[K+],CC(N(C)C)=O,"50.7234, 1.5822",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,50.7234,1.5822,0.0,1.9224806201550386,0.05238700915515614,5.470774193548387,195.3134694140186,15.913619688716722,-0.26220920466952213,7.091178774193548,0.056146905399689834,1.1714264472366887,0.007500259844419114,0.01899007337073803,0.008265239034469806,1.1800352024138796,0.19001991384646116,-0.05208605586443004,0.05259410939746043,2.402930402930403,5.630478787878788,0.05794283819651808,-0.05828367195430599,1.09117416294938,-0.26220920466952213,7.185029166666668,-0.26220920466952213,5.9794024390243905,1.0539730134932537,5.586353437666363,32.0,5.566719780219779,5.902998432009833,-0.3187394702352804,0.027770258888442322,0.4275232636477863,0.3286122941657006,0.0,0.011407646285501092,18.252747252747252,-0.037328991675283994,3.325732903856398
Result3941607,S=C(CP(c1ccccc1)c1ccccc1)n1cncn1,47.675,101.3091,0.1116,O=C([O-])C.[K+],CCCC#N,"47.6755, 0.6192",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,0.0,1.3691437802907915,0.0,1,47.6755,0.6192,17.64314225126727,3.114114114114114,0.06965470625290449,5.8666265060240965,211.78823005700642,10.609079792477814,-0.5248251028806585,7.454398650602409,0.07058266615205458,0.7322958575380587,-0.021662602859395055,-0.0421810699588477,-0.020660115898211127,0.6990787241420025,0.26011002862997024,-0.025550884253721148,0.13229618564224996,3.61042524005487,6.051874576271187,0.07395638823041499,-0.11227542794724833,0.9438283639130535,-0.5248251028806585,7.546271016949152,-0.5248251028806585,6.335313513513513,0.7024503827269688,5.83416955650265,22.155666414714037,5.892482716049383,6.161910027467921,-0.3909733705432581,0.03165981177497647,0.37104432489669553,0.37889843253628397,12.13273413692322,0.015660808070122125,21.65432098765432,-0.05750730498453366,0.7028265621713891
Result3941605,Cc1cc(C)c(CP(c2ccccc2N(C)C)C(C)(C)C)c(Nc2ccccc2)c1,37.997,91.4789,0.0703,O=C([O-])C.[K+],CCCCOC(C)=O,"37.9972, 3.9602",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,0.0,1.0555555555555556,-0.18199074074074065,2,37.9972,3.9602,0.0,1.9140145170295926,0.08944449930077143,5.63561304347826,177.37145279481624,15.521238231095715,-0.4246688805837835,7.219148008695652,0.11273437190144711,1.1432563290524045,-0.05280646977088527,-0.16891681089874533,-0.1045085310507267,1.183353058689129,0.3580723597565906,-0.26446155117393966,0.41951066209278176,2.045846817691478,5.735196581196582,0.11096310789065932,-0.21248307783981235,1.108506326136214,-0.4246688805837835,7.288709367521368,-0.4246688805837835,6.104500000000001,1.095475929403845,6.632009403575831,-34.28876031850391,5.722623786407767,24.31204230021119,-0.4448953300058801,0.029756929114298433,0.3798326835620436,0.3489105908150421,0.0,0.03361637329289193,14.28640776699029,-0.03188575488520438,1.6182420469474166
Result3941603,CP(CP(CP(c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,37.069,104.2843,0.1143,O=C([O-])C.[K+],CCCC#N,"37.0687, 5.2791",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,0.0,1.3691437802907915,0.0,1,37.0687,5.2791,0.0,1.723575173346863,0.14771867579718634,5.459810055865921,201.18338751296778,21.21815958495563,-0.3741904855220548,7.084823117318432,0.15059760956175283,1.3391277908087917,-0.004725790961986972,-0.004897754897754883,-0.0023426011422317907,1.3492753623188407,0.23570226039551584,-0.07088264288057901,0.09331515415939483,2.0919067215363514,5.555446464646464,0.15173008200852114,-0.028195563713651294,0.9733676263942346,-0.789865380308501,7.138810888888886,-0.16788472933755094,5.963175000000001,1.1923443163988539,7.132417872889665,18.942512225984068,5.576080246913579,18.4708224682522,-0.3191701207058757,0.07984179229262711,0.4685572715695006,0.33594047399693266,0.0,0.014951682476125997,19.65432098765432,-0.05242706013455928,5.04167432083391
Result3941594,CC(C)Oc1ccc(P(c2ccc(O)cc2)C(C)(C)O)cc1O,24.14,100.9407,0.1162,O=C([O-])C.[K+],CC(N(C)C)=O,"24.1399, 0.6184",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,24.1399,0.6184,5.749511833283905,2.8578154425612055,0.18210104119934942,5.775591836734691,189.33864959690248,15.345942746277863,-1.1243496472663137,7.423234408163266,0.06323865973822639,0.9899357715214566,-0.10800702081393954,-0.12960784313725493,-0.08850819155639572,1.000173957079428,0.28688347000816744,-0.0022829323688936553,0.26568332320792293,2.609259259259259,6.0049367088607575,0.06591897298251988,0.053732336931618704,1.0534561979697386,-1.1243496472663137,7.562460835443037,-1.1243496472663137,6.373563829787235,0.9748575321367466,4.895335376524201,-100.69103129594622,6.085180833333335,0.0,-0.519126894391388,0.06675439188638872,0.3682170664068729,0.4155632845280333,19.913841467842857,0.039376280277441236,16.833333333333332,0.040180602492688226,4.296955593508658
