Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS1se,base_GATS3m,base_GATS3Z,solvent_SdssC,solvent_VSA_EState9,solvent_GATS4se,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3950809,CC(C)c1[c-]cc(C(C)C)c(P(c2ccccc2)c2ccccc2)c1-c1ccccc1P(C(C)C)C(F)F,79.981,109.3209,0.1189,O=C([O-])C(C)(C)C.[K+],CCCC#N,"79.9814, 2.5715",0.1556534312908589,0.1428941881283608,0.5051641116163132,0.476153268219384,0.0,0.0,1.3691437802907915,1,79.9814,2.5715,0.0,3.7661375661375662,0.13709405008453077,5.79551388888889,230.47259405219955,21.21815958495563,-1.654994389388128,7.322520368055554,0.11535692772304779,0.583831688091946,-0.12450689721570868,-0.13584367782909937,-0.0836555555555556,0.5213303179170762,0.34237623488261243,0.018360181297363998,0.2708294362192233,3.926748971193416,5.799088235294119,0.11348554541106723,-0.18850579132506431,1.1252769538723517,-2.6022300490841053,7.336754588235293,-0.9472356596959772,6.102019230769232,0.6088586664274992,7.920811852413852,-131.57544032921814,6.111046250000002,0.0,-0.4595121103906278,0.05605565558472682,0.3934039237221849,0.4346073925622255,32.046575604766076,0.027370835573996027,21.108333333333334,0.08213954490637534,3.638935038251442
Result3950812,CC(C)Cc1ccc(C(C)(C)CP(Cc2cccnc2)C(C)C)c2cc(O)ccc12,79.678,108.4604,0.1187,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"79.6776, 1.2390",0.15285281509040824,0.1243972321309733,0.05199823768686698,0.06442562223749324,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,79.6776,1.239,5.749511833283905,1.665130568356375,0.12337961870935993,5.561118852459017,173.3143674294845,0.0,-0.19470412770732404,7.182555237704919,0.09806156262570148,1.0112614581103248,-0.15428317760834778,-0.2079573247870456,-0.12756243614118132,0.9766168474888918,0.36440649350005466,-0.1445067539829166,0.4269953001034839,1.6536254564423578,5.678344262295083,0.09751517554866934,-0.008014954434349192,0.9537426897563598,-0.19470412770732404,7.243112786885245,-0.19470412770732404,6.088419117647058,1.0107136954996685,4.988360624696087,-94.26419072883719,5.692037558685446,6.161910027467921,-0.3770832552827597,0.04104398227675356,0.40103161849002616,0.3808807853732487,30.59278834861098,0.03342241939577753,13.755868544600938,0.021037167691278447,2.932273069325078
Result3950813,CC(C)CC(C)(C)P(Cc1cccc2c1C(C(C)C)C=C(c1ccc(F)cc1)C2(C)O)C(C)C,78.472,119.6749,0.1438,O=C([O-])C.[K+],CC(N(C)C)=O,"78.4721, 4.2084",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,78.4721,4.2084,11.418271652029583,1.8824242424242423,0.1257885220405924,5.476482758620689,162.15455046542345,0.0,-0.25866664750222523,7.133056155172414,0.08516253747830207,0.7589820067230927,0.02608031404671867,-0.05808591232730304,-0.03983143100419268,0.7091162681226394,0.4272493587897724,-0.07975920613754921,0.4381409992258854,1.5974499089253187,5.689905405405407,0.0841143972956345,-0.09131625544125604,1.0067901031073492,-0.25866664750222523,7.255791513513514,-0.25866664750222523,6.0756250000000005,0.7991297376678016,4.351752313706619,-29.540831649093782,5.678534426229508,0.0,-0.33598690340761717,0.04049861569863436,0.4012651988428666,0.37077867556847155,6.923737199690624,0.04177799084016199,12.636065573770491,0.05640987034508339,3.1388430291619924
Result3950814,CCc1ccc(-c2ccc(-c3ccc(-c4cnoc4C)cc3C)cc2O)c(P(Cc2cccnc2)c2ccccc2)c1,64.964,96.6769,0.1052,O=C([O-])C.[Cs+],CCCC#N,"64.9643, 6.3886",0.15437109729761034,0.1265444360281399,0.056742661225519415,0.07445192098979814,0.0,0.0,1.3691437802907915,1,64.9643,6.3886,11.509759252158346,3.709531866892273,0.11308153943154785,5.773736170212766,207.01378215835518,10.609079792477814,-0.7509000535390504,7.334406306382976,0.09131493506493507,0.7503728866502676,-0.03935624808518762,-0.04160690644307151,-0.02437979797979799,0.7459022885307823,0.715258321672436,-0.009598269941583953,0.3218003498135251,3.806060606060606,5.926812030075188,0.09079659923274655,-0.01636212222902414,1.032640098635144,-0.7509000535390504,7.4185469022556365,-0.7509000535390504,6.2774262499999995,0.7507111538611773,11.485661502647996,16.37460631001371,5.903841363636364,0.0,-0.4659614912310487,0.035850038817250726,0.3350407815551863,0.3978630634890551,31.450158479839995,0.02185337794944156,17.954545454545453,-0.08193698776882395,3.1931263535429637
Result3950799,Cc1cc(O)c(C(C)(C)N(CCP(CO)C(C)(C)C)Cc2ccc(O)cc2)cc1C,62.822,107.8981,0.1242,O=C([O-])C.[K+],CCCCOC(C)=O,"62.8224, 3.1645",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,-0.18199074074074065,0.0,1.0555555555555556,2,62.8224,3.1645,11.49902366656781,1.5698005698005697,0.13709421294393842,5.660968325791856,127.75150057022343,0.0,-0.5354634528708602,7.299684199095021,0.07090044721229125,1.045489366362958,0.052065396788084375,0.06292790978654852,0.04158903380356668,1.0321290840807722,0.3367033428766567,-0.2472990136124645,0.36233971299891143,1.2675213675213675,5.802674796747969,0.07162332308834043,-0.04876422415884151,0.9277502700918763,-0.5354634528708602,7.375086422764228,-0.5354634528708602,6.209195652173913,1.0404297077959557,4.927470396344974,-35.576872143192794,5.696161923076923,19.054636802435326,-0.36741780013100234,0.044185325308817115,0.3957197359570922,0.3714933459826186,25.122838405075452,0.040992861931557295,10.611538461538462,0.08233815907577755,2.421828106035679
Result3950801,c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,52.805,109.7956,0.1180,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"52.8053, 1.0127",0.1556534312908589,0.1428941881283608,0.5051641116163132,0.476153268219384,0.0,0.0,1.0624999999999998,2,52.8053,1.0127,0.0,2.586206896551724,0.13524954147716953,5.574432432432433,218.5631006053365,21.21815958495563,-0.40867766859830357,7.151974,0.13658911479074973,1.1833053360240817,-0.022522511102461555,-0.02473661344629089,-0.011497734529804514,1.192050710981669,0.23570226039551584,-0.02868492479413743,0.0019508999726497974,3.1919191919191916,5.665614285714286,0.13697471327365393,-0.1128977516275747,1.0305735177461683,-0.8173553371966067,7.2058272500000005,-0.4086776685983031,6.018980769230769,1.0632930218142123,7.445677803958862,62.91888667787599,5.6669090909090905,5.902998432009833,-0.3205646152207717,0.06376385365201001,0.4074460859730871,0.33780388806045863,0.0,0.012681382385227124,20.09090909090909,-0.051531965099392514,4.445756780212874
Result3950816,c1ccc(PCP(c2ccccc2)c2ccccc2)cc1,52.387,119.0529,0.1387,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"52.3875, 1.2553",0.1556534312908589,0.1428941881283608,0.5051641116163132,0.476153268219384,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,52.3875,1.2553,0.0,1.9224806201550386,0.05238700915515614,5.470774193548387,195.3134694140186,15.913619688716722,-0.26220920466952213,7.091178774193548,0.056146905399689834,1.1714264472366887,0.007500259844419114,0.01899007337073803,0.008265239034469806,1.1800352024138796,0.19001991384646116,-0.05208605586443004,0.05259410939746043,2.402930402930403,5.630478787878788,0.05794283819651808,-0.05828367195430599,1.09117416294938,-0.26220920466952213,7.185029166666668,-0.26220920466952213,5.9794024390243905,1.0539730134932537,5.586353437666363,32.0,5.566719780219779,5.902998432009833,-0.3187394702352804,0.027770258888442322,0.4275232636477863,0.3286122941657006,0.0,0.011407646285501092,18.252747252747252,-0.037328991675283994,3.325732903856398
Result3950815,Cc1cccc(P(c2ccccc2)C(C)(C)CC(N=Cn2[nH]c3ccccc3c2=O)C(C)C)c1,47.871,101.6858,0.1236,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"47.8705, 0.9787",0.15285281509040824,0.1243972321309733,0.05199823768686698,0.06442562223749324,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,47.8705,0.9787,6.338535362521884,2.4016260162601624,0.09665418438838096,5.652077108433736,184.22441010896992,16.16834668752982,-0.6053939951954321,7.2542900963855415,0.10657495979731557,0.7600348542090515,-0.12995463381948524,-0.14404432132963993,-0.08996539792387546,0.6926433220252469,0.6997784354582115,-0.16987584138618808,0.33455959784093653,2.3371459694989105,5.887708870967743,0.10528230640679427,0.04258270792538291,1.11027433573877,-0.6053939951954321,7.402771177419355,-0.6053939951954321,6.21003661971831,0.7705378620581218,7.500939112209679,-84.14814814814814,5.878987745098039,0.0,-0.4019556701098234,0.03134628580644869,0.35804411403382197,0.4729796573936587,24.26546827384644,0.029392828952831837,15.318627450980392,-0.118608269682702,2.0624468538413234
Result3950807,CC(c1cccnc1)P(c1ccc2cnccc2c1)C1CCCCO1,47.112,103.2596,0.0600,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"47.1120, 3.0339",0.1556534312908589,0.1428941881283608,0.5051641116163132,0.476153268219384,-0.18199074074074065,0.0,1.0555555555555556,2,47.112,3.0339,0.0,2.5460809646856157,0.08820791803959752,5.706336912751678,180.13413421226673,5.304539896238907,-0.4672675736961447,7.297071503355705,0.1274564851207187,0.8184466917251867,-0.10630476738562705,-0.06321934945788156,-0.03289930555555555,0.8342256816259491,0.37121101532637285,-0.0024840327544462934,0.22201758020610976,2.6285714285714286,5.941333333333334,0.12659944010384594,-0.07860971305052691,1.0430122259746892,-0.4672675736961447,7.475061066666667,-0.4672675736961447,6.233,0.7961736037808572,5.55299944929207,-19.269118655692733,5.863246428571428,6.606881964512918,-0.41137308028915615,0.031708454459076704,0.37300695678757206,0.37077158539910066,30.853741354913915,0.01726854887512689,15.528571428571428,-0.11544873301856788,2.069131522204464
Result3950805,C=C(c1cc[n-]c1)P(C)c1ccccc1,41.279,91.6983,0.1374,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"41.2790, 0.7804",0.1556534312908589,0.1428941881283608,0.5051641116163132,0.476153268219384,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,41.279,0.7804,0.0,2.0451977401129944,0.12201594618139865,5.5391578947368405,153.53575719167333,10.288518417186115,-0.32189300411522637,7.170050947368422,0.13299197970003185,0.9463325170752492,0.020643597731170717,-0.004539347060318817,-0.002379683216570196,0.9026419100626764,0.19037142086468112,-0.09497375221051789,0.2275156189730852,1.9701492537313432,5.7426956521739125,0.13266152188502836,0.0429708524671673,0.9915300521156357,-0.32189300411522637,7.285744608695656,-0.32189300411522637,6.093620689655175,0.9062052836968812,3.7268176899023135,3.300390526581002,5.6354626865671635,6.664825604232536,-0.7464058667806428,0.054041630847971624,0.41122541808937313,0.31415005836223325,24.52642128014937,0.019901324142559396,11.402985074626866,-0.04845027687062507,2.349569909908172
