Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS2pe,base_GATS3m,base_GATS3Z,solvent_VSA_EState9,solvent_SdssC,solvent_NsCH3,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3950153,CN(C)c1ccccc1NP(CC(C)(C)O)c1ccccc1Cc1ccccc1,59.318,101.5373,0.0880,O=C([O-])C.[K+],CC(N(C)C)=O,"59.3185, 2.7854",0.1453627869996672,0.1574807960088896,0.6971767885426821,0.6819085487077534,3.4490740740740735,0.09259259259259278,3,1.4760842589662049,59.3185,2.7854,0.0,2.2046783625730995,0.06038793932555184,5.631994680851063,190.3666687177487,15.291744690166539,-0.8047450554295794,7.236098234042553,0.11408698923368182,1.135978073585249,0.029123213655053957,-0.05037762919249615,-0.029261006289308188,1.1285880756843418,0.28624495871139877,-0.12196619931249213,0.2723467246025467,2.767994409503843,5.870566037735848,0.11189214217945935,-0.2219985070253207,0.8785528096058636,-0.8047450554295794,7.401506981132071,-0.8047450554295794,6.195324193548388,1.0835964083612672,6.902287149025456,-34.326131687242814,5.939625786163521,30.244458786749934,-0.44249799029149167,0.020405705755303673,0.3712261027010418,0.35384512760850156,13.847474399381248,0.028961900171198065,16.71069182389937,-0.0937234817855641,2.035605252601057
Result3950152,Cc1ccccc1-c1ccccc1CSc1ccccc1Cc1ccccc1P(c1ccccc1)c1ccccc1-c1ccccc1C,52.158,111.2872,0.0620,O=C([O-])C.[K+],CC(N(C)C)=O,"52.1576, 2.6379",0.1453627869996672,0.1574807960088896,0.6971767885426821,0.6819085487077534,3.4490740740740735,0.09259259259259278,3,1.4760842589662049,52.1576,2.6379,0.0,3.4405458089668617,0.09903701136490636,5.624757190635451,225.20245963283378,15.913619688716722,-0.8135032491247303,7.2022732274247465,0.09495540158963536,0.9490976543857766,-0.06977909288818604,-0.07516857024907111,-0.04028058144143646,0.8966351111512995,0.7499696267558743,-0.006069852028828059,0.21243058495926787,3.574074074074074,5.77861038961039,0.09535260818110068,-0.040474708865441446,1.0855616569587108,-0.8135032491247303,7.293775883116883,-0.8135032491247303,6.100258064516125,0.8978016093006629,13.531804965305124,-8.5157048976576,5.8172093023255815,0.0,-0.33943027958029093,0.033879969210492134,0.35048711867908483,0.3688910401128223,11.761884949391115,0.017632856853700894,19.27906976744186,-0.08717080113039756,3.666622437934401
Result3950158,Cc1nn(C)c(C)c1CP(c1ccccc1)c1cccc2c(N(C)C)cccc12,49.324,91.4761,0.0986,O=C([O-])C.[K+],CC(N(C)C)=O,"49.3240, 4.0501",0.1453627869996672,0.1574807960088896,0.6971767885426821,0.6819085487077534,3.4490740740740735,0.09259259259259278,3,1.4760842589662049,49.324,4.0501,0.0,2.60966810966811,0.07655155551450152,5.590545454545456,184.68009304478548,15.508989523328292,-0.5495418661291676,7.185423294117648,0.12966895138496323,0.8427761765964307,0.07695435052280987,0.05735716852317647,0.0357312739584208,0.8303323117945505,0.7467293922446556,0.0701135179957611,0.43293869921407957,2.852272727272727,5.894320388349514,0.12745908111359588,-0.17890683769013283,1.225633092384361,-0.5495418661291676,7.411026737864077,-0.5495418661291676,6.210701666666667,0.8305719248958965,7.407974479441736,88.30815939567346,5.700068750000001,18.99525369620486,-0.44540100616710604,0.026052693044038375,0.35953300403528177,0.3709497794924121,11.729474917822374,0.02720618316504611,15.261363636363637,-0.14757078824531047,1.1056401286012638
Result3950165,Cc1ccc([O-])c(P(c2ccccc2)c2cccc(C(C)C)c2-c2cc(O)c(C)cc2C)c1,47.344,118.1536,0.1041,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"47.3442, 1.8221",0.1243972321309733,0.15285281509040824,0.05199823768686698,0.06442562223749324,3.4490740740740735,0.09259259259259278,3,1.4760842589662049,47.3442,1.8221,5.749511833283905,3.8098908156711624,0.1336206541193018,5.824285714285713,225.12147680283175,21.020147083557426,-1.0922344524229441,7.383529928571429,0.08411251093426625,0.8049598774457158,-0.12359041877360666,-0.14257550959678622,-0.09246393592898151,0.7507952388533828,0.5508848504721564,-0.04221411132417879,0.3319891141411687,4.125295508274232,5.790178571428575,0.084588365999518,-0.16595770523898476,1.0553068242032086,-1.0922344524229441,7.315578107142857,-1.0922344524229441,6.153530303030305,0.8130915237620985,8.23274815476098,30.61421075060111,5.906210106382981,0.0,-0.8884123570524143,0.04533962547186257,0.35182946765137657,0.3714045429835949,56.31204387861251,0.02983178361048554,19.659574468085108,0.06648854190562539,3.9383287566366754
Result3950155,Cc1cnc2cc3nc(C(P(C(C)C)C(C)C)C(C)(C)C)ccc3cc2c1,46.999,94.7659,0.1217,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"46.9994, 5.5044",0.1243972321309733,0.15285281509040824,0.05199823768686698,0.06442562223749324,0.0,0.0,1,1.3691437802907915,46.9994,5.5044,0.0,1.8905390539053906,0.09877144796039627,5.485645418326694,171.28509521095694,0.0,-0.17884021371475245,7.133702326693226,0.12175521451549982,0.9605109234912564,-0.16908665704550946,-0.14138134055222068,-0.09657131011608627,0.9104403716932187,0.456910021803449,-0.2301616868753915,0.5415612633665776,1.5367606412382533,5.667123893805312,0.12001617475446354,0.21479453069705431,0.9959768361770207,-0.17884021371475245,7.234422477876106,-0.17884021371475245,6.063653225806453,0.9639966826577391,4.160733360914142,-116.82069958847732,5.803860696517414,0.0,-0.3987674968017193,0.0334678601143419,0.3989989717709079,0.3953336339557604,6.196843571613076,0.04065954060236288,13.293532338308458,0.005323230604382483,1.9464538251261898
Result3950164,COc1cc(OCc2ccc(O)cc2)c(CCCP(c2ccccc2)c2ccccc2)cc1-c1ccccc1,44.988,118.4680,0.0804,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"44.9884, 0.3033",0.1243972321309733,0.15285281509040824,0.05199823768686698,0.06442562223749324,3.4490740740740735,0.09259259259259278,3,1.4760842589662049,44.9884,0.3033,23.85541746436463,3.276846679081316,0.09542965845162886,5.805943925233646,191.19477538626174,20.082805700077913,-0.45392850096414694,7.394546588785045,0.0897474901125647,0.8755688113137384,-0.07652435859877602,-0.1320605971466392,-0.0666162155745489,0.8959550382358138,0.4689617388815863,-0.08400175163650857,0.1899019754605902,2.978917378917379,5.969793650793651,0.0895950518299065,-0.024683264274641497,1.1321893977755615,-0.45392850096414694,7.483999730158728,-0.45392850096414694,6.253802631578947,0.8542226914674143,10.697240366306925,-69.86542638317329,5.902389743589742,13.271707568745455,-0.5283176452876326,0.03113885572360861,0.3438215797675234,0.40430432595310767,24.26546827384644,0.01631723914145794,15.774358974358975,-0.14638190692179262,2.86653204405598
Result3950012,CC1(C)NC23NN=CC2(C=CC=C3OC(=O)C(c2ccccc2)P(c2ccccc2)c2ccccc2)C1=O,36.414,101.0393,0.0769,O=C([O-])C.[K+],CCCC#N,"36.4144, 0.2708",0.1453627869996672,0.1574807960088896,0.6971767885426821,0.6819085487077534,0.0,0.0,1,1.3691437802907915,36.4144,0.2708,11.073984920100086,4.948412698412699,0.11505235540824928,6.134904186046513,213.48251793322103,21.35165979359453,-1.1753845470801487,7.695072688372092,0.08847368712433963,0.6929846535819503,0.0045061372085454,-0.08186945359720231,-0.058413742373761415,0.6767070785510194,1.616231839331372,-0.04813140445337636,0.2395960761967184,4.955788248981966,6.14061393442623,0.08888011316380204,-0.03135233448165959,1.110091214815497,-1.1753845470801487,7.599146622950819,-1.1753845470801487,6.378938028169014,0.6831078235383771,9.378489292068558,-48.59396433470505,6.318967539267016,0.0,-0.4629354609196065,0.03698001174226273,0.3257356481715311,0.4498191870133168,86.65353225929286,0.027653141747410556,20.387434554973822,-0.20779080592958382,3.501188531096643
Result3950163,CC=Nc1[c-]c(-c2cccc(P(C(C)C)C(C)C)c2)ccc1,36.368,103.0905,0.0931,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"36.3684, 2.2263",0.1428941881283608,0.1556534312908589,0.5051641116163132,0.476153268219384,0.0,-0.18199074074074065,2,1.0555555555555556,36.3684,2.2263,0.0,2.2404214559386975,0.1094057679939714,5.332119205298014,166.3777417223869,5.304539896238907,-0.13820582313858298,7.021751655629139,0.12072585482903408,1.0340807901048255,0.1984205170795568,0.048760330578512416,0.02670891806247172,0.9770443701499357,0.2032631323962854,0.011512551433481996,0.4468111760647612,1.667495854063018,5.624614457831322,0.1190169041252965,-0.1470739352210362,1.240513743285525,-0.13820582313858298,7.201611084337348,-0.13820582313858298,6.032343750000002,1.017603423209093,4.40343649284598,-32.16545668952488,5.688649253731342,0.0,-0.43939239460906415,0.04047120157387046,0.40657254354697153,0.29119540867970317,19.20470484768755,0.025551716223633846,12.492537313432836,0.10632531856014814,1.7883059334382423
Result3950210,[CH2-]CP(C)Cc1cccc(C)c1C,34.97,106.2991,0.1380,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"34.9701, 4.0260",0.1428941881283608,0.1556534312908589,0.5051641116163132,0.476153268219384,3.4490740740740735,0.09259259259259278,3,1.4760842589662049,34.9701,4.026,0.0,0.6198125836680053,0.14969741874578096,5.307551724137931,118.74398237307098,0.0,0.10566872427983576,6.9966145517241385,0.14727272727272733,1.4926749864351596,-0.16916347464796608,-0.12048755186721985,-0.06043184183142558,1.5000000000000009,0.18419528592042317,-0.18848970420945071,0.4337909040488074,0.5902777777777778,5.423222222222221,0.14566526106956185,-0.15906554214633262,1.2479930309651857,0.10566872427983576,7.060948592592597,0.10566872427983576,5.895435483870971,1.3886925795053007,1.517917300345201,0.5000064233501691,5.3125125,12.826735631700457,-0.7802192817461365,0.06566398118626443,0.51883276919341,0.3081905109340893,0.0,0.027165219587052963,9.3,0.0734186678575995,2.132861856749254
Result3950157,CC(C)(c1cccnc1)c1ccc(-c2ccccc2)cc1CP(c1ccccc1)c1ccccc1,24.012,113.4209,0.1124,O=C([O-])C(C)(C)C.[K+],CCCC#N,"24.0117, 1.0078",0.1428941881283608,0.1556534312908589,0.5051641116163132,0.476153268219384,0.0,0.0,1,1.3691437802907915,24.0117,1.0078,0.0,2.788156288156288,0.09817743228175868,5.54047465437788,191.48597608379734,10.609079792477814,-0.556336532898482,7.140000645161291,0.10562729076297114,0.907773281056843,0.060689411229266674,0.08053156362335107,0.04528828288025612,0.8847144463340594,0.3492246549749965,-0.08453157920900899,0.23427261497560073,2.8658078368223294,5.793930434782609,0.1045722986797289,0.05021337545921781,1.0796312305940503,-0.556336532898482,7.295503947826086,-0.556336532898482,6.110760869565217,0.881635998037169,9.556451566849885,14.20703630652349,5.738193236714975,0.0,-0.3772394999732812,0.0327483515916521,0.3493429966609165,0.35651092176811644,18.460054211687762,0.020515825524458676,15.541062801932368,-0.07077427844547332,3.0675321044278556
