Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3m,base_GATS3Z,base_GATS1se,solvent_VSA_EState9,solvent_SdssC,solvent_GATS4se,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3942362,CC(C)c1ccc(C(C)C)c(P(c2ccccc2)c2ccccc2C2=NCCO2)c1,69.778,99.2768,0.1265,O=C([O-])C.[Cs+],CCCC#N,"69.7779, 5.6489",0.15437109729761034,0.056742661225519415,0.07445192098979814,0.1265444360281399,0.0,0.0,1.3691437802907915,1,69.7779,5.6489,6.606881964512918,3.317460317460317,0.090540334228303,5.711636363636362,213.594831725181,15.913619688716722,-0.7379423868312756,7.269032141414139,0.1178447468459037,0.8715746046259598,-0.09284672019000503,-0.10404624277456652,-0.059653179190751464,0.8624363496403638,0.3800398276929223,0.07343688495058086,0.3406190160687894,3.63776493256262,5.844663636363636,0.11651429857971,-0.24161784896388044,1.0023821698639037,-0.7379423868312756,7.378226290909088,-0.7379423868312756,6.145500000000001,0.859415497117057,6.769328725675299,40.417105624142636,5.852858381502891,13.151638370425493,-0.5066097999363803,0.030988064570424568,0.36842163977929304,0.3866082949806992,0.0,0.023322097143643125,18.31791907514451,-0.04056895600055102,2.3830058171070707
Result3942360,CC(C)(C)C(CP(c1ccccc1)c1ccccc1)c1ccccc1,61.907,96.8649,0.1050,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"61.9072, 3.2423",0.1574807960088896,0.6971767885426821,0.6819085487077534,0.1453627869996672,0.0,0.0,1.0624999999999998,2,61.9072,3.2423,0.0,1.7349896480331262,0.12046757499470467,5.532338983050846,182.09668782274727,10.609079792477814,-0.37814284664483067,7.129232463276836,0.11827956989247307,1.1643620450340921,-0.03820291736427005,-0.08255192902929075,-0.04576380976882649,1.1693121693121697,0.17677669529663687,-0.18058337084580517,0.22844698509353542,2.1821946169772257,5.647462365591398,0.11697173950629881,-0.18733360930254786,0.9064034767673034,-0.37814284664483067,7.195974946236557,-0.37814284664483067,6.00525,1.1002702044170967,5.679177559413645,42.37473518883775,5.596819875776397,6.161910027467921,-0.31975784613709674,0.04372462505006199,0.3891842019175094,0.330070959101519,0.0,0.02470208416269518,14.416149068322982,-0.030029896982524316,3.305617751929437
Result3942363,CCP(CPc1ccccc1)CP(CP(c1ccccc1)c1ccccc1)c1ccccc1,61.031,107.4033,0.1291,O=C([O-])C.[K+],CC(N(C)C)=O,"61.0307, 9.4179",0.1574807960088896,0.6971767885426821,0.6819085487077534,0.1453627869996672,3.4490740740740735,0.09259259259259278,1.4760842589662049,3,61.0307,9.4179,0.0,1.527116402116402,0.10683224609309933,5.446283743842365,195.01801767405695,21.21815958495563,-0.3611263689175743,7.076991551724138,0.11123560616258159,1.3926299680393663,-0.05217277470112334,-0.02408456843940718,-0.010967741935483888,1.402900226429638,0.24894547894534014,-0.045684705575136014,0.11729327566851058,1.7861409796893666,5.503585964912281,0.11323867464151904,-0.060503051659530536,0.8833809135602652,-0.5290757544330968,7.108168429824561,0.038013061877700816,5.92235294117647,1.2411476634803376,6.802839388174588,27.77203886332092,5.510158602150538,23.87090532349742,-0.3190971450161507,0.06330293763973571,0.4962517314197526,0.3361645987762334,0.0,0.0129509825523819,19.586021505376344,-0.05725731142556864,4.64391549100064
Result3942371,CCc1cc(CC)c(-c2c(-c3ccccc3)cc(-c3ccccc3)cc2C(C)(C)CC)c(P(CC)c2ccccc2[S-])c1,54.966,102.8381,0.0769,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"54.9659, 10.0564",0.1574807960088896,0.6971767885426821,0.6819085487077534,0.1453627869996672,0.0,0.0,1.0624999999999998,2,54.9659,10.0564,0.0,3.221774193548387,0.0860084293111877,5.669877551020407,217.02155899777583,10.609079792477814,-0.6472040321502202,7.222939551020406,0.07368233489338126,1.0737608492122643,-0.14327427421135755,-0.14548767558971645,-0.0888034167293553,0.96600989493761,0.5160172586480726,0.08230139275167657,0.4533712054560217,3.126228269085412,5.676062893081762,0.07494336888838836,-0.18970772229843658,1.196354997278606,-0.6472040321502202,7.220406905660376,-0.6472040321502202,6.041538461538457,1.0204089311693074,9.40008231551819,-42.22592152199763,5.773460884353741,6.161910027467921,-0.8001379287048378,0.030015344338359153,0.3766909923741336,0.3637959966525062,0.0,0.02378263655884167,18.170068027210885,0.033145174257647,3.1069562493546803
Result3942367,CC(C)C(C)P(C(C)C)C(C)c1ccccc1N1CCOCC1,54.91,103.7575,0.0752,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"54.9103, 9.2006",0.1574807960088896,0.6971767885426821,0.6819085487077534,0.1453627869996672,0.0,0.0,1.0624999999999998,2,54.9103,9.2006,0.0,1.2492153170119271,0.07486511951879721,5.3928016528925635,143.49849611565259,4.899909730850478,-0.05297500944822309,7.07465517355372,0.13549678591731343,1.0186375569349804,-0.07720755523632757,-0.056913422790019715,-0.02998946747199562,0.9778917547145747,0.15515060996381658,0.03533773417081129,0.3620271974896401,1.0224260958205913,5.731577981651376,0.132892783430442,0.07747441875332274,1.0834911708009023,-0.05297500944822309,7.333575486238531,-0.05297500944822309,6.074715517241381,1.0187219251906259,2.475595849798637,-26.168158103728025,5.578747706422018,31.203186471701468,-0.4323566327848029,0.02541120806935518,0.44461095662305233,0.33307808535497235,0.0,0.028512410958545904,10.81651376146789,-0.17988502345136478,0.14710780924510922
Result3942368,C[NH+]=C(C=Nc1ccccc1)P(c1ccc(C)cc1)c1ccc(C)cc1C,49.777,107.5206,0.0725,O=C([O-])C.[K+],CCCC#N,"49.7769, 7.1900",0.1574807960088896,0.6971767885426821,0.6819085487077534,0.1453627869996672,0.0,0.0,1.3691437802907915,1,49.7769,7.19,7.04767198267719,2.848958333333333,0.10765154808708657,5.740939189189189,195.49517241710672,15.601484525113484,-0.7000176891744354,7.309186810810811,0.1080569139221116,1.0349832896909985,-0.1309357946785181,-0.12955919209789185,-0.0705680184798058,1.0531444653684587,0.378981112968379,-0.07418531240916076,0.3052043986884119,2.973266499582289,5.792529670329671,0.10702866049854781,-0.007390642710843916,1.0475161688848633,-0.7000176891744354,7.321905846153846,-0.7000176891744354,6.14099090909091,0.992242523678127,7.41565324312308,-36.23121887759362,5.910364661654135,7.04767198267719,-0.3612245311288132,0.037812496829838255,0.36617420982440224,0.5185611088645289,43.594107904520556,0.021944254231633882,17.270676691729324,0.05677170391682975,2.406527074223216
Result3942372,CC(C)Cc1ccccc1-c1cccc(C(C)(C)C)c1P(c1ccccc1)c1ccccc1,44.446,109.5715,0.0931,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"44.4465, 4.1651",0.15285281509040824,0.05199823768686698,0.06442562223749324,0.1243972321309733,3.4490740740740735,0.09259259259259278,1.4760842589662049,3,44.4465,4.1651,0.0,2.864136413641364,0.1097342478211445,5.6454645669291335,229.37898512512197,15.913619688716722,-0.7081920823885113,7.1957269763779514,0.10749985333339353,1.111622816919197,-0.12553750166517394,-0.20408251900108573,-0.12194636678200688,1.1155762390290107,0.3374773287329329,-0.057533466607589796,0.34051971541389736,3.4472222222222224,5.671463414634147,0.10622323868977784,-0.21206929677917097,0.9869320519386501,-0.7081920823885113,7.210107121951218,-0.7081920823885113,6.023746478873239,1.0614505643176166,7.565693840156628,-0.8380110214020267,5.815825000000001,0.0,-0.34339685331398817,0.036960489280727676,0.3700471613688345,0.35194307584521656,0.0,0.02724308034627481,18.595,-0.033893305807604905,3.3145346885305265
Result3942366,Cc1cccc(C(C)P(c2ccccc2)C(C)C(C)C)c1N,43.91,99.3866,0.1005,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"43.9098, 3.9247",0.1574807960088896,0.6971767885426821,0.6819085487077534,0.1453627869996672,0.0,0.0,1.0624999999999998,2,43.9098,3.9247,0.0,1.4377330350484714,0.15789841070223193,5.450440860215053,153.50295357834295,11.038207373401093,-0.3025205761316869,7.092175483870967,0.10766649001943127,1.3685915178645311,-0.10311873961254749,-0.09461689836856471,-0.05389378531073445,1.4032661877027457,0.2342920386527526,-0.10932972411649822,0.3642346412436412,1.357187696170747,5.586155555555556,0.10703161159699455,-0.022608450530344073,1.18384245974551,-0.3025205761316869,7.168771511111111,-0.3025205761316869,6.025274509803921,1.3008906137496898,4.0079547787662975,-18.301985185185185,5.584220338983051,5.733667477162185,-0.32186325188501846,0.057123848630914596,0.41716517171276596,0.3350602123304391,0.0,0.02980842963847973,11.59322033898305,0.03515403990982229,3.948768159222199
Result3942361,[CH2-]P([CH-]C[CH-]CP(C1CCCCC1)C1CCCCC1)C[CH-]C,43.539,117.9525,0.0782,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"43.5395, 0.9866",0.1556534312908589,0.5051641116163132,0.476153268219384,0.1428941881283608,0.0,-0.18199074074074065,1.0555555555555556,2,43.5395,0.9866,0.0,0.8031746031746031,0.1759047366109629,5.3335869565217395,136.2686556861995,0.0,-0.09510818799399012,7.0136518695652175,0.17475577341295856,1.667487930393408,-0.05202272885170074,-0.05079479768786126,-0.019327390321183833,1.6749263080324237,0.11785113019775792,-0.052853749974201884,-0.10109318883498208,0.8803967744237495,5.441824561403509,0.17377840277399179,0.03919678706429282,0.9869625597450878,0.17256498861547442,7.075753456140351,0.26767317660946455,5.864567796610171,1.5562571786606105,-1.0225946228307858,-8.160567225965565,5.444780924855492,12.323820054935842,-0.8088586006537811,0.07898417472603368,0.5408340748393027,0.23081281468890075,0.0,0.01260690054923707,10.433526011560694,0.8008968045705526,3.824305956288627
Result3942370,[c-]1ccccc1P(C1CCCCC1)C1CCCCC1,36.66,106.1039,0.1182,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"36.6601, 3.7433",0.1574807960088896,0.6971767885426821,0.6819085487077534,0.1453627869996672,0.0,0.0,1.0624999999999998,2,36.6601,3.7433,0.0,1.3324915824915824,0.15004599419925926,5.4616,166.87107543389885,5.304539896238907,0.05234567901234621,7.08949312,0.14836969571227757,1.3341436523635397,-0.200703608364036,-0.21255995736365255,-0.09090218423551755,1.3394959719066308,0.17677669529663687,0.0187776560502789,0.16980372735738003,1.4615384615384615,5.556197802197805,0.1472696507883501,-0.09726428990519254,1.062549997419488,0.05234567901234621,7.144255384615382,0.05234567901234621,5.950180851063831,1.2616678157460945,1.7574653914967255,-33.40021338210641,5.601884615384616,0.0,-0.46734397188166465,0.05693973945926809,0.45826131979430035,0.23815758610608856,0.0,0.011722306294206161,12.076923076923077,0.09042563712334643,4.541286517551262
