Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3933912,Cc1cnc2c(C)cccc2c1,1.4448,-976.3714618992756,-3.1966498634740597,0.5816105873194309,148.5785,75.3999,96.6980,163.8182,0.9806938767433167,1.4448,0.077
Result3933915,COc1c(C)cccc1C1=CCCCC1,1.4369,-1085.5198285684285,-1.8538011695906433,0.1430806917120456,136.3602,133.9105,109.9406,33.8578,0.8461502194404602,1.4369,0.065
Result3933908,Cc1cccc2c1N=C(O)[SH]2c1ccc2c(c1)CCC2,1.4055,-684.2781620275077,-2.2689017069259383,-0.2690677470654048,136.8911,97.1706,63.8581,151.5797,0.8188406229019165,1.4055,0.0723
Result3933913,Cc1nc2c(s1)CCC21[NH2+]CCCCC1[NH3+],1.3893,-349.7799822395731,-0.1664136687363038,0.2217140578571857,151.6913,86.0550,23.3401,57.3217,0.6401380300521851,1.3893,0.0685
Result3933911,CCOc1c(C)ccnc1C=C1CCOCC1,1.3463,-248.37502935798403,-0.7692307692307693,0.09118266505475206,144.9334,143.7117,73.3865,9.4055,0.820380449295044,1.3463,0.0808
Result3933906,Cc1cccc(Oc2cccnc2)c1,1.2592,-39.4586584638219,-1.434742857142857,-0.0442582275095433,143.6738,30.8490,77.6472,15.1777,0.05916137248277664,1.2592,0.0343
Result3933910,Cc1ccncc1CC1(C)COCO1,1.2481,493.47194276315815,1.7682074910820458,0.1258010642453798,153.5479,146.0410,96.2146,80.2773,0.833946168422699,1.2481,0.0757
Result3933914,Cc1cnc2ncc(C)c(C)c2n1,1.2408,17.841109499986814,-0.9685185185185184,0.5437661237350891,135.7940,96.6999,110.4255,63.8214,0.9893189072608948,1.2408,0.0531
Result3933905,Cc1cc(C)cc(C(O)C2=CC[NH2+]CC2[NH3+])c1,1.1759,-872.4553841932782,-1.133191425651441,-0.09560338960216808,37.1086,106.3966,67.2278,83.4883,0.8262200355529785,1.1759,0.047
Result3933907,CC1CN(c2ncc(-c3ccncc3)s2)C1,1.1046,-631.8601212534195,-2.4423582114315736,0.1579731166160926,7.9507,49.2842,106.9981,23.8824,0.05983571335673332,1.1046,0.0415
