Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3Z,base_GATS3m,base_GATS1se,solvent_NsCH3,solvent_VSA_EState9,solvent_SdssC,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3941745,c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,83.55,111.3806,0.1275,O=C([O-])C.[K+],CC(N(C)C)=O,"83.5498, 1.2295",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,3,3.4490740740740735,0.09259259259259278,1.4760842589662049,83.5498,1.2295,0.0,1.1670721816707217,0.15175548230950447,5.43185185185185,162.37545624220232,5.304539896238907,0.10790123456790168,7.071865481481483,0.15000000000000005,1.359475122502827,-0.17392241586161858,-0.2023207935616695,-0.08576642335766424,1.3647151898734182,0.17677669529663687,0.001105140532897246,0.09735968225029294,1.27007299270073,5.5549892473118305,0.1488600931701275,-0.07546584151756994,1.0829658667158422,0.10790123456790168,7.143682838709673,0.10790123456790168,5.943093750000002,1.2881982325987344,1.7574653914967255,-21.19708744661486,5.58543795620438,0.0,-0.31382971012712696,0.057040775421686285,0.4649376426719674,0.3114421519761912,0.0,0.011722306294206161,11.656934306569344,-0.02381778153652832,4.569717309077974
Result3941749,Cc1ccc([N-]c2cccc(C(C)(O)P(CO)c3ccccc3)c2)cc1,76.579,93.7872,0.0851,O=C([O-])C.[K+],CCCC#N,"76.5793, 2.5086",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,1,0.0,0.0,1.3691437802907915,76.5793,2.5086,5.3421392155256004,3.4091710758377425,0.16187184170294125,5.818015267175572,169.9577222585592,5.304539896238907,-1.1796196921728017,7.421866274809161,0.07551700093904606,0.969964090574978,-0.01382724310956431,0.01655387870802891,0.010010925399441057,0.9725549789190502,0.30177669529663687,-0.11556550153892997,0.2009291020397538,2.920289855072464,5.920404761904763,0.07722120793710849,0.04697546946091001,1.0552146226682717,-1.1796196921728017,7.449497714285714,-1.1796196921728017,6.26078431372549,0.9525659158354289,6.5090735417483705,-19.727155866125745,5.977367391304348,6.3479703690548295,-0.698099567892436,0.05823267136399245,0.3586366054069951,0.33701098902146986,85.78650908969158,0.025763274363220876,15.152173913043478,0.11021998696091583,4.254290174368439
Result3941752,[c-]1ccccc1P(C1CCCCC1)C1CCCCC1,75.411,108.0922,0.0933,O=C([O-])C.[K+],CC(N(C)C)=O,"75.4106, 0.2127",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,3,3.4490740740740735,0.09259259259259278,1.4760842589662049,75.4106,0.2127,0.0,1.3324915824915824,0.15004599419925926,5.4616,166.87107543389885,5.304539896238907,0.05234567901234621,7.08949312,0.14836969571227757,1.3341436523635397,-0.200703608364036,-0.21255995736365255,-0.09090218423551755,1.3394959719066308,0.17677669529663687,0.0187776560502789,0.16980372735738003,1.4615384615384615,5.556197802197805,0.1472696507883501,-0.09726428990519254,1.062549997419488,0.05234567901234621,7.144255384615382,0.05234567901234621,5.950180851063831,1.2616678157460945,1.7574653914967255,-33.40021338210641,5.601884615384616,0.0,-0.46734397188166465,0.05693973945926809,0.45826131979430035,0.23815758610608856,0.0,0.011722306294206161,12.076923076923077,0.09042563712334643,4.541286517551262
Result3941739,CC(OCC(C)(C)C)c1cccc(P(C)[O-])c1,65.106,95.2505,0.1047,O=C([O-])C.[K+],CC(N(C)C)=O,"65.1058, 0.1573",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,3,3.4490740740740735,0.09259259259259278,1.4760842589662049,65.1058,0.1573,0.0,1.3768115942028984,0.0005476573715734676,5.626697674418605,159.2323635617614,10.197951498991383,-1.2739549258489398,7.273038720930232,0.17031975244971645,0.8908514888388048,-0.2363910529609271,-0.27398183819482647,-0.1657220849041686,0.8135387287018703,0.09622504486493763,-0.36506963696371414,0.224302611352087,1.5935302390998594,5.806228571428571,0.1642351397219773,0.054887505059322036,1.0875510693214552,-1.2739549258489398,7.406561542857144,-1.2739549258489398,6.094784615384616,0.8748143463482074,2.3769786864242493,-21.523258739782964,5.735551898734176,13.271707568745454,-0.844858493143231,0.00021417673109811548,0.4461692427647577,0.32394347770322424,31.18920547353706,0.041570661483821374,14.050632911392405,-0.0175454983154639,-0.1727513450392177
Result3941743,CC(C)(C)c1cc([O-])ccc1P(Cc1c(OCc2ccccc2)cccc1C(C)(C)C)c1ccccc1,46.48,98.5528,0.1084,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"46.4801, 0.8889",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,2,0.0,0.0,1.0624999999999998,46.4801,0.8889,12.356393797796823,2.3779677113010447,0.0908010426389897,5.743817490494297,193.62382551388262,20.452470141118567,-0.7880553747562125,7.352019140684412,0.09890994274846956,0.7682641127574166,0.024802640171766647,-0.042125406754227664,-0.027154973313925253,0.7102491041529192,0.40268586716639343,-0.21040442928519343,0.3496113157176589,2.8704512372634645,5.792382352941179,0.09779911555796453,-0.029796927660276615,0.969262548381726,-0.7880553747562125,7.333431191176469,-0.7880553747562125,6.119673076923077,0.7844405505051528,8.237819678212372,20.152239231824417,5.813380349344978,0.0,-0.8890004029878635,0.029592173833531313,0.36206575986707734,0.3705664512227351,24.26546827384644,0.03301000786035393,16.965065502183407,0.0020037800743404155,2.4655300836223346
Result3941748,CNc1c(C)cccc1P(C)C(C)(C)c1ccc(C)cc1,42.533,108.1850,0.1159,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"42.5329, 1.6069",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,2,0.0,0.0,1.0624999999999998,42.5329,1.6069,0.0,1.3365079365079364,0.1302061132313319,5.465999999999997,141.7343774242573,10.621328500245237,-0.3101773116654065,7.113493543624158,0.12097059754715728,1.26365562839808,-0.027255159341765447,-0.10980629646207986,-0.06949262220642266,1.285126692438057,0.2804376142423653,-0.19613497579752975,0.46773578509092717,1.1056578050443082,5.622952380952379,0.11964298736455954,-0.15448566691930735,1.3077996225452617,-0.3101773116654065,7.204815833333333,-0.3101773116654065,6.036208333333335,1.2057655726821384,4.204452616944962,-25.314610823287445,5.531929447852761,19.029286190916057,-0.3354767997482721,0.048092730841896116,0.42039389608645267,0.33557159271561043,7.04767198267719,0.033903222437190704,10.613496932515337,-0.0332406441020632,2.608169795057199
Result3941753,c1ccc(PCP(c2ccccc2)c2ccccc2)cc1,41.623,103.9201,0.1289,O=C([O-])C.[K+],CC(N(C)C)=O,"41.6232, 0.1914",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,3,3.4490740740740735,0.09259259259259278,1.4760842589662049,41.6232,0.1914,0.0,1.9224806201550386,0.05238700915515614,5.470774193548387,195.3134694140186,15.913619688716722,-0.26220920466952213,7.091178774193548,0.056146905399689834,1.1714264472366887,0.007500259844419114,0.01899007337073803,0.008265239034469806,1.1800352024138796,0.19001991384646116,-0.05208605586443004,0.05259410939746043,2.402930402930403,5.630478787878788,0.05794283819651808,-0.05828367195430599,1.09117416294938,-0.26220920466952213,7.185029166666668,-0.26220920466952213,5.9794024390243905,1.0539730134932537,5.586353437666363,32.0,5.566719780219779,5.902998432009833,-0.3187394702352804,0.027770258888442322,0.4275232636477863,0.3286122941657006,0.0,0.011407646285501092,18.252747252747252,-0.037328991675283994,3.325732903856398
Result3941744,C=C(c1ccc[n-]1)P(C)Cc1ccccc1,39.608,109.7560,0.0952,O=C([O-])C.[K+],CCCC#N,"39.6083, 0.1411",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,1,0.0,0.0,1.3691437802907915,39.6083,0.1411,0.0,1.5095238095238095,0.12214736423681921,5.494634920634919,158.30322815229567,4.9839785209472085,-0.22556584362139898,7.120019555555555,0.13361873868436946,0.9658158002503435,-0.101888427073636,-0.04629519857735626,-0.02321986026460532,0.9177327096702362,0.20361463941450536,-0.1681398694890679,0.30355119638991657,1.7380952380952381,5.7036346153846145,0.13291514833758042,0.1377491799721094,1.0854588866671344,-0.22556584362139898,7.257299500000003,-0.22556584362139898,6.076171875000003,0.9317684493517938,3.480853210900767,-12.400521576033201,5.639728571428571,6.664825604232536,-0.7417180316596815,0.052189712423290485,0.42494723931757394,0.3084547995971717,18.3295777085363,0.019709788408999913,12.585714285714285,0.015311362585940232,2.2835272346958
Result3941742,C=C(c1ccccc1)P(c1ccccc1)c1ccccc1,39.071,107.9179,0.0856,O=C([O-])C.[K+],CC(N(C)C)=O,"39.0710, 0.2168",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,3,3.4490740740740735,0.09259259259259278,1.4760842589662049,39.071,0.2168,0.0,3.3650793650793647,0.11896152332890447,5.603509433962263,222.72639604530173,10.609079792477814,-0.5828189300411526,7.171415773584906,0.11807909604519776,1.065855389424569,-0.15174882069002188,-0.21162808822383297,-0.10332257769930901,1.0723346178548494,0.17677669529663687,-0.01620080776303773,0.0359008707300736,3.5128205128205123,5.741904761904762,0.1173980133612815,-0.08356419893840415,1.0732616894715015,-0.5828189300411526,7.252257333333334,-0.5828189300411526,6.054337500000001,0.9816786909774727,6.156373254999035,-12.459526008002467,5.813945054945053,0.0,-0.3250060780352755,0.04681732267871763,0.36295936425704173,0.3374327089337817,6.06636706846161,0.014859057955569462,17.64835164835165,-0.03995296863780572,3.457823086167351
Result3941747,c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,37.391,111.3964,0.0831,O=C([O-])C.[K+],CC(N(C)C)=O,"37.3908, 0.7901",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,3,3.4490740740740735,0.09259259259259278,1.4760842589662049,37.3908,0.7901,0.0,2.586206896551724,0.13524954147716953,5.574432432432433,218.5631006053365,21.21815958495563,-0.40867766859830357,7.151974,0.13658911479074973,1.1833053360240817,-0.022522511102461555,-0.02473661344629089,-0.011497734529804514,1.192050710981669,0.23570226039551584,-0.02868492479413743,0.0019508999726497974,3.1919191919191916,5.665614285714286,0.13697471327365393,-0.1128977516275747,1.0305735177461683,-0.8173553371966067,7.2058272500000005,-0.4086776685983031,6.018980769230769,1.0632930218142123,7.445677803958862,62.91888667787599,5.6669090909090905,5.902998432009833,-0.3205646152207717,0.06376385365201001,0.4074460859730871,0.33780388806045863,0.0,0.012681382385227124,20.09090909090909,-0.051531965099392514,4.445756780212874
