Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS2pe,base_GATS3Z,base_GATS1se,solvent_SdssC,solvent_GATS4se,solvent_NsCH3,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3935177,Cc1c(C(C)C)cnc2cccc(-c3ccc(C(C)C)cc3OCCP(C)c3ccccc3)c12,74.054,107.9520,0.0777,O=C([O-])C.[K+],CCCC#N,"74.0544, 0.3836",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,1.3691437802907915,1,0.0,74.0544,0.3836,5.749511833283905,2.683362118595279,0.08476010950821426,5.702805,164.95527151849714,10.041402850038956,-0.23601982277056455,7.316178370000001,0.11135660627485634,0.8934643125664897,0.04197958657550289,-0.024126238914971322,-0.014180320015330077,0.8758918853320842,0.4712747457589271,-0.05259289428245689,0.4785408715812779,2.3187271778821072,5.7741328124999995,0.10980076931419797,-0.08022488771182733,1.1525162748408688,-0.23601982277056455,7.321920171874997,-0.23601982277056455,6.121047945205479,0.88715685340866,7.268052852885365,-63.24296296296298,5.834110328638499,19.433617596213374,-0.5237227046271665,0.027913580727729728,0.3852408198853781,0.3894371595922172,6.196843571613076,0.026327425343205434,13.300469483568076,-0.10827905377140881,2.1734255421572235
Result3935187,[c-]1cccc(CP(c2ccccc2)c2ccccc2)c1,69.33,108.8421,0.0815,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"69.3302, 4.4140",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,1.0624999999999998,2,0.0,69.3302,4.414,0.0,2.6886145404663924,0.12086541789496327,5.621258426966292,210.3883497170161,10.609079792477814,-0.34716049382716063,7.181156134831459,0.12024868689034196,1.0685996696257103,-0.08468960102900526,-0.13414634146341467,-0.05962059620596208,1.0753273061484787,0.19001991384646116,-0.09334601814520087,0.058236886650267244,3.5813008130081294,5.711540983606557,0.11969496883265762,-0.07183084441341182,0.9772408979912868,-0.34716049382716063,7.23357380327869,-0.34716049382716063,6.054236842105263,0.9807735134733876,5.705049164867749,25.194939795762835,5.744615853658536,0.0,-0.4618241750498841,0.04844249710044444,0.37389360888819057,0.3220087372354866,6.06636706846161,0.011978028599776147,16.682926829268293,0.02999532368528436,3.59546635815744
Result3935184,Cc1ccc(P(c2ccc(C)cc2)c2ccc(N)cc2)cc1,63.949,104.7278,0.1113,O=C([O-])C(C)(C)C.[K+],CCCC#N,"63.9490, 3.6929",0.5051641116163132,0.1556534312908589,0.476153268219384,0.1428941881283608,0.0,1.3691437802907915,1,0.0,63.949,3.6929,0.0,2.6794871794871797,0.16564136156355988,5.598836734693878,200.24538334332394,21.647287165878907,-0.5387037037037041,7.174437142857144,0.1031237484981978,1.2562864721217142,-0.2121554691223301,-0.03489074007002295,-0.019858448429877006,1.3215455414667103,0.39433756729740643,-0.12873875912971117,0.1839462842168498,3.1795735129068463,5.7275,0.10355633349201626,-0.13911626898191404,0.9323878713772831,-0.5387037037037041,7.253957777777779,-0.5387037037037041,6.111625000000001,1.1661983088194474,6.025582612960885,8.628873771730916,5.7194101010101,5.733667477162185,-0.3298002494043588,0.06307009823488961,0.36521824706176576,0.3442330667983167,12.13273413692322,0.024599239510811968,16.67676767676768,0.05036600272212388,5.366190216179651
Result3935175,C1=NC(P(c2ccccc2)c2ccccc2)NC1c1ccsc1,63.325,95.6523,0.1130,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"63.3254, 6.4052",0.5051641116163132,0.1556534312908589,0.476153268219384,0.1428941881283608,0.09259259259259278,1.4760842589662049,3,3.4490740740740735,63.3254,6.4052,5.9068640166764395,3.861111111111111,0.12153033635430381,5.740533333333334,206.4701523210005,15.925868396484145,-0.5601528512639624,7.316485225490195,0.09618781277597874,0.9854037355836557,-0.07398107873821194,-0.1135383876310034,-0.05669823232323233,0.9841156085066719,0.4497784354582114,-0.13017413636834127,0.0018005037668159657,3.6228956228956224,5.9638352112676065,0.09962834633950551,0.11099957594357607,0.9049437791162082,-0.5601528512639624,7.482405464788732,-0.5601528512639624,6.2304651162790705,0.9148805320820903,6.054113521300182,-27.71160493827161,6.04790606060606,0.0,-0.37683632276849627,0.05312432223348959,0.38377916701136255,0.352939036247715,0.0,0.014886840191353503,19.757575757575758,-0.04135577501163414,4.117747690164253
Result3935174,CC=NCC(c1ccccc1)P(C)CC,62.405,99.5871,0.1174,O=C([O-])C.[K+],CC(N(C)C)=O,"62.4055, 3.0094",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.09259259259259278,1.4760842589662049,3,3.4490740740740735,62.4055,3.0094,0.0,1.2941176470588236,0.1247173942369572,5.464083333333333,133.67624995006125,0.0,0.05658436213991802,7.1192493333333315,0.13936430317848414,1.103438379459677,-0.16108448999717315,-0.14804911863735387,-0.0616367759224902,1.0180427995943273,0.05892556509887896,-0.0152800758386514,0.3382552102926794,0.9921436588103255,5.561377049180328,0.13744498158966886,-0.20293895190729744,1.0306316304266046,0.05658436213991802,7.177790000000001,0.05658436213991802,5.985214285714286,1.0957496805366207,2.34718455027358,-16.106767447719832,5.5470202020202,19.37149203761303,-0.4038185361620257,0.05106805632653067,0.5020940991675786,0.3153731522949442,13.13833777922594,0.013932660152550349,10.8989898989899,-0.08347833679180601,0.6683319379184354
Result3935182,[c-]1cccc(P(c2ccccc2)c2ccccc2)c1,60.829,108.5467,0.1101,O=C([O-])C.[K+],CC(N(C)C)=O,"60.8285, 1.6301",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.09259259259259278,1.4760842589662049,3,3.4490740740740735,60.8285,1.6301,0.0,3.9565217391304346,0.11894024339065112,5.617209302325582,238.4800926186825,15.913619688716722,-0.47723765432098775,7.179948279069768,0.11882362543189053,1.050326139109461,-0.1794984685063611,-0.30229419703103916,-0.13712886440159167,1.0575289575289575,0.17677669529663687,-0.028965194150269713,-0.007775149692234585,4.333333333333333,5.748181818181818,0.118518113489421,-0.09018099116877616,0.9759127997437954,-0.47723765432098775,7.256030399999999,-0.47723765432098775,6.066814285714285,0.9558226282905692,5.721885917273355,-8.746862565044383,5.895402777777777,0.0,-0.45724142489397784,0.0486787859011099,0.3616306238164926,0.31953730373951694,6.06636706846161,0.011722306294206161,18.52777777777778,0.033693207826138515,3.6058299627409247
Result3935178,SCC=CP(c1ccccc1)c1cccc2ccccc12,57.231,115.6088,0.1014,O=C([O-])C.[K+],CC(N(C)C)=O,"57.2305, 3.4523",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.09259259259259278,1.4760842589662049,3,3.4490740740740735,57.2305,3.4523,0.0,3.2497060552616106,0.04974023602834445,5.611653061224491,219.29572014296693,10.609079792477814,-0.48600308641975265,7.203286653061223,0.009018851756640875,1.0676191004154798,-0.12681127667250153,-0.27446011634393186,-0.13399887951694733,1.0434794741465279,0.30147240756108373,0.05201530830506094,0.13327735286579517,3.1922596754057424,5.73371875,0.015082745565470257,-0.10176280356045429,1.0425889553074823,-0.48600308641975265,7.2768538750000005,-0.48600308641975265,6.057900000000001,0.9815971009235127,5.282143568093411,-18.735918744228997,5.782640449438201,5.752853606746789,-0.35265563022746366,0.022782550652055467,0.3929805732677366,0.356926276173391,0.0,0.013049305457436851,18.629213483146067,-0.04561582646167169,2.554383699719584
Result3935183,Cc1cc(C(N)=S)c(C)c(C(C)(C)CP(c2ccccc2)c2cccc([Si](C)(C)C)c2)n1,52.239,111.9813,0.0964,O=C([O-])C.[K+],CCCC#N,"52.2391, 0.7961",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.0,1.3691437802907915,1,0.0,52.2391,0.7961,4.988502101738191,1.7391329313809933,0.16856013903677672,5.498356557377049,191.0280803948307,21.52947291532746,-0.5547451604098426,7.133305836065573,0.11784397080675385,1.381774488738137,-0.14386786497101275,-0.18262249976721068,-0.12717262959953232,1.387398095596468,0.3196686580418826,-0.18738650216243885,0.45787484163160885,1.8685446009389672,5.541337190082646,0.11924704702475442,0.12326194051080726,1.2192039148637936,-0.5547451604098426,7.110434595041322,-0.5547451604098426,6.000463768115941,1.2812305934847779,6.230227609371413,-101.92962220407084,5.738184507042253,6.161910027467921,-0.39426339620074785,0.10918878722271202,0.4868099916968449,0.35901947131567524,12.990104268152233,0.03982846762695416,16.854460093896712,0.1162253801277977,9.060718952737245
Result3935176,c1ccc(P(CP(c2ccccc2)c2cccc(P(c3ccccc3)c3ccccc3)c2)c2ccccc2)cc1,39.042,107.1816,0.1018,O=C([O-])C.[K+],CC(N(C)C)=O,"39.0420, 2.3953",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,0.09259259259259278,1.4760842589662049,3,3.4490740740740735,39.042,2.3953,0.0,3.246071829405163,0.1330250580236809,5.587155371900826,234.02061878001348,37.13177927367235,-0.6481906198466647,7.160077772727273,0.13481157002069707,1.1711296184644748,-0.04082092219894522,-0.049726125267920904,-0.02436491359090749,1.1800986842105263,0.39085287035933247,-0.020943355334687795,-0.011795233444892198,3.606209150326797,5.6874926829268295,0.1354340988156144,-0.06733399063209905,1.0268490648095239,-1.7412785573309464,7.219119878048779,-0.5160032627364681,6.029743421052632,1.0477982723654586,11.167563721232218,45.32374528863319,5.754602941176471,5.902998432009833,-0.3268245936425316,0.06326360524598165,0.3992865459224732,0.35551007794300016,0.0,0.014122689540448841,21.235294117647058,-0.07198652687427133,4.626570324000574
Result3935180,c1ccc(P(c2ccccc2)c2cccc(C[NH+]3CCNCC3n3cccn3)c2)cc1,38.122,109.2039,0.1018,O=C([O-])C.[K+],CCCCOC(C)=O,"38.1223, 1.2256",0.6971767885426821,0.1574807960088896,0.6819085487077534,0.1453627869996672,-0.18199074074074065,1.0555555555555556,2,0.0,38.1223,1.2256,6.544756405912575,2.8902522154055896,0.09954995663470471,5.672419354838709,193.33757923239344,26.13031802357353,-0.5717440021276001,7.24491834408602,0.11989422196140533,0.9859809491562949,-0.10318832406329226,-0.0970000407050108,-0.04804023848762959,1.0275271613299783,0.4389653927918013,0.15169623892313933,0.1271072380869012,3.0857699805068224,6.04961376146789,0.11878901269148733,-0.14291316238980273,1.0250892712913606,-0.5717440021276001,7.526814752293575,-0.5717440021276001,6.2984857142857145,0.9403969049847509,8.31287114386009,-18.755923691574367,5.884635087719297,19.634269217737724,-0.39990657352417786,0.03314024661982048,0.35471992292155846,0.4402559982190004,12.263210640074686,0.014905510619753093,15.824561403508772,-0.10715026948650086,2.4640300228134144
