Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3Z,base_GATS3m,base_GATS1se,base_GATS2pe,solvent_VSA_EState9,solvent_GATS4se,solvent_SdssC,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3921876,C1=C(P(c2ccccc2)c2ccccc2)Cc2ccccc21,29.318,113.6408,0.1296,O=C([O-])C.[K+],CC(N(C)C)=O,"29.3176, 0.2528",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,29.3176,0.2528,0.0,3.3150183150183152,0.12086585323907417,5.590704761904763,221.50441993340297,10.609079792477814,-0.43724279835390933,7.162875733333332,0.12056577896956183,1.0194844302890562,-0.05404055997124298,-0.13032272523532037,-0.0664894377268959,1.0257475083056478,0.5227572777347194,-0.09115335717259518,0.04688862225256031,3.5579710144927534,5.764347826086957,0.12019943950207791,-0.09063341431378005,1.0821039964207466,-0.43724279835390933,7.26506579710145,-0.43724279835390933,6.075678571428572,0.938543580287991,6.166977369983394,1.7302619296921251,5.793380434782608,0.0,-0.32489060861441565,0.0468235743440107,0.35782542817446106,0.34079271909525055,0.0,0.015563514745506017,18.054347826086957,-0.04012536023327897,4.144686536185165
Result3921804,C(=CP(c1ccccc1)c1ccccc1)Pc1ccccc1,29.301,104.2032,0.0971,O=C([O-])C.[K+],CCCC#N,"29.3013, 0.2479",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,0.0,1.3691437802907915,0.0,1,29.3013,0.2479,0.0,2.41005291005291,0.04828084260353837,5.444568181818183,207.57563663790674,15.913619688716722,-0.42074299781641056,7.076584,0.05188343994314138,1.1445749425068685,-0.05845779085919482,-0.02064397942647784,-0.008825301204819277,1.1531279178338,0.19001991384646114,-0.04749567442781309,-0.01400881245417599,2.622489959839357,5.678242424242425,0.05360391464886251,0.02422055486767757,1.067106429247667,-0.42074299781641056,7.214820000000002,-0.42074299781641056,5.991857142857143,1.0288823731961558,6.15190202579885,-13.764444444444443,5.675463855421685,0.0,-0.318093476171506,0.025108397537234373,0.4082352916845003,0.33242719006734395,0.0,0.010889116908887487,19.14457831325301,-0.04780984319022793,3.0784697736151028
Result3921800,CC(C)c1cc(CP(c2ccccc2)C2CCCCC2)c(OCc2ccccc2)c(C(C)C)c1,29.168,106.1706,0.0857,O=C([O-])C.[Cs+],CC(N(C)C)=O,"29.1677, 0.0082",0.07445192098979814,0.056742661225519415,0.1265444360281399,0.15437109729761034,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,29.1677,0.0082,12.356393797796823,1.8883815322171489,0.09757023731807858,5.6300401606425705,179.10278669463466,10.041402850038956,-0.27472398355775773,7.224465518072288,0.1135245251963803,0.976595278419283,-0.10789672452515613,-0.11754426840633744,-0.06060060060060064,0.9248949343600176,0.33273736388825814,-0.08237194984184996,0.3478931055639101,2.1941941941941945,5.700394366197185,0.11195877344312599,0.026781609364278685,1.2745638116386242,-0.27472398355775773,7.263965084507041,-0.27472398355775773,6.05625,0.9766730477776122,6.029670763924628,-47.98231440329219,5.766020270270274,0.0,-0.5195883024298859,0.03185075813554298,0.39927897545557445,0.36834766576578254,0.0,0.021568718209426685,14.5,-0.10950127198111696,2.797677042458629
Result3921801,Cc1ccc([O-])c(P(c2cc(C(C)C)cc(C(C)C)c2OC(C)C)c2cccc3cccnc23)c1,29.043,103.4572,0.1122,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"29.0432, 0.0612",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,0.0,1.0624999999999998,0.0,2,29.0432,0.0612,5.749511833283905,3.7730994152046784,0.08474158132606241,5.945775,226.60060786806133,25.757010037357475,-1.2161676954732503,7.480008699999999,0.10346876864356608,0.7472848273817291,-0.20363561161158983,-0.19382559032060898,-0.12456260896318319,0.7101630723344479,0.5534220709469353,0.006828969391235627,0.4231925699361524,4.371859296482412,5.8399921875,0.10236421015309152,-0.17439412741508153,1.0645499915305077,-1.2161676954732503,7.377286062499998,-1.2161676954732503,6.16436301369863,0.7551964415271094,7.6521241659343,39.92475686570924,6.012442211055278,0.0,-0.8884140224299543,0.027767338277159777,0.3620163300241054,0.3853691106125404,25.25331490822692,0.031160057400819254,20.944723618090453,-0.002222310272427524,2.0959195549285967
Result3921872,c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,28.802,105.8337,0.0823,O=C([O-])C.[K+],CC(N(C)C)=O,"28.8015, 1.2162",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,28.8015,1.2162,0.0,2.586206896551724,0.13524954147716953,5.574432432432433,218.5631006053365,21.21815958495563,-0.40867766859830357,7.151974,0.13658911479074973,1.1833053360240817,-0.022522511102461555,-0.02473661344629089,-0.011497734529804514,1.192050710981669,0.23570226039551584,-0.02868492479413743,0.0019508999726497974,3.1919191919191916,5.665614285714286,0.13697471327365393,-0.1128977516275747,1.0305735177461683,-0.8173553371966067,7.2058272500000005,-0.4086776685983031,6.018980769230769,1.0632930218142123,7.445677803958862,62.91888667787599,5.6669090909090905,5.902998432009833,-0.3205646152207717,0.06376385365201001,0.4074460859730871,0.33780388806045863,0.0,0.012681382385227124,20.09090909090909,-0.051531965099392514,4.445756780212874
Result3921874,[c-]1ccccc1P(c1ccccc1)C1CCCCC1,28.793,100.3074,0.0976,O=C([O-])C.[K+],CC(N(C)C)=O,"28.7932, 1.3081",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,28.7932,1.3081,0.0,2.267115600448934,0.13753632298011437,5.554642857142857,196.47958298207774,10.609079792477814,-0.22459876543209845,7.144098,0.13646187094782342,1.186119086524963,-0.2405889861611334,-0.25792316926770714,-0.11531081860752189,1.1922498571471538,0.17677669529663687,0.04106715048199752,0.14009601490864404,2.510204081632653,5.628520547945207,0.13566619464643803,-0.12533144757080547,0.999878359836362,-0.22459876543209845,7.1863624109589015,-0.22459876543209845,5.999963414634148,1.1049066017980216,3.7396756543850405,-33.65162620433275,5.725173469387754,0.0,-0.46625653466014577,0.054894576634101494,0.41018564101352356,0.31094948185923793,0.0,0.011722306294206161,14.73469387755102,0.06698709360343555,4.2407717622728995
Result3921810,CC(C)c1ccccc1-c1[c-]c(O)cc(C(C)C)c1P(C(C)C)C(F)(F)F,28.332,109.6837,0.1092,O=C([O-])C.[K+],CCCC#N,"28.3323, 0.3177",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,0.0,1.3691437802907915,0.0,1,28.3323,0.3177,0.0,4.066378066378066,0.14180899006087794,6.216421621621621,199.35086424061305,5.304539896238907,-2.4398734987822284,7.726659059459457,0.06724471511134988,0.5735777444606364,-0.26809719123779013,-0.23966924093634956,-0.17498484703480396,0.5755126531735181,0.24800564528543081,-0.02340214975774722,0.376407845715004,3.905684754521964,6.086938775510206,0.0658374158058434,-0.06379510167998126,0.9906687163009139,-2.4398734987822284,7.580526775510205,-2.4398734987822284,6.290054545454545,0.5819474241618827,4.603836945263202,-183.74326406882426,6.459738953488371,0.0,-0.42291219371344435,0.0513410324151947,0.3767913207575632,0.4810263696383893,51.960417072608934,0.04221963459263178,19.686046511627907,0.17612431040167725,3.0127271527244046
Result3921798,CCOC([SiH3])[Si](C)(C)C([CH-]CCP(C)O)c1ccccc1,28.048,91.7600,0.1109,O=C([O-])C.[K+],CCCC#N,"28.0477, 1.3515",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,0.0,1.3691437802907915,0.0,1,28.0477,1.3515,0.0,1.1571125265392783,-0.025831464734014722,5.368743169398907,158.72635139109562,0.0,-0.7963047501236431,7.0593389398907105,0.07953627869419772,1.3160846809390765,-0.01735476245598349,-0.040687656641604016,-0.021024302393816148,1.2722877999645585,0.05892556509887896,0.04198037396547241,0.23348447534695468,0.9806512165186629,5.433930434782609,0.08307913103037566,-0.021725815005664166,1.2109228231262432,-0.7963047501236431,7.063512891304346,-0.7963047501236431,5.842492156862745,1.2502414603905048,2.0765938210731205,-5.757600353140531,5.449459064327485,19.433617596213374,-0.582135950041428,-0.028221335003460073,0.6632141494367085,0.3008060729278278,6.664825604232536,0.029006234227399865,13.04093567251462,0.00324962012682723,2.26675705996919
Result3921802,[CH2-]c1cccc(P(C(C)C)C2CC(C)CC[NH+](C(C)C)C2)c1,25.484,90.9954,0.1004,O=C([O-])C.[K+],CC(N(C)C)=O,"25.4837, 0.5216",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,25.4837,0.5216,0.0,0.8695411829740187,0.11240046058644575,5.408063636363637,137.60403403015405,10.204449627089385,-0.10502057613168692,7.074914945454546,0.13068169822872464,1.4417202524692678,-0.0069696447665376,-0.11574917973022243,-0.06141793210175067,1.5070124828915776,0.17955837819827097,-0.0193097455801502,0.28391455600579535,0.9294365455502897,5.631796296296299,0.12853018556579812,-0.2815645004886634,1.119456541083776,-0.10502057613168692,7.222005888888889,-0.10502057613168692,6.006491228070176,1.371170145946565,2.481441640134271,10.172083648274123,5.496727488151657,13.08951281182515,-0.4689556349656618,0.038674231153583954,0.4565056736277511,0.3831857569216018,4.899909730850478,0.032104350421062675,10.431279620853081,0.16541075155728144,1.6132376886980502
Result3921847,CC(C)(C)c1cc(Cc2ccccc2OP(C(C)(C)C)C(C)(C)C)c2ncccc2c1,25.413,100.6413,0.1140,O=C([O-])C.[K+],CC(N(C)C)=O,"25.4128, 2.6369",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,25.4128,2.6369,5.749511833283905,1.7529301453352086,0.010505376082458644,5.484415686274511,181.4162088932381,4.5237471617118175,-0.6848013306831653,7.127940219607844,0.1440257626158964,1.0575662492676803,0.11552211035920532,-0.03925048096773344,-0.028013680808308808,1.0211709612618067,0.37051812570464143,-0.4398267404367245,0.44162572701230496,2.1636263128800444,5.7156171875,0.1386115473064218,-0.09745814103075276,1.3715600633811589,-0.6848013306831653,7.279939890624999,-0.6848013306831653,6.080649295774648,1.0218853968187016,5.256126481432975,-7.8998965358973905,5.770592039800993,0.0,-0.5087536764801904,0.003452297623188301,0.3778725020227581,0.37879150587170346,12.263210640074686,0.045393828162009646,13.950248756218905,-0.01705127480201352,1.2814359668673694
