Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS1se,base_GATS3Z,base_GATS3m,solvent_SdssC,solvent_VSA_EState9,solvent_GATS4se,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3941613,ON=C(CP(c1ccccc1)c1ccccc1)ON=Cc1cccnc1,71.42,119.0047,0.1082,O=C([O-])C.[K+],CC(N(C)C)=O,"71.4201, 1.2535",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,71.4201,1.2535,0.0,4.346618357487923,0.14965372911552416,6.266939393939396,200.9160197584975,10.609079792477814,-0.7689067122047724,7.792575171717169,0.09553289978133063,0.6454628515744122,-0.03676155789298903,-0.08124690747154874,-0.036091084930543346,0.640408337891841,0.19001991384646114,-0.06934953154504252,0.14701254954483226,5.315602836879433,6.095633802816901,0.09499978926594092,0.0030041833399759073,0.9906881740311281,-0.7689067122047724,7.574519408450706,-0.7689067122047724,6.465906521739131,0.6497159265252596,7.669012236892302,68.37730843791451,6.21282553191489,6.161910027467921,-0.39874878545220105,0.05359623515673463,0.34224423388211195,0.4148216333990889,48.53093654769288,0.011834958439130286,19.638297872340427,-0.24796385707915308,2.365187378573947
Result3941618,Cc1ccc(C=NC(=O)c2cncc(CP(c3ccccc3)c3cc(C(C)(C)C)cc(C(N)=O)c3C)c2)c(C)c1,70.73,105.4388,0.1133,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"70.7301, 0.9388",0.1556534312908589,0.1428941881283608,0.476153268219384,0.5051641116163132,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,70.7301,0.9388,0.0,2.9899899899899904,0.1080242857304876,5.853060000000003,190.24306618461827,16.34274726964,-0.9330022700881544,7.4130866,0.07755722512935947,0.735980388740377,-0.059428384978121994,-0.10348227140730626,-0.0682954325839078,0.67201440682817,0.49764230179394175,-0.24772532479485299,0.37107942670845023,3.3421188630490954,5.878664179104479,0.07755863888803939,-0.08842716693455749,0.9334019859510875,-0.9330022700881544,7.3918742238805955,-0.9330022700881544,6.224759493670886,0.7412017450902336,9.827102634440443,6.674634930405929,5.889898604651164,0.0,-0.37612818084420285,0.03404311488675297,0.3450185593670386,0.4238284025971192,63.23578107830315,0.03309085627394147,17.372093023255815,0.12784877259059485,2.829558215557675
Result3941620,PC(C1=NN(c2ccccc2)CC1)P(Cc1ccccc1)c1ccccc1,69.414,119.6581,0.1154,O=C([O-])C.[K+],CC(N(C)C)=O,"69.4136, 0.5487",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,69.4136,0.5487,0.0,2.4091710758377425,-0.021004217447161695,5.601068965517241,187.31703031435129,10.313452420193439,-0.38673436727228605,7.2027816413793095,-0.0016553115745215974,0.7744700278717375,-0.02698738163562851,-0.04851164939607945,-0.02439570834681735,0.7190429842316186,0.4328537605872146,-0.006414079982837416,0.2499491869918698,2.598721023181455,5.828457142857142,3.5916869878550274e-05,-0.06915676131171006,1.0962876089255702,-0.38673436727228605,7.345113923076923,-0.38673436727228605,6.1286407407407415,0.7651693140609834,6.417726715437039,13.198546617872516,5.717780575539567,11.553668929867108,-0.39627141287845347,-0.009717058763872312,0.386179148180299,0.3421347541368016,0.0,0.016612980529028886,17.381294964028775,-0.08316496864729034,1.1847582835053938
Result3941616,c1ccc(PCP(c2ccccc2)c2ccccc2)cc1,68.569,117.6382,0.0925,O=C([O-])C.[K+],CC(N(C)C)=O,"68.5688, 0.4591",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,68.5688,0.4591,0.0,1.9224806201550386,0.05238700915515614,5.470774193548387,195.3134694140186,15.913619688716722,-0.26220920466952213,7.091178774193548,0.056146905399689834,1.1714264472366887,0.007500259844419114,0.01899007337073803,0.008265239034469806,1.1800352024138796,0.19001991384646116,-0.05208605586443004,0.05259410939746043,2.402930402930403,5.630478787878788,0.05794283819651808,-0.05828367195430599,1.09117416294938,-0.26220920466952213,7.185029166666668,-0.26220920466952213,5.9794024390243905,1.0539730134932537,5.586353437666363,32.0,5.566719780219779,5.902998432009833,-0.3187394702352804,0.027770258888442322,0.4275232636477863,0.3286122941657006,0.0,0.011407646285501092,18.252747252747252,-0.037328991675283994,3.325732903856398
Result3941624,S=CP(c1ccccc1)c1ccccc1,62.957,93.3629,0.1358,O=C([O-])C.[K+],CCCC#N,"62.9573, 1.8225",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.0,0.0,1.3691437802907915,1,62.9573,1.8225,0.0,2.525641025641026,0.08725996124808574,5.531636363636365,209.07495965503557,10.609079792477814,-0.45884773662551437,7.21722190909091,0.06363636363636367,1.1536421977641422,-0.18729220042563402,-0.11145631067961168,-0.0509467455621302,0.8768508862093877,0.11785113019775792,-0.009118486533474225,-0.06428934044059686,2.44,5.697057142857143,0.06802541816896353,-0.0553239889030449,1.0612675844655524,-0.45884773662551437,7.254890928571432,-0.45884773662551437,6.039722222222224,0.9978593187854674,4.203714296322742,-0.1973847614873261,5.75212,0.0,-0.31623950784807114,0.04718052832822314,0.41529446512336393,0.32865858728883485,17.24130543698137,0.011413244146704353,20.76,-0.03764757365649911,3.082139508311443
Result3941619,CCN(c1ccccc1)c1ccccc1P(c1ccccc1)c1ccccc1,61.866,102.8995,0.1503,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"61.8664, 2.1087",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.0,0.0,1.0624999999999998,2,61.8664,2.1087,0.0,3.846994535519126,0.09155132863264731,5.644813186813187,227.01329213031394,20.8135294195672,-0.6369827097505671,7.213024769230767,0.11727443930833764,1.00313814527826,-0.13382960907860153,-0.20952770394602316,-0.10383399529869493,1.0453609297333717,0.2730017401615745,0.11345769630293688,0.18380341084928464,3.6841704718417048,5.846033333333334,0.11595702514453178,-0.05179926686937182,1.1878638644074104,-0.6369827097505671,7.344399644444441,-0.6369827097505671,6.131127272727272,0.9412661083872088,8.070625355220148,-26.8284023668639,5.892893835616437,11.444666136763054,-0.41876557974569417,0.03243493575295235,0.35620678707134384,0.3528661055179567,0.0,0.013459720250420767,18.863013698630137,-0.042861624278504,2.3464251472382753
Result3941617,NC(N)C(c1ccccc1)P(c1ccccc1)C1CCCC1,54.246,109.3449,0.1067,O=C([O-])C.[K+],CC(N(C)C)=O,"54.2456, 2.5398",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,54.2456,2.5398,0.0,2.4031007751937983,0.20532059315100287,5.6840744680851065,190.50842036349863,16.77187485056328,-0.3860596707818933,7.276882297872336,0.10031799702129376,1.367998930992935,-0.19011373873061266,-0.3407532532532531,-0.17122503898194255,1.415859892125627,0.21407617506269555,0.007843476683106932,0.07924233897784812,2.393518518518518,5.730309195402301,0.1014602225602482,0.021628470824231485,0.9056765982051609,-0.3860596707818933,7.273698528735628,-0.3860596707818933,6.129938775510206,1.2975375308600525,4.182866042708493,-59.5391691676587,5.917972222222222,0.0,-0.31569852557778877,0.07483078122616443,0.40193969384588996,0.32794794193118415,0.0,0.018243482479272665,15.680555555555555,0.054566094609670025,6.762547420139345
Result3941621,CC(C)(C)P(c1ccccc1)c1ccc(P(C=CC[Si](C)(C)C)c2ccccc2)cc1,36.425,104.6897,0.1186,O=C([O-])C.[K+],CCCCOC(C)=O,"36.4249, 1.2000",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,-0.18199074074074065,0.0,1.0555555555555556,2,36.4249,1.2,0.0,1.6920601486162308,0.17771190499327633,5.364807339449541,198.8320392639758,21.21815958495563,-0.4690685392812819,7.020418862385321,0.18674543175382888,1.6939372604668623,-0.02004826065649437,-0.04311587673454674,-0.026201851577599355,1.8732090167380657,0.21407617506269555,-0.24229227328741335,0.2458763732411378,1.9582729843437476,5.402083333333334,0.18550664045570778,0.08622401271679109,0.9995619068845041,-0.8785925432933213,6.993263899999999,-0.40952400401203937,5.860934782608696,1.509643082324356,5.916936370931653,-71.48377240387339,5.725282681564247,0.0,-0.32538926045499433,0.12421405527640378,0.5325356012472732,0.33923604180965816,0.0,0.03298119644119062,16.446927374301676,0.013945919772865158,9.498058346584813
Result3941610,c1ccc(CP(c2ccccc2)c2ccccc2)cc1,27.814,97.0349,0.0922,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"27.8142, 1.4625",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.0,0.0,1.0624999999999998,2,27.8142,1.4625,0.0,2.5793650793650795,0.12391020464418756,5.618593406593406,203.27086692859422,10.609079792477814,-0.3271604938271606,7.179759999999999,0.12313079577099348,1.089607794990848,-0.10069529068412958,-0.11123011015911874,-0.04939949377410094,1.0961538461538463,0.19001991384646116,-0.07531473626111351,0.03937765024064772,3.228682170542635,5.704825396825397,0.12249402647463603,-0.11624536455538266,0.9250115716850255,-0.3271604938271606,7.229893111111112,-0.3271604938271606,6.0428461538461535,1.0040588509597543,5.705049164867748,27.611638665692713,5.70228488372093,0.0,-0.3202912349650409,0.04954014802949421,0.38072401285056984,0.3294903372191694,0.0,0.011978028599776236,16.11627906976744,-0.04319244458695729,3.704551307383845
Result3941612,[SiH3]C=NC(=S)CP(c1ccccc1)c1ccccc1,24.357,97.4667,0.1101,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"24.3565, 1.1734",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.0,0.0,1.0624999999999998,2,24.3565,1.1734,4.988502101738191,2.9518518518518517,-0.21289983873863125,5.6084819277108435,213.8464140467769,10.609079792477814,-0.441358024691358,7.2610026987951795,-0.09214977058843227,1.0174463247473358,0.033965152034845014,-0.08003048780487806,-0.037500000000000006,1.0593803059214772,0.11785113019775792,0.11038607775856771,0.1809305704330267,3.1007716049382714,5.6700620689655175,-0.08344506648427248,0.02842923360331635,0.9808924020241568,-0.441358024691358,7.241659344827587,-0.441358024691358,5.935666666666667,0.8797559340094062,4.872643061596684,38.816074577979336,5.750525,6.161910027467921,-0.3853994096953677,-0.2072084761791079,0.46457368054756965,0.33281787017949743,5.837874733525781,0.014597463793853354,21.6375,-0.046660363886589624,-11.708246756292445
