Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS1se,base_GATS3m,base_GATS3Z,solvent_NsCH3,solvent_GATS4se,solvent_SdssC,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3935431,Cc1cccc(N=CN(C)CCc2cccc(P(c3ccccc3)c3ccccc3)c2)c1,66.46,95.8101,0.1179,O=C([O-])C.[K+],CC(N(C)C)=O,"66.4605, 2.0551",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,3,1.4760842589662049,0.09259259259259278,3.4490740740740735,66.4605,2.0551,0.0,2.8351729212656362,0.0773118045395679,5.6840814814814795,200.84463291773184,15.913619688716722,-0.568364587121093,7.238993419753085,0.11246588950593656,0.9388376200246282,-0.20623028737188626,-0.1493864134404675,-0.07427166483871672,0.9581988067722228,0.36714811616131804,-0.1139467884856528,0.18754576648730786,3.21021021021021,5.8664896226415095,0.11085401961387222,-0.022649088663092003,1.0468492177235067,-0.568364587121093,7.371722754716975,-0.568364587121093,6.152671875,0.9015445467054698,8.906754015022152,-28.085507347354522,5.863543918918917,13.592428388589765,-0.43064186958786177,0.026074860715970295,0.3523874892640554,0.3530476963313718,18.471269499445103,0.0178606367678761,16.22972972972973,-0.07066465043671448,1.633851775059812
Result3935433,CN(C)CC(c1ccccc1)P(c1ccccc1Oc1ccccc1)c1cccc2ccccc12,58.18,100.2692,0.1190,O=C([O-])C.[K+],CCCC#N,"58.1802, 2.2661",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,1,1.3691437802907915,0.0,0.0,58.1802,2.2661,11.49902366656781,3.6435452793834293,0.07385957895600628,5.85689519650655,228.12877892498148,15.345942746277863,-0.8065454669522127,7.379665868995632,0.11230734360834085,0.8883756680446506,-0.11663169097863975,-0.14034747555989632,-0.07460838582426678,0.9039240885574562,0.4806792787411347,-0.05881613877187542,0.21751145172060207,4.25089605734767,5.926252173913044,0.11091866681300504,-0.12345553452595338,0.949513830601864,-0.8065454669522127,7.428130921739131,-0.8065454669522127,6.194652173913044,0.8550266078140609,9.806302356202092,39.97269632551683,5.941567204301075,20.640100371266954,-0.49406731208070254,0.02460858728169591,0.3436448412195414,0.38299530069730015,30.33183534230805,0.0183058178333265,20.010752688172044,-0.14282453914583393,2.0383404581066444
Result3935432,Cc1ccc(N(C)CCP(C)c2ccccc2)c(P(c2ccccc2)C(C)N2CCOCC2)c1,56.371,96.4923,0.1325,O=C([O-])C.[K+],CC(N(C)C)=O,"56.3710, 0.3064",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,3,1.4760842589662049,0.09259259259259278,3.4490740740740735,56.371,0.3064,0.0,2.06449864498645,0.1028056738065723,5.700380314960629,168.53141675418038,20.8135294195672,-0.5402805954229914,7.287419263779527,0.15118457300275479,1.0022478975084497,-0.060103211827909224,-0.09275079326336345,-0.04866553967522157,0.9883710189764886,0.3233854971724527,0.03266690701757867,0.2598758952567223,2.055325034578147,5.845685714285715,0.1499715973780692,-0.07057212500487496,0.9498171821338866,-0.6950683949792087,7.412208977443608,-0.15478779955621724,6.13734,0.9678403924709249,7.0810872299357435,27.883097088858403,5.687276763485476,57.62235049199168,-0.439969969509831,0.04157928230143481,0.42349151701965,0.346026224899527,0.0,0.02107351960926191,14.514522821576763,-0.25244342067672754,1.4671826414751505
Result3935434,CC(C)C1C([O-])CCC(c2cccc(P(c3ccccc3)c3ccccc3)c2)C1c1cccc(P(C)C(C)(C)C)c1O,56.168,111.0346,0.1197,O=C([O-])C.[K+],CC(N(C)C)=O,"56.1682, 0.7387",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,3,1.4760842589662049,0.09259259259259278,3.4490740740740735,56.1682,0.7387,5.749511833283905,2.570446735395189,0.1520013397086697,5.699825072886298,182.02340926182936,26.324686979796333,-0.7257020011436197,7.3049104548105,0.11691879549022406,0.8905330447825996,-0.07906383624213488,-0.05132136543261231,-0.032600492138987976,0.7935420557347411,0.5124655773590046,-0.10953720625060671,0.24600236241412263,2.5972222222222223,5.710098159509204,0.11706994233273654,-0.016633634058265376,1.063114595047445,-1.3005650442659769,7.2642763803680985,-0.5748630431223571,6.072021978021974,0.900319999252213,7.894775190207097,-46.024834893465744,5.827109374999998,6.664825604232536,-0.8682068942495302,0.058119508305132565,0.4001347719242085,0.3709775025685373,0.0,0.030233514196757048,14.8625,0.003584990919482795,4.46450407745969
Result3935436,Cc1cc(C)cc(P(c2ccccc2NCc2ccccc2P(C)c2ccccc2)C(C)C)c1,54.826,103.7392,0.0755,O=C([O-])C.[K+],CCCC#N,"54.8256, 0.8864",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,1,1.3691437802907915,0.0,0.0,54.8256,0.8864,0.0,2.321449792038027,0.14374552901227938,5.5574308943089425,189.262004892868,26.53494818896196,-0.45822203227446145,7.171515609756097,0.13459321998054388,1.2256248462862764,0.02818332962623399,-0.14749813293502614,-0.08296576349506407,1.2497736421345118,0.4483682137154482,-0.13800693250575066,0.2884082540562802,2.325818572195384,5.659357723577237,0.13411833148608462,-0.12047430985207122,1.2472710072297408,-0.8400805132106242,7.218893658536586,-0.3818584809361627,6.0418263888888895,1.1440648153877533,7.86139850207541,-38.2206119162641,5.771553140096619,11.981614208238867,-0.3367178124924476,0.05960664060482759,0.4110476026156215,0.3499806536540876,0.0,0.0241956710763985,15.11111111111111,-0.03604415419470862,3.998270703369639
Result3935437,CC(C)N1C=CN(c2cccc(P(c3ccccc3)c3ccccc3)c2)[CH-]1,53.889,104.9681,0.0718,O=C([O-])C.[K+],CCCC#N,"53.8892, 1.7354",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,1,1.3691437802907915,0.0,0.0,53.8892,1.7354,0.0,3.236331569664903,0.07181409996505907,5.66714328358209,201.0636171731093,20.8135294195672,-0.5783378766458573,7.229215970149254,0.12743261298942726,0.9983541194493977,-0.08316006437385132,-0.088289751502355,-0.047861803005890255,1.0608167911175683,0.4856676934815069,0.11800253372392175,0.24653431326176345,3.4113655640373195,5.9242766666666675,0.1257849365097192,-0.12677529109732125,1.0350342588161172,-0.5783378766458573,7.417473422222222,-0.5783378766458573,6.193666666666667,0.9344413336276348,6.972944380292275,-15.37760880193278,5.860519083969466,4.899909730850478,-0.594590756013577,0.02540242702364527,0.35295488413485504,0.3420170744952048,0.0,0.0199209952504008,16.519083969465647,0.22782782644556335,1.2389376264860998
Result3935429,CC(C)N1C=CN(c2cccc(P(c3ccccc3)N3CCOCC3)c2)[CH-]1,48.335,108.4690,0.0637,O=C([O-])C.[K+],CC(N(C)C)=O,"48.3352, 1.5300",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,3,1.4760842589662049,0.09259259259259278,3.4490740740740735,48.3352,1.53,0.0,2.751398880895284,-0.026399720171174035,5.708174358974359,183.50595739213858,15.508989523328292,-0.5480600988680795,7.28760141025641,0.15855656988184105,0.988247687593133,-0.11987159478581984,-0.09217309795344486,-0.04921588254921591,1.0191796068202752,0.4856676934815069,0.12348628978601113,0.23680419250726445,2.918168168168168,6.100609,0.15461764627110341,-0.05222429040581314,1.006879280074519,-0.5480600988680795,7.61118832,-0.5480600988680795,6.305247368421053,0.923997639450552,6.035339367037629,-24.90949889075175,5.88534864864865,31.203186471701468,-0.5945900662974206,-0.009058720415079715,0.3605649443165352,0.3398288358185497,0.0,0.0199209952504008,15.358108108108109,0.06333489676481611,-0.9682089504000582
Result3935428,C(=Cc1ccccc1)CP(c1ccccc1)c1ccccc1,46.316,103.9181,0.1155,O=C([O-])C.[K+],CCCC#N,"46.3159, 3.5391",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,1,1.3691437802907915,0.0,0.0,46.3159,3.5391,0.0,2.3617283950617285,0.11943223852228131,5.494224489795917,190.35685043240713,10.609079792477814,-0.333937442260855,7.106663428571428,0.11818181818181822,1.0827060388572907,-0.01792586410934893,-0.010827567616138022,-0.004624743336339738,1.0887949260042282,0.19001991384646116,-0.05697218963328572,0.04587728974613232,2.5412186379928317,5.7087536231884055,0.1173219146500727,0.07846958891539904,1.0644599593150816,-0.333937442260855,7.232388782608697,-0.333937442260855,6.044093023255814,1.0038411911072573,6.179774779682285,-2.7414384441947384,5.683306451612902,6.161910027467921,-0.3193688603011403,0.04611521064013633,0.3771929854379697,0.3312699056561701,0.0,0.010889116908887407,15.096774193548388,-0.045741359805397494,3.416502811354901
Result3935430,c1ccc(P(c2ccccc2)c2ccccc2)cc1,44.813,108.8440,0.0999,O=C([O-])C.[K+],CCCC#N,"44.8133, 4.9457",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,1,1.3691437802907915,0.0,0.0,44.8133,4.9457,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3935435,c1ccc(P(c2ccccc2)c2ccccc2)cc1,44.36,111.2786,0.1332,O=C([O-])C.[K+],CCCC#N,"44.3596, 2.7693",0.1574807960088896,0.1453627869996672,0.6971767885426821,0.6819085487077534,1,1.3691437802907915,0.0,0.0,44.3596,2.7693,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
