Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS3Z,base_GATS3m,base_GATS2pe,solvent_VSA_EState9,solvent_NsCH3,solvent_GATS4se,solvent_SdssC,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3941108,Cc1cc(C)c(P(c2ccc(N(C)C)cc2)c2ccccc2-c2ccccc2)c(-c2ccc(O)cc2)c1,39.093,101.8225,0.1100,O=C([O-])C.[K+],CC(N(C)C)=O,"39.0934, 0.3362",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,3.4490740740740735,3,1.4760842589662049,0.09259259259259278,39.0934,0.3362,5.749511833283905,3.582582582582583,0.10772314469240754,5.656445378151259,226.82813982201458,20.8135294195672,-0.8883741181657843,7.21288043697479,0.09241948606566822,0.9755957013478322,-0.04956448369813332,-0.06628909237479075,-0.04001572179902301,0.987022057987655,0.558082651615626,-0.013199262730538163,0.27982437041498626,3.8415841584158414,5.866561983471075,0.09222734513374446,-0.1425866085997137,0.9821194900892551,-0.8883741181657843,7.3684233057851225,-0.8883741181657843,6.1828013698630135,0.9414646343721345,10.414844192039926,0.9102144222216877,5.833426237623762,18.99525369620486,-0.44529883130715064,0.035394638784373954,0.3387700191813015,0.3751377184756833,12.13273413692322,0.02501323159467986,19.074257425742573,-0.04322555926557816,3.1509931605573795
Result3941110,COCn1nc(OC)cc1P(c1ccccc1)c1ccc(C(F)(F)F)cc1,34.946,92.1269,0.1215,O=C([O-])C.[Cs+],CCCC#N,"34.9458, 0.9127",0.1265444360281399,0.07445192098979814,0.056742661225519415,0.15437109729761034,0.0,1,1.3691437802907915,0.0,34.9458,0.9127,6.730816747499484,5.1976495726495715,0.06005289896524684,6.099428571428566,216.86094314939007,20.780959145668238,-1.1383418367346938,7.626550184873951,0.08527796842827737,0.5772857935703538,-0.31872246420783673,-0.17709723120091328,-0.11666553403556461,0.617225560350976,0.45568863084872635,-0.07278626185442151,0.1920924224776072,5.3608562691131505,6.821887179487178,0.08238166429684764,-0.0881639568067078,0.9969790785712321,-1.1383418367346938,8.215447179487176,-1.1383418367346938,6.666034042553193,0.5608493763015101,7.135382194269986,-99.99787227556774,6.540766972477062,14.219595082555067,-0.5109170672309804,0.022375292132200294,0.3245360754583938,0.5017213666470606,30.33183534230805,0.027296742463166563,21.761467889908257,-0.12287644330930725,-0.23601807655558346
Result3941100,[c-]1cccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)c1,32.985,104.6234,0.1002,O=C([O-])C.[K+],CCCC#N,"32.9850, 0.4053",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,0.0,1,1.3691437802907915,0.0,32.985,0.4053,0.0,2.7610619469026547,0.13204024190033264,5.593034965034966,221.62614188164693,21.21815958495563,-0.43992766859830335,7.162944615384615,0.13354587318455544,1.1686661823882643,-0.02089363611239852,-0.02025926649729659,-0.009417393410852713,1.1775599128540308,0.23570226039551584,-0.042253098297661336,0.019342784660705343,3.367786391042205,5.6696536585365855,0.13401934560679088,-0.11105350308438285,1.0057339433988917,-0.8624942260854955,7.207978353658536,-0.4225665574871922,6.026999999999999,1.0466071075596,7.445677803958863,60.78414351851852,5.674201550387597,5.902998432009833,-0.4580765183770811,0.062423271977594195,0.4024371230673423,0.32904571382959213,6.06636706846161,0.012681382385227124,20.45736434108527,0.04116543756562587,4.345889284978826
Result3941120,c1ccc(P(CP(c2ccccc2)C2CCCCC2)c2ccccc2)cc1,31.538,103.3508,0.1011,O=C([O-])C(C)(C)C.[K+],CCCC#N,"31.5379, 0.7404",0.1428941881283608,0.476153268219384,0.5051641116163132,0.1556534312908589,0.0,1,1.3691437802907915,0.0,31.5379,0.7404,0.0,1.7472035794183445,0.15119754113736478,5.513854748603352,192.98718655712193,15.913619688716722,-0.3098624758545394,7.117036648044693,0.15171523258846506,1.2776459951586099,-0.05389344748242286,-0.02223208123829246,-0.010186335403726725,1.2855935915889602,0.23570226039551584,0.007497327267502604,0.07578710419254438,2.231193926846101,5.594545098039217,0.1516692809900996,-0.12192557033589749,0.9489424244360667,-0.4415957000083979,7.164826205882351,-0.13173322415385846,5.9766724137931035,1.1679771039112583,5.463467541070549,53.801730435669846,5.5749440993788815,5.902998432009833,-0.31919282197792076,0.06939044258332779,0.4410990611196309,0.3307144527632393,0.0,0.012681382385227124,17.285714285714285,-0.04485675463105893,4.89908616271772
Result3941102,[c-]1cccc(CP(C2CCCCC2)C2CCCCC2)c1,30.692,105.3726,0.1005,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"30.6924, 0.2458",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,0.0,2,1.0624999999999998,0.0,30.6924,0.2458,0.0,0.9234234234234235,0.147076524622655,5.435044025157233,150.91352117014992,0.0,0.2067283950617288,7.072853836477988,0.1451330742362375,1.3425025332391687,-0.08268322069031438,-0.08333333333333334,-0.034722222222222224,1.3475891706059304,0.19001991384646116,-0.04245050320374681,0.17978407777868552,1.2615740740740742,5.545030927835052,0.1439080755899775,-0.06516879096919853,0.8592215507095465,0.2067283950617288,7.137047113402062,0.2067283950617288,5.94762,1.2737764950794854,1.5369659092471561,16.825617283950614,5.504545138888889,0.0,-0.4620292964847931,0.05453224733822244,0.4656744501969465,0.2370406406239963,6.06636706846161,0.011978028599776147,11.097222222222221,0.06774812430540969,4.3436940326830475
Result3941118,COc1ccc(OP(C)Oc2ccc(OC(C)C)cc2)cc1,30.388,90.7755,0.0872,O=C([O-])C.[Cs+],CCCC#N,"30.3876, 0.7115",0.1265444360281399,0.07445192098979814,0.056742661225519415,0.15437109729761034,0.0,1,1.3691437802907915,0.0,30.3876,0.7115,22.99804733313562,2.910569105691057,-0.17515226827550254,5.639361702127658,172.93810288279607,18.521220231023733,-1.0550073252895118,7.304065404255319,0.20654763613399538,0.987886728364407,0.039425681676689965,0.007201646090534982,0.003785830178474853,1.0036063165841909,0.23570226039551584,0.1563681488537458,0.32606036487793016,2.749354005167959,6.243506849315067,0.19717880165488402,0.16424184414128334,1.118752415982877,-1.0550073252895118,7.8022533150684925,-1.0550073252895118,6.41201590909091,0.9231122011796857,5.202307655451676,9.759402813666378,5.993293023255815,13.77462314551007,-0.5293941088186241,-0.0657178080098037,0.3780420861638435,0.3983616746788582,69.04323655130666,0.02378780075726019,15.953488372093023,0.3162109683200589,-2.441240863500431
Result3941112,CC1COCC(P(c2ccccc2OC(F)F)N(C)C(C)C)C1,29.106,94.9817,0.1208,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"29.1057, 0.3776",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,0.0,2,1.0624999999999998,0.0,29.1057,0.3776,5.749511833283905,2.8055555555555554,-0.009189910467636266,6.0874000000000015,169.30528626927773,10.041402850038956,-0.8026131687242799,7.669512577777778,0.13023640284322335,0.6584344809189522,-0.11768763466925608,-0.18361101666099966,-0.10583825366881446,0.6810267231161792,0.23848394329714995,-0.045323559114841205,0.20618128516900797,2.5671750181554103,6.291282608695652,0.1248478304681164,-0.1835905811030759,0.7418646050577787,-0.8026131687242799,7.813077434782609,-0.8026131687242799,6.382181999999999,0.6459872458054703,3.754850431258143,-4.01170808459438,6.027012418300654,20.261435911703025,-0.4647590186591842,-0.0032933907608668884,0.3915348434017314,0.5845958791660075,12.13273413692322,0.029976476385120406,16.431372549019606,-0.029640169768710523,-1.3174904858915284
Result3941099,CC(O)c1nn(C)cc1Oc1ccc(P(c2ccccc2)C(C)C)cc1,28.357,100.8906,0.0961,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"28.3572, 1.3308",0.1428941881283608,0.476153268219384,0.5051641116163132,0.1556534312908589,0.0,2,1.0624999999999998,0.0,28.3572,1.3308,11.443439828132366,3.164370982552801,0.10515473097980009,5.636640522875817,189.19266133001804,15.345942746277863,-0.40593717631085346,7.260528718954249,0.10899209302900661,0.8541943171603145,-0.09665469371371162,-0.17405804939606986,-0.10359164185510042,0.8747509394912926,0.4792391211727092,0.0875860765709008,0.3505558679316083,2.467700258397933,5.994755555555557,0.10842451081717555,0.014146356088047207,1.2190300187739704,-0.40593717631085346,7.524716533333333,-0.40593717631085346,6.31736037735849,0.8410764705195254,5.953265455873069,-129.14045879789822,6.042903875968991,0.0,-0.4896669929621857,0.03692344022246351,0.3643984215456021,0.4197182862846429,19.18040611960041,0.027685233238151658,15.503875968992247,-0.249820379960111,1.6103483284793587
Result3941113,COC(c1ccccc1)(c1ncc[nH]1)P(c1ccccc1)c1ccc(C)cc1,25.883,91.0091,0.0914,O=C([O-])C.[Cs+],CCCC#N,"25.8834, 1.6777",0.1265444360281399,0.07445192098979814,0.056742661225519415,0.15437109729761034,0.0,1,1.3691437802907915,0.0,25.8834,1.6777,5.824404497999927,4.9126378286683625,0.09475467292181013,5.898329896907216,227.93581410274405,10.609079792477814,-0.9538734567901239,7.428995319587628,0.10929160601649685,0.9055217733947261,-0.236849264862182,-0.27632336018411974,-0.1589310829817159,0.9255602236211221,0.37576682681398016,0.0017612949191539897,0.1992024036441061,4.545710267229254,6.012729213483147,0.10877940166696866,-0.04411271431051466,1.0055183491048783,-0.9538734567901239,7.517453011235954,-0.9538734567901239,6.267935185185185,0.8673859530615617,7.863218647047041,-79.7744362329778,6.233034810126581,7.109797541277533,-0.40177394372115705,0.03327546145766848,0.34262523164395897,0.38483123778712586,12.263210640074686,0.018036719511211143,20.5,-0.20654226707840165,2.4071865753358384
Result3941119,C#CCN1C=NCC1P(c1ccccc1)c1ccccc1,25.756,104.0770,0.0943,O=C([O-])C.[K+],CCCC#N,"25.7564, 1.3734",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,0.0,1,1.3691437802907915,0.0,25.7564,1.3734,0.0,3.647342995169082,0.08481147188057522,5.756417391304348,210.79258154654408,10.609079792477814,-0.4974948559670782,7.315327095652172,0.12656204801851326,0.926847931361642,-0.15908762345238642,-0.2584569095207394,-0.12618567950977927,0.9565270952730297,0.3034566378609443,-0.11214481045543397,0.047435179398898755,3.764309764309764,5.969910606060606,0.12555333471639793,0.04973730315361954,0.9012506324805076,-0.4974948559670782,7.4674873333333345,-0.4974948559670782,6.2105250000000005,0.8732502689499789,5.71212464634264,-15.279368010669947,5.982101010101011,13.08951281182515,-0.41292808068976156,0.03273016135634926,0.36500581207453836,0.3458751284666563,6.338535362521884,0.013049305457436851,17.91919191919192,-0.09176664593118844,1.1173503403534215
