Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3m,base_GATS1se,base_GATS3Z,solvent_VSA_EState9,solvent_GATS4se,solvent_NsCH3,solvent_SdssC,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3934923,[c-]1cccc(P(c2ccccc2)c2ccccc2)c1,29.4,105.4819,0.1199,O=C([O-])C.[K+],CC(N(C)C)=O,"29.3998, 0.0003",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,29.3998,0.0003,0.0,3.9565217391304346,0.11894024339065112,5.617209302325582,238.4800926186825,15.913619688716722,-0.47723765432098775,7.179948279069768,0.11882362543189053,1.050326139109461,-0.1794984685063611,-0.30229419703103916,-0.13712886440159167,1.0575289575289575,0.17677669529663687,-0.028965194150269713,-0.007775149692234585,4.333333333333333,5.748181818181818,0.118518113489421,-0.09018099116877616,0.9759127997437954,-0.47723765432098775,7.256030399999999,-0.47723765432098775,6.066814285714285,0.9558226282905692,5.721885917273355,-8.746862565044383,5.895402777777777,0.0,-0.45724142489397784,0.0486787859011099,0.3616306238164926,0.31953730373951694,6.06636706846161,0.011722306294206161,18.52777777777778,0.033693207826138515,3.6058299627409247
Result3934915,c1ccc(P(CPC2CCCCC2)c2ccccc2)cc1,29.399,107.9861,0.0828,O=C([O-])C.[K+],CC(N(C)C)=O,"29.3989, 0.0060",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,29.3989,0.006,0.0,1.2972459639126306,0.08172206118798452,5.42702752293578,170.32357626342636,10.609079792477814,-0.16339401192575798,7.065765082568807,0.08455322355657453,1.3053891141329699,-0.04364337660981119,0.03997093023255813,0.016975308641975308,1.312921639854696,0.19001991384646116,-0.004795887405328774,0.11672010527096155,1.6746031746031744,5.551709523809525,0.0858268398859933,-0.13840832652242482,0.9100484119539001,-0.16339401192575798,7.139698916666662,-0.16339401192575798,5.932244680851065,1.2008437053482557,3.346630142067121,38.16888888888889,5.457370535714285,5.902998432009833,-0.31865759060424503,0.04142113417710601,0.4719510193951432,0.3238492469096244,0.0,0.011407646285501177,15.571428571428571,-0.03588587194763985,3.946387376591196
Result3934992,c1ccc(CON2C(P(c3ccccc3)c3ccccc3)=NCC2c2ccccc2)cc1,29.398,110.0339,0.1124,O=C([O-])C.[K+],CCCC#N,"29.3975, 0.0002",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,0.0,1.3691437802907915,1,0.0,29.3975,0.0002,12.648722793660879,4.516049382716049,0.0901054011180788,6.027287499999999,211.3757058275124,10.609079792477814,-0.83782715932738,7.552193099999998,0.11897874231191967,0.6964468858051464,-0.05994368003176654,-0.09477560214867436,-0.04643975334585706,0.6679349574807114,0.5504178865064238,-0.08870937009310416,0.12729926600724684,4.707279693486589,6.04421089108911,0.11722181786335756,0.050926644738127275,1.0337201474718598,-0.83782715932738,7.525556316831681,-0.83782715932738,6.275550819672131,0.6945602023398284,9.166368863747156,-17.730876357017756,6.229275862068965,6.544756405912575,-0.39203562512763573,0.030553313119156444,0.3388489438107618,0.36435075541148815,18.19910120538483,0.013913564900210514,20.20689655172414,-0.2093471855207645,2.0435085911574298
Result3934996,c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,29.398,109.8438,0.0963,O=C([O-])C.[K+],CCCC#N,"29.3983, 0.0038",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,0.0,1.3691437802907915,1,0.0,29.3983,0.0038,0.0,2.586206896551724,0.13524954147716953,5.574432432432433,218.5631006053365,21.21815958495563,-0.40867766859830357,7.151974,0.13658911479074973,1.1833053360240817,-0.022522511102461555,-0.02473661344629089,-0.011497734529804514,1.192050710981669,0.23570226039551584,-0.02868492479413743,0.0019508999726497974,3.1919191919191916,5.665614285714286,0.13697471327365393,-0.1128977516275747,1.0305735177461683,-0.8173553371966067,7.2058272500000005,-0.4086776685983031,6.018980769230769,1.0632930218142123,7.445677803958862,62.91888667787599,5.6669090909090905,5.902998432009833,-0.3205646152207717,0.06376385365201001,0.4074460859730871,0.33780388806045863,0.0,0.012681382385227124,20.09090909090909,-0.051531965099392514,4.445756780212874
Result3934914,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,29.152,104.3247,0.1115,O=C([O-])C.[Cs+],CCCC#N,"29.1516, 0.0100",0.15437109729761034,0.056742661225519415,0.1265444360281399,0.07445192098979814,0.0,1.3691437802907915,1,0.0,29.1516,0.01,0.0,1.8080808080808082,0.11731533900492506,5.55798275862069,188.35671779556262,5.304539896238907,-0.11994260495693476,7.1460188908046005,0.1146578436191909,1.2917702038526977,-0.22231418080258047,-0.30012679724625324,-0.16171732782379036,1.294989453996901,0.34237623488261243,0.046406144027325055,0.44261876669151384,1.7267373380447588,5.572630303030304,0.11317953522332112,-0.1816056662228054,1.330761222797097,-0.11994260495693476,7.152842933333332,-0.11994260495693476,5.961959302325582,1.2497381189516856,3.5471629113672627,-121.49602246558752,5.688835689045936,0.0,-0.35057205560808136,0.037199130005987444,0.4301401275697142,0.3412050848262929,0.0,0.02583222674304045,14.537102473498233,-0.010862680971915839,3.4973288549655974
Result3934922,Cc1cc(C)c(P(c2ccccc2-c2ccccc2)c2ccccc2N(C)C)c(C)c1,29.118,99.9570,0.1005,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"29.1182, 0.1097",0.1556534312908589,0.5051641116163132,0.1428941881283608,0.476153268219384,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,29.1182,0.1097,0.0,3.303030303030303,0.09017429877537904,5.606705128205127,222.38104792860645,20.8135294195672,-0.7393594104308387,7.185305068376069,0.11516114535182316,1.0342460546647898,0.031777012901457596,-0.09342301943198805,-0.05598853354832929,1.0664625792446092,0.45011733645040014,-0.0457561428890972,0.3498109659750527,3.584092289010322,5.776611111111111,0.11358901927477494,-0.11930880391677552,1.0650076671142985,-0.7393594104308387,7.30219374074074,-0.7393594104308387,6.099679687500001,0.9827972981856435,8.357586127605508,20.16980368346489,5.861144808743169,18.99525369620486,-0.4447183988863083,0.030822269591055385,0.3558994072876814,0.3557535008492687,0.0,0.025450945541494633,18.169398907103826,-0.12046869219367261,2.303693564458497
Result3934998,[c-]1ccccc1P(c1ccccc1)c1ccccc1,29.063,100.2809,0.1225,O=C([O-])C.[K+],CC(N(C)C)=O,"29.0626, 1.0133",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,29.0626,1.0133,0.0,4.1940298507462686,0.11894024339065114,5.6551219512195114,242.0156205114872,15.913619688716722,-0.5015432098765431,7.202459707317073,0.11882362543189053,1.050326139109461,-0.25396170878745483,-0.3415268941584731,-0.15492588219860945,1.0575289575289575,0.17677669529663687,0.01392905510406988,0.012760157188486552,4.457142857142857,5.748181818181819,0.118518113489421,-0.1121731111824266,0.964237868087371,-0.5015432098765431,7.2560304,-0.5015432098765431,6.066814285714285,0.9558226282905692,5.721885917273355,-22.479701617748766,5.903557142857142,0.0,-0.46523871551194473,0.048678785901109904,0.3621099622327467,0.3230144616925248,12.13273413692322,0.011722306294206161,18.885714285714286,0.034326857859683604,3.6058299627409256
Result3934991,CCC(C)(C)P(c1cc(C)cc(C)c1C)c1scnc1-c1cc(C)c([S-])c(C)c1,29.038,109.5241,0.1085,O=C([O-])C.[K+],CC(N(C)C)=O,"29.0378, 0.2649",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,29.0378,0.2649,0.0,2.1823671497584543,0.09271818761770922,5.674947663551403,194.8966570177365,9.922775494482119,-0.5518156336608713,7.295982252336449,0.08394385969648605,1.0217694731696476,-0.09116132390175982,-0.18114158922860193,-0.12936528497409328,0.8578018749211272,0.6062965191120566,-0.12327936712307473,0.48380650240377554,2.080598733448474,5.642629090909094,0.08662735866822258,-0.2304257657935026,1.0982065102198795,-0.5518156336608713,7.2430650454545455,-0.5518156336608713,6.05583870967742,0.9765115925366363,5.337982101553255,-31.334814814814802,5.758437823834196,0.0,-0.800463036820035,0.04020251453978395,0.4113146465219825,0.3638326849880488,16.847325151552116,0.03826300239846245,18.134715025906736,0.08410963850768954,2.6938142048923677
Result3934918,CC(C)c1ccc([O-])c(-c2ncccc2-c2ccccc2P(C(C)C)C(C)C)c1,28.654,110.1290,0.0840,O=C([O-])C(C)(C)C.[K+],CCCC#N,"28.6538, 0.6587",0.1556534312908589,0.5051641116163132,0.1428941881283608,0.476153268219384,0.0,1.3691437802907915,1,0.0,28.6538,0.6587,0.0,3.1949434464404525,0.10492952157337142,5.609458333333334,187.1361863589995,10.411067291079613,-0.32954168532982475,7.22985941666667,0.10537951363301407,0.7474406032196548,0.04516458232165996,-0.051926514613081724,-0.031891534391534374,0.6340332774506818,0.3390588916056911,-0.05552077082214812,0.42537456760217907,2.760141093474427,5.712045871559637,0.1043091910590875,-0.031550335170051125,1.0321124344013604,-0.32954168532982475,7.266778678899084,-0.32954168532982475,6.088741935483872,0.7755682268344981,5.828651275981286,7.9372427983539,5.816108994708996,0.0,-0.8883656993815178,0.03591405769616399,0.3843323983106747,0.3577538694106984,18.19910120538483,0.02981983980464866,15.359788359788359,-0.006024561337823499,2.3423542637265613
Result3934995,c1ccc(P(CCP(C2CCCCC2)C2CCCCC2)C2CCCCC2)cc1,27.917,105.5385,0.1094,O=C([O-])C.[K+],CCCC#N,"27.9168, 1.4411",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,0.0,1.3691437802907915,1,0.0,27.9168,1.4411,0.0,0.8134920634920635,0.17055314527641197,5.316030188679244,148.67401711766652,5.304539896238907,0.06769195641219494,7.001498566037736,0.16972869996642173,1.4862588269145627,-0.022339712992329834,0.027131782945736406,0.011428571428571423,1.492733043768794,0.23570226039551584,-0.014325575045490108,0.07033722127790758,0.9033613445378151,5.506972222222221,0.16899558795588857,0.003943092993336424,1.090984792074935,0.3429965828924173,7.114819361111111,0.27530462648022236,5.9135547945205476,1.3943633327148761,1.2953842854499573,1.8447266313933026,5.464983193277312,12.323820054935842,-0.31359305931650566,0.07087870444434136,0.5081338820123081,0.31221781851503067,0.0,0.012228475871469012,12.142857142857142,-0.0335162589832892,5.125487660598221
