Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS3m,base_GATS3Z,base_GATS2pe,solvent_VSA_EState9,solvent_NsCH3,solvent_SdssC,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3934923,[c-]1cccc(P(c2ccccc2)c2ccccc2)c1,29.4,105.4819,0.1199,O=C([O-])C.[K+],CC(N(C)C)=O,"29.3998, 0.0003",0.1453627869996672,0.6971767885426821,0.6819085487077534,0.1574807960088896,3.4490740740740735,3,0.09259259259259278,1.4760842589662049,29.3998,0.0003,0.0,3.9565217391304346,0.11894024339065112,5.617209302325582,238.4800926186825,15.913619688716722,-0.47723765432098775,7.179948279069768,0.11882362543189053,1.050326139109461,-0.1794984685063611,-0.30229419703103916,-0.13712886440159167,1.0575289575289575,0.17677669529663687,-0.028965194150269713,-0.007775149692234585,4.333333333333333,5.748181818181818,0.118518113489421,-0.09018099116877616,0.9759127997437954,-0.47723765432098775,7.256030399999999,-0.47723765432098775,6.066814285714285,0.9558226282905692,5.721885917273355,-8.746862565044383,5.895402777777777,0.0,-0.45724142489397784,0.0486787859011099,0.3616306238164926,0.31953730373951694,6.06636706846161,0.011722306294206161,18.52777777777778,0.033693207826138515,3.6058299627409247
Result3934915,c1ccc(P(CPC2CCCCC2)c2ccccc2)cc1,29.399,107.9861,0.0828,O=C([O-])C.[K+],CC(N(C)C)=O,"29.3989, 0.0060",0.1453627869996672,0.6971767885426821,0.6819085487077534,0.1574807960088896,3.4490740740740735,3,0.09259259259259278,1.4760842589662049,29.3989,0.006,0.0,1.2972459639126306,0.08172206118798452,5.42702752293578,170.32357626342636,10.609079792477814,-0.16339401192575798,7.065765082568807,0.08455322355657453,1.3053891141329699,-0.04364337660981119,0.03997093023255813,0.016975308641975308,1.312921639854696,0.19001991384646116,-0.004795887405328774,0.11672010527096155,1.6746031746031744,5.551709523809525,0.0858268398859933,-0.13840832652242482,0.9100484119539001,-0.16339401192575798,7.139698916666662,-0.16339401192575798,5.932244680851065,1.2008437053482557,3.346630142067121,38.16888888888889,5.457370535714285,5.902998432009833,-0.31865759060424503,0.04142113417710601,0.4719510193951432,0.3238492469096244,0.0,0.011407646285501177,15.571428571428571,-0.03588587194763985,3.946387376591196
Result3934914,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,29.152,104.3247,0.1115,O=C([O-])C.[Cs+],CCCC#N,"29.1516, 0.0100",0.1265444360281399,0.056742661225519415,0.07445192098979814,0.15437109729761034,0.0,1,0.0,1.3691437802907915,29.1516,0.01,0.0,1.8080808080808082,0.11731533900492506,5.55798275862069,188.35671779556262,5.304539896238907,-0.11994260495693476,7.1460188908046005,0.1146578436191909,1.2917702038526977,-0.22231418080258047,-0.30012679724625324,-0.16171732782379036,1.294989453996901,0.34237623488261243,0.046406144027325055,0.44261876669151384,1.7267373380447588,5.572630303030304,0.11317953522332112,-0.1816056662228054,1.330761222797097,-0.11994260495693476,7.152842933333332,-0.11994260495693476,5.961959302325582,1.2497381189516856,3.5471629113672627,-121.49602246558752,5.688835689045936,0.0,-0.35057205560808136,0.037199130005987444,0.4301401275697142,0.3412050848262929,0.0,0.02583222674304045,14.537102473498233,-0.010862680971915839,3.4973288549655974
Result3934922,Cc1cc(C)c(P(c2ccccc2-c2ccccc2)c2ccccc2N(C)C)c(C)c1,29.118,99.9570,0.1005,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"29.1182, 0.1097",0.1428941881283608,0.5051641116163132,0.476153268219384,0.1556534312908589,3.4490740740740735,3,0.09259259259259278,1.4760842589662049,29.1182,0.1097,0.0,3.303030303030303,0.09017429877537904,5.606705128205127,222.38104792860645,20.8135294195672,-0.7393594104308387,7.185305068376069,0.11516114535182316,1.0342460546647898,0.031777012901457596,-0.09342301943198805,-0.05598853354832929,1.0664625792446092,0.45011733645040014,-0.0457561428890972,0.3498109659750527,3.584092289010322,5.776611111111111,0.11358901927477494,-0.11930880391677552,1.0650076671142985,-0.7393594104308387,7.30219374074074,-0.7393594104308387,6.099679687500001,0.9827972981856435,8.357586127605508,20.16980368346489,5.861144808743169,18.99525369620486,-0.4447183988863083,0.030822269591055385,0.3558994072876814,0.3557535008492687,0.0,0.025450945541494633,18.169398907103826,-0.12046869219367261,2.303693564458497
Result3934918,CC(C)c1ccc([O-])c(-c2ncccc2-c2ccccc2P(C(C)C)C(C)C)c1,28.654,110.1290,0.0840,O=C([O-])C(C)(C)C.[K+],CCCC#N,"28.6538, 0.6587",0.1428941881283608,0.5051641116163132,0.476153268219384,0.1556534312908589,0.0,1,0.0,1.3691437802907915,28.6538,0.6587,0.0,3.1949434464404525,0.10492952157337142,5.609458333333334,187.1361863589995,10.411067291079613,-0.32954168532982475,7.22985941666667,0.10537951363301407,0.7474406032196548,0.04516458232165996,-0.051926514613081724,-0.031891534391534374,0.6340332774506818,0.3390588916056911,-0.05552077082214812,0.42537456760217907,2.760141093474427,5.712045871559637,0.1043091910590875,-0.031550335170051125,1.0321124344013604,-0.32954168532982475,7.266778678899084,-0.32954168532982475,6.088741935483872,0.7755682268344981,5.828651275981286,7.9372427983539,5.816108994708996,0.0,-0.8883656993815178,0.03591405769616399,0.3843323983106747,0.3577538694106984,18.19910120538483,0.02981983980464866,15.359788359788359,-0.006024561337823499,2.3423542637265613
Result3934919,CP1C2(C)CC3(C)OC4(C=CC=CC4(C)C1(C)O3)O2,25.822,90.2227,0.1108,O=C([O-])C.[K+],CCCC#N,"25.8222, 1.5624",0.1453627869996672,0.6971767885426821,0.6819085487077534,0.1574807960088896,0.0,1,0.0,1.3691437802907915,25.8222,1.5624,5.3421392155256004,1.712962962962963,0.0962093082794102,5.2685538461538455,122.47270740205681,0.0,-0.4286985596707811,7.008082092307691,0.15489883301150198,0.8114664837999839,-0.04493296155192613,-0.11884395588395878,-0.12292921686746988,0.8441401599544633,0.9865036956176121,-0.00766307807970376,0.5663825389566693,0.5281124497991967,6.176261904761904,0.1550384738152947,0.32558759268229487,1.4843128327549857,-0.4286985596707811,7.730243904761905,-0.4286985596707811,6.319255813953489,0.7872789856073718,1.593719424981085,-140.36524691358025,5.729385542168676,6.664825604232536,-0.39732078683546224,0.03716617836836083,0.3951128861257959,0.37565948177228115,6.076020106833881,0.06073574305584767,8.927710843373495,0.2926351927561768,2.8209513811531672
Result3934921,CC12CC3(C)OC(c4ccccc4[O-])(CC(C)(O1)P3c1ccccc1)O2,24.332,94.7456,0.0958,O=C([O-])C.[K+],CC(N(C)C)=O,"24.3318, 1.5243",0.1453627869996672,0.6971767885426821,0.6819085487077534,0.1574807960088896,3.4490740740740735,3,0.09259259259259278,1.4760842589662049,24.3318,1.5243,5.3421392155256004,4.064327485380117,0.08546966529999181,5.631572916666666,181.91833327132076,10.411067291079613,-0.755229644326866,7.29656290625,0.12164124535258558,0.7224039447555878,0.1708575694498153,-0.12319027014384282,-0.10757761437908497,0.7529881535705014,0.9837794010571884,0.02978628680659969,0.34787715295584404,2.958169934640523,6.255833333333334,0.12200345583902969,-0.03817077954554278,1.1490255331218286,-0.755229644326866,7.771543833333333,-0.755229644326866,6.377451923076923,0.6999337241994695,4.9490453394633445,-163.3372770919067,6.253826470588235,0.0,-0.8885122721522516,0.031001353696945635,0.3442811907243898,0.369203886427319,25.122838405075452,0.04429400595939131,15.794117647058824,0.33706249030208046,2.694999909007833
