Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS3m,base_GATS3Z,base_GATS2pe,solvent_SdssC,solvent_NsCH3,solvent_GATS4se,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3953316,CC(C)P(CCC(=O)Nc1cccc(Oc2cccc(N)c2)c1)C(C)(C)C,61.2616,119.2695,0.1300,O=C([O-])C(C)(C)C.[K+],CCCC#N,"61.2616, 1.3541",0.1428941881283608,0.5051641116163132,0.476153268219384,0.1556534312908589,0.0,1,1.3691437802907915,0.0,61.2616,1.3541,11.49902366656781,1.9434464404524283,0.12316640263503338,5.510333333333334,138.284225225126,15.787319034968565,-0.20797252604060756,7.202211073446324,0.09076661878020105,0.9246931256100117,0.33890515676719163,0.15149983147960902,0.09011627906976744,0.8765247182484593,0.2601100286299702,-0.2275634921930306,0.3827699003524595,1.9315245478036176,5.81054368932039,0.09048672777172559,0.2476239832513061,0.8797023713467562,-0.20797252604060756,7.374461902912622,-0.20797252604060756,6.220627118644068,0.9165177971948778,4.926174226358369,107.01451828364236,5.728095930232556,17.212366108636438,-0.49434634425035034,0.04146293411977206,0.3909334382106037,0.3881634910280916,42.46456947923127,0.0347899241182357,10.784883720930232,0.27370812337740297,2.42162122028101
Result3953433,CP([O-])C1(O)CCC(Nc2cc(F)ccc2N)CC1,60.4461,119.8077,0.1509,O=C([O-])C.[K+],CC(N(C)C)=O,"60.4461, 1.1006",0.1453627869996672,0.6971767885426821,0.6819085487077534,0.1574807960088896,0.09259259259259278,3,1.4760842589662049,3.4490740740740735,60.4461,1.1006,5.817220841045895,1.9699699699699702,0.10781160972267007,5.968871794871796,125.09015809980953,15.943867683920992,-1.5972746248705232,7.561428333333333,0.10636653090016573,0.8266361278131017,-0.04630703672976107,0.04605755912378801,0.03077946298785002,0.8049814421318289,0.3490617725437759,-0.11167938279591146,0.13665525216780136,1.7942794279427943,6.073285714285716,0.1038862767906528,0.044588914077605166,1.044172612285706,-1.5972746248705232,7.58988317142857,-1.5972746248705232,6.427989743589744,0.8111698145042404,2.8716442010854113,27.037892000957555,5.785117821782179,17.715281685401052,-0.8461234111361406,0.041576136608716764,0.40105651349289995,0.383978338273729,0.0,0.03587952172573656,11.168316831683168,0.09712132719235686,5.348953616896272
Result3953324,CP(C)C1(NCCCCS)CNCCO1,56.0926,118.1298,0.1480,O=C([O-])C(C)(C)C.[K+],CCCC#N,"56.0926, 3.2547",0.1428941881283608,0.5051641116163132,0.476153268219384,0.1556534312908589,0.0,1,1.3691437802907915,0.0,56.0926,3.2547,5.466073998512166,0.685897435897436,0.0614711647309538,5.348561224489796,116.20094966501745,10.633577208012662,-0.1387026539010663,7.08347906122449,0.04138200273277376,1.107663577007123,0.010051469724288957,-0.06038594174187398,-0.02714021896847383,1.0861216886013565,0.11353103630798288,-0.06768105932514693,0.33024954929310163,0.4888888888888888,5.8732563380281695,0.04681311739480021,0.07461593098304853,1.585464079085983,-0.1387026539010663,7.514054366197184,-0.1387026539010663,6.201289473684211,1.0881153949486109,0.4503769427980311,-25.751171300571116,5.609787619047619,45.323655997462495,-0.39474976442655435,0.0279753030346261,0.5639865404333358,0.3099258739338782,0.0,0.019271395762177432,9.761904761904763,-0.03762154301435508,-1.071037493512488
Result3953333,NC(=[NH2+])P(c1ccccc1)C1C=NN(C(N)=S)C1,54.2039,110.4708,0.1519,O=C([O-])C.[Cs+],CCCC#N,"54.2039, 1.5682",0.1265444360281399,0.056742661225519415,0.07445192098979814,0.15437109729761034,0.0,1,1.3691437802907915,0.0,54.2039,1.5682,0.0,3.105185185185185,0.21358120952099574,5.763885057471264,163.0943794108541,22.1811584563548,-0.8012242798353912,7.4030988045977,0.030426537130689456,1.2239915161695385,0.17101163399222652,-0.025860832137733162,-0.015578242316210243,1.2263605649712066,0.3128594587845912,-0.028549532635446365,0.12280850456366374,2.6474945533769065,6.070160000000001,0.03596715087342745,-0.05904669767490818,1.0362457151524345,-0.8012242798353912,7.590582109090909,-0.8012242798353912,6.52129705882353,1.1743958278346143,4.226425316296241,-0.07287238263669338,6.115014117647059,6.544756405912575,-0.3742430444317136,0.10044762887433224,0.3847269595291677,0.5399484782074476,36.54643592184337,0.027443856083226678,17.929411764705883,0.6356339420740847,7.486314360247567
Result3953314,COc1cc(OC)c(P(C)c2ccccc2)cc1OC,53.1601,95.4627,0.1412,O=C([O-])C.[K+],CCCC#N,"53.1601, 2.8373",0.1453627869996672,0.6971767885426821,0.6819085487077534,0.1574807960088896,0.0,1,1.3691437802907915,0.0,53.1601,2.8373,5.749511833283905,3.3229974160206717,0.0587632325459834,5.934960000000001,166.19801787389565,24.81966865387796,-0.49727607709750576,7.56488546,0.1289994921279837,0.8467658649647595,-0.1545027893797116,-0.22963070855555054,-0.12711969533449943,0.888058767499891,0.20885171025161609,-0.02682425833057603,0.342654995660664,2.4046121593291407,6.1147878787878795,0.12804475860790288,0.004397147712536571,1.151129678031355,-0.49727607709750576,7.70640787878788,-0.49727607709750576,6.350137500000001,0.8154878232066346,5.169258942491314,-58.96570644718792,6.000968867924526,27.994218228065137,-0.5292206711047177,0.023004936979396786,0.3850372867137781,0.4331646157992208,18.19910120538483,0.01899875010578628,15.40566037735849,-0.37570332680406354,-0.4303208043426167
Result3953320,CC(N1CCCCC1[NH3+])P(Cc1cccc([O-])c1)C1CCCCC1,52.7786,119.3646,0.0793,O=C([O-])C.[Cs+],CCCC#N,"52.7786, 1.8829",0.1265444360281399,0.056742661225519415,0.07445192098979814,0.15437109729761034,0.0,1,1.3691437802907915,0.0,52.7786,1.8829,6.165775612134527,1.129933211900425,0.15189487027359816,5.526821256038647,138.72382497701483,10.84019487200289,-0.13114711934156364,7.165694028985506,0.11546610169491517,1.025371823395362,-0.010114687527508348,0.023149911045912797,0.011471639514902928,0.9219947199266242,0.3326303192968934,0.01615469103989892,0.2768470145215867,1.134003350083752,5.742430701754383,0.11539062326357254,-0.06446737385681055,0.8465789697494885,-0.13114711934156364,7.3136767543859635,-0.13114711934156364,6.134618644067798,1.0241869771187102,2.546976926813791,20.131029870539447,5.58044271356784,6.544756405912575,-0.8889943816420895,0.0510927095751658,0.44514809322920335,0.721480601932453,12.13273413692322,0.021847771534677318,11.391959798994975,0.6246041644005873,3.888772472533587
Result3953332,Cc1c(N)cc(N)c(N)c1P(C)C,51.3047,107.7201,0.0929,O=C([O-])C.[K+],CCCCOC(C)=O,"51.3047, 3.7146",0.1453627869996672,0.6971767885426821,0.6819085487077534,0.1574807960088896,-0.18199074074074065,2,1.0555555555555556,0.0,51.3047,3.7146,0.0,1.051948051948052,0.30086027473627946,5.466571428571427,118.09921987322313,22.50554232772546,-0.2546502057613167,7.196805818181818,0.08096047598810026,1.550441755117934,0.04401742971264169,-0.15373201438848916,-0.10163495838287753,1.576320272572402,0.207632824694552,-0.23816038015054516,0.5344885750269884,0.375,5.643166666666665,0.08428585906336088,0.3431529792795474,1.477944363570939,-0.2546502057613167,7.237733333333336,-0.2546502057613167,6.267413793103448,1.499303732450634,2.417789153116824,-67.70848930579413,5.792882500000002,30.530653639951627,-0.3148241734662563,0.12770359840665874,0.48442135686336535,0.366309518687315,6.923737199690624,0.04253451535699601,9.325,0.08630851615639015,8.836582035430675
Result3953322,c1ccc(P(c2ccccc2)c2cccnc2)cc1,51.0873,110.1180,0.0652,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"51.0873, 4.7460",0.1243972321309733,0.05199823768686698,0.06442562223749324,0.15285281509040824,0.0,1,1.3691437802907915,0.0,51.0873,4.746,0.0,3.9565217391304346,0.11105774181170971,5.741813953488372,232.78528591772277,15.913619688716722,-0.508487654320988,7.291177302325582,0.12017374517374524,0.8919156047628994,-0.1747724200382914,-0.30229419703103916,-0.1371288644015917,0.8651001308241922,0.17677669529663687,-0.05093457852226099,-0.007775149692234605,4.333333333333333,5.845600000000001,0.11990158051180008,-0.035248794916911706,0.9759127997437953,-0.508487654320988,7.342991272727273,-0.508487654320988,6.138214285714285,0.8466468959842431,5.802613832445421,-8.746862565044381,5.964819444444444,0.0,-0.37544318683733696,0.04510801156187351,0.3616306238164926,0.3464433571035423,18.460054211687762,0.011722306294206161,18.86111111111111,-0.073942092070866,2.8373554435048995
Result3953317,CC(=O)P(C(=C1C=CC=N1)N1CCC(N2CCN(Cc3ccccc3)CC2)CC1)C1CCNCC1,49.3172,115.4985,0.0593,O=C([O-])C.[K+],CCCC#N,"49.3172, 2.8194",0.1453627869996672,0.6971767885426821,0.6819085487077534,0.1574807960088896,0.0,1,1.3691437802907915,0.0,49.3172,2.8194,0.0,2.1592111592111594,0.04703629389367401,5.795893971631206,160.47210321095872,5.316788604006331,-0.8529764586498518,7.396295595744679,0.12683573905031825,0.868008885749258,-0.1493072045897647,-0.12139935022600831,-0.06207013888888888,0.8499095056968717,0.43058252600880526,0.07286977147717376,0.22679582712771526,2.0807291666666665,5.998724324324324,0.12524368471251623,0.013070555963739338,0.9520159844964133,-0.8529764586498518,7.517649594594593,-0.8529764586498518,6.263727848101266,0.8482311922070384,6.033411285068405,-43.06744801097395,5.869869531250001,52.358051247300594,-0.4328376494997294,0.014476949294410324,0.3796729762950037,0.37001575477413157,19.214357886059823,0.018786867902058097,13.5390625,-0.27407232471639636,0.5560197430105666
Result3953329,C=C(c1ccccc1)P(c1ccccc1)c1ccccc1P(c1cccc(OC)c1)C1CCCOC1,47.1623,116.4227,0.1087,O=C([O-])C.[Cs+],CC1=CC=C(C)C=C1,"47.1623, 5.0248",0.1265444360281399,0.056742661225519415,0.07445192098979814,0.15437109729761034,0.0,2,1.0624999999999998,0.0,47.1623,5.0248,5.749511833283905,3.3226010101010104,0.11574599043740628,5.701552000000001,227.2441060544112,25.955022538755678,-0.8146090418334688,7.281377807999999,0.13367152641600588,0.8888003910053858,-0.11950602085356275,-0.09989234332691733,-0.052192885267697296,0.8752634424145007,0.3800398276929223,0.05391320792258505,0.11210382877932358,3.667214012041598,5.880754098360656,0.13340818318853723,-0.07711551512614218,1.0252206446457286,-1.4727654192678443,7.428123409836067,-0.6581563774343755,6.1554166666666665,0.8608742004264395,8.896208138562086,11.431511384510227,5.863285714285713,20.32356147030337,-0.5293212935474998,0.04805507301621206,0.3802138997794763,0.36985978444740425,6.06636706846161,0.016273946369445416,20.63054187192118,-0.17760731651297668,3.1784207758724645
