Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3Z,base_GATS3m,base_GATS1se,solvent_SdssC,solvent_GATS4se,solvent_VSA_EState9,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3940954,c1ccc(CP(c2ccccc2)C2CCCCC2)cc1,29.4,105.7875,0.0874,O=C([O-])C.[K+],CCCC#N,"29.3998, 0.0003",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1.3691437802907915,0.0,1,29.3998,0.0003,0.0,1.4710351377018045,0.13837030611119425,5.523540983606558,170.94763698130754,5.304539896238907,-0.05021604938271573,7.1247109508196695,0.13684761829942113,1.2239691480745163,-0.11053071397582657,-0.09139130434782614,-0.03954193806287772,1.2296258153106767,0.19001991384646116,-0.03633137448227365,0.1295808815269891,1.9014492753623191,5.606617283950619,0.13583410336296667,-0.1097906404493628,0.8983466633167229,-0.05021604938271573,7.172914197530861,-0.05021604938271573,5.985133333333335,1.1489816157474542,3.722838901979433,14.279537153883648,5.57838695652174,0.0,-0.3165165921242269,0.05348858074983764,0.4266144335049479,0.3189709869460871,0.0,0.011978028599776236,13.034782608695652,-0.03616426460871021,4.156879662647656
Result3940964,c1ccc(PC2=NC(P(c3ccccc3)c3ccccc3)CN2)cc1,29.4,103.2556,0.1146,O=C([O-])C.[K+],CCCC#N,"29.3998, 0.0003",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1.3691437802907915,0.0,1,29.3998,0.0003,5.576708190299181,3.709135802469136,0.06025552130310483,5.768918032786885,206.18328813614343,21.23040829272305,-0.4988022685068543,7.337010393442622,0.05177278534923338,1.0156218656762117,-0.08956141181117186,-0.13955503645234818,-0.06712424963189488,1.0336863251712616,0.36481237884323736,-0.005566036770993153,0.04878566073471962,3.6309887869520896,5.859892405063293,0.05386658749560517,0.09277774732894176,0.8737106893422248,-0.4988022685068543,7.374478481012654,-0.4988022685068543,6.145083333333335,0.9501611441515101,6.75042555380098,-15.41037037037037,5.993908256880735,6.544756405912575,-0.3746923886799467,0.029220962987333277,0.38721055828087536,0.3457403057195871,0.0,0.01436936307226953,18.871559633027523,0.026625949711383594,3.2388109594827696
Result3940959,Cc1cc(C)c(P(c2ccccc2)c2ccccc2-c2c(N(C)C)cccc2N(C)C)c(C)c1,29.258,99.9555,0.1047,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"29.2584, 0.1448",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,29.2584,0.1448,0.0,3.3195876288659796,0.06576967259689998,5.66253237410072,217.9780086997884,25.713439150417678,-0.7448114554463763,7.238653287769784,0.11677634375690796,1.0310590926360663,-0.05016908564293963,-0.19688838690957186,-0.12216095251646196,1.0779798649157126,0.4717434217832204,-0.05178455246423854,0.4057057259556102,3.1725550435227854,5.825512195121952,0.11468410221733463,-0.22644351918542135,1.1009181955082372,-0.7448114554463763,7.354053073170732,-0.7448114554463763,6.134520833333333,0.9834804046381205,8.950777758817951,-109.14543837403177,5.929067741935485,37.99050739240972,-0.447348525655091,0.021611894809739136,0.35500758116750625,0.3677868539134742,0.0,0.028459179610012264,18.28110599078341,-0.21027321689190728,1.1627566440520327
Result3940955,COc1ccc([CH-]c2ccccc2OP(C)OC(C)C)cc1,28.965,90.3997,0.0961,O=C([O-])C.[Cs+],CCCC#N,"28.9651, 1.2968",0.15437109729761034,0.07445192098979814,0.056742661225519415,0.1265444360281399,0.0,1.3691437802907915,0.0,1,28.9651,1.2968,5.749511833283905,3.006172839506173,-0.14543105688893837,5.712693069306931,177.78088202642286,9.260610115511867,-0.9349164830427859,7.348500435643565,0.20650277100165515,1.0267340368163396,0.10038212557741844,0.02904424181019927,0.015122208545806233,1.019727725634182,0.23570226039551584,0.11967699096831677,0.3004903274269606,2.9030732860520096,6.090346666666664,0.1965818709403585,-0.155639598053892,1.0485004668149174,-0.9349164830427859,7.65101712,-0.9349164830427859,6.293326666666668,0.9594224975147205,4.980200564621772,-5.620752984389342,5.992489361702129,13.77462314551007,-0.5314943963588468,-0.05459299428105005,0.3822914241499237,0.32661545098957406,69.04323655130666,0.02302249382973265,15.819148936170214,0.18847728635798852,-1.3678359632816481
Result3940949,CCn1nc(C)c(C)c1-c1ccccc1P(c1cc(C)cc(C)c1)C(P)NC,28.905,105.4602,0.1266,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"28.9055, 0.7481",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,28.9055,0.7481,0.0,2.6844729344729346,-0.0042496442907711774,5.594917511520739,201.39194221328896,15.925868396484145,-0.598790837322583,7.201694838709676,0.01435650142673309,0.9254125105574289,-0.10805411393078931,-0.1788467468393464,-0.1110791918031218,0.9030477000956157,0.6978866174965241,0.06725019308340174,0.49622923327027424,2.529190207156309,5.780943396226415,0.015474811608378033,-0.077442462140582,1.4296691817728413,-0.598790837322583,7.335031066037736,-0.598790837322583,6.12776393442623,0.9131779821588571,5.846573851903454,-50.625863151286886,5.827017514124294,7.04767198267719,-0.43597945113729764,-0.001851931380563458,0.39616206032660056,0.35662560840545793,7.04767198267719,0.02877151792210169,18.717514124293785,-0.04882903367995192,0.5920684259034226
Result3940960,COC([O-])P(c1ccc(C)cc1)c1ccc(-c2cc(C(C)C)n[nH]2)cc1,28.556,93.1577,0.0987,O=C([O-])C.[Cs+],CCCC#N,"28.5559, 0.0742",0.15437109729761034,0.07445192098979814,0.056742661225519415,0.1265444360281399,0.0,1.3691437802907915,0.0,1,28.5559,0.0742,0.0,3.3784722222222223,0.1125599468641068,5.850671559633028,173.69584128161952,15.71560718731852,-1.1145516176292192,7.447152256880734,0.10855881631652091,0.7231141852015416,-0.10221157396126258,-0.09866666666666667,-0.059199999999999996,0.7027596098718836,0.4992624190495511,-0.15592604029300303,0.271881765328539,3.2542222222222223,6.00208988764045,0.10789307981536848,-0.2441222765050216,1.0121804691281604,-1.1145516176292192,7.5444447640449415,-1.1145516176292192,6.290011538461538,0.7224643616465091,6.034540945552467,-68.18913580246915,6.08514,7.109797541277533,-0.8410568098966321,0.03975496174383121,0.3603242801640076,0.3572728766848221,55.4546737473835,0.026223510066583078,15.624,0.12425066327608451,2.205789168203711
Result3940957,CC(C)Oc1ccccc1P(C)C1CCCC(C)(C)C1O,27.931,91.5486,0.0959,O=C([O-])C(C)(C)C.[K+],CCCC#N,"27.9311, 1.1109",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,0.0,1.3691437802907915,0.0,1,27.9311,1.1109,5.749511833283905,1.2579124579124579,0.13527167495051262,5.566813333333334,143.94442421334912,10.041402850038956,-0.4180324074074069,7.220387653333334,0.11593528973713565,0.9890674691190593,-0.15449588177282375,-0.09337219479306694,-0.05680764331210192,0.9558741072959328,0.3178354736999733,-0.12644787792306225,0.3748335022028938,1.2937013446567587,5.744715789473685,0.11542556144622912,-0.0840801830963816,1.1789559031382137,-0.4180324074074069,7.339550231578947,-0.4180324074074069,6.112892156862745,0.9927008920189964,2.3718484118765355,-20.46913580246914,5.664742038216561,6.664825604232536,-0.5233886631956266,0.04833626393579607,0.4477701864054575,0.36244156871396555,6.06636706846161,0.03619091308446939,11.738853503184714,-0.033860139305586776,2.564244893061176
Result3940953,CP(C)C1C2(C)OC3(C)CC(C)(O2)PC1(C)O3,25.709,90.3724,0.1226,O=C([O-])C.[K+],CC(N(C)C)=O,"25.7093, 1.5442",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,25.7093,1.5442,0.0,1.0206349206349206,0.06268639388483946,4.934027027027027,124.99135697938007,0.0,-0.16042181069958805,6.773367081081082,0.10207270258883012,0.8477994259869719,0.49524650446922125,-0.04489795918367345,-0.04339250493096644,0.8632422844531895,0.8524622057896634,0.038665238441897516,0.623665003567641,0.12923561859732072,6.046345679012345,0.10442821013245637,-0.9098426052166285,1.250835649640001,-0.16042181069958805,7.6615941234567915,-0.16042181069958805,6.224451219512196,0.8242491427413882,0.2488310867951702,-211.41485864562787,6.0811737588652495,13.329651208465071,-0.3995528571128531,0.033818338198134276,0.498267377053105,0.3567334870991011,0.0,0.0680762067963616,9.929078014184396,0.3387689567117033,1.8288426046850368
Result3940961,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,24.849,96.4052,0.0933,O=C([O-])C.[K+],CC(N(C)C)=O,"24.8486, 1.2355",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,24.8486,1.2355,0.0,2.1361737677527155,0.09106064634242554,5.274567901234571,150.45517032968849,5.304539896238907,-0.5531841563786006,7.027746962962962,0.1487991646362688,0.8118952329299995,0.4028447262140061,-0.01698634590377116,-0.01554134443783465,0.8460137828152596,0.9113877708885423,0.11481309340472523,0.4362971761200039,1.4722222222222223,6.19142857142857,0.1487949276141373,-0.14821558346176197,1.2103786212736194,-0.5531841563786006,7.740994571428569,-0.5531841563786006,6.323420454545456,0.7863729752760501,2.784956745510552,-114.83562841048462,6.068902777777777,0.0,-0.4000032484003989,0.0349576172786116,0.3722653572190197,0.35634726545349127,0.0,0.054074973649483674,11.465277777777779,0.3684447375375004,2.5799434421233527
Result3940956,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,24.638,92.8752,0.1068,O=C([O-])C.[K+],CCCC#N,"24.6378, 1.1837",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1.3691437802907915,0.0,1,24.6378,1.1837,0.0,2.1361737677527155,0.09106064634242554,5.274567901234571,150.45517032968849,5.304539896238907,-0.5531841563786006,7.027746962962962,0.1487991646362688,0.8118952329299995,0.4028447262140061,-0.01698634590377116,-0.01554134443783465,0.8460137828152596,0.9113877708885423,0.11481309340472523,0.4362971761200039,1.4722222222222223,6.19142857142857,0.1487949276141373,-0.14821558346176197,1.2103786212736194,-0.5531841563786006,7.740994571428569,-0.5531841563786006,6.323420454545456,0.7863729752760501,2.784956745510552,-114.83562841048462,6.068902777777777,0.0,-0.4000032484003989,0.0349576172786116,0.3722653572190197,0.35634726545349127,0.0,0.054074973649483674,11.465277777777779,0.3684447375375004,2.5799434421233527
