Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS1se,base_GATS3Z,base_GATS3m,solvent_NsCH3,solvent_SdssC,solvent_GATS4se,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3952862,CSC(C(CSC(C)C)CC(C)O)P(C)c1ccccc1,52.7829,108.9618,0.1032,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"52.7829, 0.4044",0.15285281509040824,0.1243972321309733,0.06442562223749324,0.05199823768686698,2,0.0,1.0624999999999998,0.0,52.7829,0.4044,0.0,0.9650945909938716,0.15515074543550392,5.382045977011495,162.99846836177073,5.304539896238907,-0.20147602250776853,7.144197965517241,0.10825511945392485,1.1628207769612895,-0.02001629836133034,-0.10348005173725022,-0.05004295302013422,1.0138798855564686,0.05892556509887896,-0.027994067820260538,0.2141220188693389,0.8053691275167785,5.570115555555556,0.11129254226773498,-0.16305952394694842,0.8809740778683236,-0.20147602250776853,7.270039166666666,-0.20147602250776853,6.02044,1.1383622694975464,1.4078800412711114,-44.46955061728395,5.670765100671141,18.67344839449073,-0.3129056372365493,0.07372847693439995,0.5595739614811591,0.31315383970957933,30.447507098472855,0.026124638190065566,17.20805369127517,-0.00551533647889301,3.3981041969014596
Result3952646,COC(CP(CO)C1COCCC12CCCCC2)(OC)Oc1cccc(F)c1,52.1956,115.6966,0.0968,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"52.1956, 0.2481",0.1556534312908589,0.1428941881283608,0.476153268219384,0.5051641116163132,2,0.0,1.0624999999999998,0.0,52.1956,0.2481,11.5667326743298,2.38917089678511,0.06434577300972517,6.0519262672811065,142.02883842698446,4.736862953800049,-0.8896270051230364,7.685033953917052,0.10611520581799172,0.7577616877415664,-0.060466364912388916,-0.04476996080049512,-0.026066066066066054,0.8063203883246097,0.3995186740228276,-0.07859304335048291,0.25434195073964,2.4614614614614614,6.221206896551724,0.10492879199120152,1.583588435350791e-05,0.8842029377444992,-0.8896270051230364,7.791283482758619,-0.8896270051230364,6.417274193548388,0.7447938742590905,3.916099356587125,94.2220576131687,6.02073378378378,39.94323940810365,-0.4733272965356957,0.021379517942198688,0.39400069637955776,0.4193820509720249,0.0,0.021809800851137817,13.896396396396396,0.23832442852816788,0.7929638216883562
Result3952652,CCOc1ccc(F)c(P(C(C)C)C2CCCCC2)c1,52.1188,97.0494,0.1062,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"52.1188, 0.2595",0.1556534312908589,0.1428941881283608,0.476153268219384,0.5051641116163132,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,52.1188,0.2595,11.5667326743298,1.9521228545618787,0.11696717705087356,5.781108280254777,161.11853655272063,10.041402850038956,-0.4356968589905097,7.4122123439490455,0.12311903747172404,0.6629352824892426,-0.1110437328694692,-0.18886165577342032,-0.09639441788057372,0.6436794812362735,0.21436317934124427,-0.03307716243345194,0.3159266668484543,1.809640522875817,5.755272727272729,0.1205928272073474,0.012072028234321866,1.047229634302634,-0.4356968589905097,7.344040136363634,-0.4356968589905097,6.124340425531916,0.6837118769946176,2.4547773567218663,-28.00847160960582,5.87609705882353,6.606881964512918,-0.5251923176520024,0.043702340398845026,0.44372062001287493,0.3893796481766772,12.990104268152233,0.022799230351864853,13.455882352941176,-0.013046404897511856,1.9420401071451114
Result3952637,CNc1cnn(C2(P([O-])O)CC=CN2)c1,52.067,98.0135,0.1191,O=C([O-])C.[K+],CC(N(C)C)=O,"52.0670, 0.7888",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,52.067,0.7888,0.0,4.643369175627241,-0.1086110179929016,6.1053823529411755,140.46214870090185,15.526988810765136,-2.404740068867053,7.701074529411765,0.18582270844882115,1.0795831232472572,-0.13454084514454445,-0.16356998264893005,-0.11084166176758771,1.051002922567079,0.5304203307853608,0.13191682451861073,0.03200001273737967,2.78968253968254,6.534878723404257,0.17958588012404683,-0.01073097063892412,1.1750835950459677,-2.404740068867053,7.981670340425531,-2.404740068867053,6.717992857142859,1.0128793123600763,3.063810909526695,-62.032379887889704,6.260494642857141,12.36446058668352,-0.8205602296942519,-0.045727515840375335,0.3549423713441411,0.37404608280014584,6.076020106833881,0.026580516007453838,14.339285714285714,-0.05728096792134567,0.788774708464089
Result3952644,CP(C)c1cccc(Nc2cccc(CN)c2)c1,51.0422,113.6102,0.1093,O=C([O-])C.[Cs+],CCCCOC(C)=O,"51.0422, 0.6317",0.15437109729761034,0.1265444360281399,0.07445192098979814,0.056742661225519415,2,-0.18199074074074065,1.0555555555555556,0.0,51.0422,0.6317,0.0,1.8976279650436954,0.1842749313871682,5.656830985915493,154.40639864878207,16.354995977407423,-0.05570927582281193,7.268786253521127,0.10630300917857556,1.3284781781645743,0.022466342814734874,-0.05811163275952008,-0.030138246354462578,1.376129818262427,0.2248892177291057,-0.18535226323655868,0.3470305523917159,1.8916323731138547,5.739603174603176,0.10701262290838251,-0.005694848812560952,1.101884157133729,-0.05570927582281193,7.292093333333335,-0.05570927582281193,6.167526315789473,1.2567854878459879,4.09670761361146,-15.10221031842654,5.714945679012346,18.646439812471403,-0.3242649037009197,0.07281705828458135,0.43466516091571894,0.3417582646937801,12.13273413692322,0.022241206353970498,12.641975308641975,0.04476489483234017,4.99828456326862
Result3952645,CP(c1ccccc1)C(C)([O-])C(CO)c1ccccc1,50.886,101.2004,0.1091,O=C([O-])C(C)(C)C.[K+],CCCC#N,"50.8860, 0.5430",0.1556534312908589,0.1428941881283608,0.476153268219384,0.5051641116163132,1,0.0,1.3691437802907915,0.0,50.886,0.543,0.0,2.697979797979798,0.16413528404697583,5.678605042016807,151.5770125415526,10.411067291079613,-0.9033048836818673,7.338870235294119,0.09329790690190061,0.8125455127653114,-0.028505834173331437,-0.032791670721027524,-0.01959302325581395,0.7596940604475976,0.11785113019775792,-0.06773236025397678,0.1635439314417727,2.1033591731266155,5.824085714285714,0.09432216967116833,0.04703672291100344,1.2246544276183633,-0.9033048836818673,7.3886658571428585,-0.9033048836818673,6.1584268292682935,0.8201883142187961,4.248624337381592,-11.540092592592591,5.8545116279069775,13.271707568745454,-0.8617284793735466,0.06416111780517689,0.4045455876295526,0.31934241199994523,67.32849628884864,0.02582490619106569,13.209302325581396,-0.021216982828245752,3.9373633105550008
Result3952643,CC(NC(C)(O)O)P(C)C1CCCCC1(C)COC(C)(C)C,50.8441,117.9595,0.0930,O=C([O-])C.[Cs+],CCCC#N,"50.8441, 0.3439",0.15437109729761034,0.1265444360281399,0.07445192098979814,0.056742661225519415,1,0.0,1.3691437802907915,0.0,50.8441,0.3439,0.0,0.7693121693121693,0.1302393707677867,5.644287037037038,127.78167100690804,5.316788604006331,-0.3707145481649452,7.315674916666665,0.09149434256730396,1.0553920725552361,-0.13787658678223058,-0.07375145180023229,-0.047881441953539626,1.0297408494514708,0.16486648662335276,-0.05056621584115182,0.36779315716939287,0.8937669376693768,5.8492630630630655,0.0912353393161868,0.01706347475009516,0.9113646499405083,-0.3707145481649452,7.450570522522524,-0.3707145481649452,6.186758620689656,1.0596284419199518,0.7894547005734882,-24.712922593620164,5.655858536585366,13.271707568745454,-0.4179063855187963,0.04183915380142682,0.47049557319723667,0.3445388251543153,0.0,0.052702776337797456,10.253658536585366,0.49535431326562984,1.0239229331155308
Result3952861,CCOc1ccc(C(=NP(C(C)C)C(C)C)NC(C)(C)C)nc1,50.6574,107.4963,0.0920,O=C([O-])C.[K+],CCCCOC(C)=O,"50.6574, 0.2028",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,2,-0.18199074074074065,1.0555555555555556,0.0,50.6574,0.2028,11.443439828132366,1.6869369369369371,-0.004702212396071473,5.6812716049382725,169.8775318744434,10.05365155780638,-0.45478905674066583,7.311277444444444,0.13530010172939982,1.0343740566147277,0.049004497675076565,-0.06068945538818072,-0.034628099173553716,1.0165220710460274,0.10703808753134778,-0.09879369557387438,0.4782490507672357,1.7651515151515151,5.809524242424244,0.13080358477146697,-0.09013364669163487,1.243932832696635,-0.45478905674066583,7.39536478787879,-0.45478905674066583,6.168383636363636,1.0090681068377998,3.145097614778617,-74.33010101010102,5.956969696969697,6.606881964512918,-0.5231056527185779,-0.001565335147768502,0.42666398689650664,0.3936963604237587,19.056471336613843,0.0375724343532116,15.696969696969697,0.004189758101995843,-1.9632225689827165
Result3952638,CC(C)OC(C)N(C)P(C)[O-],50.6517,109.9109,0.0918,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"50.6517, 0.3228",0.1556534312908589,0.1428941881283608,0.476153268219384,0.5051641116163132,2,-0.18199074074074065,1.0555555555555556,0.0,50.6517,0.3228,6.22790117073487,1.172043010752688,-0.17471329704755476,5.229684210526316,101.20494480941832,4.893411602752475,-1.273359053497942,7.002969824561402,0.23639494062780156,1.0000220017582273,-0.053620761853473836,-0.07348903547869502,-0.03702572578327109,0.9296725327627208,0.0,0.12655472535564796,0.18497024409247817,0.38184663536776214,6.030653061224489,0.22647199797998588,-0.028089649674928666,1.189669697076064,-1.273359053497942,7.658277061224494,-1.273359053497942,6.211155555555559,0.9499822125885233,0.8588039233624585,-19.040123456790127,5.611584507042253,13.712497586909725,-0.8356901357321371,-0.07468406067107695,0.5357601152944012,0.28541530692924383,20.771211599071872,0.04244988178554066,8.492957746478874,0.2279302740677021,-7.820810458513428
Result3952651,CCOCC1CCN(c2cc3c(cc2P(C(C)C)C(C)C)OCCO3)CC1,50.4632,91.1785,0.0940,O=C([O-])C.[Cs+],CCCCOC(C)=O,"50.4632, 0.3781",0.15437109729761034,0.1265444360281399,0.07445192098979814,0.056742661225519415,2,-0.18199074074074065,1.0555555555555556,0.0,50.4632,0.3781,13.213763929025836,1.937998772252916,0.038056851755089355,5.665191111111111,155.3651653179887,19.678175534689483,-0.25692357445959924,7.315184391111113,0.13884479736800198,0.8839281098804433,0.00924710191331481,-0.048108848431188074,-0.025769567086093695,0.9010404004340455,0.36760666777090273,0.01846553623003428,0.3740076575413553,1.6356209150326795,5.943902439024391,0.13658048237559922,-0.12440490458603702,1.1164077448039291,-0.25692357445959924,7.532851219512195,-0.25692357445959924,6.232984615384616,0.869885899358317,3.4085609077069368,-37.860819499267464,5.7745529411764736,44.416950400727295,-0.5212080422883191,0.012407252115497466,0.4149992468301919,0.42391286111452375,0.0,0.02462868553057595,13.338235294117647,-0.4056046324225147,-0.29047114176292743
