Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS1se,base_GATS3Z,base_GATS3m,solvent_GATS4se,solvent_SdssC,solvent_VSA_EState9,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3952318,COc1cccc(NC(C)(C)P(c2cc(C)cc(C)c2)c2cccc(C)c2OC)c1NC(C)=O,44.3059,118.6873,0.1335,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"44.3059, 0.4767",0.1556534312908589,0.1428941881283608,0.476153268219384,0.5051641116163132,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,44.3059,0.4767,17.186409941251373,3.2095567069660333,0.07269778380536697,5.800982206405695,200.84859534672808,30.716382908090573,-0.9293054505752913,7.407502455516014,0.09590929746615798,0.8606344683617562,0.031722127936134104,-0.21449487773872722,-0.140113226164134,0.8532114161476023,0.47514165509364537,-0.03523076355748623,0.3935812590491176,3.098191214470284,5.965608196721313,0.09499829695299779,-0.18556365681685233,1.1934768110410294,-0.9293054505752913,7.514568442622951,-0.9293054505752913,6.284330985915493,0.8435713732867418,8.185730634771136,-65.27416690652706,6.061653023255812,24.853172290567727,-0.528587573210196,0.02343930344879625,0.35170596876818877,0.40343691273059595,18.19910120538483,0.03250869917370111,18.037209302325582,-0.06762174073663489,1.2028584306814714
Result3952311,Cc1cc[c-]cc1N(c1ccccc1)C1CCOC1P(c1ccccc1)c1cn[nH]c1N,43.3932,118.6871,0.0784,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"43.3932, 1.0977",0.15285281509040824,0.1243972321309733,0.06442562223749324,0.05199823768686698,1.3691437802907915,0.0,0.0,1,43.3932,1.0977,11.662917570125245,4.434941520467836,0.12076876813684916,5.9535030701754375,217.04358216716315,21.24265700049048,-0.8907768539514571,7.498271552631579,0.10116713306274737,0.924862900324493,-0.17615781041439213,-0.21843971631205678,-0.1220768925881887,0.9463757536990313,0.5923243381689725,-0.004187472024765844,0.20458595611356567,4.383727990285367,6.092799047619047,0.10116189116869143,0.08548787995821978,0.9699654613960867,-0.8907768539514571,7.578132038095237,-0.8907768539514571,6.374275806451613,0.8895525673446892,8.403927487057526,-52.65366039840871,6.156124590163933,17.240459172525583,-0.48149757469108045,0.04005932124540533,0.33736704176461024,0.3802952110645486,18.3295777085363,0.01896969122985038,20.049180327868854,0.09134913329428183,3.487067093268413
Result3952312,CCP(C(C)C)C(C)N(c1cn[nH]c1)C1(C)NCC2(C)OCCNC21C,43.178,90.5962,0.0866,O=C([O-])C.[K+],CCCCOC(C)=O,"43.1780, 0.5500",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,1.0555555555555556,-0.18199074074074065,0.0,2,43.178,0.55,5.662860035369912,1.6220238095238098,0.07610020419949495,5.579064827586207,130.4286125004754,15.533486938863138,-0.1585648410598801,7.236404793103446,0.13359819046514332,0.9891236521001733,0.05373789766894479,-0.012289062734166606,-0.008618968036241717,0.9962733472095852,1.0375892843159544,0.10473041399246626,0.5186822339959978,1.1855592966704076,5.981222131147543,0.1318520567389344,-0.14600859675891156,1.303650374266803,-0.1585648410598801,7.5315869016393435,-0.1585648410598801,6.297400000000001,0.973371569873133,2.791396749099105,0.22804177746946408,5.6756481481481496,30.75821453465647,-0.41221791109155964,0.02370808667566599,0.4122763304794347,0.37631556114803705,12.393687143226153,0.03738804122787856,11.30976430976431,-0.18797527062698324,0.3600516054527602
Result3952315,Cc1ccc(C)c(P(c2cccc(NCCP(C)C)c2)C(C)C)c1,42.1701,107.9905,0.1030,O=C([O-])C.[K+],CCCC#N,"42.1701, 0.6587",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,1.3691437802907915,0.0,0.0,1,42.1701,0.6587,0.0,1.5281385281385282,0.1639105998201095,5.49227380952381,172.62253822398475,15.925868396484145,-0.32650329404738576,7.118512749999997,0.15519159709571873,1.393370130932267,-0.17264047722546716,-0.21231801198222003,-0.11468682035667682,1.3832862894287175,0.28240456108522144,-0.13207624117871616,0.40788816808446005,1.5621345029239766,5.5269797979797985,0.15467815092991083,-0.05956808713282127,1.1979959889621064,-0.15620343276979076,7.143679494949496,0.170299861277595,5.973955357142858,1.3166735270407774,3.5559988995884355,-55.572970105091315,5.686917763157896,31.3531062458519,-0.3378311378035313,0.07512083812331691,0.5026342933009059,0.33754301851163376,0.0,0.029428987885973968,13.828947368421053,-0.009728590941482727,3.4129604963187696
Result3952330,CP(C)C(C)(N)N1CCOCC1NCC(C)(C)O,41.8411,111.1105,0.1430,O=C([O-])C.[Cs+],CC(N(C)C)=O,"41.8411, 0.1432",0.15437109729761034,0.1265444360281399,0.07445192098979814,0.056742661225519415,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,41.8411,0.1432,0.0,0.964614295824487,0.1156812023023199,5.705517482517485,113.89155948133097,11.050456081168516,-0.2863809628789784,7.389648769230769,0.11027735562310018,1.1138769100158954,-0.04048175804017675,-0.025554216637019192,-0.01608611368644119,1.1066406179062185,0.10059223176554563,-0.1649252713385333,0.34287579664651807,0.9773531493276717,6.011793023255813,0.11011021186255529,0.056136610220862006,0.9373247961500882,-0.2863809628789784,7.603029976744186,-0.2863809628789784,6.323228260869566,1.0946022644093143,1.2531504545850671,20.516628159350255,5.650027388535033,39.632927949316056,-0.41209933205545113,0.03894736666351611,0.4803221015301836,0.3171623023048224,0.0,0.047585064415890145,10.121019108280255,0.07525289796909011,-0.3132439504911037
Result3952319,Cc1ccc(-c2ccccc2)c(P(c2ccccc2)c2ccc(-c3ccc(N)cc3)cc2)c1,41.5705,90.7947,0.1328,O=C([O-])C(C)(C)C.[K+],CCCC#N,"41.5705, 0.8903",0.1556534312908589,0.1428941881283608,0.476153268219384,0.5051641116163132,1.3691437802907915,0.0,0.0,1,41.5705,0.8903,0.0,3.644894894894895,0.14085390903864134,5.666728323699424,225.5098500793751,21.647287165878907,-0.7130330781146481,7.212280335260115,0.09064072111175069,1.1324937195249865,-0.08543494285317747,-0.11226304109515792,-0.06185593588638694,1.2136953991590154,0.4921308327043135,-0.03663624355715758,0.15487903293454228,3.913817663817664,5.812352941176471,0.09090827336048743,-0.1616952234727119,1.0097560713911642,-0.7130330781146481,7.300228784313722,-0.7130330781146481,6.144507936507936,1.046313597837428,9.746738483549478,15.992832342061499,5.8052179487179485,5.733667477162185,-0.3382622820590516,0.0477436580457709,0.33792626489716127,0.36005783108963935,12.13273413692322,0.019925465956728283,18.506410256410255,0.021491002054255942,4.92631744682232
Result3952324,CP(C)C(=Nc1cccc(N=Cc2ccc(CO)cc2)c1)NCc1cnccn1,41.5698,101.3787,0.1235,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"41.5698, 0.4708",0.15285281509040824,0.1243972321309733,0.06442562223749324,0.05199823768686698,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,41.5698,0.4708,5.576708190299181,3.1487758945386064,0.09421794954063768,5.804453097345133,186.1511417488314,5.316788604006331,-0.41054349473498264,7.358817026548672,0.08670074198535783,0.9296411463307416,-0.049116808543689286,-0.02376895440376185,-0.011863322917078714,0.969764354367641,0.30787104404421906,-0.16847839992579647,0.2870948521023609,3.3179012345679015,6.088025842696629,0.08708546861317756,-0.052211676778647506,1.1598303747347312,-0.41054349473498264,7.583648134831463,-0.41054349473498264,6.386618181818182,0.8934666584377245,7.401912175752389,9.25563334783698,5.9515666666666664,13.329651208465071,-0.3870544248212318,0.031608156231878425,0.3697300215048291,0.37457694209098924,54.7455371272282,0.018512136951320354,17.75,-0.06222394782395865,1.1740443539150394
Result3952323,Cc1c(N)cc(-c2n[nH]c(CP(CO)Cc3ccc(O)cc3CO)n2)c(C)c1C,41.2257,97.9567,0.1417,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"41.2257, 0.7293",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,1.0624999999999998,0.0,0.0,2,41.2257,0.7293,11.573916331283833,2.730661040787623,0.21404833816489374,6.06083263888889,146.08956638221017,5.733667477162185,-0.819020131715237,7.650017458333333,0.04852785858548429,1.0165196468128928,-0.018388622124628183,0.00636196216306712,0.004039115646258494,1.0278897141367305,0.5555205286667926,-0.18346520657667514,0.3243405939165052,2.632275132275132,6.030773469387758,0.05178273528537919,0.031112730577310524,1.0681636684135933,-0.819020131715237,7.5566732448979606,-0.819020131715237,6.468906896551725,0.9993756328924096,6.35184524413179,10.136684303350968,6.011920238095239,12.081637846217014,-0.3434717551261562,0.07068239916677208,0.36326641491006306,0.3824661656058817,26.83757866753348,0.02894055195276072,14.541666666666666,0.07294544864594185,5.5894452605774365
Result3952326,CC(C)N=C(N(Cc1cnn(-c2ccccc2)c1)C(C)C)P(C(C)C)C1COCC1C,40.8793,101.4417,0.1339,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"40.8793, 0.3021",0.15285281509040824,0.1243972321309733,0.06442562223749324,0.05199823768686698,1.0624999999999998,0.0,0.0,2,40.8793,0.3021,5.576708190299181,2.317222222222222,0.03441719181695522,5.749899275362319,181.52060776760786,0.0,-0.4373936906610869,7.333747942028984,0.13113249894381074,0.8529595291800448,-0.26891594833557014,-0.35108669691903516,-0.19811320754716982,0.8568225307824302,0.39798445670457,-0.10695316332676863,0.42227317592165314,2.138364779874214,5.909631060606061,0.12809466158247731,-0.10676568883207749,1.200549500251709,-0.4373936906610869,7.465468393939394,-0.4373936906610869,6.220730555555556,0.8513682027111095,4.87413274896247,-117.79095993953138,6.011416037735849,13.213763929025836,-0.4292566271392285,0.010781839424395348,0.3954568721234014,0.36262519886383937,29.07774771214309,0.028982221262774988,15.867924528301886,-0.01797767130497495,-0.9455548555882173
Result3952325,CC(C)c1cc(OCc2ccccc2P(C)c2ccccc2F)cc(N(C)c2ccccc2CN)c1,40.7702,101.9069,0.1378,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"40.7702, 0.7631",0.15285281509040824,0.1243972321309733,0.06442562223749324,0.05199823768686698,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,40.7702,0.7631,18.173614638842718,3.1819819819819823,0.09593883172748466,5.905612440191388,172.37112345627392,25.979519954290527,-0.8369343832018195,7.486054909090908,0.09052105329651493,0.7548398202965719,-0.014294656095394702,-0.08660130718954252,-0.050476190476190494,0.7492588821020161,0.4722019733928052,-0.09764431770913663,0.3306665216436745,2.753439153439153,5.956379032258065,0.08922118243326005,0.006304025507645612,1.1100875751294805,-0.8369343832018195,7.468808774193547,-0.8369343832018195,6.2592191780821915,0.7536516995114372,8.918830913050972,-73.91111111111113,5.962483333333334,18.612407317760205,-0.5197204478446825,0.03142810706481506,0.35980314461777574,0.3857777384559352,36.39820241076966,0.024276789211494655,14.452380952380953,-0.10786350041893909,2.5235351575353095
