Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3m,base_GATS3Z,base_GATS1se,solvent_GATS4se,solvent_NsCH3,solvent_SdssC,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3952422,CN(CC1(P(c2ccccc2)c2ccccc2)CCCCC1)c1ccccc1,30.2517,92.6786,0.0878,O=C([O-])C.[Cs+],CC(N(C)C)=O,"30.2517, 0.3279",0.15437109729761034,0.056742661225519415,0.07445192098979814,0.1265444360281399,1.4760842589662049,3,0.09259259259259278,3.4490740740740735,30.2517,0.3279,0.0,2.1955555555555555,0.09959489129474573,5.560735537190083,189.51033667068387,15.508989523328292,-0.41784690728143126,7.163605223140497,0.12654346413305131,1.0677892421160744,-0.09219469525523977,-0.1561279698894378,-0.08094149211866217,1.0906447472279142,0.29030773160461976,-0.10216409611154562,0.17464045970021277,2.2888888888888888,5.763009259259257,0.1249855804310275,-0.057369021261027935,1.1391434245837249,-0.41784690728143126,7.295641611111107,-0.41784690728143126,6.079868852459017,1.0203498718523825,6.265786612250075,-34.46853393226759,5.766358974358976,18.492338119440245,-0.4398460938250944,0.034603266886085525,0.380394203818235,0.3370457323114732,0.0,0.016921069770064058,15.005128205128205,-0.106068318605159,2.688419273443125
Result3952429,NC(c1ccccc1)P(c1ccccc1)c1ccc(OC(F)F)cc1,29.2179,98.2455,0.1192,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"29.2179, 0.4856",0.1556534312908589,0.5051641116163132,0.476153268219384,0.1428941881283608,1.0624999999999998,2,0.0,0.0,29.2179,0.4856,5.749511833283905,4.041394335511983,0.14217699174398907,5.86749593495935,195.80309660913477,21.07961022344005,-0.8863763962375077,7.4227431382113815,0.07152651095134198,0.622430130261289,-0.04143868377658536,-0.042183896350563035,-0.022996953770344802,0.6304209058259517,0.2248892177291057,-0.05533872591204169,0.032356559099818966,3.717948717948718,6.371578082191782,0.0708796439820996,-0.09031048890594152,0.7729856398375528,-0.8863763962375077,7.807899835616435,-0.8863763962375077,6.422911111111112,0.6167118096788397,6.828924724985214,-26.285873578644434,6.118227350427351,0.0,-0.4656151241786593,0.05432848507702845,0.34286083406891743,0.5845868739555744,60.6636706846161,0.020973860673290153,17.923076923076923,0.10209992952273157,4.140209408353888
Result3952425,CC(C)[n+]1c[nH]cc1C(c1ccc2ccccc2c1)P(C(C)C)C(c1cccc(F)c1)c1cccc(F)c1,28.6611,117.9784,0.0674,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"28.6611, 0.6374",0.15285281509040824,0.05199823768686698,0.06442562223749324,0.1243972321309733,1.3691437802907915,1,0.0,0.0,28.6611,0.6374,17.831285253704866,3.122533748701973,0.09422110633867903,5.818587458745875,207.02536900618998,4.567099647791355,-0.9212316809439824,7.356342495049503,0.09053640692504178,0.6093542712857637,-0.09741406841519024,-0.10878560237817853,-0.0674034249303066,0.5860171261624849,0.7701854903459314,0.05689048958818562,0.2857340886210885,3.2262544802867383,5.946150757575758,0.08858457511798794,-0.10607501757995041,0.9164275142933357,-0.9212316809439824,7.437418151515148,-0.9212316809439824,6.25933552631579,0.6181021117649836,8.928407462910847,-81.31256668190827,5.968505645161292,0.0,-0.3520512600405671,0.030973957530675684,0.352794055234275,0.5188589250945336,18.460054211687762,0.026705420170531485,18.737903225806452,0.11223629091605693,2.658055855633996
Result3952421,Cc1ccccc1P(C1CC1)C12C(c3ccccc3-c3cccc4ccccc34)=NC(C)N1C=[NH+]C2c1cccc2ccccc12,27.3235,116.0517,0.1426,O=C([O-])C.[Cs+],CCCC#N,"27.3235, 0.1274",0.15437109729761034,0.056742661225519415,0.07445192098979814,0.1265444360281399,1.3691437802907915,1,0.0,0.0,27.3235,0.1274,5.711685002770702,4.70954356846473,0.09326711529220512,5.821366576819408,225.4162404522667,10.296944628874577,-0.7091745576831556,7.3528193962264154,0.10929061276528677,0.9259374889555931,-0.06895971697625125,-0.15639461163351523,-0.10116045716924717,0.9791971461412287,2.234449454227341,0.057484781002488446,0.2950234323197283,4.224789145581226,5.944242038216561,0.108637631570882,0.015533004594293274,1.1171428897589568,-0.7091745576831556,7.416035044585986,-0.7091745576831556,6.217313186813184,0.8764899748130739,11.897341690683858,-54.968645667005326,6.042458745874588,0.0,-0.3602108409638919,0.028853152996840378,0.3337656750912507,0.5146569603925415,0.0,0.02239876646228388,19.735973597359735,0.08677412588436799,3.6230947389474433
Result3952420,O=C(c1ccccc1CP(Cc1ccccc1)c1ccccc1)N(Cc1ccccc1)Cc1cccnc1,26.8724,110.4615,0.0655,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"26.8724, 0.4663",0.1556534312908589,0.5051641116163132,0.476153268219384,0.1428941881283608,1.0555555555555556,2,-0.18199074074074065,0.0,26.8724,0.4663,0.0,3.0959319975713417,0.07654618788546008,5.834802884615386,206.37909966909373,5.304539896238907,-0.5455025068785693,7.380950384615384,0.09979853110990468,0.7355405454916907,0.0277906782858338,0.012707182320441934,0.006138735420503349,0.6797515303087505,0.38247000357633637,-0.22803930827257532,0.16165387541193504,3.8588090853284216,5.929603305785124,0.09879169459344468,-0.033411245274785534,1.1419100657576602,-0.5455025068785693,7.4190510082644625,-0.5455025068785693,6.202438356164383,0.7313237724153542,10.72641538316974,21.72022165692963,5.96452044198895,0.0,-0.40183638015175277,0.024831654341690573,0.3479143528297325,0.397235453754559,53.56132278169483,0.015396335039489503,18.38121546961326,-0.10182790416494106,1.9337217725169384
Result3952412,[NH3+]C([NH3+])C(CP(c1ccccc1)c1ccccc1)c1ccccc1,26.045,116.8474,0.1196,O=C([O-])C.[Cs+],CCCC#N,"26.0450, 0.4311",0.15437109729761034,0.056742661225519415,0.07445192098979814,0.1265444360281399,1.3691437802907915,1,0.0,0.0,26.045,0.4311,0.0,1.9311774461028193,0.2270492542289786,5.650188679245283,176.0307385008798,22.076414746802186,-0.426314142941127,7.233874,0.07955383480825959,1.6378553859442857,-0.07074325782948863,-0.09446347031963467,-0.046267822197372084,1.7837971280841556,0.17677669529663687,0.05146107221559757,0.18761637645895704,2.2077625570776256,5.752608045977012,0.08152606924540609,-0.12732963532621602,0.994330160542028,-0.426314142941127,7.286122965517241,-0.426314142941127,6.186823529411764,1.5049247728583965,6.148239553191198,29.530067204508413,5.706383561643836,6.161910027467921,-0.3189998141607837,0.08174078197402423,0.3925896995727125,0.8011274374746509,0.0,0.017424723622900262,14.767123287671232,0.9996038155890727,7.781536626068316
Result3952430,[NH3+]C(c1ccccc1)P(Cc1nc2ccccc2s1)c1cccc(P(c2ccccc2)c2ccccc2)c1,24.2456,101.4878,0.0762,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"24.2456, 0.4215",0.1556534312908589,0.5051641116163132,0.476153268219384,0.1428941881283608,1.0555555555555556,2,-0.18199074074074065,0.0,24.2456,0.4215,5.782929233689872,3.120826941339762,0.15565623289509384,5.652289908256881,215.42729588044963,26.951827062117815,-0.6591471329388701,7.25384771559633,0.10056730813546694,1.2034930039538079,-0.03661408802583133,-0.004540008689431836,-0.002413112214966443,1.217054315673379,0.6706991925875958,-0.06611652534653364,0.10451257864821678,3.2437463641652116,5.798529411764707,0.10352172379540597,-0.04500511634259997,1.0984249175499465,-1.2971423015138444,7.331335949579831,-0.6379951685749743,6.165625,1.0969796382665087,10.218547996147894,-3.4552940108743107,5.862059162303666,0.0,-0.3664700969747379,0.06886464225393554,0.38788062984570765,0.7144113932913998,11.336785877934737,0.017659492934226348,20.2565445026178,0.4133639275581745,5.960839228370547
Result3952419,CN(CCN=Cc1ccc[n-]1)CP(c1ccccc1)c1ccccc1,23.0082,116.5207,0.0845,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"23.0082, 0.1943",0.1556534312908589,0.5051641116163132,0.476153268219384,0.1428941881283608,1.0555555555555556,2,-0.18199074074074065,0.0,23.0082,0.1943,0.0,2.499508357915438,0.06911869546670339,5.749869105691056,177.66924750392468,15.593058313425022,-0.3855705444043187,7.301909902439024,0.12366075250915669,0.8979223300186278,-0.27602250327807193,-0.2013728269790346,-0.09011084401709403,0.9201331410395417,0.19001991384646116,0.04717704363172359,0.15970108790101148,2.4083570750237415,5.953279518072289,0.12202176952375815,-0.14137452551895782,0.7388623561766196,-0.3855705444043187,7.465767638554216,-0.3855705444043187,6.211799999999999,0.8621986430137732,6.707303122280187,-60.33288323045268,5.865564957264958,26.423029604956824,-0.7402850549280098,0.02464005727682488,0.3685048301621363,0.3267349545867809,18.347334716458537,0.01382854887512689,14.931623931623932,-0.18303936528677528,0.388294962673051
Result3952428,CP(COC(=[NH2+])[SiH3])Cc1nccs1,22.7757,115.8711,0.0979,O=C([O-])C(C)(C)C.[Cs+],CCCCOC(C)=O,"22.7757, 0.6544",0.15285281509040824,0.05199823768686698,0.06442562223749324,0.1243972321309733,1.0555555555555556,2,-0.18199074074074065,0.0,22.7757,0.6544,6.3479703690548295,0.9914857386121754,-0.17573890599509487,5.7052499999999995,170.70526985905374,5.409283605791522,-0.11654835390946472,7.288149350000005,-0.0875152998776009,1.0432265678518864,-0.6648140193324782,-0.2334858980702625,-0.11017715903452711,1.07104577041951,0.05892556509887896,-0.09477917338610783,0.3549397906618103,1.5815602836879434,5.764080000000002,-0.07526944068729974,0.28935749716340714,1.0458519878755372,-0.11654835390946472,7.4648821777777785,-0.11654835390946472,6.10990740740741,0.964895356442119,1.7952765760691252,14.967383020880966,5.7105382978723425,13.012795973287364,-0.4776177889593647,-0.21313439871604942,0.6210408985636161,0.7573958265484023,11.576906342078992,0.02451330861700303,18.72340425531915,0.4368093968231441,-12.380166374097907
Result3952415,NC(N1[CH-]NC2=C1CNC2)P(c1ccccc1)c1ccccc1,21.7838,93.6882,0.1259,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"21.7838, 1.1564",0.1556534312908589,0.5051641116163132,0.476153268219384,0.1428941881283608,1.0555555555555556,2,-0.18199074074074065,0.0,21.7838,1.1564,0.0,3.329140461215933,0.15921070275828716,5.792874999999998,187.21809774998462,26.97632447765266,-0.676224279835391,7.355499875,0.1025927244497846,1.207749779114401,-0.029875166857437522,-0.06406016822683493,-0.03492301220803116,1.2852837481427966,0.6228210081672736,-0.01123514464811295,0.11195194410091755,3.4814814814814814,6.073489743589744,0.10400953282817964,-0.09486973191023014,1.1178148340308467,-0.676224279835391,7.551840564102558,-0.676224279835391,6.36563043478261,1.1313102834248405,5.612817738626231,10.904205810281162,6.006971794871795,13.08951281182515,-0.5700963879311678,0.05778455771461428,0.35156015545157,0.3330821709542101,6.6686911888991425,0.01803812910750281,17.128205128205128,0.23736347568896088,4.885812038141539
