Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3Z,base_GATS1se,base_GATS3m,solvent_SdssC,solvent_NsCH3,solvent_GATS4se,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3947568,C(=CP(c1ccccc1)c1ccccc1)c1ccccc1-c1ccccc1,29.537,110.2990,0.1483,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"29.5371, 0.9559",0.1574807960088896,0.6819085487077534,0.1453627869996672,0.6971767885426821,0.0,2,1.0624999999999998,0.0,29.5371,0.9559,0.0,3.279835390946502,0.11030559581896911,5.565193548387097,213.98937163612834,10.609079792477814,-0.536397275645512,7.148182370967742,0.10912190963341857,1.0011556677073856,-0.02896998507120186,-0.017543859649122806,-0.00815515350877193,1.0065841834888933,0.28381478282798467,-0.01364973013038622,0.06310366528164867,3.3294346978557505,5.78125925925926,0.10833738732115754,0.02804454506566998,1.110316484668601,-0.536397275645512,7.274694888888888,-0.536397275645512,6.0809999999999995,0.93225255719802,8.068617041638209,-10.176954732510282,5.770087719298245,0.0,-0.33235753543218494,0.03991787972881953,0.35158823334760025,0.3473585715307199,0.0,0.012681382385227058,17.482456140350877,-0.05824024944679958,3.452049329761283
Result3947575,IP(c1ccccc1)c1ccccc1,29.404,99.5699,0.0807,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"29.4040, 1.2467",0.1556534312908589,0.476153268219384,0.1428941881283608,0.5051641116163132,0.09259259259259278,3,1.4760842589662049,3.4490740740740735,29.404,1.2467,0.0,2.027272727272728,0.2869305270125544,5.565125,237.4161813716379,10.609079792477814,-0.20078189300411542,7.178641000000001,0.15829032893441009,1.0074685581699985,-0.30447840394403614,-0.13840830449826994,-0.06535947712418301,1.1477800400155151,0.11785113019775792,0.018094828032274777,0.04416092829079992,2.850980392156863,5.715384615384616,0.1394410141893826,-0.02666055302420464,0.9497664694125337,-0.20078189300411542,7.263099589743594,-0.20078189300411542,6.044976000000002,1.0045897440002565,3.110200991781885,7.8918038408779125,5.83279411764706,0.0,-0.3124066925090349,0.3185464600336736,0.5709792165752556,0.32750213003203216,0.0,0.014943104618667867,38.64705882352941,-0.036786639559710725,4.8123151294812665
Result3947177,c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,29.402,103.5833,0.1032,O=C([O-])C.[K+],CCCC#N,"29.4015, 0.0006",0.1574807960088896,0.6819085487077534,0.1453627869996672,0.6971767885426821,0.0,1,1.3691437802907915,0.0,29.4015,0.0006,0.0,2.586206896551724,0.13524954147716953,5.574432432432433,218.5631006053365,21.21815958495563,-0.40867766859830357,7.151974,0.13658911479074973,1.1833053360240817,-0.022522511102461555,-0.02473661344629089,-0.011497734529804514,1.192050710981669,0.23570226039551584,-0.02868492479413743,0.0019508999726497974,3.1919191919191916,5.665614285714286,0.13697471327365393,-0.1128977516275747,1.0305735177461683,-0.8173553371966067,7.2058272500000005,-0.4086776685983031,6.018980769230769,1.0632930218142123,7.445677803958862,62.91888667787599,5.6669090909090905,5.902998432009833,-0.3205646152207717,0.06376385365201001,0.4074460859730871,0.33780388806045863,0.0,0.012681382385227124,20.09090909090909,-0.051531965099392514,4.445756780212874
Result3947704,CN(C)c1ccccc1-c1cccc(-c2ccccc2P(C)C(C)(C)C)c1N(C)C,29.262,105.0026,0.1039,O=C([O-])C.[K+],CC(N(C)C)=O,"29.2619, 0.1436",0.1574807960088896,0.6819085487077534,0.1453627869996672,0.6971767885426821,0.09259259259259278,3,1.4760842589662049,3.4490740740740735,29.2619,0.1436,0.0,2.5277777777777777,0.06379043767441941,5.61314406779661,182.85834889469464,15.104359357939863,-0.29994133352929664,7.203514050847457,0.12164765588015139,1.0783309422276683,-0.1496177613102877,-0.1331929597235719,-0.08650449265833879,1.1133448187414705,0.31030121992763315,-0.19391441084345393,0.49114229141699983,2.243827160493827,5.77140170940171,0.11919864740496625,-0.009307357175124499,1.120115817502023,-0.29994133352929664,7.32432476923077,-0.29994133352929664,6.1070597014925365,1.0373096661821979,6.676340203625703,-82.37506318942218,5.776683796296296,44.65533299664225,-0.44572749938729345,0.02122218299489546,0.3849395945229713,0.3648548071341378,0.0,0.03490991130156583,14.699074074074074,-0.19718184905198533,0.5027781790760996
Result3947570,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,29.168,108.9406,0.1097,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"29.1678, 0.0081",0.15285281509040824,0.06442562223749324,0.1243972321309733,0.05199823768686698,0.0,1,1.3691437802907915,0.0,29.1678,0.0081,0.0,1.8080808080808082,0.11731533900492506,5.55798275862069,188.35671779556262,5.304539896238907,-0.11994260495693476,7.1460188908046005,0.1146578436191909,1.2917702038526977,-0.22231418080258047,-0.30012679724625324,-0.16171732782379036,1.294989453996901,0.34237623488261243,0.046406144027325055,0.44261876669151384,1.7267373380447588,5.572630303030304,0.11317953522332112,-0.1816056662228054,1.330761222797097,-0.11994260495693476,7.152842933333332,-0.11994260495693476,5.961959302325582,1.2497381189516856,3.5471629113672627,-121.49602246558752,5.688835689045936,0.0,-0.35057205560808136,0.037199130005987444,0.4301401275697142,0.3412050848262929,0.0,0.02583222674304045,14.537102473498233,-0.010862680971915839,3.4973288549655974
Result3947178,CC(C)c1cc(CP(C(C)C)C2CCCCC2)c([O-])c(C(C)C)c1,29.11,112.9165,0.0990,O=C([O-])C.[Cs+],CC(N(C)C)=O,"29.1102, 0.0898",0.15437109729761034,0.07445192098979814,0.1265444360281399,0.056742661225519415,0.09259259259259278,3,1.4760842589662049,3.4490740740740735,29.1102,0.0898,0.0,1.1865497076023392,0.126866958028813,5.5519693877551015,149.13073493910122,5.106527394840706,-0.09363105736121557,7.18970581632653,0.11330902329136801,0.8679797609569014,-0.1738560837276882,-0.17706211812627287,-0.09659722222222218,0.665036613729793,0.21791486063031223,-0.08654360706674112,0.40797456344133237,1.1770833333333333,5.551606837606838,0.11190959569491454,0.021928746697000442,1.3200040812309148,-0.09363105736121557,7.157298717948718,-0.09363105736121557,5.967836065573771,0.9311815780331585,1.7211822469149851,-71.97629629629628,5.628091145833333,0.0,-0.8885537886979389,0.04309725910927277,0.46212245069062907,0.3021300696269793,0.0,0.03244897309728379,11.614583333333334,0.06326696420316943,2.4790634732656613
Result3947701,CC(C)c1ccc(CP(Cc2cccnc2)c2ccc(C(C)C)cc2)cc1,28.749,102.3560,0.0914,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"28.7495, 0.1232",0.15285281509040824,0.06442562223749324,0.1243972321309733,0.05199823768686698,0.0,2,1.0624999999999998,0.0,28.7495,0.1232,0.0,1.45,0.10652025664467606,5.511427536231885,157.72939260693704,5.304539896238907,-0.30496147224321857,7.13063363768116,0.11623912047640866,1.014778550157182,0.14201373136005765,0.0724022682038379,0.03828473277137382,0.9659264128378419,0.2754319160449886,-0.11542554686348308,0.34907177595144423,1.906810035842294,5.665980582524273,0.11470386156606183,-0.17973776574068712,0.9796524655196412,-0.30496147224321857,7.2220461747572795,-0.30496147224321857,6.044364406779661,0.9992525127627416,5.681617642502636,29.288176038971166,5.555316129032258,0.0,-0.37704520967139155,0.03719289786493996,0.3987998014457964,0.33909870916931417,18.460054211687762,0.023975422930389293,12.361290322580645,-0.044868522476484964,2.4893236668792578
Result3947574,OC=CP(c1ccccc1)C1CCCCC1,28.602,105.8182,0.0688,O=C([O-])C.[K+],CC(N(C)C)=O,"28.6024, 2.3753",0.1574807960088896,0.6819085487077534,0.1453627869996672,0.6971767885426821,0.09259259259259278,3,1.4760842589662049,3.4490740740740735,28.6024,2.3753,0.0,1.730864197530864,0.18122005752286055,5.705777777777778,160.3390175269231,5.304539896238907,-0.3045884773662553,7.349123111111112,0.11870659722222225,1.074829476687563,-0.1783076812673534,-0.20008019246190858,-0.0842786769880366,1.012829713738007,0.11785113019775792,8.680301592983482e-05,0.009140187693780293,1.839080459770115,5.651781250000001,0.11950501293250614,-0.002741562303360571,0.8386447343779263,-0.3045884773662553,7.232670968749999,-0.3045884773662553,6.072388888888889,1.0669604640619201,2.544210088761522,-9.742222222222223,5.728850574712644,0.0,-0.3111693600691566,0.07503478411153036,0.44345447872141674,0.3539199085248656,5.817108511375793,0.01069991638753533,12.574712643678161,-0.04256634488480377,4.732229876649192
Result3947706,[NH-]CPC(PCP)P(c1c[c-]ccc1)c1ccccc1,28.33,94.1754,0.0768,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"28.3297, 0.3040",0.1556534312908589,0.476153268219384,0.1428941881283608,0.5051641116163132,0.09259259259259278,3,1.4760842589662049,3.4490740740740735,28.3297,0.304,0.0,2.1273408239700378,-0.08217451779619926,5.491542622950819,213.08645612752042,10.609079792477814,-0.36597222222222214,7.128721950819672,-0.10139298031326341,1.1841683765336461,-0.16655507228238825,-0.3319970845481047,-0.14973701512163046,1.1254094444296983,0.11785113019775792,0.06682610010818163,0.10009786666983254,2.3055555555555554,5.48407076923077,-0.09691583894885765,-0.07714874506615184,1.0064262481258017,-0.36597222222222214,7.1149407692307705,-0.36597222222222214,5.873950000000001,1.0944115650062303,3.0142427307346846,-5.873799725651575,5.617975961538461,12.18884324246432,-0.8415574955404569,-0.06584199439693474,0.532460931531042,0.30846488874328537,6.06636706846161,0.01112551286084106,22.5,0.0006514712363899737,1.8776501186046013
Result3947703,CC(C)Oc1cccc(P(C)c2c(C#N)cccc2OC(C)(C)C)c1,28.225,98.1381,0.1479,O=C([O-])C.[K+],CCCC#N,"28.2246, 1.5692",0.1574807960088896,0.6819085487077534,0.1453627869996672,0.6971767885426821,0.0,1,1.3691437802907915,0.0,28.2246,1.5692,17.100074477551498,2.7760814249363865,0.0756955552435694,5.671340000000001,203.46309484736682,20.082805700077913,-0.7398813723020068,7.2915851200000015,0.11372476971225111,0.8238890715340459,-0.10946233491237412,-0.19623021582733804,-0.1258408304498269,0.8411979186942539,0.2425468424622047,0.051694456817141334,0.48422450578331006,3.0186666666666664,5.885455555555556,0.1121348302739739,-0.3299027381423641,0.9925715102523943,-0.7398813723020068,7.452656222222223,-0.7398813723020068,6.201894230769231,0.8137383679091659,5.175505327109448,-71.77503429355284,6.0264488,6.664825604232536,-0.5242932391891995,0.026929897654673688,0.39327106715855764,0.3943048579856419,64.95052134076116,0.035107453802097316,18.128,0.07936887317257466,0.5868405541862958
