Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS1se,base_GATS3Z,base_GATS2pe,solvent_NsCH3,solvent_GATS4se,solvent_VSA_EState9,solvent_SdssC,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3950422,CCC(c1ccccc1)(c1cc(-c2ccccc2)ccc1C(C)(C)c1cccc(-c2cccnc2)c1)P(c1ccccc1)C(C)C,59.618,93.8012,0.0928,O=C([O-])C(C)(C)C.[K+],CCCC#N,"59.6181, 2.1086",0.5051641116163132,0.1428941881283608,0.476153268219384,0.1556534312908589,1,1.3691437802907915,0.0,0.0,59.6181,2.1086,0.0,3.084040404040404,0.09154845949614074,5.558899082568806,206.55888820612742,5.304539896238907,-0.6792997037011588,7.147594568807341,0.09796166717371461,0.9422350766342792,-0.0869328241968546,-0.140227979561727,-0.08593724574622379,0.9173338059492048,0.4249120125136518,0.0059623510752392726,0.344710383388821,2.7761859280483923,5.750797546012271,0.09679815592027911,-0.03140132000029979,1.1770733607309274,-0.6792997037011588,7.266267938650307,-0.6792997037011588,6.086447368421046,0.9251969517468426,11.373659338615031,-118.02265508306658,5.7932851002865355,0.0,-0.3761844282906772,0.028626049692187534,0.35065617187408676,0.36901685212689356,18.460054211687762,0.02332256228590172,16.312320916905446,-0.08177049926111585,3.0519577970462084
Result3950425,CC(C)(c1ccccc1)P(CCCc1ccccc1)Cc1ccccc1,58.308,103.9973,0.1315,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"58.3080, 3.7872",0.05199823768686698,0.1243972321309733,0.06442562223749324,0.15285281509040824,1,1.3691437802907915,0.0,0.0,58.308,3.7872,0.0,1.1483781918564526,0.11890846961197658,5.419647727272729,150.4567002505349,0.0,-0.15273888259007262,7.062976000000001,0.11655522641860515,1.1764876765127044,-0.022610132913263695,0.01376774098166764,0.006918005385829694,1.1812068217468215,0.19536860360538932,-0.15048956799290267,0.2441257487797822,1.2284644194756553,5.618969696969697,0.11517227853998241,0.04485372198240932,1.0323119558802758,-0.15273888259007262,7.179130888888887,-0.15273888259007262,6.000105263157895,1.1154287183815976,5.447559524883127,0.27306601367207683,5.4961657303370774,6.161910027467921,-0.31807111219773576,0.04246643555398601,0.40204802064665685,0.32437817903561755,0.0,0.01970693802095532,11.685393258426966,-0.033099619506141834,3.2165550767442426
Result3950423,CC(C)c1cc(-c2ccccc2P(C(C)C)C(C)C)cc(C(C)C)c1,58.213,109.2869,0.1204,O=C([O-])C(C)(C)C.[Cs+],CCCCOC(C)=O,"58.2127, 0.0493",0.05199823768686698,0.1243972321309733,0.06442562223749324,0.15285281509040824,2,1.0555555555555556,0.0,-0.18199074074074065,58.2127,0.0493,0.0,1.6723163841807909,0.11715165134428053,5.439581395348837,168.23864005085548,5.304539896238907,-0.16811014529268475,7.075951004651161,0.11376842364651245,1.337589897936274,-0.08479408173695492,-0.18250528775754704,-0.10600515463917524,1.3419378856045505,0.21407617506269555,-0.04821159956547373,0.497412874347513,1.3785796105383734,5.5303963963964,0.11185744150436067,-0.17085974670754533,1.3538524769474514,-0.16811014529268475,7.127210522522525,-0.16811014529268475,5.945262295081968,1.2799204694453998,3.558984968321081,-78.03421124828535,5.6279793814433,0.0,-0.34155250469655435,0.04051220115000015,0.43175258581530923,0.33771846026180036,0.0,0.03472367007247411,12.443298969072165,0.013855729382077478,2.334069171222444
Result3950427,COc1ccccc1-c1nc(N)nc(-c2ccc(N(C)C)c(P(c3ccccc3)C(C)C)c2)n1,57.729,107.3065,0.1405,O=C([O-])C.[K+],CCCC#N,"57.7288, 0.8697",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,1,1.3691437802907915,0.0,0.0,57.7288,0.8697,5.749511833283905,4.183127572016462,0.06597979077444385,5.882559813084112,202.85976412899097,25.979519954290527,-0.600736583705459,7.430750579439253,0.1019063991849489,0.9219689691901334,-0.040606201675868384,-0.18174133558748942,-0.11074862637362637,0.9605787130312037,0.4304235847038004,-0.14098645832506312,0.39306652865661657,3.6184371184371185,6.075183035714287,0.1011035592627942,-0.30372773824231303,1.0619682360157587,-0.600736583705459,7.5720968214285715,-0.600736583705459,6.348186567164179,0.8817403539126251,9.037700372385203,-53.5674430941358,6.042492857142857,31.83871871464458,-0.5283185799361756,0.021193647400930993,0.3407494076509772,0.4083589159910729,24.26546827384644,0.025704835635700224,18.082417582417584,0.21685390545456784,1.0432537949943586
Result3950417,Cc1ccccc1P(Cc1ccc(O)cc1O)CC(N)(N)c1ccccc1,56.883,112.8449,0.1130,O=C([O-])C.[Cs+],CCCCOC(C)=O,"56.8833, 0.2340",0.056742661225519415,0.1265444360281399,0.07445192098979814,0.15437109729761034,2,1.0555555555555556,0.0,-0.18199074074074065,56.8833,0.234,11.49902366656781,2.3094705443698733,0.23756328915990005,5.72680981595092,169.09182182905946,16.77187485056328,-0.7819975644578812,7.32837079754601,0.04771841712793488,1.1523655740856538,0.1190382192581621,0.0255669818058937,0.01598881887343426,1.1299599457794922,0.3666721779942082,-0.11007155121511981,0.18438643568313975,2.575036075036075,5.9127292134831455,0.051311864062833216,-0.03885759555701131,0.9147346747683522,-0.7819975644578812,7.4228812134831434,-0.7819975644578812,6.32100925925926,1.1252967673347436,6.604010139318469,35.20848856746292,5.826340909090908,6.161910027467921,-0.3281702801489661,0.08297665312917252,0.3629629440914576,0.39561789696199345,42.46456947923127,0.029896408685690316,14.727272727272727,0.21735979099059868,7.559185815852471
Result3950426,OC(CN1C=CN(C(Nc2ccccc2)P(c2ccccc2)c2ccccc2)[CH-]1)c1ccccc1,56.74,119.7006,0.1422,O=C([O-])C.[K+],CCCCOC(C)=O,"56.7405, 0.1753",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,2,1.0555555555555556,0.0,-0.18199074074074065,56.7405,0.1753,5.9068640166764395,3.7872628726287263,0.09580181166026085,5.877050251256282,201.6166665100038,15.925868396484145,-0.7890771016798155,7.408251678391959,0.09496682731479217,1.015291729263137,-0.033235812618233836,-0.032614403343093186,-0.016362939177259887,1.0542487250856887,0.43256675630866587,-0.11994304520633602,0.07643555928560072,4.324544883866918,6.069885714285713,0.09498764514052062,-0.0013201798637493508,0.9799444114799662,-0.7890771016798155,7.542121392857143,-0.7890771016798155,6.306397058823529,0.9642617409410226,9.629842807006622,44.38022038966051,6.079698305084746,11.861545009918906,-0.5943858748711635,0.03137982047888909,0.33651642767501183,0.35088806752826524,42.59815730059011,0.016234970831285576,18.440677966101696,0.18077794346718928,2.414807115590903
Result3950413,Cc1ccc(C(O)(OC(C)c2onc(C)c2C)P(c2ccccc2)c2[nH]nc(C)c2C)cc1C,49.665,90.7620,0.1086,O=C([O-])C.[K+],CCCC#N,"49.6653, 0.3656",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,1,1.3691437802907915,0.0,0.0,49.6653,0.3656,6.103966387748303,4.149382716049383,0.11574671826105612,6.133691818181818,183.9135246113675,10.739556295629281,-1.4671670550936426,7.678283163636364,0.10064304807464891,0.7748840929338171,-0.03454280815566774,-0.006866175184305856,-0.004760295926676695,0.7879220319801139,0.7983933897651513,-0.10087722429424774,0.45517272273879533,4.044025157232704,6.0322537815126065,0.09979242296014736,-0.03178977604540635,1.208253060772425,-1.4671670550936426,7.560917394957983,-1.4671670550936426,6.375582608695652,0.7727622648595316,7.944120979114466,94.1611286830142,6.129966509433963,0.0,-0.46242115937969824,0.037343008291585614,0.3445447563638957,0.3975861619786621,90.07335974583663,0.03319000460275465,18.212264150943398,-0.050740440229165774,2.393635934434235
Result3950414,COc1ccc(OC)c(OC(Cc2ccccc2)C([SiH3])(c2ccccc2)P(C)CO)c1,49.195,93.4275,0.1432,O=C([O-])C.[K+],CCCCOC(C)=O,"49.1948, 0.8106",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,2,1.0555555555555556,0.0,-0.18199074074074065,49.1948,0.8106,11.853478221032208,2.818581293157564,-0.11585764477684916,5.746227272727274,174.2544068336348,14.210588861400147,-0.7368332849257668,7.368155245454545,-0.023901706700379315,0.8945017359271389,0.04616019704038472,0.048330773329989675,0.027472096702920775,0.9424885762004432,0.26753738725409254,-0.05064054322155524,0.3083248057748502,2.550989345509894,5.974902752293578,-0.016667836941756393,-0.06969623507628209,1.0844408201842586,-0.7368332849257668,7.543820036697244,-0.7368332849257668,6.2130546875,0.8532552194783325,7.019435655016872,3.1043665934404756,5.876354794520547,27.232391055842434,-0.529325591258678,-0.07403879317267259,0.4030854973711106,0.4317164190258414,30.33183534230805,0.020982575985422827,16.027397260273972,-0.36495308146968564,-5.094915881153232
Result3950419,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,47.695,108.0247,0.0649,O=C([O-])C.[K+],CCCC#N,"47.6950, 1.3382",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,1,1.3691437802907915,0.0,0.0,47.695,1.3382,0.0,2.6726084373143197,0.06475138807405836,5.641063492063492,206.11345541025725,20.40889925417877,-0.5366941714957589,7.230853166666663,0.12348833640270102,1.070642765404754,-0.16491221759188157,-0.2643642365544518,-0.1681505094629642,1.1088382074259657,0.2730017401615745,-0.16343062771078748,0.3993942999550288,2.395375070501974,5.796738738738741,0.1210883774079186,-0.24114902962599957,1.1586970328410864,-0.5366941714957589,7.343419333333332,-0.5366941714957589,6.116414062500001,1.0267407788868,6.824937879897916,-165.02991996505696,5.902693908629443,37.99050739240972,-0.4473493463156663,0.021817983638467164,0.37034128918769277,0.3637590457997152,0.0,0.03303382557137713,17.121827411167512,-0.19169531581693347,0.4982783811377241
Result3950421,c1ccc(C(c2ccncc2)P(c2ccccc2)c2ccccc2)cc1,45.614,118.3602,0.1125,O=C([O-])C.[Cs+],CC(N(C)C)=O,"45.6138, 1.0156",0.056742661225519415,0.1265444360281399,0.07445192098979814,0.15437109729761034,3,1.4760842589662049,3.4490740740740735,0.09259259259259278,45.6138,1.0156,0.0,3.8053097345132745,0.10415440852488285,5.743006369426752,238.67852405000596,10.609079792477814,-0.5946502057613168,7.262946649681527,0.11253344525470849,0.8866887166340609,-0.19439378033178992,-0.2654263565891472,-0.12543778666783897,0.8644717690874545,0.23570226039551584,0.03378667002668217,0.0444091695143092,4.329026701119724,5.832784810126583,0.11178380978792636,-0.18679834598593342,0.8466897115323965,-0.5946502057613168,7.325831139240501,-0.5946502057613168,6.133010204081634,0.8496667425764771,7.733565910657246,11.07493757147191,5.877229457364337,0.0,-0.3762684422847777,0.0378443683520969,0.35124321544311987,0.3496274561489504,12.393687143226153,0.012521560461366333,19.829457364341085,-0.08199686408951122,2.988450607540358
