Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS2pe,base_GATS3Z,base_GATS3m,solvent_GATS4se,solvent_NsCH3,solvent_SdssC,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3942407,CC(C)c1cc(C(C)C)c(P(c2ccccc2)c2ccccc2CP(c2ccccc2)c2ccccc2)c(C(C)C)c1-c1ccccc1,73.863,106.7364,0.1517,O=C([O-])C.[K+],CCCC#N,"73.8630, 3.0649",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,1.3691437802907915,1,0.0,0.0,73.863,3.0649,0.0,3.228691175800647,0.12475744234967345,5.666910843373494,232.58137987010528,26.522699481194536,-0.869525203428422,7.209132491566265,0.12319141768352708,1.133111699542797,-0.20025721248705494,-0.3473614945570544,-0.19885842505241094,1.1384311862920613,0.4736860481465947,0.05695570604587255,0.31117962945594435,3.2658979734451434,5.666229885057472,0.12219277247186186,-0.16781728201566828,1.1295953784313313,-1.4614565222068827,7.206908632183909,-0.5919313187784607,6.023806930693069,1.064331193470153,11.248471887623605,-105.8421746399177,5.818608490566038,0.0,-0.35357372338416443,0.04627706771402773,0.38271510608088194,0.36414312551365785,0.0,0.022582691959887307,19.330188679245282,-0.05635666041851842,3.858491435941984
Result3942420,Cc1cn(-c2ccccc2-c2cccc(P(C)c3ccccc3C(C)(C)C)c2C(C)(C)C)nc1N,58.62,106.0348,0.1055,O=C([O-])C.[K+],CC(N(C)C)=O,"58.6203, 6.9305",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,1.4760842589662049,3,0.09259259259259278,3.4490740740740735,58.6203,6.9305,5.817862777835028,2.4887935145445876,0.11614802592435725,5.616591459074731,199.22340300660056,16.34274726964,-0.55483977678863,7.201431266903913,0.10393198680064701,0.9874086000093787,-0.16902997603525982,-0.1591886832911913,-0.11333493421031705,0.9638319822130467,0.5772872259648475,-0.1428988589522192,0.5348093558266868,2.6308851224105463,5.767104511278197,0.10265962486552134,0.0629932288080387,1.14755789549903,-0.55483977678863,7.297169684210527,-0.55483977678863,6.15018552631579,0.9790070196608025,7.329443758391321,-34.22183765049844,5.783705508474577,12.39849308139472,-0.4113684587547593,0.037251338193316254,0.3701253105703167,0.3760736409489761,17.802383706448886,0.03903798802788466,16.14830508474576,0.06317412940199083,2.9931694424242834
Result3942412,CC(O)(COP(CO)C(C)(C)O)CP(c1ccccc1)c1ccccc1,52.534,92.8483,0.0639,O=C([O-])C.[K+],CC(N(C)C)=O,"52.5340, 3.3714",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,1.4760842589662049,3,0.09259259259259278,3.4490740740740735,52.534,3.3714,5.3421392155256004,2.0530137981118375,0.135357377143306,5.884431137724553,175.2455434922123,10.609079792477814,-1.439014556096786,7.488312910179641,0.1314758463294028,1.082733872986731,-0.11313971954193695,-0.17509481668773716,-0.10856359004507156,1.0529200350160537,0.11785113019775792,-0.12687576834957692,0.05612358635646885,2.695977156294617,5.910936170212766,0.1314092333377768,-0.028490471292185952,1.0856316384936562,-2.1888949835764198,7.505606851063827,-0.749880427479634,6.255283636363637,1.055232905739572,4.657428018924644,8.408372707412488,5.961299999999999,19.11676236103567,-0.391532454307574,0.06198202836928307,0.42733854872963273,0.34087626164506823,36.39820241076966,0.0330353909804415,16.102040816326532,-0.1506111010863716,4.391683444115481
Result3942414,[c-]1cccc(CP(c2ccccc2)c2ccccc2)c1,50.648,105.0595,0.1117,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"50.6481, 2.1802",0.1428941881283608,0.1556534312908589,0.476153268219384,0.5051641116163132,1.4760842589662049,3,0.09259259259259278,3.4490740740740735,50.6481,2.1802,0.0,2.6886145404663924,0.12086541789496327,5.621258426966292,210.3883497170161,10.609079792477814,-0.34716049382716063,7.181156134831459,0.12024868689034196,1.0685996696257103,-0.08468960102900526,-0.13414634146341467,-0.05962059620596208,1.0753273061484787,0.19001991384646116,-0.09334601814520087,0.058236886650267244,3.5813008130081294,5.711540983606557,0.11969496883265762,-0.07183084441341182,0.9772408979912868,-0.34716049382716063,7.23357380327869,-0.34716049382716063,6.054236842105263,0.9807735134733876,5.705049164867749,25.194939795762835,5.744615853658536,0.0,-0.4618241750498841,0.04844249710044444,0.37389360888819057,0.3220087372354866,6.06636706846161,0.011978028599776147,16.682926829268293,0.02999532368528436,3.59546635815744
Result3942409,CCc1ccc(-c2ccccc2)c(-c2ccccc2)c1-c1c(C)ccc([S-])c1CP(C(C)(C)C)C(C)(C)C,48.261,107.9228,0.1363,O=C([O-])C.[K+],CCCC#N,"48.2611, 7.8849",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,1.3691437802907915,1,0.0,0.0,48.2611,7.8849,0.0,2.589827923161257,0.08806923820140045,5.500439306358381,196.24929957382122,0.0,-0.3501429954584516,7.1340262774566465,0.07471612931184085,1.1337056261014204,0.1531336870855717,0.028414864743185695,0.019108996539792384,1.00639132426024,0.43582972126062447,-0.15656099437665932,0.47323219671706257,2.6051518646674356,5.626897959183673,0.07599289130717331,-0.2927869244394682,1.0435252212873367,-0.3501429954584516,7.192044122448979,-0.3501429954584516,6.018614457831325,1.074332954495971,7.38460766397108,43.27951388888886,5.729095155709342,0.0,-0.8006052018500174,0.03155708511043083,0.38205411625680874,0.3571221747510635,0.0,0.034955915224083596,16.05190311418685,0.07321328796334968,2.910088397089307
Result3942411,C=C(c1c(C)ccc(C)c1Oc1ccccc1)P(c1ccccc1)c1ccc(O)cc1,45.775,110.4096,0.0761,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"45.7746, 0.7033",0.1428941881283608,0.1556534312908589,0.476153268219384,0.5051641116163132,1.4760842589662049,3,0.09259259259259278,3.4490740740740735,45.7746,0.7033,17.248535499851716,3.776960784313726,0.11848139461711228,5.731797752808988,228.63575973582945,15.345942746277863,-0.9057312808525333,7.280178314606741,0.0891041162227603,0.9082145111691962,-0.14983321891196233,-0.15378571110880493,-0.08939775234418093,0.9159897835920657,0.44501004064539396,-0.06991785909835554,0.24044233955568917,3.9204204204204203,5.910842105263158,0.0894116715717191,-0.0899998683472838,1.3071565946373007,-0.9057312808525333,7.41484909473684,-0.9057312808525333,6.226228813559323,0.8844544605142505,8.746779160088888,-63.135802469135825,5.977835135135135,0.0,-0.49403961131580476,0.041206954460112605,0.3397437550344624,0.3841891817181886,48.53093654769288,0.023112892474674296,19.70945945945946,0.020905049870789238,3.40272504969772
Result3942416,[c-]1cccc(P(c2ccccc2)c2cccc(-c3cccnc3)c2)c1,45.658,106.4616,0.0903,O=C([O-])C.[K+],CC(N(C)C)=O,"45.6576, 1.6331",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,1.4760842589662049,3,0.09259259259259278,3.4490740740740735,45.6576,1.6331,0.0,4.225768321513002,0.10079593618669634,5.654887719298245,236.5183163817208,15.913619688716722,-0.6042170047031159,7.211797719298245,0.10881358095602771,0.8611483286351758,-0.1013162971608153,-0.12620118343195266,-0.060453514739229025,0.8451435242627464,0.2730017401615745,-0.04808744201191587,0.049805674493012736,4.513333333333334,5.873352112676057,0.10830056641058554,-0.054895857580402774,0.9932102451618845,-0.6042170047031159,7.351767211267605,-0.6042170047031159,6.159666666666666,0.8170143711419753,7.675536451595364,-8.09218666890625,5.919979999999998,0.0,-0.45724021230496287,0.03703866578236426,0.33983362207213996,0.3497205896880272,24.526421280149375,0.013695892976045223,19.64,0.01018299814288593,2.849183551372876
Result3942422,CC(C)c1ccc(P(c2ccccc2)c2ccccc2C2=NCCO2)c(-c2ccccc2P(c2ccccc2)c2ccccc2)c1,45.125,105.9995,0.1045,O=C([O-])C.[Cs+],CCCC#N,"45.1254, 1.7872",0.1265444360281399,0.15437109729761034,0.07445192098979814,0.056742661225519415,1.3691437802907915,1,0.0,0.0,45.1254,1.7872,6.606881964512918,4.404040404040404,0.10987292429905977,5.745379537953795,248.39599505856964,31.827239377433443,-0.9527640836856002,7.276964732673267,0.12202733718089277,0.8804746243245563,-0.1030750296921181,-0.08941738857705245,-0.048985516691797924,0.8642303547664487,0.5941160027556178,0.08822341208701374,0.1839715997501092,4.740488788107836,5.867604026845638,0.12154555130780646,-0.08550598510335684,0.9770116886804109,-1.753763506448391,7.374339436241609,-0.8009994227627908,6.148651685393256,0.848442528551511,12.423718247470365,15.750690401050853,5.957765714285715,13.151638370425493,-0.5066212777461507,0.041758367151488354,0.35818686718707604,0.3930057154594503,0.0,0.018033486447218118,22.06122448979592,-0.0893099091995444,3.3940906611473642
Result3942410,CP(Cc1[c-]cccc1)C1CCCCC1,43.747,111.8548,0.1168,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"43.7473, 1.3493",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,1.0624999999999998,2,0.0,0.0,43.7473,1.3493,0.0,0.7262313860252004,0.152782438157168,5.36468493150685,129.12008946201883,0.0,0.19373971193415673,7.030982739726028,0.15119692863595313,1.390317900013191,-0.02810487543382515,0.028356945558228663,0.011944639924935501,1.396897489906969,0.1310943487475822,-0.09630557503182208,0.3023844768092618,0.9157088122605365,5.499283582089553,0.15007833415109037,-0.041044904909992255,0.8183528670011122,0.19373971193415673,7.108224208955223,0.19373971193415673,5.930166666666667,1.2991066539177647,1.4358907849667535,7.318145628621814,5.38662643678161,6.664825604232536,-0.4711182769539214,0.06375618805305208,0.5003407217128015,0.22631320798553958,6.06636706846161,0.015069347804463855,9.505747126436782,0.06210775229071972,3.8000107609013947
Result3942419,[c-]1ccccc1P(c1ccccc1)c1ccccc1,43.235,108.2606,0.0919,O=C([O-])C.[K+],CC(N(C)C)=O,"43.2347, 2.6223",0.1453627869996672,0.1574807960088896,0.6819085487077534,0.6971767885426821,1.4760842589662049,3,0.09259259259259278,3.4490740740740735,43.2347,2.6223,0.0,4.1940298507462686,0.11894024339065114,5.6551219512195114,242.0156205114872,15.913619688716722,-0.5015432098765431,7.202459707317073,0.11882362543189053,1.050326139109461,-0.25396170878745483,-0.3415268941584731,-0.15492588219860945,1.0575289575289575,0.17677669529663687,0.01392905510406988,0.012760157188486552,4.457142857142857,5.748181818181819,0.118518113489421,-0.1121731111824266,0.964237868087371,-0.5015432098765431,7.2560304,-0.5015432098765431,6.066814285714285,0.9558226282905692,5.721885917273355,-22.479701617748766,5.903557142857142,0.0,-0.46523871551194473,0.048678785901109904,0.3621099622327467,0.3230144616925248,12.13273413692322,0.011722306294206161,18.885714285714286,0.034326857859683604,3.6058299627409256
