Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3Z,base_GATS1se,base_GATS3m,solvent_GATS4se,solvent_VSA_EState9,solvent_NsCH3,solvent_SdssC,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3949414,c1ccc(CP(c2ccccc2)c2ccccc2)cc1,52.189,109.1450,0.1527,O=C([O-])C.[K+],CC(N(C)C)=O,"52.1886, 1.3080",0.1574807960088896,0.6819085487077534,0.1453627869996672,0.6971767885426821,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,52.1886,1.308,0.0,2.5793650793650795,0.12391020464418756,5.618593406593406,203.27086692859422,10.609079792477814,-0.3271604938271606,7.179759999999999,0.12313079577099348,1.089607794990848,-0.10069529068412958,-0.11123011015911874,-0.04939949377410094,1.0961538461538463,0.19001991384646116,-0.07531473626111351,0.03937765024064772,3.228682170542635,5.704825396825397,0.12249402647463603,-0.11624536455538266,0.9250115716850255,-0.3271604938271606,7.229893111111112,-0.3271604938271606,6.0428461538461535,1.0040588509597543,5.705049164867748,27.611638665692713,5.70228488372093,0.0,-0.3202912349650409,0.04954014802949421,0.38072401285056984,0.3294903372191694,0.0,0.011978028599776236,16.11627906976744,-0.04319244458695729,3.704551307383845
Result3949416,CCP(CC)c1nc(Nc2ccc(C)cc2C)c[nH]1,47.005,105.2867,0.0723,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"47.0048, 0.8970",0.1556534312908589,0.476153268219384,0.1428941881283608,0.5051641116163132,1.0624999999999998,0.0,2,0.0,47.0048,0.897,11.383355680376868,1.9710648148148149,0.1270049053626618,5.645250000000001,137.65416113384558,10.882281506548171,-0.12459985606039381,7.285567090909092,0.12378047008919496,1.1333620358626468,0.09218361402251873,0.006057315619144953,0.003286300918893632,1.1614601947215093,0.37664537565029843,-0.16607240820084787,0.5020045853187758,1.5943905070118662,5.77144109589041,0.12313418082443575,0.29463984021070294,1.378333346385233,-0.12459985606039381,7.3338667945205485,-0.12459985606039381,6.199261904761905,1.0901691492745804,3.7135006883034833,-27.23118954766784,5.774344660194174,17.640608658942174,-0.3424745449669013,0.04753250592372623,0.4247499144063115,0.3725223864049645,6.196843571613076,0.023771226809880305,11.330097087378642,0.16874309732760756,1.7985687853192058
Result3949415,CC(C)c1ccc(-c2ccc(OC(CCP(C)c3ccccc3)C(F)(F)F)cc2)cc1,45.709,114.2081,0.1495,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"45.7095, 0.8163",0.1556534312908589,0.476153268219384,0.1428941881283608,0.5051641116163132,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,45.7095,0.8163,5.749511833283905,2.5468975468975468,0.09712870777270996,6.080833333333334,157.4270136242642,10.041402850038956,-0.6529946876089465,7.641901527777776,0.0833664385505199,0.5407260118760998,0.08968108056944893,0.05364534611786717,0.03294850617638609,0.5461582788478889,0.2621886974951644,0.037979365319320495,0.2976246475925193,2.6055555555555556,6.207358490566038,0.08072386835946208,0.06527211339022708,0.9961899383035262,-0.6529946876089465,7.6666979433962235,-0.6529946876089465,6.301426229508197,0.5449142172565428,6.61743913544017,9.776628682690161,5.953513125,12.826735631700457,-0.5122771457537062,0.03439434007195617,0.37611014253300473,0.5257782734677261,61.262129220387024,0.030193921087591037,15.2625,-0.1907782693344271,2.082156688290931
Result3949409,Cc1cc(N=CP(C(C)C)C(C)(C)C)cc(C)c1C,44.681,107.8923,0.1039,O=C([O-])C.[Cs+],CC(N(C)C)=O,"44.6811, 1.0155",0.15437109729761034,0.07445192098979814,0.1265444360281399,0.056742661225519415,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,44.6811,1.0155,0.0,0.8781609195402299,0.1107805712738662,5.236849999999996,114.49175977092143,0.0,-0.20298590115058346,6.96471525,0.12440817971189708,1.1592010384779736,0.36172079897286397,0.12009655700693447,0.07491763492782057,1.0684213263399533,0.20595037673258595,-0.33704297188901416,0.49976518667659264,0.621141975308642,5.522378823529408,0.12198047080966146,-0.2602500620762671,1.2338565667880246,-0.20298590115058346,7.14122743529412,-0.20298590115058346,5.965372340425533,1.1622060016220594,2.448458086113492,-40.09593190595153,5.577743055555555,0.0,-0.3795591576995742,0.04049086310547766,0.4479589734730814,0.33809763103532714,0.0,0.046068281002472455,8.45138888888889,0.039119262336475495,0.5183155769481216
Result3949413,CCP(c1ccccc1)c1nc2ccc3cnc4cnccc4c3c2s1,44.217,115.6595,0.1101,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"44.2166, 3.6635",0.1556534312908589,0.476153268219384,0.1428941881283608,0.5051641116163132,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,44.2166,3.6635,4.748712101394678,4.6134259259259265,0.08800723134350631,5.814375789473684,227.56487744131712,10.053251997633584,-0.414625418754607,7.39154625263158,0.09138980878111322,0.7689830069497079,-0.1338823173013349,-0.10770428015564201,-0.06276643990929705,0.7790061690786043,0.7600796553858447,0.09320059575618667,0.2603352121895073,3.9144444444444444,5.9987157894736844,0.09461751161982493,0.02086414872226144,1.0952266639077752,-0.414625418754607,7.49965369736842,-0.414625418754607,6.2985000000000015,0.7229006531350572,6.91279412237611,-21.475742560398643,6.0622669999999985,6.161910027467921,-0.3946825529587066,0.03641126505182618,0.36461062472612127,0.4199274602435808,29.927316592773966,0.01909791045473051,23.87,-0.08500380033662368,2.58052165612855
Result3949412,Cc1cccc(CP(c2cccc(NCN(C)C)c2)c2ccc(C)c(C)c2)c1,37.751,104.6651,0.0822,O=C([O-])C(C)(C)C.[K+],CCCC#N,"37.7506, 3.8876",0.1556534312908589,0.476153268219384,0.1428941881283608,0.5051641116163132,1.3691437802907915,0.0,1,0.0,37.7506,3.8876,0.0,1.87003367003367,0.09313001160876486,5.6254946666666665,175.41284201673776,15.925868396484145,-0.464004472159234,7.2041758,0.1157288406326555,1.1311116742785734,-0.07049049607420779,0.026023777192001444,0.014398677067450384,1.1769487058178716,0.42466345951743373,-0.1989482633153355,0.3152581563375465,2.544159544159544,5.791989523809525,0.11410468744477635,-0.07166591631515944,0.9530734231814927,-0.464004472159234,7.335888666666666,-0.464004472159234,6.123877049180329,1.077700943373791,6.812219649421738,60.860686406985366,5.632663461538461,26.080823758259854,-0.36433910050521673,0.03180759160892055,0.3779618034852704,0.3426327925624976,0.0,0.026910341750112803,14.73076923076923,0.0013009029678375597,1.7161178735715414
Result3949420,c1ccc(P(c2ccccc2)c2ccccc2)cc1,34.29,105.6855,0.0822,O=C([O-])C.[K+],CC(N(C)C)=O,"34.2903, 1.8706",0.1574807960088896,0.6819085487077534,0.1453627869996672,0.6971767885426821,1.4760842589662049,3.4490740740740735,3,0.09259259259259278,34.2903,1.8706,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3949408,COc1cc(C)c(C)cc1OCC(C)C(C)P(C(C)C)C(C)(C)CP(C)C(C)C,30.635,90.6485,0.0665,O=C([O-])C.[K+],CCCCOC(C)=O,"30.6346, 0.9126",0.1574807960088896,0.6819085487077534,0.1453627869996672,0.6971767885426821,1.0555555555555556,0.0,2,-0.18199074074074065,30.6346,0.9126,0.0,0.8972003499562554,0.12041200466566611,5.347606153846156,131.10439928125552,9.473725907600098,-0.11896814023963453,7.068105846153851,0.14927515429883736,1.0468478903605571,-0.0358523645336572,-0.048976694544136154,-0.02859368264585655,0.9644106795571042,0.18967853124294973,-0.19597139475674677,0.4436012428302057,0.6510590858416945,5.579828571428574,0.14714975265696337,0.15073507091639365,1.1947726797416667,-0.03687203102351144,7.229731914285714,0.08209610921612309,6.002700000000001,1.059216848174247,2.050485499889838,-68.11591989026061,5.590690635451503,26.54341513749091,-0.5266667415955105,0.0477072601400889,0.5035877023777513,0.4113574767788902,0.0,0.04099101757175603,10.414715719063546,-0.24282045323013488,0.4516407609857318
Result3949407,O=[N+]([O-])c1ccccc1PCP(c1ccccc1)c1ccccc1,28.036,106.8213,0.1394,O=C([O-])C.[K+],CCCCOC(C)=O,"28.0361, 1.0781",0.1574807960088896,0.6819085487077534,0.1453627869996672,0.6971767885426821,1.0555555555555556,0.0,2,-0.18199074074074065,28.0361,1.0781,0.0,2.8687943262411344,0.08385545183847308,5.680712871287128,196.92109953423494,15.913619688716722,-0.5164705635340556,7.306855821782178,0.039937614065520974,0.36686548745961695,0.029979184456736713,0.0769755713889146,0.039197554496675134,0.2532905466376477,0.2248892177291057,-0.08704217231397635,0.12533883749299582,2.90979097909791,5.879878260869566,0.041261883895167994,-0.120617432542915,1.0787752095947531,-0.5164705635340556,7.404892652173915,-0.5164705635340556,6.237504651162792,0.39893319869327853,6.5069779604856945,-14.661973692907669,5.885654455445543,5.902998432009833,-0.3874469145092019,0.04256030668288147,0.3997233889347038,0.45758196215351393,24.26546827384644,0.017424723622900262,19.89108910891089,-0.1384648972395681,2.7606118075243127
Result3949411,CP([N-]P(=O)(CS)Cc1ccccc1)c1ccccc1,21.418,105.5310,0.1405,O=C([O-])C.[K+],CCCCOC(C)=O,"21.4179, 0.3288",0.1574807960088896,0.6819085487077534,0.1453627869996672,0.6971767885426821,1.0555555555555556,0.0,2,-0.18199074074074065,21.4179,0.3288,0.0,2.295134350036311,-0.04572969249858059,5.638554347826088,184.70769760422536,5.304539896238907,-0.7526822982279335,7.351185978260867,0.1174070897193134,1.122992147986451,0.01073934822329722,-0.07223222322232224,-0.04041803072273987,0.9342792988603288,0.1310943487475822,0.01647247475629817,-0.026802037085400972,2.2664141414141414,5.797307692307693,0.12168349475508534,-0.004181397040441623,0.9943812762765066,-0.7526822982279335,7.387839230769232,-0.7526822982279335,6.034469230769232,1.0225666650158376,4.076597465003819,-19.923053247152986,5.926875000000001,12.158767615521237,-0.6198378983569384,-0.027647540874581322,0.5084094924788592,0.31656310788231673,67.32849628884864,0.02291366320502949,20.931818181818183,0.06304004515068201,1.5377862581451534
