Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3Z,base_GATS3m,base_GATS1se,solvent_SdssC,solvent_NsCH3,solvent_GATS4se,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3950520,CC(C)(C)P(CCc1scnc1-c1ccccc1)C(C)(C)C,67.724,115.7476,0.0936,O=C([O-])C.[Cs+],CCCCOC(C)=O,"67.7239, 0.7030",0.15437109729761034,0.07445192098979814,0.056742661225519415,0.1265444360281399,-0.18199074074074065,2,1.0555555555555556,0.0,67.7239,0.703,0.0,1.0818830879071843,0.12169860398917386,5.160698412698413,138.2338827517459,0.0,-0.04992881171673025,6.946097576719576,0.12438106555753614,1.091212984569403,0.4856991910918997,0.2210843199953907,0.14361637426900584,0.9555010275309718,0.2621886974951644,-0.3919027926219903,0.370328608980129,0.8245614035087719,5.58235652173913,0.12533974185090352,-0.43902640295508844,1.0408227907721581,-0.04992881171673025,7.204462521739132,-0.04992881171673025,6.0104999999999995,1.0638836648640448,2.821967390794975,13.874192592592586,5.575181871345029,6.161910027467921,-0.35638536137768123,0.05083367680220878,0.45025417313243926,0.35601756019824404,5.51053927361738,0.04057758562425567,11.47953216374269,0.011771989968337147,2.4414707571768908
Result3950517,c1ccc(PCP(c2ccccc2)c2ccccc2)cc1,67.363,106.6544,0.1091,O=C([O-])C.[K+],CCCC#N,"67.3632, 4.2715",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1,1.3691437802907915,0.0,67.3632,4.2715,0.0,1.9224806201550386,0.05238700915515614,5.470774193548387,195.3134694140186,15.913619688716722,-0.26220920466952213,7.091178774193548,0.056146905399689834,1.1714264472366887,0.007500259844419114,0.01899007337073803,0.008265239034469806,1.1800352024138796,0.19001991384646116,-0.05208605586443004,0.05259410939746043,2.402930402930403,5.630478787878788,0.05794283819651808,-0.05828367195430599,1.09117416294938,-0.26220920466952213,7.185029166666668,-0.26220920466952213,5.9794024390243905,1.0539730134932537,5.586353437666363,32.0,5.566719780219779,5.902998432009833,-0.3187394702352804,0.027770258888442322,0.4275232636477863,0.3286122941657006,0.0,0.011407646285501092,18.252747252747252,-0.037328991675283994,3.325732903856398
Result3950586,[C-]#Cc1ccc(P(c2ccccc2)c2ccccc2)cc1,63.846,100.9626,0.0669,O=C([O-])C.[K+],CC(N(C)C)=O,"63.8461, 6.5615",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.09259259259259278,3,1.4760842589662049,3.4490740740740735,63.8461,6.5615,0.0,3.9941520467836256,0.10944952597790227,5.623406593406593,236.54683186545518,15.913619688716722,-0.5523843117493914,7.183494923076923,0.10909748185355374,1.008711598494332,-0.16463738694954483,-0.19604700854700846,-0.09602302459445314,1.0157760500226254,0.2248892177291057,-0.02905371856903696,0.02206573639239595,4.07977207977208,5.774137931034482,0.10868742487303844,0.05507696867068551,1.0188719778270967,-0.5523843117493914,7.270745172413794,-0.5523843117493914,6.090364864864865,0.9170035393424943,6.341586667463493,-33.28725623582766,5.884846153846153,0.0,-0.650838812579063,0.04302564864734277,0.35342619076485327,0.3292234288365141,12.13273413692322,0.013851055571989597,18.846153846153847,0.03053926900421649,3.1022929597316
Result3950526,Cc1cc(-c2cccc(C3=NC(c4sc(C)nc4C)CO3)c2CP(c2ccccc2)C(C)C)cc(C)n1,55.52,114.1309,0.0624,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"55.5199, 1.7303",0.15285281509040824,0.06442562223749324,0.05199823768686698,0.1243972321309733,0.0,2,1.0624999999999998,0.0,55.5199,1.7303,12.648722793660879,3.2847601700060713,0.07810884194983968,5.678199170124482,195.32906745967443,5.304539896238907,-0.4343593411188009,7.280318489626556,0.10877578812060112,0.8182928901267603,0.09162487361821753,0.02595524593624657,0.016260001322488924,0.8277081720091742,0.860951732387643,0.06936277511116837,0.4217574809748652,3.1560846560846563,5.9033267175572535,0.1094416897095166,-0.08701923561896595,1.1144526173746685,-0.4343593411188009,7.445332259541985,-0.4343593411188009,6.2237,0.7974875533428163,8.28252638324556,-17.172286020067563,5.93680142857143,6.606881964512918,-0.505640809520534,0.028050432645241822,0.372011117586513,0.40196944342232904,0.0,0.028337283007875996,17.357142857142858,0.04704706567182549,1.9864644799174977
Result3950519,COc1ccc2nc(OC(C)(C)C)c(CNc3ccc(NC(C)(C)C)cc3P(C)C(C)(C)C)cc2c1,54.812,103.9722,0.0612,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"54.8119, 1.7468",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,0.09259259259259278,3,1.4760842589662049,3.4490740740740735,54.8119,1.7468,11.350562644267594,2.085603112840467,0.05613193427597156,5.764216101694915,171.36749245406895,25.411843011851666,-0.40633970469543446,7.346151093220339,0.1043501622869756,0.966071862847242,-0.14125477865830496,-0.08116883116883115,-0.056818181818181816,0.9721288931189794,0.4369811624919406,-0.23165939332323557,0.5240912579901719,2.3383838383838382,5.88730612244898,0.10256234110141957,0.08592383676189687,0.9221622409793367,-0.40633970469543446,7.444118870748298,-0.40633970469543446,6.218439024390244,0.9484986029102087,6.521350622909138,-66.18580246913581,5.882314545454546,24.40820035352273,-0.5293307376004666,0.017248574555349318,0.3792537023279133,0.41241157963033187,18.19910120538483,0.04495612013879326,14.377272727272727,0.242806781003067,0.5870349756897292
Result3950571,[c-]1ccc(P(c2ccccc2)C(c2ccccc2)c2ccccc2)c(-c2ccccc2)c1,53.724,107.7007,0.0635,O=C([O-])C.[K+],CCCC#N,"53.7240, 0.8675",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1,1.3691437802907915,0.0,53.724,0.8675,0.0,4.144996059889677,0.10525581607557122,5.718589999999999,249.37307949521917,10.609079792477814,-0.7312832787435957,7.237591069999999,0.10405578152237063,0.9579910665649852,-0.13232039920692112,-0.18621399176954723,-0.09120685311161499,0.9627935346142118,0.3319273052604535,0.01552458054012215,0.08259980766905262,4.751028806584363,5.793113402061856,0.1032931592763237,-0.13350713468580516,0.9081319349296222,-0.7312832787435957,7.281484824742264,-0.7312832787435957,6.0996,0.8978478352248844,9.541195231209397,27.358308138070043,5.87524074074074,0.0,-0.45849031302602716,0.036201944671620426,0.3406500976955585,0.3376961159192762,0.0,0.01338741638753533,20.87037037037037,0.013382817567886656,3.514345038018318
Result3950579,[C-](=Cc1ccc(P(c2ccccc2)c2ccccc2)cc1)c1ccccc1,51.623,109.2996,0.0722,O=C([O-])C.[K+],CC(N(C)C)=O,"51.6228, 4.2160",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.09259259259259278,3,1.4760842589662049,3.4490740740740735,51.6228,4.216,0.0,3.730936819172113,0.10812723639634292,5.639338983050846,229.0890643838858,15.913619688716722,-0.545767441395949,7.192422491525422,0.10704194260485644,0.9855874513648482,-0.17341942470119512,-0.16876738772497588,-0.078386301405987,0.99114824335904,0.2970580013778089,-0.04452939227425964,0.05245431508099018,3.9870550161812295,5.786708860759493,0.10630682948183713,-0.021877189215493163,1.0627474035816207,-0.545767441395949,7.27822086075949,-0.545767441395949,6.090420000000002,0.9150647367887457,8.139209041674537,-24.706581940322685,5.85126699029126,0.0,-0.4306233625577889,0.039101732992474485,0.34454533381521874,0.33221627170926454,24.27512131221871,0.013304965807656973,18.058252427184467,0.008062146651528667,3.3540961817518973
Result3950524,CC(O)P(C1CCCCC1)C1CCCCC1Oc1ccccc1P(C)[O-],48.588,106.6212,0.0572,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"48.5882, 0.8471",0.15285281509040824,0.06442562223749324,0.05199823768686698,0.1243972321309733,0.09259259259259278,3,1.4760842589662049,3.4490740740740735,48.5882,0.8471,11.853478221032208,2.0498737373737375,0.11293745693154279,5.639699999999999,157.46303978958133,14.934814452791432,-1.4165047749294477,7.308061127192982,0.16803488538020522,0.946272734220494,-0.051721405995951195,-0.08765439699125246,-0.045677987975332374,0.8725207269393389,0.2730017401615745,-0.01897814754645041,0.1316504271171888,1.6328257191201352,5.740965517241379,0.16636877223876023,0.020412539805170285,1.0672375267801035,-1.8752441719228128,7.340556310344824,-0.4587393969933651,6.105042622950821,0.9333929237324361,2.2221915521984936,-59.34035203450123,5.890398984771574,6.664825604232536,-0.8446399630124234,0.04982029651922672,0.4790141453305007,0.35765605677814016,31.18920547353706,0.022954852380911002,13.791878172588833,-0.06264301460180899,3.9893110720449316
Result3950570,CC1NCCOC1P(C)C(C)(C)CC(CO)c1ccccc1,47.197,118.4646,0.1207,O=C([O-])C.[K+],CC(N(C)C)=O,"47.1967, 0.2169",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.09259259259259278,3,1.4760842589662049,3.4490740740740735,47.1967,0.2169,0.0,1.2048811817597946,0.13030677138547297,5.595231182795699,132.2057387127501,5.316788604006331,-0.30576871798101934,7.266567462365592,0.11063028937210811,1.02652481468279,-0.1263715580802046,-0.0919171451086345,-0.05112551266397419,1.0043892690641,0.19037142086468112,-0.07001809783212354,0.21601252099779197,0.9688418577307466,5.833316326530613,0.11028743472960913,0.06700464676082542,1.0500640047392957,-0.30576871798101934,7.426658918367345,-0.30576871798101934,6.178245283018868,1.0192589788849522,2.677286266776993,-46.43816202790563,5.675857671957673,26.423345939170947,-0.4082383449850209,0.04521740531866206,0.436955819406447,0.3191331329423444,6.06636706846161,0.028758544310728662,11.100529100529101,-0.15594629669543633,2.2152973533229514
Result3950573,c1ccc(P(c2ccccc2)c2ccccc2)cc1,40.517,103.5700,0.0809,O=C([O-])C.[K+],CCCC#N,"40.5172, 2.5207",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1,1.3691437802907915,0.0,40.5172,2.5207,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
