Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS1se,base_GATS2pe,base_GATS3Z,solvent_VSA_EState9,solvent_SdssC,solvent_GATS4se,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3941845,CC(C)c1cc(-c2cccc(C(C)C)c2P(c2ccccc2)C2CCCCC2)c([O-])c(C(C)C)c1,73.465,106.5348,0.1134,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"73.4653, 2.7195",0.05199823768686698,0.1243972321309733,0.15285281509040824,0.06442562223749324,0.0,0.0,1.3691437802907915,1,73.4653,2.7195,0.0,2.6815776815776817,0.11331221930201267,5.7321754385964905,203.72353866051444,15.71560718731852,-0.5679043839758124,7.276840231578945,0.10320777712683601,0.8238094397778873,-0.18473862294580007,-0.22404057353481852,-0.13142403689561458,0.6540701567959544,0.387482860816009,0.03728722877808043,0.4023501984389884,2.763661202185792,5.654775510204082,0.10223068290214288,-0.17862755881940048,1.1483792590467967,-0.5679043839758124,7.214481659863944,-0.5679043839758124,6.027881250000001,0.868678049687062,5.784992554248991,-84.11764522154138,5.828781147540985,0.0,-0.888228531185079,0.036772294968149946,0.3950327465487999,0.34167812613084986,0.0,0.02764606019258334,16.65983606557377,0.01969799162848403,3.3180235951271064
Result3941842,CC(C)c1cc([O-])ccc1P(c1ccccc1)c1ccccc1-c1c(C(C)C)cc(C(C)C)c([O-])c1C(C)C,65.463,106.6707,0.1082,O=C([O-])C.[K+],CC(N(C)C)=O,"65.4626, 0.7185",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,3.4490740740740735,0.09259259259259278,1.4760842589662049,3,65.4626,0.7185,0.0,3.4099616858237547,0.10461874725137252,5.77402523659306,220.20875113603705,26.12667447839813,-0.990025959286321,7.321894548895899,0.08924368631906683,0.6718732540498449,-0.23173207299674045,-0.3105757603943819,-0.2006610576923077,0.5526539643580564,0.45187689317806856,0.06154995741619328,0.409000595584787,3.154273504273504,5.7265986394557835,0.08857808981174693,-0.18624933448077444,1.169846306701901,-0.990025959286321,7.2699000816326524,-0.990025959286321,6.083132530120482,0.7164945217912684,7.99585673831778,-251.3587962962963,5.981873461538462,0.0,-0.889559667376721,0.033601007908820535,0.36827015136357366,0.3499473468700542,12.13273413692322,0.03168105895311646,18.51153846153846,0.10850749667771023,2.9148723508848198
Result3941840,CCOC(=O)C(F)P(C1CCCCC1Oc1ccc(C)cc1C)C(F)(F)F,64.028,95.7736,0.1083,O=C([O-])C.[K+],CC(N(C)C)=O,"64.0277, 4.2979",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,3.4490740740740735,0.09259259259259278,1.4760842589662049,3,64.0277,4.2979,11.853478221032208,4.8142968142968146,0.0841384681355554,6.577809523809524,171.34995420756846,4.736862953800049,-3.2496122962216445,8.101820666666669,0.07757493250529642,0.555817909676881,-0.0135737014307251,-0.03503113159047202,-0.023462048561518064,0.5869612569859933,0.2912333734517709,-0.09728563435745663,0.27972518893067855,5.437547892720306,6.455183673469389,0.07478948692616649,-0.10686555885997275,1.0305509046794274,-3.2496122962216445,7.9411233265306125,-3.2496122962216445,6.518858490566038,0.5460406056383774,4.179652468935428,27.0252575060267,6.980886206896552,6.606881964512918,-0.5224323495120566,0.030267174975093666,0.3759133522829953,0.506407632872001,25.980208536304467,0.034819603295992506,21.06896551724138,0.020274909884547384,0.6063265130739561
Result3941836,CC(O)(Cc1ccccc1)CP(c1ccccc1)c1ccccc1,55.899,94.2998,0.1115,O=C([O-])C.[K+],CCCC#N,"55.8993, 2.9784",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,0.0,0.0,1.3691437802907915,1,55.8993,2.9784,0.0,2.3715277777777777,0.15027025328949298,5.709958904109592,196.27657393420884,10.609079792477814,-0.5850948496682626,7.31314208219178,0.09828524559695195,1.023371264373784,-0.1589016196113793,-0.21235018597602973,-0.11439416990107527,0.9902170773728018,0.19001991384646116,-0.10249731102726206,0.10967666852154938,2.846994535519126,5.780658536585365,0.09872353570757467,0.045482357455544305,0.8205047310283651,-0.5850948496682626,7.311730414634141,-0.5850948496682626,6.1136428571428585,1.0019836799072939,5.959815078069241,-35.53801787301108,5.8973811475409805,6.161910027467921,-0.31880425246567184,0.055830124430578526,0.37717853314034866,0.33194747524224766,37.255572541998674,0.0221855746170407,16.508196721311474,-0.0061680538559755835,4.299350515748043
Result3941843,Fc1ccc(P(c2ccccc2)c2cccc3cnccc23)cc1,49.496,111.3518,0.1494,O=C([O-])C.[K+],CC(N(C)C)=O,"49.4964, 6.0679",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,3.4490740740740735,0.09259259259259278,1.4760842589662049,3,49.4964,6.0679,5.817220841045895,4.538077403245943,0.10584052475552454,5.807963963963963,242.25441312996153,15.913619688716722,-0.7526131687242799,7.321541405405406,0.09549396869703912,0.5495373290161906,-0.14882060198102864,-0.20712074303405562,-0.11111803176580501,0.5204125232349387,0.4329182633268859,0.03756808710598524,0.06494282882069051,4.575438596491228,6.015044776119404,0.0943289566434712,-0.24382407566738817,0.9609705265543841,-0.7526131687242799,7.468536,-0.7526131687242799,6.2645,0.5507199083706907,7.279252901996597,-24.705172847622986,5.9558242105263135,0.0,-0.38146242516638157,0.040455863889876306,0.33720713117395845,0.37827309586565333,30.592788348610984,0.017988071744923843,21.063157894736843,-0.055047575541516354,2.947174672797572
Result3941841,Cc1cc(C)c([O-])c(P(N=Cc2ccc(C(C)(C)C)cc2[O-])c2ccccc2C(C)C)c1,48.165,107.6770,0.1435,O=C([O-])C.[K+],CCCC#N,"48.1651, 1.8436",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,0.0,0.0,1.3691437802907915,1,48.1651,1.8436,0.0,3.0236406619385345,0.04957290947051462,5.938649425287355,187.09500559240198,20.822134582159226,-1.3056073151997427,7.524447321839081,0.10925890030367642,0.6971711885218163,0.10990703231365068,-0.03756551141166525,-0.025679548816568046,0.598970274185169,0.44514132153501806,-0.2580515256452357,0.36765761884245296,3.1196581196581192,5.792773913043479,0.10676684201444103,-0.22720465970513476,0.9851933548452152,-1.3056073151997427,7.3299394260869555,-1.3056073151997427,6.13200909090909,0.7093599398973061,6.964522587476662,30.827160493827158,5.862107100591716,0.0,-0.8890334758710882,0.016596976298335207,0.36117469517960604,0.34111537505356915,50.245676810150904,0.03709762480440118,17.06508875739645,0.011174012192893698,1.8248814566615812
Result3941846,FCP(c1ccccc1)c1ccc(Oc2nnc[n-]2)cc1,47.938,117.0700,0.1108,O=C([O-])C.[K+],CC(N(C)C)=O,"47.9384, 2.9814",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,3.4490740740740735,0.09259259259259278,1.4760842589662049,3,47.9384,2.9814,12.165191210100724,5.102819237147596,0.08847717343023584,6.179611940298508,188.98879040368283,20.32992126722507,-0.9768696751677355,7.705300029850747,0.09502818546544102,0.5921190688685639,-0.014133701469698553,0.04166241713411525,0.020276474821929368,0.623734611964816,0.2248892177291057,-0.04982911602966453,0.14088117979141235,4.477477477477478,6.41705090909091,0.09401798602391546,0.0156756458937221,0.8202848184593143,-0.9768696751677355,7.861728509090908,-0.9768696751677355,6.5727457142857135,0.573619872940095,6.0396435395801165,-24.008956002221993,6.32869054054054,6.415679376816819,-0.5262280183963172,0.035230456452223884,0.33997897902696267,0.36778458841037986,42.46456947923127,0.014652805686542258,18.66216216216216,0.30386437410609995,0.5793550945236996
Result3941834,CP(CC(C)(CP(c1ccccc1)c1ccccc1)CP(c1ccccc1)c1ccccc1)c1ccccc1,47.387,111.2730,0.0919,O=C([O-])C.[Cs+],CC(N(C)C)=O,"47.3872, 2.3395",0.056742661225519415,0.1265444360281399,0.15437109729761034,0.07445192098979814,3.4490740740740735,0.09259259259259278,1.4760842589662049,3,47.3872,2.3395,0.0,2.0811522633744857,0.14570585742599979,5.493987055016179,206.1883486372985,26.522699481194536,-0.4860210030514265,7.1074899288025915,0.14659895931289565,1.2639807532504597,-0.08756249794542974,-0.15035876210056245,-0.07900603237105383,1.2725198876930275,0.2946278254943948,-0.12027616486977025,0.12244474914438082,2.1418732782369143,5.607762962962963,0.1467390618814181,0.03807065054230205,0.8071969165326104,-1.2517572529697747,7.171704251851849,-0.27971524686692195,5.986443750000001,1.14587266527033,9.131464888183594,-125.69811223966352,5.721235537190083,25.1505556866363,-0.3197091319486447,0.06886963108620388,0.43385746119292345,0.3445081432099997,0.0,0.01877714560786569,17.789256198347108,-0.057838535838136765,4.623174060609799
Result3941838,CC(C)(C)c1ccccc1CN=C1NC=[NH+]C1P(c1ccccc1)c1c(C(C)(C)C)cccc1C(C)(C)C,45.797,95.1016,0.1139,O=C([O-])C.[K+],CCCC#N,"45.7969, 1.0778",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,0.0,0.0,1.3691437802907915,1,45.7969,1.0778,0.0,2.2644364794902425,0.09718030228686227,5.74751076923077,189.88231132731596,20.918273129119815,-0.8077919428230822,7.310989661538463,0.10021640791623204,1.1044244656418487,-0.04030622469527805,-0.17064115023298695,-0.11651850351226165,1.127100717353644,0.45244839633750744,-0.18579716914279934,0.4342773496212698,2.6967846967846967,5.759389610389611,0.09899760662907606,-0.2108468022489072,0.9539209092577744,-0.8077919428230822,7.298237636363636,-0.8077919428230822,6.115715116279067,1.0730325660083486,7.38773725838557,34.736851914574856,5.821146520146522,0.0,-0.34118513786415133,0.030233923172647507,0.3716022720372346,0.5269925443923271,6.338535362521884,0.03885189264780776,15.794871794871796,0.283571182721244,2.4687027397871986
Result3941844,Cc1ccc(C)c(P(c2ccccc2Oc2cccc3ccccc23)C2CC[NH+](C)CC2)c1,43.843,91.3915,0.0846,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"43.8432, 4.0002",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,0.0,0.0,1.0624999999999998,2,43.8432,4.0002,11.49902366656781,2.8304093567251463,0.0944891029627316,5.770796208530807,196.33120134044364,20.24585247712834,-0.5236557685488461,7.331462947867299,0.11832199175936416,1.0048675282113224,-0.16392724268495565,-0.10731821765477993,-0.06102553377660466,1.0099414576022077,0.6652260716797779,0.006723771429008551,0.34084382072385017,3.028504944735311,5.8587096774193546,0.11721434324470811,-0.058080849962606575,0.9958735974973617,-0.5236557685488461,7.383426161290321,-0.5236557685488461,6.1762,0.9641840542093721,7.9176826732784225,-7.894205806663725,5.831612565445025,20.13718479450234,-0.49351930195887983,0.031561465218149794,0.36815082495130885,0.4081040707106385,0.0,0.022632023456032577,16.43455497382199,-0.07850225816092447,2.950088470755898
