Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3Z,base_GATS1se,base_GATS3m,base_GATS2pe,solvent_SdssC,solvent_VSA_EState9,solvent_NsCH3,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3935422,CCn1cc(C)c(P(c2ccccc2[SiH-]c2ccc(C)cc2C)C(C)C)n1,71.453,103.3270,0.1154,O=C([O-])C.[K+],CC(N(C)C)=O,"71.4529, 0.1081",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,71.4529,0.1081,0.0,2.216256524981357,0.032277151125859736,5.501531521739131,206.81425412667767,21.113007587004198,-0.4595557118595035,7.107666793478262,0.09175634894656583,0.9793212073668311,-0.22264258164303033,-0.22294201505155317,-0.133531905598745,0.9710998895985121,0.5863054324711585,0.04586619144412972,0.4363506136892386,2.1921146953405017,5.66046796116505,0.09329944382654395,-0.013876442799110458,1.3330575207234785,-0.4595557118595035,7.221153242718447,-0.4595557118595035,6.03154406779661,0.9616195925774919,5.581416312467934,-90.22242741356312,5.791238709677419,0.0,-0.5395945198287031,0.021660052624526832,0.41655646566614335,0.3415458337404505,0.0,0.02856028367437771,17.729032258064517,0.06631413876587532,1.5915462783221626
Result3935427,CCN(c1ccccc1N)c1ccccc1-c1cc(P(C)c2ccccc2)ccc1C(C)C,71.084,99.6627,0.0880,O=C([O-])C.[K+],CC(N(C)C)=O,"71.0845, 0.5560",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,71.0845,0.556,0.0,3.0063492063492063,0.11629392797240369,5.594425108225107,190.22773049672347,21.24265700049048,-0.4201742125063139,7.189150484848485,0.10053357282476626,1.1508793860898012,-0.04468718742854231,-0.08792940434919637,-0.05056546324488907,1.21175554132866,0.40444759592737667,0.05785163158347446,0.3997553109351054,2.595959595959596,5.785803418803419,0.0998263889338615,-0.02694730178434419,1.3019255615823428,-0.4201742125063139,7.307001025641026,-0.4201742125063139,6.139420289855073,1.0867771266219182,8.116212280914148,-72.7780271854346,5.79934928229665,23.843159218157776,-0.4162171136919126,0.03860578261668629,0.373313848219077,0.3643231913185451,12.13273413692322,0.022756803312895472,15.105263157894736,-0.019880010952433996,3.3285029147358545
Result3935418,Cc1c(F)cccc1P(C=Nc1c(C(C)C)cccc1C(C)C)c1cccc2cnccc12,63.19,112.9436,0.1078,O=C([O-])C.[K+],CC(N(C)C)=O,"63.1901, 0.2383",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,63.1901,0.2383,5.817220841045895,3.035502958579882,0.09153168909095773,5.751521505376345,192.8102858279737,10.609079792477814,-1.0341530192323847,7.312512569892472,0.09948164715169062,0.6221315420771758,-0.04116842789758797,-0.06102119618797243,-0.03763665615221881,0.581424743240267,0.5445932585803858,-0.06353526437492425,0.37246764592773424,3.0583488516449413,5.858568141592922,0.09762803533229295,0.01803646752897184,1.2146245155645135,-1.0341530192323847,7.367431557522124,-1.0341530192323847,6.186068181818182,0.6389772734909377,7.986838211038231,-80.08697342677355,5.943567597765364,0.0,-0.3819832148130351,0.03089427339407806,0.35646969209103896,0.38257889197767647,31.450158479839995,0.026615021492829554,16.99441340782123,-0.08154465894165015,2.208220323120891
Result3935424,CC(C)N1C=CN(c2cccc(P(c3ccccc3)c3ccc(O)cc3)c2)[CH-]1,61.613,110.3837,0.0859,O=C([O-])C.[K+],CC(N(C)C)=O,"61.6130, 1.4087",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,61.613,1.4087,5.749511833283905,3.2948717948717947,0.09735119125503021,5.706882962962963,199.54772987581632,20.8135294195672,-0.7018358190326888,7.267157955555556,0.10549049714446204,0.9878224896162608,-0.07874961877195186,-0.049404142080296164,-0.028283140510465404,1.0163819021231182,0.5581879841484301,0.10542373318353636,0.226665014900309,3.415422885572139,5.991042857142858,0.10537094215217016,-0.13873224015364674,1.002108702108702,-0.7018358190326888,7.47827191208791,-0.7018358190326888,6.276145454545454,0.9433155548073271,7.2134203584265775,-19.3888888888889,5.863683582089552,4.899909730850478,-0.5945912568369882,0.034084951709918515,0.34590119110705125,0.36633498089733757,12.13273413692322,0.023000715058695328,16.992537313432837,0.3032300273487021,2.039876616408137
Result3935388,CCC(C)(C)P(Cc1ccccc1-c1ccccc1)C(c1ccccc1)c1ccccc1,60.573,101.7472,0.0971,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"60.5725, 0.3637",0.06442562223749324,0.1243972321309733,0.05199823768686698,0.15285281509040824,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,60.5725,0.3637,0.0,2.23463056965595,0.11088694831152364,5.586454183266932,187.80452995785214,0.0,-0.4028674834131176,7.161334868525896,0.10875049794184041,1.1002275754302437,-0.15622818162541022,-0.08926481339085834,-0.049143184839558936,1.104343644814874,0.28381478282798467,-0.08691639565242297,0.2795645555680361,2.3142437591776797,5.664410256410258,0.10751740731815268,-0.11582738205213372,0.9295809183466058,-0.4028674834131176,7.205712102564101,-0.4028674834131176,6.028874999999999,1.0479922981792225,7.356983517660156,5.057000511359482,5.636070484581498,0.0,-0.333149160744955,0.03775198783446454,0.3770018648246618,0.3442464711233098,0.0,0.020616521396661387,15.114537444933921,-0.050455100085107105,3.376116895215432
Result3935387,Pc1cc[c-]cc1P(c1ccccc1)C(c1ccccc1)P(c1ccccc1)c1ccccc1,60.084,103.6763,0.0950,O=C([O-])C.[K+],CC(N(C)C)=O,"60.0836, 0.7482",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,60.0836,0.7482,0.0,3.66158315177923,0.014593265112443566,5.6696379310344795,258.24079782673505,26.522699481194536,-0.7213062694213479,7.207842810344825,0.018964825114612224,1.0676390952455428,-0.11458414477655521,-0.17175613414764815,-0.08759562841530054,1.075780683740034,0.36714811616131804,0.021467183883111623,0.056443958871493644,4.466099979761182,5.698520388349515,0.021171832516519096,-0.1690759755803737,0.8823301435487322,-1.4052308515998986,7.225818495145627,-0.6839245821785507,6.014765625000001,0.9603689699771474,9.492218619527552,75.16218106995889,5.79307431693989,0.0,-0.4593307770909018,0.007512828698575081,0.38702608531502863,0.3397149211492936,6.06636706846161,0.015226874172887365,25.153005464480874,0.036937815893884327,2.96003219165371
Result3935419,CCP(Cc1ccccc1)c1ccccc1,59.859,103.6614,0.1232,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"59.8592, 2.8105",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,0.0,0.0,2,1.0624999999999998,59.8592,2.8105,0.0,1.4,0.13835392141109212,5.451093333333334,160.28159850244094,5.304539896238907,-0.029835390946501894,7.082142186666668,0.13712205262987823,1.2517368161903977,-0.09839346774028858,-0.10502958579881655,-0.045136681500317855,1.2587833768319616,0.1310943487475822,-0.07114190338483731,0.19211908273880998,1.5598290598290596,5.573298245614035,0.13619698347101747,-0.004323954765161186,1.0899434432709658,-0.029835390946501894,7.151884842105264,-0.029835390946501894,5.975249999999999,1.1565441336012696,3.706002149573826,-2.7606366697275764,5.545108974358974,6.161910027467921,-0.31645258054405323,0.05889027930863061,0.43824790389274726,0.31762102217890203,0.0,0.01175221341288581,12.166666666666666,-0.03097450093053851,3.428407259533336
Result3935386,CN(C)c1ccccc1C=NC(C)(C)c1ccccc1P(c1ccccc1)c1c(N)cccc1N(C)C,57.402,103.0423,0.0844,O=C([O-])C(C)(C)C.[K+],CCCC#N,"57.4018, 1.4315",0.476153268219384,0.1428941881283608,0.5051641116163132,0.1556534312908589,0.0,0.0,1,1.3691437802907915,57.4018,1.4315,0.0,3.251207729468599,0.07692899155268901,5.795602230483272,200.52266322802714,31.447106627579863,-0.935409912936368,7.340570446096652,0.10129156873775508,1.0566871978009382,-0.0816063928411659,-0.1313487295866151,-0.08167319653806145,1.1110186747071016,0.402351643605178,-0.07232416957633672,0.3534977864043758,3.2626262626262625,5.9166307692307685,0.0999708734908285,-0.0779261244071614,1.0307027017261803,-0.935409912936368,7.42618683076923,-0.935409912936368,6.211915584415585,1.007290816879579,9.785142086156283,0.4335236137037892,5.883248917748919,43.7241748695719,-0.44478463236155236,0.02436532366979136,0.3466771547673718,0.3697158330877045,18.347334716458537,0.028513488569246372,16.735930735930737,-0.1756101412713751,1.5391962097354464
Result3935426,[C-]#Cc1nc(-c2ccc(P(c3ccccc3)C3CCC[NH2+]C3)cc2)no1,35.533,91.0980,0.0946,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"35.5325, 0.3191",0.476153268219384,0.1428941881283608,0.5051641116163132,0.1556534312908589,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,35.5325,0.3191,5.890723922025908,3.3781512605042017,0.13370640186013147,5.701649999999998,197.01698824936656,15.925868396484145,-0.38605763824734307,7.283433088235295,0.10816783460789178,0.8171959678492661,-0.1581596959518868,-0.1484576030030575,-0.07661422612445125,0.7974037675998276,0.4417470756934354,-0.05364409662414965,0.2958877581491102,3.1340679522497705,6.024916470588238,0.10783883091661495,-0.06937925880811097,0.7475299856077294,-0.38605763824734307,7.516411482352938,-0.38605763824734307,6.380542857142858,0.7968020476177142,6.460128055979148,-33.999789960092414,5.930743801652892,13.08951281182515,-0.620697268543031,0.04766713671828642,0.3602038057346504,0.46614627345490706,0.0,0.015790218147038272,16.40495867768595,0.26323637345876316,3.3097454289920294
Result3935420,c1ccc(P(c2ccco2)c2ccco2)cc1,31.114,93.1375,0.1119,O=C([O-])C.[K+],CC(N(C)C)=O,"31.1143, 0.5680",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,31.1143,0.568,11.002671646832708,6.6933333333333325,0.08700546222552698,5.996825396825397,232.62796011634325,16.307211543071617,-0.705246913580247,7.571367365079365,0.11627906976744186,0.8151140591686293,-0.2823883008306841,-0.44256868586560744,-0.20942982456140352,0.852617346891707,0.25137565482875424,0.05611719970400366,0.06622662266226617,5.473684210526316,6.152553191489363,0.117312785353853,-0.0547954667938547,0.6785478547854787,-0.705246913580247,7.671119829787235,-0.705246913580247,6.386050000000002,0.774314729080396,5.024759999695735,-56.74382716049384,6.500824561403509,0.0,-0.5327076496775565,0.03804841121791916,0.35334111558161174,0.3895931959628173,42.46456947923127,0.013101401152348062,21.56140350877193,-0.09357620294683583,1.7114378027624413
