Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS3Z,base_GATS3m,base_GATS2pe,solvent_GATS4se,solvent_SdssC,solvent_NsCH3,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3935073,[c-]1ccccc1P(c1ccccc1)c1ccccc1,66.184,104.7353,0.1286,O=C([O-])C.[K+],CC(N(C)C)=O,"66.1839, 2.1579",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,66.1839,2.1579,0.0,4.1940298507462686,0.11894024339065114,5.6551219512195114,242.0156205114872,15.913619688716722,-0.5015432098765431,7.202459707317073,0.11882362543189053,1.050326139109461,-0.25396170878745483,-0.3415268941584731,-0.15492588219860945,1.0575289575289575,0.17677669529663687,0.01392905510406988,0.012760157188486552,4.457142857142857,5.748181818181819,0.118518113489421,-0.1121731111824266,0.964237868087371,-0.5015432098765431,7.2560304,-0.5015432098765431,6.066814285714285,0.9558226282905692,5.721885917273355,-22.479701617748766,5.903557142857142,0.0,-0.46523871551194473,0.048678785901109904,0.3621099622327467,0.3230144616925248,12.13273413692322,0.011722306294206161,18.885714285714286,0.034326857859683604,3.6058299627409256
Result3935070,c1ccc(PCC2NCC(P(c3ccccc3)c3ccccc3)S2)cc1,63.423,99.0486,0.1072,O=C([O-])C.[K+],CC(N(C)C)=O,"63.4228, 2.0533",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,63.4228,2.0533,0.0,2.301449275362319,0.07431189968320223,5.647839416058394,200.48290453515338,21.23040829272305,-0.3400589755792578,7.2803427007299275,0.059641318106832195,1.1602881065643365,-0.09456626131774366,-0.10068551236749118,-0.047470220741357774,1.1200138490262341,0.37562542150964756,-0.048564684380277626,0.015993718336272434,2.545975308641975,5.744786363636364,0.06273712612104806,-0.01512631309718058,0.9982098985937936,-0.3400589755792578,7.326695329545453,-0.3400589755792578,6.075971153846154,1.0549002639182186,5.783697628434916,24.180459787845596,5.7553408,12.706666433380496,-0.3176137258582621,0.03895880954902897,0.4321340380544471,0.33279396371427467,0.0,0.013816695261797626,20.256,-0.05395729186458008,4.3138925487425315
Result3935063,[c-]1ccccc1CP(c1ccccc1)c1ccccc1,62.155,102.6257,0.0789,O=C([O-])C.[K+],CCCC#N,"62.1548, 4.5091",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,1.3691437802907915,0.0,1,0.0,62.1548,4.5091,0.0,2.982905982905983,0.12086541789496327,5.624045977011494,207.47876600827874,10.609079792477814,-0.3584104938271604,7.182616459770114,0.12024868689034196,1.0685996696257103,-0.06445521223977552,-0.08433734939759038,-0.037483266398929065,1.0753273061484787,0.19001991384646116,-0.06564217168335457,0.07755984676518599,3.634538152610441,5.711540983606557,0.11969496883265762,-0.13410878161484519,0.9185306565627763,-0.3584104938271604,7.23357380327869,-0.3584104938271604,6.054236842105263,0.9807735134733876,5.705049164867749,42.008192348727334,5.714897590361445,0.0,-0.47089312488956947,0.04844249710044444,0.37435115919461504,0.3230023061989058,12.13273413692322,0.011978028599776147,16.542168674698797,0.0355720628706249,3.59546635815744
Result3935076,C(#CP(C1CCCCC1)C1CCCCC1)PC1CCCCC1,61.948,99.1172,0.1161,O=C([O-])C.[K+],CCCC#N,"61.9481, 5.4664",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,1.3691437802907915,0.0,1,0.0,61.9481,5.4664,0.0,0.8641231593038823,0.10705247496914952,5.360883720930231,156.03083023734231,0.0,0.021922109893340425,7.027743751937985,0.1086420564741461,1.495245990828778,-0.157637741016425,0.003943082461854987,0.0015440386680988275,1.5013363712044867,0.19001991384646114,-0.008248389008319004,0.01575751555263062,1.0509607351712615,5.507724137931032,0.10924702612088752,-0.10927466029134954,1.2244428063351718,0.021922109893340425,7.116150413793101,0.021922109893340425,5.886517241379311,1.4074176890860892,0.05475564635884034,-15.746031746031738,5.453018796992482,0.0,-0.4005285081851441,0.04898992377908861,0.5223137032625218,0.28935565417226333,0.0,0.010889116908887487,13.556390977443609,-0.030818752752729744,4.162030997565922
Result3935078,c1ccc(PCPCP(CP(CP(c2ccccc2)C2CCOCC2)C2CCCO2)c2ccccn2)cc1,59.172,110.8653,0.1370,O=C([O-])C.[K+],CCCC#N,"59.1716, 3.9304",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,1.3691437802907915,0.0,1,0.0,59.1716,3.9304,0.0,1.1686083579667306,0.07992686752059214,5.51624761904762,186.92458069549235,16.04409619186819,-0.2685269344363259,7.1883734212454184,0.09083832295403324,0.9670672884897598,-0.01690455262884799,-0.038465473145780006,-0.017196924220335565,0.9098792720391857,0.3667966091430981,0.006158726265979685,0.1307872971245947,1.622222222222222,5.70087482993197,0.09353656482502597,-0.05995428072245675,0.9579600997724096,-0.6972437264443592,7.3213267210884325,-0.21279366488100226,6.0434634146341475,0.9332196075836294,5.508664553901182,0.6146216345646549,5.609395652173912,43.43263962157808,-0.4174221287888287,0.048819865124985186,0.5115369450781971,0.3403169145374552,6.196843571613076,0.012602831095209304,19.92608695652174,-0.11967192124381353,3.4897159939030438
Result3935072,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,58.581,109.7019,0.1105,O=C([O-])C.[K+],CCCC#N,"58.5813, 4.1033",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,1.3691437802907915,0.0,1,0.0,58.5813,4.1033,0.0,0.7212475633528265,0.1604411701162514,5.35942857142857,142.7534304683886,0.0,0.3848456790123461,7.029104,0.1582952815829528,1.5139684722540552,-0.14308807159910514,-0.17547043652688896,-0.07027902468883902,1.5186049526772982,0.17677669529663687,-0.02170773126268103,0.005252015608518247,0.7586206896551724,5.50762162162162,0.1569594127514907,-0.05278359096964088,1.1674628839575534,0.3848456790123461,7.116083675675675,0.3848456790123461,5.906083333333333,1.4488873443043222,-0.4142135623730958,-11.749726057418371,5.497603448275862,0.0,-0.25977629464886576,0.05676701024819956,0.5130133214527443,0.2469374324919789,0.0,0.011722306294206161,9.931034482758621,-0.017483203233440284,4.653052482560114
Result3935077,[c-]1cccc(P(C2=CCc3ccccc32)c2ccccc2)c1,54.874,99.9140,0.1054,O=C([O-])C.[K+],CC(N(C)C)=O,"54.8744, 0.2454",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,54.8744,0.2454,0.0,4.031007751937984,0.11750893108330067,5.661281553398058,232.90596589295478,10.609079792477814,-0.5087448559670782,7.204906640776699,0.11734845232413946,1.000870234704103,-0.15576306841510035,-0.24880554228380306,-0.12681501324160604,1.0073060511108658,0.5119442350683092,-0.01705656526073405,0.07362565858002348,4.26007326007326,5.772238805970149,0.11705366942754032,-0.12757455933774378,0.9616138515110358,-0.5087448559670782,7.269466805970151,-0.5087448559670782,6.087036585365855,0.9177390625402956,6.166439883371476,1.0649430594028826,5.8433681318681305,0.0,-0.4572454418328547,0.04551613163239026,0.35245546329859834,0.33129961429231125,6.06636706846161,0.014798207817978394,18.63736263736264,0.044316628037870814,3.9947633838128422
Result3935065,C1CCC(PCP(C2CCCCC2)C2CCCCC2)CC1,39.476,99.3631,0.0910,O=C([O-])C.[K+],CC(N(C)C)=O,"39.4759, 1.8070",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,39.4759,1.807,0.0,0.4939613526570048,0.11640306417960991,5.306406779661017,134.91083498237194,0.0,0.39049487696313123,6.995483898305086,0.11799012411584141,1.5914797298469736,-0.06465282222478383,0.0015374478365912452,0.0005943473323356738,1.5972881355932207,0.19001991384646116,-0.03490234325346425,-0.005627045900923861,0.6309067688378033,5.465063333333331,0.11858311539063018,-0.07778702978248671,1.0061552994961749,0.39049487696313123,7.0898356416666655,0.39049487696313123,5.866703389830509,1.5048371622806564,-0.8214531135534671,18.728224068944282,5.33398563218391,5.902998432009833,-0.2529014748478086,0.05254360165291321,0.5597413893426486,0.24578243563900964,0.0,0.011407646285501092,11.494252873563218,-0.02157286816644178,4.416915527488666
Result3935075,[c-]1cccc(P(c2ccccc2)c2ccccc2)c1,36.798,102.4081,0.1152,O=C([O-])C.[K+],CC(N(C)C)=O,"36.7983, 2.2212",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,36.7983,2.2212,0.0,3.9565217391304346,0.11894024339065112,5.617209302325582,238.4800926186825,15.913619688716722,-0.47723765432098775,7.179948279069768,0.11882362543189053,1.050326139109461,-0.1794984685063611,-0.30229419703103916,-0.13712886440159167,1.0575289575289575,0.17677669529663687,-0.028965194150269713,-0.007775149692234585,4.333333333333333,5.748181818181818,0.118518113489421,-0.09018099116877616,0.9759127997437954,-0.47723765432098775,7.256030399999999,-0.47723765432098775,6.066814285714285,0.9558226282905692,5.721885917273355,-8.746862565044383,5.895402777777777,0.0,-0.45724142489397784,0.0486787859011099,0.3616306238164926,0.31953730373951694,6.06636706846161,0.011722306294206161,18.52777777777778,0.033693207826138515,3.6058299627409247
Result3935071,c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,18.149,109.1119,0.1204,O=C([O-])C.[K+],CC(N(C)C)=O,"18.1487, 1.2520",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,1.4760842589662049,0.09259259259259278,3,3.4490740740740735,18.1487,1.252,0.0,2.586206896551724,0.13524954147716953,5.574432432432433,218.5631006053365,21.21815958495563,-0.40867766859830357,7.151974,0.13658911479074973,1.1833053360240817,-0.022522511102461555,-0.02473661344629089,-0.011497734529804514,1.192050710981669,0.23570226039551584,-0.02868492479413743,0.0019508999726497974,3.1919191919191916,5.665614285714286,0.13697471327365393,-0.1128977516275747,1.0305735177461683,-0.8173553371966067,7.2058272500000005,-0.4086776685983031,6.018980769230769,1.0632930218142123,7.445677803958862,62.91888667787599,5.6669090909090905,5.902998432009833,-0.3205646152207717,0.06376385365201001,0.4074460859730871,0.33780388806045863,0.0,0.012681382385227124,20.09090909090909,-0.051531965099392514,4.445756780212874
