Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3Z,base_GATS3m,base_GATS1se,solvent_VSA_EState9,solvent_GATS4se,solvent_SdssC,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3950735,c1ccc(C(c2ccncc2)P(c2ccccc2)c2ccncc2)cc1,69.584,117.7065,0.1139,O=C([O-])C.[Cs+],CC(N(C)C)=O,"69.5843, 0.7367",0.15437109729761034,0.07445192098979814,0.056742661225519415,0.1265444360281399,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,69.5843,0.7367,0.0,3.919191919191919,0.09362732067507067,5.791006451612903,237.87748371441592,10.609079792477814,-0.6346502057613168,7.304060696774191,0.11166500498504468,0.8236877523553162,-0.20147454282440164,-0.26451359832635957,-0.12487654320987648,0.8182367191281962,0.23570226039551584,0.07161176385721713,0.0515797635558104,4.472222222222221,5.911012987012987,0.11096123429445967,-0.2271658269589469,0.8114390257268478,-0.6346502057613168,7.393353818181818,-0.6346502057613168,6.195968750000001,0.7914197130798518,7.814778852061021,9.42900167657369,5.905028124999997,0.0,-0.37649325715220916,0.03374625132131148,0.3460615296785563,0.35452723961157157,24.787374286452305,0.012521560461366333,19.9609375,-0.09549462092829317,2.312004318627332
Result3950774,[c-]1ccc(-c2ccccc2)cc1P(c1ccccc1)c1ccccc1,62.31,103.6573,0.1182,O=C([O-])C.[K+],CCCC#N,"62.3096, 3.8895",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1.3691437802907915,0.0,1,62.3096,3.8895,0.0,4.223391812865497,0.11078129574369071,5.6350357142857135,236.2358062855224,15.913619688716722,-0.6081143969933656,7.189195249999999,0.11005434782608693,0.984581780651544,-0.11904792341230618,-0.10680358576398181,-0.05129344735447044,0.9905265257279618,0.2730017401615745,-0.0051238724152020175,0.06077873869604698,4.448844884488449,5.78972602739726,0.10948926721993527,-0.07576925408159496,0.9777893680134654,-0.6081143969933656,7.2798340821917815,-0.6081143969933656,6.093391304347827,0.908717161545155,7.594808536423295,-5.6406866574524805,5.85557425742574,0.0,-0.465323718135052,0.04104266750150765,0.3455598718547714,0.32772826860198756,0.0,0.013695892976045294,19.26732673267327,0.041438121059089054,3.5361840680888887
Result3950768,[C-]#Cc1ccc(P(c2ccccc2)c2ccccc2)cc1,61.862,99.8966,0.0702,O=C([O-])C.[K+],CC(N(C)C)=O,"61.8615, 3.7170",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,61.8615,3.717,0.0,3.9941520467836256,0.10944952597790227,5.623406593406593,236.54683186545518,15.913619688716722,-0.5523843117493914,7.183494923076923,0.10909748185355374,1.008711598494332,-0.16463738694954483,-0.19604700854700846,-0.09602302459445314,1.0157760500226254,0.2248892177291057,-0.02905371856903696,0.02206573639239595,4.07977207977208,5.774137931034482,0.10868742487303844,0.05507696867068551,1.0188719778270967,-0.5523843117493914,7.270745172413794,-0.5523843117493914,6.090364864864865,0.9170035393424943,6.341586667463493,-33.28725623582766,5.884846153846153,0.0,-0.650838812579063,0.04302564864734277,0.35342619076485327,0.3292234288365141,12.13273413692322,0.013851055571989597,18.846153846153847,0.03053926900421649,3.1022929597316
Result3950738,CC(C)c1cc(-c2ccccc2)cc(C(C)C)c1P(c1ccccc1)C(C)C,55.906,109.1584,0.1118,O=C([O-])C(C)(C)C.[Cs+],CCCCOC(C)=O,"55.9056, 3.2385",0.15285281509040824,0.06442562223749324,0.05199823768686698,0.1243972321309733,0.0,1.0555555555555556,-0.18199074074074065,2,55.9056,3.2385,0.0,2.357374918778427,0.11549417101110482,5.59588477366255,205.59243551691827,10.609079792477814,-0.39764486109944674,7.168799292181068,0.1128816220959772,1.1984370435290679,-0.29990450098385035,-0.510237210798795,-0.29454166320768926,1.202752976190476,0.24615119001767477,0.013726985183228733,0.4138576040660415,2.1006399069226296,5.608576576576578,0.11138365262048358,-0.2184308149096144,1.29570824159853,-0.39764486109944674,7.173230162162161,-0.39764486109944674,5.991285714285715,1.142642825439097,5.557114874015377,-122.96263449689955,5.7476361256544495,0.0,-0.3456337690015025,0.04004605642825626,0.3961252361164637,0.34280407370051763,0.0,0.027694962744920337,15.900523560209423,-0.009931292885578636,3.0434817183924374
Result3950734,CC(C)CP(C)CC(C)C,51.042,114.0247,0.1236,O=C([O-])C.[Cs+],CCCCOC(C)=O,"51.0423, 1.9117",0.15437109729761034,0.07445192098979814,0.056742661225519415,0.1265444360281399,0.0,1.0555555555555556,-0.18199074074074065,2,51.0423,1.9117,0.0,0.22580645161290322,0.15941059657796466,5.040000000000002,121.37982340584125,0.0,0.34053497942386857,6.8379071604938275,0.15448275862068975,1.9984032561051983,0.26238093226964915,-0.09513513513513523,-0.03662851196670137,2.0052447552447545,0.0,-0.27438010158074977,0.1489477429849534,0.2,5.290421052631577,0.1514763971930923,-0.47001295187441594,0.7391215941439614,0.34053497942386857,6.984403087719299,0.34053497942386857,5.785950000000003,1.8872640927593443,-0.5773502691896253,-12.032065364011247,5.541166666666667,18.988645659168377,-0.24644153440326239,0.06787492535766898,0.7072116711430146,0.21622932438904663,0.0,0.03944690545695133,7.166666666666667,-0.010618325441791157,-0.7834515937244275
Result3950727,CC(C)C1C(P)[NH2+]CCN1c1ccc(C(O)P(c2ccccc2)c2cscn2)cc1,50.799,91.3885,0.1181,O=C([O-])C(C)(C)C.[K+],CCCCOC(C)=O,"50.7994, 4.4508",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,0.0,1.0555555555555556,-0.18199074074074065,2,50.7994,4.4508,11.627984025980089,2.58195211786372,0.030314650862887423,5.556184541062803,174.16353611052094,20.95625463048609,-0.9688497225021699,7.218799352657003,0.008077505516969417,1.0660482817596602,0.038023356235952925,-0.04497698028568054,-0.02578680203045685,1.074149776418324,0.39798445670457006,0.02790373487230151,0.2449065152214429,2.2600112803158487,5.925920720720722,0.010713591407560591,0.005857468315190151,1.0650817529408865,-0.9688497225021699,7.479076900900897,-0.9688497225021699,6.236658730158731,1.0164836599829052,5.891966861998226,0.3597393689986249,5.841198984771573,17.989422542675626,-0.4213227950840028,0.014394701583652069,0.41234865518609154,0.4762022844150692,23.70964047900221,0.023322097143643243,16.13705583756345,0.08928694333736784,2.7221218870967383
Result3950733,CP(CC(C)(c1cc(F)cc(F)c1F)n1cnc2cc3ccccc3cc21)c1ccccc1,49.794,107.1725,0.1314,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"49.7935, 2.1514",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,49.7935,2.1514,5.817220841045895,4.574189095928226,0.0860941377446197,6.219342696629211,192.5737177267987,5.304539896238907,-0.7737963254574809,7.713531943820223,0.08195095564370732,0.5180494066486782,0.0032711857976301536,-0.024946052533670666,-0.017433373572290835,0.5163754231409264,0.8257796002843382,-0.0013940086372652067,0.29761626101924427,4.106741573033708,6.1814789999999995,0.0795094837555399,-0.020691465871649578,0.8490449824297517,-0.7737963254574809,7.615868179999998,-0.7737963254574809,6.414330508474576,0.5128018785787668,8.580039610809699,-37.487329864299554,6.238469662921351,12.826735631700457,-0.4361933452331804,0.030298052681751866,0.34098101889521054,0.43755291076590236,78.2208746005597,0.029702559662840754,19.53932584269663,-0.002140425745167328,2.07361673599408
Result3950740,C1CCC(CP(C2CCCCC2)C2CCCCC2)CC1,48.692,110.3238,0.0602,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"48.6917, 3.8341",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1.0624999999999998,0.0,2,48.6917,3.8341,0.0,0.6144505160898603,0.15621514180304005,5.393041666666668,137.00113403742793,0.0,0.38015432098765467,7.048325583333333,0.153853703952977,1.513634915139545,-0.11077971390603772,-0.08920481174816436,-0.03491520565614102,1.5180702978660892,0.19001991384646116,-0.042718704366331454,0.029205060128064984,0.7694283879254977,5.509128205128203,0.15241974591527913,-0.08764282531385599,0.9999635160772484,0.38015432098765467,7.116669829059828,0.38015432098765467,5.906157894736843,1.4515935136691698,-0.44524435364115966,7.47061728395062,5.4328236994219665,6.161910027467921,-0.25612885732452906,0.05420192384561437,0.5161643031718419,0.2453583421226262,0.0,0.011978028599776236,9.907514450867051,-0.023760456879651448,4.432344335784111
Result3950772,Cn1cnnc1-c1ccc(P(c2ccccc2)C(c2ccccc2)c2ccccc2)cc1,46.87,108.8304,0.1386,O=C([O-])C.[Cs+],CCCCOC(C)=O,"46.8704, 5.1267",0.15437109729761034,0.07445192098979814,0.056742661225519415,0.1265444360281399,0.0,1.0555555555555556,-0.18199074074074065,2,46.8704,5.1267,6.3273200747645415,3.878010878010878,0.08657208396691561,5.686499465240642,233.33018407732789,10.609079792477814,-0.6872288359788359,7.231000556149731,0.11439439439439456,0.7409256321423306,-0.14015091636462326,-0.1774956435150609,-0.09327577184720037,0.7183920918988554,0.43726816677048935,-0.08432998584762133,0.1862864027252709,4.183048433048433,5.964508163265306,0.11291952731927139,-0.11859419329200878,1.030782732493297,-0.6872288359788359,7.435675428571425,-0.6872288359788359,6.249376666666667,0.7307298643181471,9.388048513518209,-27.893675988914097,5.933362179487178,0.0,-0.42021754078617685,0.029113800794069375,0.3363286307788894,0.37488167660453103,11.614771630468544,0.01670470232136812,19.506410256410255,-0.10090202634376942,1.9920769881611509
Result3950736,Cc1ncccc1Oc1ccccc1P(C#CC(C)O)C(C)C,42.583,106.1513,0.1103,O=C([O-])C.[Cs+],CC(N(C)C)=O,"42.5829, 2.0091",0.15437109729761034,0.07445192098979814,0.056742661225519415,0.1265444360281399,3.4490740740740735,1.4760842589662049,0.09259259259259278,3,42.5829,2.0091,17.602990054316113,3.3002364066193848,0.11299494117220461,5.895087931034482,214.70208859732023,10.041402850038956,-0.740417978919963,7.465710327586205,0.0980458759590793,0.9213276049767385,-0.18322862730899855,-0.28528178854215197,-0.15919428200129962,0.9350304158354045,0.2492969859635601,0.07306295380355138,0.3526038055482089,3.398830409356725,5.920012987012985,0.0980494477604131,-0.13896488285462485,1.3258336404147184,-0.740417978919963,7.470066727272729,-0.740417978919963,6.260684782608696,0.9010942847189491,5.121511264262873,-52.10541076055481,6.020547368421051,0.0,-0.4917803918091011,0.04180303976548501,0.3778295140026799,0.38697259634537623,37.255572541998674,0.02609315475568381,19.063157894736843,-0.04653476650435081,1.6826226646587379
