Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3Z,base_GATS2pe,base_GATS1se,base_GATS3m,solvent_NsCH3,solvent_SdssC,solvent_GATS4se,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3952968,CP(C)c1[c-]cccc1,42.7473,119.0300,0.0666,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"42.7473, 3.3717",0.06442562223749324,0.15285281509040824,0.1243972321309733,0.05199823768686698,1,0.0,1.3691437802907915,0.0,42.7473,3.3717,0.0,0.3796296296296296,0.15896551211921311,5.104,116.79248162363298,5.304539896238907,0.048868312757201826,6.8781312,0.16015625000000003,1.4899382881674272,0.159205618408786,-0.14596848934198337,-0.06712124440656299,1.5,0.05892556509887896,-0.22410841288643246,0.45196597157381474,0.23076923076923078,5.380064516129034,0.1603315590255144,0.8831219429256696,1.434942032368503,0.048868312757201826,7.033617548387099,0.048868312757201826,5.8878157894736844,1.3401428334163763,1.647782281763941,-14.235012482473238,5.440884615384617,13.329651208465071,-0.4677809451361339,0.08765239445983386,0.5693980875935153,0.1752299814706382,12.13273413692322,0.021742567748087128,7.3076923076923075,0.04714291121261674,3.1178369130984325
Result3952973,O=C([O-])CC(O)(CO)OP(c1ccccc1)c1ccccc1,40.6526,119.4071,0.1351,O=C([O-])C.[Cs+],CC1=CC=C(C)C=C1,"40.6526, 5.8311",0.07445192098979814,0.15437109729761034,0.1265444360281399,0.056742661225519415,2,0.0,1.0624999999999998,0.0,40.6526,5.8311,0.0,5.568627450980392,0.0602787795473656,6.218979591836736,220.26437707889994,15.71560718731852,-1.4763991769547318,7.745490040816327,0.0945237652817466,0.8655081712943967,-0.3127753017561641,-0.24151907167841877,-0.1451790541668057,0.8619269566232097,0.11785113019775792,0.04504202119061406,0.001357215693585789,5.207496653279786,6.378253968253968,0.09371971601220437,-0.19442198326031349,0.8566627043594702,-1.4763991769547318,7.878095841269842,-1.4763991769547318,6.507079487179488,0.8372339399609408,5.575470298139764,-74.44553879826272,6.511498795180723,6.606881964512918,-0.6333330853336285,0.023432084111537653,0.3438459048506987,0.37213309462099114,60.6636706846161,0.024890439162619613,23.012048192771083,0.19370127786507554,3.413485954626209
Result3952954,CC(=O)P(c1ccc(N)cc1)c1ccc2ccccc2c1,39.2151,115.4622,0.1071,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"39.2151, 4.9821",0.476153268219384,0.1556534312908589,0.1428941881283608,0.5051641116163132,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,39.2151,4.9821,0.0,3.512919896640827,0.17416306285372846,5.690809523809524,192.58699054543112,16.34274726964,-0.9899149659863948,7.304712547619048,0.08806400466828672,0.8324492116145068,-0.00161515520838163,0.0070679819014698095,0.004223235350914758,0.7341519831921637,0.38480574089441705,-0.04275517772384766,0.1345393401296868,3.2528735632183907,5.851904761904762,0.08966256135370729,-0.10271126231733894,1.0568199175194743,-0.9899149659863948,7.361553650793652,-0.9899149659863948,6.2112435897435905,0.8214537218305324,5.910806470756153,-22.598282967652338,5.93786896551724,5.733667477162185,-0.3842231827695455,0.06827609768175716,0.354000513283682,0.36448619303461555,36.39820241076966,0.02496888175391685,17.344827586206897,0.046956136291342425,5.731790989944425
Result3952956,O=C(P(c1ccccc1)c1ccccc1)P(c1ccccc1)C(c1ccccc1)c1ccccc1,38.6584,103.3537,0.0674,O=C([O-])C.[K+],CCCC#N,"38.6584, 6.8616",0.6819085487077534,0.1574807960088896,0.1453627869996672,0.6971767885426821,1,0.0,1.3691437802907915,0.0,38.6584,6.8616,0.0,4.329678362573099,0.12787887882581297,5.878086956521736,255.6063330146966,15.913619688716722,-1.2296653229192913,7.41612188405797,0.11840224750300109,0.7527008105995234,-0.12013951670671702,-0.12674796439589328,-0.06376570528059991,0.6065060728593408,0.2946278254943948,0.0006580952316026014,-0.0036210322685158707,5.023668639053255,5.777577142857142,0.1187645468160235,-0.08902238749154341,0.947189815319902,-2.4280107289829513,7.292869190476185,-1.19834540606366,6.095676923076923,0.749222263620364,10.097994743423037,39.43589105543774,6.0478461538461525,0.0,-0.3758738043719087,0.054312555991977714,0.3708613092955776,0.3708165941993853,54.59730361615449,0.014791820625090685,25.390532544378697,-0.11419075370701857,4.001203176489501
Result3952958,c1ccc(CP(c2ccccc2)c2cn[nH]n2)cc1,38.3789,95.4767,0.1043,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"38.3789, 2.4903",0.476153268219384,0.1556534312908589,0.1428941881283608,0.5051641116163132,2,0.0,1.0624999999999998,0.0,38.3789,2.4903,5.435016399390373,3.513888888888889,0.161932865021719,6.005328767123288,197.4102188110949,10.739556295629281,-0.4949845679012346,7.512203013698628,0.11881469506948612,0.6657415597302948,-0.09522892254603364,-0.11081628186891344,-0.05026927754200481,0.5901246595507136,0.23813243627893,-0.11696681390621572,0.11771334706541865,4.238738738738738,5.9636625,0.1184719441415553,-0.045287710845915846,0.794607288434629,-0.4949845679012346,7.45409425,-0.4949845679012346,6.325534285714286,0.6798462911978455,5.3366950455609645,26.05569726445147,6.001709459459459,0.0,-0.3283693341580335,0.06447674622932723,0.3658542427514996,0.3680649816881507,18.3295777085363,0.012608451157659196,17.986486486486488,-0.14855589269043734,3.778648475899537
Result3952955,CC(C)C([NH3+])NP(C)C,38.1258,113.8113,0.1479,O=C([O-])C(C)(C)C.[Cs+],CCCCOC(C)=O,"38.1258, 5.4870",0.06442562223749324,0.15285281509040824,0.1243972321309733,0.05199823768686698,2,-0.18199074074074065,1.0555555555555556,0.0,38.1258,5.487,6.165775612134527,0.12148148148148148,0.12939623276902062,5.170000000000001,92.86469155236932,10.820962540239337,0.015174897119341946,6.918047999999999,0.16422369042000934,1.9281850352754732,-0.2722285837431784,-0.08807947019867557,-0.03648834019204391,1.9176551706687583,0.0,-0.22840427743037675,0.299078332467918,0.06666666666666667,5.523060416666667,0.16087606390055453,0.24256182963239253,1.0031593539054966,0.015174897119341946,7.18680104166667,0.015174897119341946,6.081926923076924,1.8517543418417275,0.06764040460152909,-1.0500431844739109,5.313100000000002,13.329651208465071,-0.22983275846396858,0.05560147332114199,0.7135201552183386,0.7219490489551881,0.0,0.0419591446848786,6.5,0.4823290644075944,-0.03348809483963486
Result3952961,S=C(NCc1ccccc1)NC(=S)P(c1ccccc1)c1ccccc1,34.3821,93.3135,0.0805,O=C([O-])C(C)(C)C.[Cs+],CCCCOC(C)=O,"34.3821, 2.4056",0.06442562223749324,0.15285281509040824,0.1243972321309733,0.05199823768686698,2,-0.18199074074074065,1.0555555555555556,0.0,34.3821,2.4056,4.729590506280103,3.1602418745275886,0.08913208353493014,5.8340000000000005,223.4578041962102,21.242657000490475,-0.8167102101471595,7.478634222222221,0.03636742569779497,1.1669602978990166,-0.10430663481860335,-0.10653409090909097,-0.05208333333333334,1.1100093783915708,0.19001991384646116,-0.08871716471399338,0.0017976084579971517,3.5810185185185186,5.921612,0.040266609175890075,0.011778744590141593,1.0273942227505448,-0.8167102101471595,7.445662279999999,-0.8167102101471595,6.2385744680851065,1.056193488316047,7.1457442134167355,11.402615454961134,6.011802083333332,0.0,-0.3144790019194432,0.04180311959654305,0.3723701299963152,0.3535464432654589,54.59730361615449,0.01673192766750816,24.760416666666668,0.17667291144036096,3.2304910538885916
Result3952959,CP(c1ccccc1)c1ccccc1O,34.1521,115.9235,0.0579,O=C([O-])C(C)(C)C.[Cs+],CCCCOC(C)=O,"34.1521, 4.2327",0.06442562223749324,0.15285281509040824,0.1243972321309733,0.05199823768686698,2,-0.18199074074074065,1.0555555555555556,0.0,34.1521,4.2327,5.749511833283905,2.4222222222222225,0.1807986602232365,5.589642857142857,159.5340942216747,10.609079792477814,-0.4416152263374482,7.237946714285715,0.10193432008890467,1.0306264690761122,0.024732949899673073,-0.031089483644228137,-0.016298185941043066,0.9932392947455725,0.19037142086468112,-0.10690845269619474,0.15362898544211112,2.1904761904761907,5.749260869565218,0.10385230909597726,0.06410592380199956,1.1265004887585537,-0.4416152263374482,7.298854521739133,-0.4416152263374482,6.153224137931036,1.0065956766662505,3.940841599985495,-9.422839506172833,5.8084444444444445,6.664825604232536,-0.31407430776480944,0.08122195245757752,0.4153076401538945,0.3647829218570828,36.39820241076966,0.019901324142559455,12.34920634920635,-0.002899643593326909,5.1890178633439294
Result3952970,CC(=O)P(c1ccccc1)c1ccccc1,34.1364,111.0005,0.0819,O=C([O-])C.[Cs+],CCCCOC(C)=O,"34.1364, 3.9006",0.07445192098979814,0.15437109729761034,0.1265444360281399,0.056742661225519415,2,-0.18199074074074065,1.0555555555555556,0.0,34.1364,3.9006,0.0,3.7816091954022983,0.13528943562433007,5.680000000000002,199.73462825672135,10.609079792477814,-0.8487654320987659,7.310114352941177,0.11553376420771105,0.648689175123601,-0.12666645575826846,-0.22985746436609153,-0.11752521959265086,0.5360122943390224,0.11785113019775792,-0.018962364320398526,0.07489242968001335,3.2903225806451615,5.760000000000001,0.11596558096869417,0.0800679465619875,1.0685255820071025,-0.8487654320987659,7.306735666666671,-0.8487654320987659,6.099600000000003,0.6613642424092911,4.482071843619893,-40.641681713421704,6.095419354838708,0.0,-0.3841752101811539,0.059502020922532095,0.38458544294280356,0.34699736024744676,60.6636706846161,0.018657491383649433,16.548387096774192,-0.031690097329139036,3.2833797438514076
Result3953114,C=C([NH3+])P(C=C(C)P(C)C)CP(C)O,31.3989,90.7368,0.0833,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"31.3989, 3.9067",0.06442562223749324,0.15285281509040824,0.1243972321309733,0.05199823768686698,1,0.0,1.3691437802907915,0.0,31.3989,3.9067,5.438127717597745,0.7427536231884058,0.20001554730368604,5.7070649350649365,132.02124470001442,5.733667477162185,-0.831568615100361,7.377936363636366,0.19307046196920202,1.7160534873814248,-0.4057011682545663,-0.25165888424674354,-0.12860282574568288,1.5200260284847698,0.0,-0.21553784716547011,-0.0338733931349923,0.6541853208519874,5.2776344827586215,0.1953046511869604,-0.012405439440437878,0.7810698214712988,-1.2450785252372547,7.020711913793104,-0.009960527420844523,5.955032352941177,1.6663178638836458,-0.013590705636431721,4.927689594356259,5.428876923076924,25.89747524470744,-0.298136716746857,0.147673360597109,0.7908273028100071,0.7472082779192841,6.664825604232536,0.040935846394542556,15.076923076923077,0.48585970680467205,6.75042022654724
