Folder Name,Smiles,Fitness,ATSC5v,AATSC5Z,MATS8se,Reagent1_(ul),Reagent2_(ul),Reagent3_(ul),Reagent4_(ul),lab_code,crystal_size,crystal_size_Std
Result3947368,Cc1cnc2ccccc2c1,1.5187,-404.36256491164943,-2.11,0.6197611924492336,165.4545,107.2295,109.3182,147.2438,0.5144003629684448,1.5187,0.0462
Result3947357,Cc1cc(O)ccc1Sc1cc[n+]([O-])cn1,1.4879,-88.61121557547102,1.498520710059172,-0.26905672326880087,141.2718,73.3748,110.9483,141.6779,0.45326942205429077,1.4879,0.0378
Result3947362,Cc1ccc2c(-c3ccccc3)n[nH]c2n1,1.4261,-186.89026137585148,-1.22776756267694,-0.010822706670276653,123.9408,123.1815,108.7898,167.5555,0.646519660949707,1.4261,0.0671
Result3947364,Cc1cc2cccc(-c3ccccc3)c2c2c1Cc1ccccc1-2,1.4185,-27.566622053782424,-0.02638986629134415,0.0392720306513421,94.1006,98.2982,120.3314,141.4105,0.6366089582443237,1.4185,0.0729
Result3947363,CC=C1CCCC(N)Cc2ccccc21,1.3579,-1121.0966795694412,-1.1730103806228374,-0.17663127728571626,87.5846,72.8154,109.6530,53.7791,0.2554607391357422,1.3579,0.0344
Result3947369,CC(c1nnc(-c2cccs2)o1)[NH+]1CCC1,1.3384,315.60511886846575,-0.45785440613026784,-0.039410485711556274,88.9452,152.3543,116.0413,124.8292,0.7600829005241394,1.3384,0.0518
Result3947399,CC(C)c1c(N(C)C(C)C(C)N)c([N+](C)=O)nn1C,1.3009,-803.3420055212969,-1.5298021308980212,-0.026361143004358014,160.4415,157.3561,111.7731,129.9510,0.9568991661071777,1.3009,0.0432
Result3947358,Cc1cncc(-c2cnccn2)c1C,1.2613,337.54874381184106,0.6893629629629628,0.2811259092666111,88.7032,106.2635,114.7260,79.7960,0.7405672073364258,1.2613,0.0419
Result3947366,CCc1cc(C)nc(-n2cncn2)n1,1.2586,-333.3859192963985,-2.4285714285714284,0.08586874194073414,80.1084,102.6878,121.0281,58.8990,0.9209496378898621,1.2586,0.041
Result3947360,c1cncc(-c2cccnc2)c1,1.1875,62.803017999298795,0.009999999999999707,0.2821371183717165,80.6365,93.9505,119.1728,123.2625,0.4740394353866577,1.1875,0.0471
