Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS2pe,base_GATS1se,base_GATS3Z,solvent_SdssC,solvent_VSA_EState9,solvent_NsCH3,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3942224,CC(C)c1cc(C(C)C)c(P(c2ccccc2)c2ccccc2)cc1C(C)C,45.114,99.1314,0.1177,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"45.1135, 2.3182",0.5051641116163132,0.1556534312908589,0.1428941881283608,0.476153268219384,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,45.1135,2.3182,0.0,2.3586744639376223,0.11549417101110473,5.5319473684210525,199.82365246663224,15.913619688716722,-0.5718669690098261,7.129272508771929,0.11288162209597723,1.1984370435290679,-0.15757176312330598,-0.25773206033913665,-0.1487794855169216,1.202752976190476,0.24615119001767477,0.030688978444143065,0.3906527882887541,2.369194591416813,5.617297297297299,0.11138365262048364,-0.1371151174899922,1.224367431925031,-0.5718669690098261,7.178624324324324,-0.5718669690098261,5.9912857142857145,1.142642825439097,5.622741175187965,-39.70209123393754,5.721603174603175,0.0,-0.34535460591075356,0.04004605642825623,0.3939551980699058,0.34022454262095864,0.0,0.027694962744920337,15.777777777777779,-0.01363728558619181,3.0434817183924374
Result3942226,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccccc2)C2CCCCC2)c(C(C)C)c1,44.81,105.6734,0.1277,O=C([O-])C.[Cs+],CCCC#N,"44.8103, 1.8438",0.056742661225519415,0.15437109729761034,0.1265444360281399,0.07445192098979814,0.0,0.0,1,1.3691437802907915,44.8103,1.8438,0.0,2.2852332852332853,0.1133014803474638,5.604764705882352,203.0078953824419,10.609079792477814,-0.3968870494013794,7.173395601307192,0.11079311233253165,1.2063589730668676,-0.2530769877381224,-0.3360600961538462,-0.1886334963737561,1.2098445811170218,0.34237623488261243,0.050551791036175166,0.4227070872709693,2.234666666666667,5.610557823129252,0.10938725607732849,-0.18790988011450463,1.2693681140737507,-0.3968870494013794,7.174804761904761,-0.3968870494013794,5.988356250000001,1.161533875961071,5.529373174255575,-129.49177614112682,5.74861,0.0,-0.35034595873382773,0.03692864781189367,0.402853931504949,0.34639772469870955,0.0,0.02583222674304045,15.928,-0.018928116876364247,3.403021753711002
Result3942232,CC(C)c1cccc(P(c2ccccc2)c2cccc(C(C)C)c2C(C)C)c1,43.754,98.4257,0.1160,O=C([O-])C(C)(C)C.[K+],CCCC#N,"43.7542, 0.7778",0.5051641116163132,0.1556534312908589,0.1428941881283608,0.476153268219384,0.0,0.0,1,1.3691437802907915,43.7542,0.7778,0.0,2.2949967511371017,0.11549417101110473,5.48384,197.64501336241315,15.913619688716722,-0.5811831275720161,7.100049991111109,0.11288162209597723,1.1984370435290679,-0.13455746109569333,-0.17644320297951588,-0.10185434023112067,1.202752976190476,0.27300174016157447,0.030688978444143086,0.3906527882887542,2.3768371546149325,5.6172972972973,0.11138365262048364,-0.0009607220306648032,1.2424060777169994,-0.5811831275720161,7.178624324324327,-0.5811831275720161,5.9912857142857145,1.142642825439097,5.622741175187968,-9.356614609772386,5.70299470899471,0.0,-0.34004299319472403,0.04004605642825623,0.3939551980699058,0.34013957832800856,0.0,0.027694962744920337,15.867724867724867,-0.01405804907903732,3.043481718392439
Result3942228,CN(C)c1cccc2c(N(C)c3ccccc3CC(C)(C)P(C)C)cccc12,42.623,104.6067,0.0874,O=C([O-])C.[K+],CC(N(C)C)=O,"42.6234, 2.6745",0.6971767885426821,0.1574807960088896,0.1453627869996672,0.6819085487077534,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,42.6234,2.6745,0.0,2.101994301994302,0.06708304479384296,5.58620942408377,153.56982782072748,9.799819461700956,-0.017295948878139455,7.191806858638741,0.1273469731413656,1.0796764525239275,-0.09723493524531854,-0.04705543636019437,-0.03024902009502416,1.1142017212812965,0.36039797265996265,-0.24258116275539324,0.5339623136119585,1.6892033542976939,5.763135135135136,0.12493020154890737,0.04005610517467079,1.0609591120598683,-0.017295948878139455,7.317288774774773,-0.017295948878139455,6.110285714285716,1.0379692627294035,5.572323255088618,-24.180414132667106,5.611140094339622,44.2724866181976,-0.44544523672431446,0.022671087307820248,0.4046351356029418,0.37686618224833407,0.0,0.034005797309160944,12.122641509433961,-0.11970072850918324,0.5490598604499776
Result3942237,Cc1ccc(C)c(P(c2ccccc2)c2ccccc2N(C)C)c1CO,39.744,111.9916,0.0852,O=C([O-])C.[K+],CC(N(C)C)=O,"39.7439, 2.0127",0.6971767885426821,0.1574807960088896,0.1453627869996672,0.6819085487077534,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,39.7439,2.0127,0.0,3.269384492406075,0.11926266912944979,5.786010752688172,203.46995772341893,20.8135294195672,-0.7645524691358021,7.341011913978495,0.10328629927775647,1.0214373657078282,-0.15110193585579193,-0.21723563567303353,-0.12822044176559227,1.0169826923247602,0.3376204460958262,-0.031595686259909016,0.2650194467280529,3.3354037267080745,5.844439560439561,0.10303095222994363,-0.1412280693042302,0.9938856191550184,-0.7645524691358021,7.3827472527472535,-0.7645524691358021,6.169481481481482,0.9931310363933763,6.739950040702913,14.844857184600773,5.883711180124223,18.99525369620486,-0.4447181157906024,0.04248015562247867,0.3642497785480486,0.35173760519632213,0.0,0.02428080786593604,16.763975155279503,-0.1453058292049415,2.640742839737113
Result3942223,CC(C)c1ccc(P(c2ccccc2)c2ccccc2)c(-c2ccc(C(C)C)cc2C(C)C)c1,35.575,102.4637,0.0815,O=C([O-])C.[Cs+],CCCC#N,"35.5748, 3.2805",0.056742661225519415,0.15437109729761034,0.1265444360281399,0.07445192098979814,0.0,0.0,1,1.3691437802907915,35.5748,3.2805,0.0,2.7610273590173087,0.10850825256893613,5.602788135593222,202.91594134629648,15.913619688716722,-0.6738314938458236,7.170727415254236,0.1061891557812448,1.1224307877670157,-0.09234879636706526,-0.10296543225480287,-0.06013295627021215,1.1262340339572992,0.35355339059327373,0.021283074574018283,0.38391096290981147,2.8821705426356594,5.659069767441862,0.10487549052337475,-0.15133321796689939,1.0834209275914224,-0.6738314938458236,7.202895472868217,-0.6738314938458236,6.019033783783785,1.0741589330355887,7.495663794337908,-20.327455604781555,5.733346511627908,0.0,-0.3451495126778493,0.03617298123204548,0.37540603100386744,0.3525217436916319,0.0,0.026327425343205434,16.106976744186046,-0.023289208166560577,3.2521992053588953
Result3942238,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,35.14,99.9550,0.1092,O=C([O-])C.[K+],CC(N(C)C)=O,"35.1400, 0.9835",0.6971767885426821,0.1574807960088896,0.1453627869996672,0.6819085487077534,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,35.14,0.9835,0.0,0.7212475633528265,0.1604411701162514,5.35942857142857,142.7534304683886,0.0,0.3848456790123461,7.029104,0.1582952815829528,1.5139684722540552,-0.14308807159910514,-0.17547043652688896,-0.07027902468883902,1.5186049526772982,0.17677669529663687,-0.02170773126268103,0.005252015608518247,0.7586206896551724,5.50762162162162,0.1569594127514907,-0.05278359096964088,1.1674628839575534,0.3848456790123461,7.116083675675675,0.3848456790123461,5.906083333333333,1.4488873443043222,-0.4142135623730958,-11.749726057418371,5.497603448275862,0.0,-0.25977629464886576,0.05676701024819956,0.5130133214527443,0.2469374324919789,0.0,0.011722306294206161,9.931034482758621,-0.017483203233440284,4.653052482560114
Result3942233,C1=COC(P(CP(C2CCCCC2)C2CCCCC2)c2ccccc2P(C2CCCCC2)C2CCCCO2)CC1,35.071,108.6105,0.0753,O=C([O-])C.[K+],CC(N(C)C)=O,"35.0706, 2.9000",0.6971767885426821,0.1574807960088896,0.1453627869996672,0.6819085487077534,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,35.0706,2.9,5.845054792290216,1.4765027322404372,0.1583103303776423,5.583296482412064,179.8292644109996,10.609079792477814,-0.3422390715545476,7.213659407035177,0.17297490888406675,1.026361313768183,-0.06842586821434796,-0.0346339486385911,-0.015925860038798124,0.9385394303597666,0.39085287035933247,0.048270324724344026,0.1335341460503517,1.7980896288745423,5.649652791878175,0.1727900468021256,-0.0628222405590132,1.044578618334739,-0.5796967236826132,7.256795010152284,0.05526249731717181,6.019784999999993,1.0227209528439472,2.445614674109027,58.012924318593754,5.660343425076452,12.509880396522751,-0.5239935095646634,0.06827550269444992,0.4876153524730535,0.3505743202376266,0.0,0.013701770730308694,17.103975535168196,-0.12045410346430672,4.761542516969353
Result3942225,[c-]1ccc(C2CCCCC2)cc1P(C1CCCCC1)C1CCCCC1,33.123,106.8829,0.1107,O=C([O-])C.[K+],CCCC#N,"33.1226, 0.3184",0.6971767885426821,0.1574807960088896,0.1453627869996672,0.6819085487077534,0.0,0.0,1,1.3691437802907915,33.1226,0.3184,0.0,1.3466435185185184,0.1426594533374138,5.4599393939393925,163.7817096892907,5.304539896238907,0.015106266271941005,7.087552222222222,0.14066636029411766,1.3145033208200991,-0.13953635408850915,-0.0675513058184538,-0.030172069408833706,1.3186438106796117,0.2730017401615745,0.01778836005983129,0.22754769285661317,1.503903903903904,5.573338582677161,0.1394667503628186,-0.11735187348049397,1.1260237688130188,0.015106266271941005,7.154291275590549,0.015106266271941005,5.957437500000001,1.2593910044605983,1.7138040489309407,-27.294713687081344,5.568902702702703,0.0,-0.4723307179803502,0.04899151935892959,0.4514051083473502,0.24342290543708828,0.0,0.013695892976045294,12.335135135135134,0.10560521784289291,4.680919098131296
Result3942236,CC(C)c1cc(C(C)(C)C)cc(C(C)C)c1Oc1ccccc1P(c1ccccc1)C1CC(C)C(C)S1,33.049,102.4434,0.1072,O=C([O-])C.[K+],CCCC#N,"33.0486, 1.5771",0.6971767885426821,0.1574807960088896,0.1453627869996672,0.6819085487077534,0.0,0.0,1,1.3691437802907915,33.0486,1.5771,11.49902366656781,2.270092226613966,0.10148419625239306,5.772139705882354,192.36580507572907,15.345942746277863,-0.5589470362905105,7.330098977941175,0.11204182116588658,0.9926519219394249,-0.2167625404192539,-0.23889379526592314,-0.15280818165358945,0.9148467882272032,0.5686613562698895,-0.1268724808056189,0.45923481697824775,2.373298199385156,5.6765445161290335,0.11187963191522249,-0.21774239868594,1.1716469963059926,-0.5589470362905105,7.2641153741935485,-0.5589470362905105,6.0527999999999995,0.9851523758137278,5.623996894666389,-88.11417366206184,5.842034387351779,0.0,-0.4938030732561114,0.03593308345511718,0.4068178879314649,0.37940393222535357,0.0,0.03486380394990388,16.802371541501977,-0.014071151641844191,2.928626306402209
