Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS1se,base_GATS3Z,base_GATS2pe,solvent_NsCH3,solvent_SdssC,solvent_VSA_EState9,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3949100,CC(C)c1ccccc1C(C)(C)P(c1ccccc1)c1ccccc1NN(C)C,73.282,114.2324,0.0974,O=C([O-])C.[K+],CCCC#N,"73.2819, 0.1891",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,1,0.0,0.0,1.3691437802907915,73.2819,0.1891,0.0,2.3503339404978747,0.10633433107155774,5.554499999999998,199.10628357598577,16.0348711895882,-0.6519598765432097,7.169684315789473,0.11611418047882133,1.0107278817293273,-0.17514100850008266,-0.19978834031196807,-0.12063182566703375,0.9727863027558292,0.25574284172936224,-0.021486371851680286,0.3615326276372964,2.4072276159654797,5.76417117117117,0.114112521640745,0.09591770114463057,1.2358672355821223,-0.6519598765432097,7.309173819819818,-0.6519598765432097,6.1174859375000015,1.0027504461387504,6.382622878026038,-73.132963348364,5.830910194174755,19.521135362464765,-0.34343808024307115,0.03582935848221715,0.3754598381411607,0.34764310954745353,19.104256489308913,0.029407214691289506,16.466019417475728,-0.1084273306538671,2.0536907538609057
Result3949102,CC(C)C(Nc1ccccc1P(C(C)C)C(C)C)c1cnccc1C1C(C)C=NN1c1ccccc1,71.949,118.7130,0.1311,O=C([O-])C.[Cs+],CC1=CC=C(C)C=C1,"71.9495, 1.1590",0.056742661225519415,0.1265444360281399,0.07445192098979814,0.15437109729761034,2,0.0,0.0,1.0624999999999998,71.9495,1.159,0.0,2.663780663780664,0.0813189192674241,5.6530401253918505,182.64866080455823,15.63024102419977,-0.2806861656741866,7.256584501567398,0.1135898860223017,0.910540679363247,-0.037596718700855035,-0.10160208874057598,-0.059497799309711545,0.8899013852778681,0.5553009687139918,-0.15391361071690393,0.42740530826388134,2.3980417198808004,5.815202797202797,0.11154252789359874,-0.011445577170164088,1.2498868968830352,-0.2806861656741866,7.347713286713287,-0.2806861656741866,6.167713750000001,0.9111223060694581,6.983127922405103,-89.86725427850972,5.898489272030651,10.325701127960862,-0.38917113602628567,0.02544117858353745,0.3777592525850999,0.3654464504836713,6.196843571613076,0.026878114076122693,14.800766283524904,-0.0920356556039732,1.491001184934752
Result3949101,CC(CO)P(C1CNCC(C)C1(N)C1COCC2(CCCNC2)N1)C(C)(C)P(c1ccccc1)c1ccccc1,69.764,107.7979,0.1499,O=C([O-])C(C)(C)C.[K+],CCCC#N,"69.7642, 1.1235",0.5051641116163132,0.1428941881283608,0.476153268219384,0.1556534312908589,1,0.0,0.0,1.3691437802907915,69.7642,1.1235,0.0,1.863905325443787,0.1707266786567881,5.701581987577641,164.81411644191147,32.29311308165899,-0.7582332754775425,7.3313196397515545,0.12071270484289197,1.122753167155164,-0.0194705161801434,-0.10487588652482274,-0.06572222222222227,1.1023073204149447,0.5668901065798103,-0.056931358593817386,0.13790918430434335,1.6505555555555553,5.875986363636364,0.12149318194737768,-0.16064636212165817,1.1548321657298646,-1.4738006276841296,7.432949142045451,-0.7155673522065871,6.212819148936164,1.096878976991705,5.587898112683131,-58.235329980185924,5.788196250000003,45.99967151718905,-0.41289987171048453,0.062120838754780604,0.4068946195249267,0.34109744628234956,0.0,0.027931226498800938,15.0,-0.2887751074142766,4.74922221737083
Result3949097,CC(c1ccccc1)P(c1ccccc1)c1ccc(Nc2ccccc2)cc1,69.185,118.3456,0.0630,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"69.1853, 0.4977",0.5051641116163132,0.1428941881283608,0.476153268219384,0.1556534312908589,2,0.0,0.0,1.0624999999999998,69.1853,0.4977,0.0,2.829861111111111,0.12089769461316313,5.560538461538462,199.56512990517191,15.925868396484145,-0.4878007451265829,7.15092337179487,0.10675320228478936,1.0954738324496136,-0.07888766208577463,-0.07471154863977982,-0.0370242141927903,1.1537020426158262,0.2970580013778089,-0.036897210105396296,0.1324037630461984,2.8928289992119782,5.798911111111112,0.10622024272858195,-0.04401471182720716,1.0981091686314604,-0.4878007451265829,7.302708266666666,-0.4878007451265829,6.12800909090909,1.0210009322188782,7.889287294898066,-9.67256556359121,5.749160283687943,5.316788604006331,-0.32383347565702186,0.042831808298406895,0.35598970555292236,0.3487734457924755,18.19910120538483,0.016019659795849284,15.794326241134751,0.02077020312644749,3.7052629499179126
Result3949090,CP(C)C([S-])P(C1=C(P(c2ccccc2)c2ccccc2)CC(CP(c2ccccc2)c2ccccc2)=C1)c1ccccc1,66.12,119.4462,0.0621,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"66.1201, 2.5313",0.05199823768686698,0.1243972321309733,0.06442562223749324,0.15285281509040824,3,0.09259259259259278,3.4490740740740735,1.4760842589662049,66.1201,2.5313,0.0,2.916286149162861,0.12788574139303174,5.57964,247.7870160645704,26.522699481194536,-0.7064470537872216,7.174266533333332,0.11728391390994902,1.2852164685589256,-0.14386499095475047,-0.15841392649903294,-0.0860520094562648,1.1570507451792216,0.5728540304670487,-0.039605616131375844,0.09494201188893278,3.3802469135802466,5.598641666666667,0.12070293762196364,-0.023584990446027045,0.9511512365237907,-2.2374155227481136,7.1784776458333335,-0.2994189952619477,5.991313953488372,1.1300495556657502,9.398329354613223,-26.4131992074379,5.814836170212766,19.49156123593299,-0.7975662505974579,0.07010714684944405,0.44842822625663237,0.35340078230508354,0.0,0.01892856304656997,25.54468085106383,-0.0004106534748287596,4.914184136364061
Result3949093,c1ccc(CP(c2ccccc2)C2CCCCC2)cc1,54.057,106.4151,0.1267,O=C([O-])C.[K+],CCCC#N,"54.0566, 0.5259",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,1,0.0,0.0,1.3691437802907915,54.0566,0.5259,0.0,1.4710351377018045,0.13837030611119425,5.523540983606558,170.94763698130754,5.304539896238907,-0.05021604938271573,7.1247109508196695,0.13684761829942113,1.2239691480745163,-0.11053071397582657,-0.09139130434782614,-0.03954193806287772,1.2296258153106767,0.19001991384646116,-0.03633137448227365,0.1295808815269891,1.9014492753623191,5.606617283950619,0.13583410336296667,-0.1097906404493628,0.8983466633167229,-0.05021604938271573,7.172914197530861,-0.05021604938271573,5.985133333333335,1.1489816157474542,3.722838901979433,14.279537153883648,5.57838695652174,0.0,-0.3165165921242269,0.05348858074983764,0.4266144335049479,0.3189709869460871,0.0,0.011978028599776236,13.034782608695652,-0.03616426460871021,4.156879662647656
Result3949104,Fc1cccc(P(c2ccccc2)c2ccccc2Sc2ccccc2)c1,53.192,118.9232,0.1275,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"53.1917, 0.7368",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,2,0.0,0.0,1.0624999999999998,53.1917,0.7368,5.817220841045895,4.202546296296297,0.10871751431801213,5.82528125,263.5581751787923,15.913619688716722,-0.8400125451415137,7.375175531249999,0.08578755790866967,0.5509737567513057,-0.18264950342752068,-0.2118163054695563,-0.10732026143790852,0.5040179097657961,0.36957829204473214,0.04851890667969115,0.011204997651967573,5.042483660130718,5.905263157894737,0.08715043958455337,-0.11759766897720747,0.9722351198266305,-0.8400125451415137,7.411237210526312,-0.8400125451415137,6.189593750000001,0.5627436382130552,7.9277758741237205,-7.484974851394628,6.067549019607843,0.0,-0.32156153566990037,0.04598440391935418,0.3632090988975826,0.369236535545195,18.19910120538483,0.016612980529028886,24.666666666666668,-0.027916375435307044,3.6858869094441418
Result3949091,CP(C)C(Pc1[c-]cccc1)C1CCCCC1,48.946,117.1354,0.1028,O=C([O-])C.[K+],CCCC#N,"48.9464, 2.7195",0.6971767885426821,0.1453627869996672,0.6819085487077534,0.1574807960088896,1,0.0,0.0,1.3691437802907915,48.9464,2.7195,0.0,0.7608286252354048,0.09085911925555303,5.35180357142857,153.36339450285644,5.304539896238907,0.18191630973377038,7.0229041249999975,0.09367841722859453,1.4951636269400332,-0.12439383263393618,-0.11245041982176891,-0.0505324074074074,1.5031063046479525,0.1310943487475822,-0.05275918874898595,0.313289147545824,0.9660493827160493,5.445257894736844,0.09490050737042789,-0.09098691036445743,0.8099510801777527,0.18191630973377038,7.075432960526314,0.18191630973377038,5.870560975609757,1.3779720772870225,1.2613447636154858,-0.7777777777777768,5.433800925925925,13.329651208465071,-0.46701108222414545,0.049198610640931485,0.5552341323543711,0.2384082118451534,0.0,0.01855038909082355,13.092592592592593,0.07589242821015092,3.4944244910568765
Result3949103,CCP(c1ccccc1)c1cccc2ccc(C(=Nc3c(C(C)C)cccc3C(C)C)c3ccc[n-]3)nc12,36.824,102.9183,0.0931,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"36.8242, 0.1220",0.5051641116163132,0.1428941881283608,0.476153268219384,0.1556534312908589,3,0.09259259259259278,3.4490740740740735,1.4760842589662049,36.8242,0.122,0.0,3.9259259259259256,0.07974783209292258,5.767684615384617,206.35927636779297,15.593058313425022,-0.5187615337063185,7.307218085470084,0.10648256389312603,0.842731525461276,-0.06901008130088679,-0.09831773992015362,-0.057931638834543525,0.8307540813916439,0.5548322926896987,-0.014950104952099183,0.43721376436766507,3.7219564061669326,5.82714393939394,0.10512153355750256,-0.09986141919253609,1.1686737422883604,-0.5187615337063185,7.336479257575758,-0.5187615337063185,6.158415584415585,0.8319790515680533,9.048503931229895,-74.33190161450621,6.003466507177032,6.161910027467921,-0.7392148522385891,0.025554441128571363,0.3567423496745813,0.3829148410234123,18.3295777085363,0.022911789845704366,17.167464114832537,-0.07601650782557944,2.1120689474020926
Result3949098,CCP(CC)c1ccc(C)cc1[O-],30.319,95.1266,0.1495,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"30.3194, 2.5103",0.5051641116163132,0.1428941881283608,0.476153268219384,0.1556534312908589,2,0.0,0.0,1.0624999999999998,30.3194,2.5103,0.0,1.5572649572649573,0.1557700590395409,5.466357142857144,124.20643989315457,10.411067291079613,-0.19705761316872406,7.203982571428569,0.13349097162510767,0.7242040659762176,-0.04957259066718393,-0.08093434343434343,-0.042343770643413915,0.5740101082789414,0.17536647355387364,-0.06869551323590901,0.3798783884144078,0.5910493827160495,5.54349019607843,0.13309527245612804,-0.13876974551943638,1.2786582021765838,-0.19705761316872406,7.173565411764708,-0.19705761316872406,5.993379310344832,0.759924927934965,2.020408397669633,-88.9751031253211,5.775520833333335,12.323820054935842,-0.8884230763693057,0.06972711419738419,0.4930320507647122,0.2958911299835842,19.056471336613846,0.024241773243915667,9.666666666666666,0.04080820485866573,2.2162100820556994
