Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS3Z,base_GATS2pe,base_GATS3m,solvent_NsCH3,solvent_SdssC,solvent_GATS4se,solvent_VSA_EState9,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3942059,CC(C)c1ccccc1P(c1ccccc1)c1c(C=NN)cccc1N(C)C,29.227,104.5043,0.0702,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"29.2268, 0.0369",0.1428941881283608,0.476153268219384,0.1556534312908589,0.5051641116163132,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,29.2268,0.0369,0.0,3.5,0.12574503293188669,5.795143069306933,217.2247702369969,26.65619968983344,-0.773281893004115,7.325439683168313,0.10613472333600632,0.9778109945078195,-0.16239077737394755,-0.2531205904699881,-0.1433489058273912,0.9611083426285779,0.281830552528124,0.007979517800580706,0.29929074899541075,3.7510040160642575,5.835628865979382,0.10500785078896459,-0.19874841787696054,0.9542077320288167,-0.773281893004115,7.362115298969071,-0.773281893004115,6.1947258620689665,0.9616365464899133,7.094924912908864,32.99370118417738,5.904814457831324,18.99525369620486,-0.4446211817750852,0.04301361613874041,0.3620331521043928,0.3599055962292574,0.0,0.022546464446940546,18.5,-0.19127312450660083,2.765162716874334
Result3942054,CCC(C)c1cc(C(C)C)ccc1-c1cc(C(C)C)ccc1P(c1ccccc1)c1ccccn1,29.159,109.5246,0.1024,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"29.1587, 0.0007",0.1243972321309733,0.06442562223749324,0.15285281509040824,0.05199823768686698,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,29.1587,0.0007,0.0,2.923371647509579,0.09815598473220975,5.660974999999999,197.86320168098746,16.04409619186819,-0.7892061159168744,7.218410824999997,0.1062965196669707,1.0019642202224766,-0.07928890395031629,-0.06701044386422977,-0.03852880465378121,0.9619047670429643,0.35355339059327373,0.05666865940808016,0.4020661905501216,3.002962962962963,5.694648120300752,0.10484209883739949,-0.1661484397527078,1.0362342673368152,-0.7892061159168744,7.23621136842105,-0.7892061159168744,6.052894736842106,0.9878973679555852,7.581425438659583,5.999302674163502,5.75794888888889,0.0,-0.37687623666590586,0.032173676728688747,0.37599539918875985,0.35818143520468215,12.263210640074686,0.024489361691662905,16.04888888888889,-0.03408115694298086,2.697452778923697
Result3942061,CC(C)c1cc(C(C)C)c(-c2ccc(P(c3ccccc3)C3CCCCC3)cc2)c(C(C)C)c1,29.122,104.9533,0.1098,O=C([O-])C.[Cs+],CC(N(C)C)=O,"29.1220, 0.0946",0.1265444360281399,0.07445192098979814,0.15437109729761034,0.056742661225519415,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,29.122,0.0946,0.0,2.069264069264069,0.11330148034746385,5.5586111111111105,188.9024956086291,10.609079792477814,-0.30433312005662483,7.147109097222219,0.11079311233253163,1.2063589730668676,-0.30668933351465105,-0.38226039712320214,-0.21456613284297799,1.2098445811170218,0.34237623488261243,0.02474410261298147,0.4170168793069127,1.8504968383017164,5.610557823129253,0.10938725607732834,-0.1078198028178943,1.273414281967917,-0.30433312005662483,7.174804761904761,-0.30433312005662483,5.988356250000001,1.1615338759610712,5.513453531449592,-160.16362553591983,5.719109756097561,0.0,-0.3495040512030707,0.036928647811893686,0.40269222706863256,0.34509613348996526,0.0,0.026327425343205434,14.012195121951219,-0.009542637170365294,3.4030217537110032
Result3942052,CC(C)c1ccc(C(C)C)c(C2=NC(c3ccccc3)CO2)c1CP(c1ccccc1)C1CCCCC1,29.089,106.0277,0.0907,O=C([O-])C.[Cs+],CCCC#N,"29.0891, 0.0046",0.1265444360281399,0.07445192098979814,0.15437109729761034,0.056742661225519415,1,0.0,1.3691437802907915,0.0,29.0891,0.0046,12.648722793660879,2.526214526214526,0.09104339310470447,5.721374100719422,181.30499062630017,5.304539896238907,-0.3188855651886757,7.315752028776976,0.11568982697708127,0.9066835293439202,-0.01043850412011413,-0.014819513585320175,-0.008135179225013124,0.879424886728076,0.5263616252901894,-0.021453587169759987,0.3778467447343952,2.4628171478565175,5.7712499999999975,0.11424695529306929,-0.06149014072362296,1.0680830215565789,-0.3188855651886757,7.316502513157893,-0.3188855651886757,6.1024879518072295,0.9066331092102228,6.67292236406959,-50.17364263799129,5.833414173228348,6.606881964512918,-0.5056954131996411,0.02912299546891156,0.38669465556006105,0.393454928344516,0.0,0.02214422754379759,15.700787401574804,-0.06783420600337822,2.8288672129043606
Result3942058,CC1COC(C(CP(c2ccccc2)c2ccccc2)(c2ccccn2)P(c2ccccc2)C2CCCCC2)=N1,29.085,107.5197,0.1175,O=C([O-])C.[K+],CC(N(C)C)=O,"29.0854, 0.1735",0.1453627869996672,0.6819085487077534,0.1574807960088896,0.6971767885426821,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,29.0854,0.1735,11.762960838451608,3.4032176973353443,0.11654053934360802,5.846957507082153,228.7444786581955,15.913619688716722,-0.743312127320064,7.403054923512748,0.1359006728848252,0.88328436972011,-0.05297966312046646,-0.1068217947883644,-0.05744919667119137,0.8635420721190884,0.45536691021302156,0.022192479101522812,0.20538018857491971,4.0401351922264475,5.831625850340134,0.135373222638331,-0.024484131352297156,1.1334575030779945,-1.4646069801377342,7.364889197278908,-0.7212948528176701,6.142427710843374,0.8617490289620565,8.642306908547194,79.39074358162672,5.979760456273765,12.768791991980839,-0.5090398953424184,0.045601528763230155,0.3897632592989099,0.38844563124955384,12.263210640074686,0.016905670212861913,22.0,-0.13794830451882856,3.2726034529352344
Result3942063,CC(C)c1cc(C(C)(C)C)cc(-c2ccccc2)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,28.807,106.4068,0.1282,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"28.8070, 0.4360",0.1428941881283608,0.476153268219384,0.1556534312908589,0.5051641116163132,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,28.807,0.436,0.0,2.1707891637220262,0.11463974333108205,5.604645714285715,196.85503683339152,5.304539896238907,-0.17969733460942683,7.1727371600000005,0.11237528138401663,1.197775279172366,-0.14891160404132336,-0.1878306625893893,-0.10725381473263844,1.2008783723481122,0.39700456280429,-0.006068607585837038,0.41495328047732655,2.3340969835815195,5.616748538011695,0.11111120263029922,-0.18549888331048758,1.0638206856188068,-0.17969733460942683,7.17839445614035,-0.17969733460942683,5.991659340659337,1.1580176729401515,5.4483243280758415,-49.71191947661758,5.709821305841925,0.0,-0.35001078265220464,0.03630539676466588,0.40331230896795844,0.3531718909924333,0.0,0.02636469483770196,15.367697594501719,-0.016848116586641402,3.8175013345484903
Result3942053,COc1c(P(c2cccc(C(F)(F)F)c2)c2cccc(P(=O)(c3ccccc3)C(N3[CH-]NC(C)=C3C)P(=O)([O-])[O-])c2)cccc1C(C)(C)C,28.66,91.8495,0.0902,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"28.6601, 0.1788",0.1428941881283608,0.476153268219384,0.1556534312908589,0.5051641116163132,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,28.6601,0.1788,5.749511833283905,5.374749592359655,0.011789729636571022,6.152661963190183,218.34767286703857,46.36317424450586,-1.8197247475807867,7.715360315950921,0.19269504564464568,0.6844221628009035,-0.1145585128857257,-0.07612157301157921,-0.06126983830961751,0.6558666964420449,0.6148980494082349,-0.03792200314158762,0.11754671017909701,5.0218390804597695,6.364604458598727,0.1851075865192031,-0.07501811371753832,0.8400271591767268,-1.8197247475807867,7.824229789808918,-1.8197247475807867,6.363387777777775,0.6549064204713705,11.006594378710332,50.289605993229564,6.299467586206898,7.109797541277533,-0.8421940548683522,0.00524196048141508,0.3763224925348121,0.5024326252099579,32.903945735995094,0.039999273706404305,24.23103448275862,0.915116444740558,2.4147337020622963
Result3942051,CC(O)P(c1ccccc1Oc1ccccn1)C(C)(C)C,28.424,90.2248,0.0618,O=C([O-])C.[K+],CC(N(C)C)=O,"28.4243, 1.8900",0.1453627869996672,0.6819085487077534,0.1574807960088896,0.6971767885426821,3,0.09259259259259278,1.4760842589662049,3.4490740740740735,28.4243,1.89,5.749511833283905,2.640075973409307,0.12021297926840863,5.675659722222225,172.41321013126154,10.041402850038956,-0.7700228332073573,7.352548027777775,0.10637267561983471,0.9241312345499263,0.10192120117283027,-0.021527103444336546,-0.013365665091453947,0.9338419044929036,0.179206871180051,-0.21232277378079753,0.32359606717136014,2.2577413479052826,5.893613333333331,0.1064386291266886,-0.1074027457280376,1.0886408708771198,-0.7700228332073573,7.459538320000003,-0.7700228332073573,6.2496931818181825,0.9072853611090497,4.378498453544003,-90.1422657559308,6.141571311475411,0.0,-0.47595603341217435,0.045089908437815567,0.38444845438289016,0.3902996786690034,49.38830667892189,0.03301657841027873,15.352459016393443,0.12873088342034414,1.812090515989675
Result3942060,CC(C)c1cnn(-c2ccc(C#N)cc2P(C(C)C)C(CCO)c2ccc(C(F)(F)F)cc2)c1C(C)C,27.791,91.5992,0.0673,O=C([O-])C.[Cs+],CCCC#N,"27.7908, 0.4050",0.1265444360281399,0.07445192098979814,0.15437109729761034,0.056742661225519415,1,0.0,1.3691437802907915,0.0,27.7908,0.405,0.0,3.1549295774647885,0.10488139564135598,5.771439788732392,189.65775190483836,5.304539896238907,-1.0553599248341305,7.346259338028168,0.07048031093198816,0.5722564919753749,-0.12097389004389154,-0.16236490781945334,-0.11197039842873178,0.5762642347005809,0.6062651237715012,-0.09279071002890688,0.36503234250395433,2.8122130394857665,6.1490378787878806,0.0686291224343764,-0.026872623327602343,1.074136973328355,-1.0553599248341305,7.619601696969697,-1.0553599248341305,6.352670270270271,0.5795557992502226,6.960154257352311,-194.14235634811763,6.075839256198347,6.606881964512918,-0.42285878229324936,0.03395651566932553,0.36073484643589887,0.501821686688987,23.01138064368148,0.03440298463156059,16.735537190082646,-0.0705015507146852,1.7953938205094306
Result3942062,Cc1cc(C)c(P(c2ccc(C(C)C)cc2C(C)C)c2ncccc2CP(C)C(F)(F)F)c(C)c1,25.672,104.7427,0.0951,O=C([O-])C.[K+],CCCC#N,"25.6720, 1.2391",0.1453627869996672,0.6819085487077534,0.1574807960088896,0.6971767885426821,1,0.0,1.3691437802907915,0.0,25.672,1.2391,0.0,2.8253552294432795,0.1384848932482071,5.819132575757577,209.16045640409428,16.04409619186819,-2.160664228974815,7.3822081212121216,0.11242132611702904,0.5513436050535109,0.025516886354940437,-0.1189393939393938,-0.08305230443695027,0.5172257827808462,0.4236308993507516,-0.06021840870127585,0.37996114137767817,3.423056859676578,5.928893846153847,0.10996367857847612,-0.16064662696548188,1.1312099942749307,-3.30094505118024,7.45248303076923,-1.140280822205425,6.171,0.5649245327235997,6.130382119921924,3.4710485133020472,5.941774647887324,6.664825604232536,-0.37928717038753756,0.057726907569656496,0.4151551081744821,0.48554064289729326,6.06636706846161,0.0390216225341405,18.901408450704224,0.055389328177586225,2.8238699217491674
